tr|K7FHZ4|K7FHZ4_PELSI	Vps53_N|GT-A|TMhelix	Vps53_N(33-175)|Glyco_transf_54(108-388)|TMhelix(281-303)
tr|A0A2R2MQE8|A0A2R2MQE8_LINUN	TMhelix|GT-A	TMhelix(4-26)|Glyco_transf_54(79-311)
tr|A0A2R8RJJ0|A0A2R8RJJ0_DANRE	TMhelix|GT-A	TMhelix(29-51)|Glyco_transf_54(67-333)
tr|A0A2R9AJ55|A0A2R9AJ55_PANPA	TMhelix|GT-A	TMhelix(26-43)|Glyco_transf_54(64-330)
tr|B0R014|B0R014_DANRE	TMhelix|GT-A	TMhelix(5-27)|Glyco_transf_54(102-379)
tr|B3MAW1|B3MAW1_DROAN	TMhelix|GT-A	TMhelix(7-29)|Glyco_transf_54(129-412)
tr|B3RYI0|B3RYI0_TRIAD	TMhelix|GT-A	TMhelix(84-106)|Glyco_transf_54(18-300)
tr|B4GUJ6|B4GUJ6_DROPE	TMhelix|GT-A	TMhelix(7-29)|Glyco_transf_54(128-411)
tr|B4J3T6|B4J3T6_DROGR	TMhelix|GT-A	TMhelix(7-29)|Glyco_transf_54(130-413)
tr|B4KVK8|B4KVK8_DROMO	TMhelix|GT-A	TMhelix(7-29)|Glyco_transf_54(130-413)
tr|B4KYU9|B4KYU9_DROMO	TMhelix|GT-A	TMhelix(12-31)|Glyco_transf_54(63-313)
tr|B4L120|B4L120_DROMO	TMhelix|GT-A	TMhelix(7-26)|Glyco_transf_54(98-359)
tr|B4LDM8|B4LDM8_DROVI	TMhelix|GT-A	TMhelix(29-51)|Glyco_transf_54(83-335)
tr|B4LF55|B4LF55_DROVI	TMhelix|GT-A	TMhelix(7-29)|Glyco_transf_54(130-413)
tr|B4NM20|B4NM20_DROWI	TMhelix|GT-A	TMhelix(7-29)|Glyco_transf_54(123-406)
tr|C0H9Y9|C0H9Y9_SALSA	TMhelix|GT-A	TMhelix(5-27)|Glyco_transf_54(103-380)
tr|D3ZJ23|D3ZJ23_RAT	TMhelix|GT-A	TMhelix(7-26)|Glyco_transf_54(39-284)
tr|D6WG02|D6WG02_TRICA	TMhelix|GT-A	TMhelix(17-39)|Glyco_transf_54(123-401)
tr|E1BNB2|E1BNB2_BOVIN	TMhelix|GT-A	TMhelix(29-46)|Glyco_transf_54(69-333)
tr|E2R8P0|E2R8P0_CANLF	TMhelix|GT-A	TMhelix(26-43)|Glyco_transf_54(64-330)
tr|E9FVC6|E9FVC6_DAPPU	TMhelix|GT-A	TMhelix(12-29)|Glyco_transf_54(57-336)
tr|F2UDW9|F2UDW9_SALR5	TMhelix|GT-A	TMhelix(7-29)|Glyco_transf_54(149-385)
tr|F6RTS9|F6RTS9_CALJA	TMhelix|GT-A	TMhelix(26-43)|Glyco_transf_54(64-330)
tr|F6T1Z7|F6T1Z7_CIOIN	TMhelix|GT-A	TMhelix(7-26)|Glyco_transf_54(99-347)
tr|F6U2Q7|F6U2Q7_HORSE	TMhelix|GT-A	TMhelix(26-43)|Glyco_transf_54(64-330)
tr|F6UI12|F6UI12_CIOIN	TMhelix|GT-A	TMhelix(9-31)|Glyco_transf_54(105-361)
tr|F6XPI1|F6XPI1_CIOIN	TMhelix|GT-A	TMhelix(9-28)|Glyco_transf_54(95-352)
tr|F7AQN9|F7AQN9_MONDO	TMhelix|GT-A	TMhelix(5-27)|Glyco_transf_54(99-378)
tr|F7BFU0|F7BFU0_ORNAN	TMhelix|GT-A	TMhelix(24-43)|Glyco_transf_54(64-326)
tr|F7CKP8|F7CKP8_XENTR	TMhelix|GT-A	TMhelix(26-45)|Glyco_transf_54(72-331)
tr|F7DM72|F7DM72_MACMU	TMhelix|GT-A	TMhelix(26-43)|Glyco_transf_54(64-330)
tr|F7F520|F7F520_MONDO	TMhelix|GT-A	TMhelix(9-27)|Glyco_transf_54(48-310)
tr|G1KDD7|G1KDD7_ANOCA	TMhelix|GT-A	TMhelix(21-43)|Glyco_transf_54(72-331)
tr|G1KKX9|G1KKX9_ANOCA	TMhelix|GT-A	TMhelix(28-47)|Glyco_transf_54(68-330)
tr|G1LHP8|G1LHP8_AILME	TMhelix|GT-A	TMhelix(27-44)|Glyco_transf_54(65-331)
tr|G1NF68|G1NF68_MELGA	TMhelix|GT-A	TMhelix(50-69)|Glyco_transf_54(97-356)
tr|G1NPK1|G1NPK1_MELGA	TMhelix|GT-A	TMhelix(5-27)|Glyco_transf_54(103-380)
tr|G1PDX6|G1PDX6_MYOLU	TMhelix|GT-A	TMhelix(9-31)|Glyco_transf_54(98-378)
tr|G1PL55|G1PL55_MYOLU	TMhelix|GT-A	TMhelix(28-45)|Glyco_transf_54(66-332)
tr|G1R006|G1R006_NOMLE	TMhelix|GT-A	TMhelix(26-43)|Glyco_transf_54(64-330)
tr|G1TDF8|G1TDF8_RABIT	TMhelix|GT-A	TMhelix(56-75)|Glyco_transf_54(96-358)
tr|G3NEU6|G3NEU6_GASAC	TMhelix|GT-A	TMhelix(5-27)|Glyco_transf_54(109-386)
tr|G3P4R3|G3P4R3_GASAC	TMhelix|GT-A	TMhelix(20-39)|Glyco_transf_54(65-326)
tr|G3P5D8|G3P5D8_GASAC	TMhelix|GT-A	TMhelix(7-29)|Glyco_transf_54(53-314)
tr|G3SJ59|G3SJ59_GORGO	TMhelix|GT-A	TMhelix(26-43)|Glyco_transf_54(64-330)
tr|G3SZQ0|G3SZQ0_LOXAF	TMhelix|GT-A	TMhelix(24-43)|Glyco_transf_54(65-330)
tr|G3W482|G3W482_SARHA	TMhelix|GT-A	TMhelix(9-27)|Glyco_transf_54(48-310)
tr|G3W5Q3|G3W5Q3_SARHA	TMhelix|GT-A	TMhelix(5-27)|Glyco_transf_54(103-380)
tr|G5BJL4|G5BJL4_HETGA	TMhelix|GT-A	TMhelix(26-43)|Glyco_transf_54(64-330)
tr|H0VQ11|H0VQ11_CAVPO	TMhelix|GT-A	TMhelix(26-43)|Glyco_transf_54(63-329)
tr|H0WMB3|H0WMB3_OTOGA	TMhelix|GT-A	TMhelix(26-43)|Glyco_transf_54(64-330)
tr|H0X4X4|H0X4X4_OTOGA	TMhelix|GT-A	TMhelix(12-31)|Glyco_transf_54(104-381)
tr|H0ZC64|H0ZC64_TAEGU	TMhelix|GT-A	TMhelix(12-29)|Glyco_transf_54(55-315)
tr|H0ZIS5|H0ZIS5_TAEGU	TMhelix|GT-A	TMhelix(5-27)|Glyco_transf_54(103-380)
tr|H2MVQ6|H2MVQ6_ORYLA	TMhelix|GT-A	TMhelix(26-43)|Glyco_transf_54(64-330)
tr|H2U5P0|H2U5P0_TAKRU	TMhelix|GT-A	TMhelix(22-41)|Glyco_transf_54(67-328)
tr|H2UGH8|H2UGH8_TAKRU	TMhelix|GT-A	TMhelix(5-27)|Glyco_transf_54(103-380)
tr|H2Z3K2|H2Z3K2_CIOSA	TMhelix|GT-A	TMhelix(9-28)|Glyco_transf_54(100-357)
tr|H3AA99|H3AA99_LATCH	TMhelix|GT-A	TMhelix(7-24)|Glyco_transf_54(100-374)
tr|H3AZQ5|H3AZQ5_LATCH	TMhelix|GT-A	TMhelix(7-26)|Glyco_transf_54(58-311)
tr|H3B359|H3B359_LATCH	TMhelix|GT-A	TMhelix(12-31)|Glyco_transf_54(78-327)
tr|H3D881|H3D881_TETNG	TMhelix|GT-A	TMhelix(26-48)|Glyco_transf_54(69-330)
tr|H3D8N8|H3D8N8_TETNG	TMhelix|GT-A	TMhelix(5-27)|Glyco_transf_54(103-379)
tr|I3N2E4|I3N2E4_ICTTR	TMhelix|GT-A	TMhelix(7-29)|Glyco_transf_54(53-314)
tr|I3ND32|I3ND32_ICTTR	TMhelix|GT-A	TMhelix(26-43)|Glyco_transf_54(64-326)
tr|J9EL41|J9EL41_WUCBA	TMhelix|GT-A	TMhelix(21-43)|Glyco_transf_54(107-389)
tr|J9NSE4|J9NSE4_CANLF	TMhelix|GT-A	TMhelix(5-22)|Glyco_transf_54(52-318)
tr|K1P6D5|K1P6D5_CRAGI	TMhelix|GT-A	TMhelix(7-29)|Glyco_transf_54(32-260)
tr|K1R903|K1R903_CRAGI	TMhelix|GT-A	TMhelix(7-29)|Glyco_transf_54(101-343)
tr|K7F5Y0|K7F5Y0_PELSI	TMhelix|GT-A	TMhelix(20-37)|Glyco_transf_54(58-320)
tr|K7GJS2|K7GJS2_PELSI	TMhelix|GT-A	TMhelix(7-29)|Glyco_transf_54(101-337)
tr|L5JTA5|L5JTA5_PTEAL	TMhelix|GT-A	TMhelix(9-27)|Glyco_transf_54(48-314)
tr|M3WFY8|M3WFY8_FELCA	TMhelix|GT-A	TMhelix(26-43)|Glyco_transf_54(64-330)
tr|M3Y8I6|M3Y8I6_MUSPF	TMhelix|GT-A	TMhelix(50-67)|Glyco_transf_54(88-354)
tr|M3YIM0|M3YIM0_MUSPF	TMhelix|GT-A	TMhelix(5-23)|Glyco_transf_54(53-319)
tr|M3ZKX1|M3ZKX1_XIPMA	TMhelix|GT-A	TMhelix(20-42)|Glyco_transf_54(65-324)
tr|Q2M170|Q2M170_DROPS	TMhelix|GT-A	TMhelix(7-29)|Glyco_transf_54(128-411)
tr|Q9VUH5|Q9VUH5_DROME	TMhelix|GT-A	TMhelix(12-29)|Glyco_transf_54(30-337)
tr|R4GKF3|R4GKF3_CHICK	TMhelix|GT-A	TMhelix(28-47)|Glyco_transf_54(75-334)
tr|T1FS45|T1FS45_HELRO	TMhelix|GT-A	TMhelix(16-38)|Glyco_transf_54(106-386)
tr|U3I2R3|U3I2R3_ANAPL	TMhelix|GT-A	TMhelix(24-43)|Glyco_transf_54(69-330)
tr|U3IIZ1|U3IIZ1_ANAPL	TMhelix|GT-A	TMhelix(13-35)|Glyco_transf_54(111-387)
tr|U3J3U0|U3J3U0_ANAPL	TMhelix|GT-A	TMhelix(5-27)|Glyco_transf_54(103-380)
tr|U3JMY4|U3JMY4_FICAL	TMhelix|GT-A	TMhelix(5-27)|Glyco_transf_54(103-380)
tr|U3K7K8|U3K7K8_FICAL	TMhelix|GT-A	TMhelix(22-41)|Glyco_transf_54(67-328)
tr|V8NGW2|V8NGW2_OPHHA	TMhelix|GT-A	TMhelix(9-27)|Glyco_transf_54(48-310)
tr|W5J9H4|W5J9H4_ANODA	TMhelix|GT-A	TMhelix(32-54)|Glyco_transf_54(148-429)
tr|W5K8U3|W5K8U3_ASTMX	TMhelix|GT-A	TMhelix(20-37)|Glyco_transf_54(58-324)
tr|W5KWL7|W5KWL7_ASTMX	TMhelix|GT-A	TMhelix(7-24)|Glyco_transf_54(58-313)
tr|W5PSV8|W5PSV8_SHEEP	TMhelix|GT-A	TMhelix(5-23)|Glyco_transf_54(53-320)
tr|W5Q1F7|W5Q1F7_SHEEP	TMhelix|GT-A	TMhelix(54-71)|Glyco_transf_54(94-358)
tr|X1WIQ3|X1WIQ3_ACYPI	TMhelix|GT-A	TMhelix(13-30)|Glyco_transf_54(116-397)
tr|A0A2A4JGS9|A0A2A4JGS9_HELVI	TMhelix|bZIP|GT-A	TMhelix(72-94)|bZIP(90-121)|Glyco_transf_54(186-461)
tr|A0A2R5GRU3|A0A2R5GRU3_9STRA	TMhelix	TMhelix(39-61)
tr|C1E3T3|C1E3T3_MICCC	TMhelix	TMhelix(34-53)
tr|C1N3T7|C1N3T7_MICPC	TMhelix	TMhelix(74-96)
tr|A0A1U7QJX3|A0A1U7QJX3_MESAU	SMC_prok_A|GT-A	SMC_prok_A(31-89)|Glyco_transf_54(103-340)
tr|A0A2K6G8T1|A0A2K6G8T1_PROCO	SMC_prok_A|GT-A	SMC_prok_A(31-89)|Glyco_transf_54(103-380)
tr|L5LAH5|L5LAH5_MYODS	SMC_prok_A|GT-A	SMC_prok_A(31-89)|Glyco_transf_54(103-380)
tr|W4XQL7|W4XQL7_STRPU	PHD_SF|TMhelix|GT-A	PHD_SF(40-69)|TMhelix(90-112)|Glyco_transf_54(172-421)
tr|C1E8N1|C1E8N1_MICCC	PAN_4|GT-A	PAN_4(219-266)|Glyco_transf_54(490-630)
tr|B3S751|B3S751_TRIAD	GT-A|VirB5_like	Glyco_transf_54(7-284)|VirB5_like(251-324)
tr|G2WZQ1|G2WZQ1_VERDV	GT-A|TMhelix|TMhelix	Glyco_transf_54(138-204)|TMhelix(321-340)|TMhelix(364-386)
tr|A0A218UTY6|A0A218UTY6_9PASE	GT-A|TMhelix	Glyco_transf_54(24-300)|TMhelix(453-470)
tr|A0A1Q9F7G7|A0A1Q9F7G7_SYMMI	GT-A|PTZ00121|MT	Glyco_transf_54(157-414)|PTZ00121(722-1052)|AdoMet_MTases(1546-1709)
tr|F1STE0|F1STE0_PIG	GT-A|Pet191_N	Glyco_transf_54(103-380)|Pet191_N(528-565)
tr|G1SJL3|G1SJL3_RABIT	GT-A|Pet191_N	Glyco_transf_54(103-380)|Pet191_N(528-565)
tr|A0A182RUV0|A0A182RUV0_ANOFN	GT-A|GT-A	Glyco_transf_54(130-411)|Glyco_transf_54(643-888)
tr|A0A1S3W9P4|A0A1S3W9P4_ERIEU	GT-A|GT-A	Glyco_transf_54(2-218)|Glyco_transf_54(393-648)
tr|G3HP67|G3HP67_CRIGR	GT-A|Cby_like	Glyco_transf_54(107-379)|Cby_like(536-570)
tr|A0A1W0X2B2|A0A1W0X2B2_HYPDU	GT-A|CBM_14|CBM_14|CBM_14	Glyco_transf_54(38-238)|CBM_14(377-429)|CBM_14(652-705)|CBM_14(1015-1070)
tr|V8P446|V8P446_OPHHA	GT-A|Calreticulin	Glyco_transf_54(82-349)|Calreticulin(538-892)
sp|A4IID1|MGT4A_XENTR	GT-A	Glyco_transf_54(103-380)
