tr|M0U2F0|M0U2F0_MUSAM	TM_PBP2|GT-A	TM_PBP2(8-65)|Branch(53-326)
tr|A0A182K8C7|A0A182K8C7_9DIPT	TMhelix|GT|GT-A|GT-A|GT|GT-A|GT-A	TMhelix(20-39)|WSC(124-201)|Branch(233-468)|Xylo_C(518-693)|WSC(1013-1093)|Branch(1125-1381)|Xylo_C(1415-1597)
tr|A0A182PIG7|A0A182PIG7_9DIPT	TMhelix|GT|GT-A|GT-A|GT|GT-A|GT-A	TMhelix(21-43)|WSC(125-206)|Branch(238-472)|Xylo_C(523-693)|WSC(1018-1098)|Branch(1142-1350)|Xylo_C(1384-1565)
tr|A0A182KQ34|A0A182KQ34_9DIPT	TMhelix|GT|GT-A|GT-A|GT-A|GT-A	TMhelix(21-43)|WSC(124-201)|Branch(233-469)|Xylo_C(518-690)|Branch(868-1148)|Xylo_C(1181-1296)
sp|Q5QQ53|XYLT_DROPS	TMhelix|GT|GT-A|GT-A	TMhelix(13-32)|WSC(142-222)|Branch(254-506)|Xylo_C(541-714)
tr|A0A067RAY7|A0A067RAY7_ZOONE	TMhelix|GT|GT-A|GT-A	TMhelix(21-40)|WSC(214-294)|Branch(326-584)|Xylo_C(618-796)
tr|A0A088AAQ9|A0A088AAQ9_APIME	TMhelix|GT|GT-A|GT-A	TMhelix(21-43)|WSC(169-249)|Branch(283-540)|Xylo_C(574-749)
tr|A0A0M5J3Q6|A0A0M5J3Q6_DROBS	TMhelix|GT|GT-A|GT-A	TMhelix(20-39)|WSC(139-219)|Branch(251-504)|Xylo_C(538-712)
tr|A0A0V0SA39|A0A0V0SA39_9BILA	TMhelix|GT|GT-A|GT-A	TMhelix(12-34)|WSC(115-198)|Branch(232-486)|Xylo_C(542-718)
tr|A0A0V0TJK9|A0A0V0TJK9_9BILA	TMhelix|GT|GT-A|GT-A	TMhelix(12-34)|WSC(115-198)|Branch(232-486)|Xylo_C(542-718)
tr|A0A0V0UYK6|A0A0V0UYK6_9BILA	TMhelix|GT|GT-A|GT-A	TMhelix(12-34)|WSC(115-198)|Branch(232-486)|Xylo_C(542-718)
tr|A0A0V0WM87|A0A0V0WM87_9BILA	TMhelix|GT|GT-A|GT-A	TMhelix(12-34)|WSC(115-198)|Branch(232-486)|Xylo_C(542-718)
tr|A0A0V0ZFD4|A0A0V0ZFD4_9BILA	TMhelix|GT|GT-A|GT-A	TMhelix(12-34)|WSC(115-198)|Branch(232-486)|Xylo_C(542-718)
tr|A0A0V1D3F4|A0A0V1D3F4_TRIBR	TMhelix|GT|GT-A|GT-A	TMhelix(12-34)|WSC(115-198)|Branch(232-486)|Xylo_C(542-718)
tr|A0A0V1LJ16|A0A0V1LJ16_9BILA	TMhelix|GT|GT-A|GT-A	TMhelix(12-34)|WSC(115-198)|Branch(232-486)|Xylo_C(542-718)
tr|A0A0V1MYW6|A0A0V1MYW6_9BILA	TMhelix|GT|GT-A|GT-A	TMhelix(12-34)|WSC(117-200)|Branch(236-490)|Xylo_C(547-722)
tr|A0A0V1P7L1|A0A0V1P7L1_9BILA	TMhelix|GT|GT-A|GT-A	TMhelix(12-34)|WSC(115-198)|Branch(232-486)|Xylo_C(542-718)
tr|A0A151INK5|A0A151INK5_9HYME	TMhelix|GT|GT-A|GT-A	TMhelix(21-40)|WSC(171-252)|Branch(286-543)|Xylo_C(577-756)
tr|A0A151X1N7|A0A151X1N7_9HYME	TMhelix|GT|GT-A|GT-A	TMhelix(21-40)|WSC(171-252)|Branch(286-543)|Xylo_C(577-756)
tr|A0A154PFK6|A0A154PFK6_9HYME	TMhelix|GT|GT-A|GT-A	TMhelix(21-43)|WSC(170-250)|Branch(284-523)|Xylo_C(557-733)
tr|A0A158NFT2|A0A158NFT2_ATTCE	TMhelix|GT|GT-A|GT-A	TMhelix(21-40)|WSC(171-252)|Branch(286-543)|Xylo_C(577-756)
tr|A0A165A325|A0A165A325_9CRUS	TMhelix|GT|GT-A|GT-A	TMhelix(16-38)|WSC(130-209)|Branch(239-493)|Xylo_C(538-702)
tr|A0A182GXF2|A0A182GXF2_AEDAL	TMhelix|GT|GT-A|GT-A	TMhelix(59-76)|WSC(216-296)|Branch(365-618)|Xylo_C(652-839)
tr|A0A182LRE1|A0A182LRE1_9DIPT	TMhelix|GT|GT-A|GT-A	TMhelix(7-29)|WSC(166-246)|Branch(278-534)|Xylo_C(568-749)
tr|A0A182SMI8|A0A182SMI8_9DIPT	TMhelix|GT|GT-A|GT-A	TMhelix(34-56)|WSC(191-271)|Branch(303-559)|Xylo_C(593-775)
tr|A0A182TMS0|A0A182TMS0_9DIPT	TMhelix|GT|GT-A|GT-A	TMhelix(9-31)|WSC(167-247)|Branch(279-536)|Xylo_C(569-748)
tr|A0A182XMH0|A0A182XMH0_ANOQN	TMhelix|GT|GT-A|GT-A	TMhelix(9-31)|WSC(167-247)|Branch(279-536)|Xylo_C(569-748)
tr|A0A195B454|A0A195B454_9HYME	TMhelix|GT|GT-A|GT-A	TMhelix(21-40)|WSC(171-252)|Branch(286-543)|Xylo_C(577-756)
tr|A0A195E5R8|A0A195E5R8_9HYME	TMhelix|GT|GT-A|GT-A	TMhelix(21-40)|WSC(171-252)|Branch(286-543)|Xylo_C(577-756)
tr|A0A195ET67|A0A195ET67_9HYME	TMhelix|GT|GT-A|GT-A	TMhelix(21-40)|WSC(171-252)|Branch(286-543)|Xylo_C(577-756)
tr|A0A1A9UVT9|A0A1A9UVT9_GLOAU	TMhelix|GT|GT-A|GT-A	TMhelix(13-32)|WSC(169-249)|Branch(281-534)|Xylo_C(568-742)
tr|A0A1A9XTV7|A0A1A9XTV7_GLOFF	TMhelix|GT|GT-A|GT-A	TMhelix(13-32)|WSC(169-249)|Branch(281-534)|Xylo_C(568-742)
tr|A0A1A9ZMS0|A0A1A9ZMS0_GLOPL	TMhelix|GT|GT-A|GT-A	TMhelix(13-32)|WSC(169-249)|Branch(281-534)|Xylo_C(568-742)
tr|A0A1B0BVC3|A0A1B0BVC3_9MUSC	TMhelix|GT|GT-A|GT-A	TMhelix(13-32)|WSC(169-249)|Branch(281-534)|Xylo_C(568-742)
tr|A0A1B0G6B3|A0A1B0G6B3_GLOMM	TMhelix|GT|GT-A|GT-A	TMhelix(13-32)|WSC(169-249)|Branch(281-532)|Xylo_C(566-740)
tr|A0A1D2MZK8|A0A1D2MZK8_ORCCI	TMhelix|GT|GT-A|GT-A	TMhelix(37-59)|WSC(209-281)|Branch(346-602)|Xylo_C(636-833)
tr|A0A1I7Y0U5|A0A1I7Y0U5_9BILA	TMhelix|GT|GT-A|GT-A	TMhelix(13-35)|WSC(104-158)|Branch(219-426)|Branch(470-578)
tr|A0A1I8MRA7|A0A1I8MRA7_MUSDO	TMhelix|GT|GT-A|GT-A	TMhelix(13-32)|WSC(175-255)|Branch(290-543)|Xylo_C(577-753)
tr|A0A1I8NTG4|A0A1I8NTG4_STOCA	TMhelix|GT|GT-A|GT-A	TMhelix(9-31)|WSC(168-248)|Branch(282-535)|Xylo_C(569-745)
tr|A0A1J1J4J8|A0A1J1J4J8_9DIPT	TMhelix|GT|GT-A|GT-A	TMhelix(5-27)|WSC(145-225)|Branch(254-506)|Xylo_C(540-715)
tr|A0A1S3DKW3|A0A1S3DKW3_DIACI	TMhelix|GT|GT-A|GT-A	TMhelix(16-38)|WSC(175-255)|Branch(291-544)|Xylo_C(577-827)
tr|A0A1W4WZH1|A0A1W4WZH1_AGRPL	TMhelix|GT|GT-A|GT-A	TMhelix(30-52)|WSC(184-264)|Branch(296-549)|Xylo_C(583-752)
tr|A0A1Y9J007|A0A1Y9J007_ANOQN	TMhelix|GT|GT-A|GT-A	TMhelix(21-43)|WSC(124-201)|Branch(233-469)|Xylo_C(518-690)
tr|A0A212FDG0|A0A212FDG0_DANPL	TMhelix|GT|GT-A|GT-A	TMhelix(12-34)|WSC(153-232)|Branch(251-502)|Xylo_C(548-710)
tr|A0A226EFF1|A0A226EFF1_FOLCA	TMhelix|GT|GT-A|GT-A	TMhelix(45-67)|WSC(160-242)|Branch(282-536)|Xylo_C(570-763)
tr|A0A232FH38|A0A232FH38_9HYME	TMhelix|GT|GT-A|GT-A	TMhelix(21-43)|WSC(180-260)|Branch(294-551)|Xylo_C(585-770)
tr|A0A2A4JLF1|A0A2A4JLF1_HELVI	TMhelix|GT|GT-A|GT-A	TMhelix(13-35)|WSC(153-233)|Branch(264-514)|Xylo_C(560-722)
tr|A0A2C9H5T7|A0A2C9H5T7_ANOME	TMhelix|GT|GT-A|GT-A	TMhelix(9-31)|WSC(167-247)|Branch(279-536)|Xylo_C(569-748)
tr|A0A2J7RKT5|A0A2J7RKT5_9NEOP	TMhelix|GT|GT-A|GT-A	TMhelix(13-35)|WSC(203-283)|Branch(315-573)|Xylo_C(607-784)
tr|B4H5T7|B4H5T7_DROPE	TMhelix|GT|GT-A|GT-A	TMhelix(13-32)|WSC(142-222)|Branch(254-506)|Xylo_C(541-612)
tr|B4N301|B4N301_DROWI	TMhelix|GT|GT-A|GT-A	TMhelix(21-38)|WSC(146-226)|Branch(258-511)|Xylo_C(545-720)
tr|E2C867|E2C867_HARSA	TMhelix|GT|GT-A|GT-A	TMhelix(20-42)|WSC(170-250)|Branch(284-541)|Xylo_C(575-754)
tr|E9IE24|E9IE24_SOLIN	TMhelix|GT|GT-A|GT-A	TMhelix(21-40)|WSC(172-253)|Branch(287-544)|Xylo_C(578-755)
tr|F4W496|F4W496_ACREC	TMhelix|GT|GT-A|GT-A	TMhelix(21-40)|WSC(171-252)|Branch(286-543)|Xylo_C(577-756)
tr|K7IUC5|K7IUC5_NASVI	TMhelix|GT|GT-A|GT-A	TMhelix(21-43)|WSC(180-260)|Branch(294-551)|Xylo_C(585-768)
tr|Q5TRC6|Q5TRC6_ANOGA	TMhelix|GT|GT-A|GT-A	TMhelix(9-31)|WSC(141-221)|Branch(253-510)|Xylo_C(543-722)
tr|Q7PPA2|Q7PPA2_ANOGA	TMhelix|GT|GT-A|GT-A	TMhelix(21-43)|WSC(124-201)|Branch(233-469)|Xylo_C(518-693)
sp|Q5QQ52|XYLT_CAEBR	TMhelix|GT|GT-A	TMhelix(13-30)|WSC(119-199)|Branch(247-486)
sp|Q965Q8|XYLT_CAEEL	TMhelix|GT|GT-A	TMhelix(12-31)|WSC(113-195)|Branch(246-485)
tr|A0A016SDT7|A0A016SDT7_9BILA	TMhelix|GT|GT-A	TMhelix(27-49)|WSC(205-284)|Branch(336-576)
tr|A0A1I7RNR9|A0A1I7RNR9_BURXY	TMhelix|GT|GT-A	TMhelix(20-42)|WSC(135-219)|Branch(252-509)
tr|A0A1I7TYM1|A0A1I7TYM1_9PELO	TMhelix|GT|GT-A	TMhelix(20-42)|WSC(120-201)|Branch(252-486)
tr|A0A1I7WCM9|A0A1I7WCM9_HETBA	TMhelix|GT|GT-A	TMhelix(15-37)|WSC(127-207)|Branch(213-405)
tr|A0A1S4EHB5|A0A1S4EHB5_DIACI	TMhelix|GT|GT-A	TMhelix(16-38)|WSC(308-388)|Branch(424-629)
tr|A0A261BL06|A0A261BL06_9PELO	TMhelix|GT|GT-A	TMhelix(13-35)|WSC(119-199)|Branch(251-485)
tr|A0A2A2M1M3|A0A2A2M1M3_9BILA	TMhelix|GT|GT-A	TMhelix(9-31)|WSC(112-192)|Branch(243-483)
tr|A0A2G5TCJ6|A0A2G5TCJ6_9PELO	TMhelix|GT|GT-A	TMhelix(21-43)|WSC(130-210)|Branch(261-500)
tr|E3LKP3|E3LKP3_CAERE	TMhelix|GT|GT-A	TMhelix(13-35)|WSC(119-199)|Branch(251-490)
tr|G0NBM8|G0NBM8_CAEBE	TMhelix|GT|GT-A	TMhelix(13-35)|WSC(118-198)|Branch(249-488)
tr|K7GVT2|K7GVT2_CAEJA	TMhelix|GT|GT-A	TMhelix(10-32)|WSC(112-192)|Branch(243-435)
tr|W4XIB0|W4XIB0_STRPU	TMhelix|GT-A|WAP	TMhelix(26-48)|Branch(135-366)|WAP(396-420)
tr|A0A1D6CNP0|A0A1D6CNP0_WHEAT	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(20-42)|Branch(17-439)|TMhelix(486-507)|TMhelix(527-549)|TMhelix(562-584)
tr|H8WH06|H8WH06_CAEBR	TMhelix|GT-A|TMhelix|TMhelix|GT-A	TMhelix(34-56)|Branch(163-426)|TMhelix(499-521)|TMhelix(651-673)|Branch(780-837)
tr|A0A1I7RQB6|A0A1I7RQB6_BURXY	TMhelix|GT-A|TMhelix|Acetyltransferase|TMhelix|TMhelix	TMhelix(34-51)|Branch(136-400)|TMhelix(505-527)|OafA(475-630)|TMhelix(548-567)|TMhelix(611-633)
tr|A8Y431|A8Y431_CAEBR	TMhelix|GT-A|TMhelix	TMhelix(27-49)|Branch(155-420)|TMhelix(552-574)
tr|A0A067K6J7|A0A067K6J7_JATCU	TMhelix|GT-A|PRTase_1	TMhelix(29-51)|Branch(107-336)|PRTase_1(322-356)
tr|A0A1R3G4R0|A0A1R3G4R0_9ROSI	TMhelix|GT-A|pepsin_A_like_plant	TMhelix(31-53)|Branch(108-337)|pepsin_A_like_plant(449-802)
tr|A0A1R3HR95|A0A1R3HR95_COCAP	TMhelix|GT-A|pepsin_A_like_plant	TMhelix(31-53)|Branch(108-337)|pepsin_A_like_plant(453-805)
sp|Q811B1|XYLT1_MOUSE	TMhelix|GT-A|GT-A	TMhelix(13-35)|Branch(322-574)|Xylo_C(607-787)
tr|A0A177WFY4|A0A177WFY4_BATDE	TMhelix|GT-A|GT-A	TMhelix(21-43)|Branch(240-494)|Glyco_tranf_GTA_type(600-756)
tr|A0A1D1VLB2|A0A1D1VLB2_RAMVA	TMhelix|GT-A|GT-A	TMhelix(13-35)|Branch(121-374)|Xylo_C(442-597)
tr|A0A1L8EQE9|A0A1L8EQE9_XENLA	TMhelix|GT-A|GT-A	TMhelix(13-35)|Branch(293-545)|Xylo_C(578-758)
tr|A0A1L8EXN9|A0A1L8EXN9_XENLA	TMhelix|GT-A|GT-A	TMhelix(13-35)|Branch(293-545)|Xylo_C(578-758)
tr|A0A1U7QK79|A0A1U7QK79_MESAU	TMhelix|GT-A|GT-A	TMhelix(13-35)|Branch(321-573)|Xylo_C(606-786)
tr|A0A1W0WU85|A0A1W0WU85_HYPDU	TMhelix|GT-A|GT-A	TMhelix(38-60)|Branch(140-398)|Xylo_C(540-634)
tr|A0A2I4BD70|A0A2I4BD70_9TELE	TMhelix|GT-A|GT-A	TMhelix(17-39)|Branch(321-573)|Xylo_C(606-788)
tr|A0A2I4D6N6|A0A2I4D6N6_9TELE	TMhelix|GT-A|GT-A	TMhelix(17-39)|Branch(321-573)|Xylo_C(607-790)
tr|A0A2R9CC79|A0A2R9CC79_PANPA	TMhelix|GT-A|GT-A	TMhelix(13-35)|Branch(234-486)|Xylo_C(519-661)
tr|F4P545|F4P545_BATDJ	TMhelix|GT-A|GT-A	TMhelix(21-43)|Branch(240-494)|Glyco_tranf_GTA_type(600-756)
tr|F6QQR0|F6QQR0_XENTR	TMhelix|GT-A|GT-A	TMhelix(13-35)|Branch(291-543)|Xylo_C(576-756)
tr|F6XD49|F6XD49_MONDO	TMhelix|GT-A|GT-A	TMhelix(13-35)|Branch(337-589)|Xylo_C(622-802)
tr|H3B7F8|H3B7F8_LATCH	TMhelix|GT-A|GT-A	TMhelix(13-35)|Branch(234-486)|Xylo_C(519-699)
tr|A0A1R3H7C7|A0A1R3H7C7_COCAP	TMhelix|GT-A|E2F_TDP|DP_DD	TMhelix(13-35)|Branch(11-372)|E2F_TDP(469-547)|DP_DD(554-640)
tr|A0A1I7UJI8|A0A1I7UJI8_9PELO	TMhelix|GT-A|Ankyrin|Ankyrin	TMhelix(7-26)|Branch(126-358)|Ank_2(438-530)|Ank_2(506-593)
sp|O95395|GCNT3_HUMAN	TMhelix|GT-A	TMhelix(7-26)|Branch(133-401)
sp|P97402|GCNT2_MOUSE	TMhelix|GT-A	TMhelix(7-29)|Branch(95-356)
sp|Q5JCT0|GCNT3_MOUSE	TMhelix|GT-A	TMhelix(13-30)|Branch(133-400)
sp|Q71SG7|GCNT4_DANRE	TMhelix|GT-A	TMhelix(13-30)|Branch(120-388)
sp|Q8CH87|GCNT3_RAT	TMhelix|GT-A	TMhelix(7-26)|Branch(133-400)
sp|Q9FLD7|GT14A_ARATH	TMhelix|GT-A	TMhelix(34-56)|Branch(28-447)
sp|Q9LFQ0|GT14B_ARATH	TMhelix|GT-A	TMhelix(22-44)|Branch(18-434)
tr|A0A016TRA7|A0A016TRA7_9BILA	TMhelix|GT-A	TMhelix(34-53)|Branch(132-401)
tr|A0A016TRL1|A0A016TRL1_9BILA	TMhelix|GT-A	TMhelix(12-34)|Branch(131-395)
tr|A0A016UCM0|A0A016UCM0_9BILA	TMhelix|GT-A	TMhelix(58-80)|Branch(165-361)
tr|A0A016VNQ4|A0A016VNQ4_9BILA	TMhelix|GT-A	TMhelix(20-37)|Branch(151-414)
tr|A0A016WL74|A0A016WL74_9BILA	TMhelix|GT-A	TMhelix(19-38)|Branch(118-380)
tr|A0A061E302|A0A061E302_THECC	TMhelix|GT-A	TMhelix(35-57)|Branch(27-449)
tr|A0A061EK45|A0A061EK45_THECC	TMhelix|GT-A	TMhelix(30-52)|Branch(77-434)
tr|A0A061FEV8|A0A061FEV8_THECC	TMhelix|GT-A	TMhelix(12-34)|Branch(1-422)
tr|A0A061GNR0|A0A061GNR0_THECC	TMhelix|GT-A	TMhelix(73-95)|Branch(114-480)
tr|A0A061GUV8|A0A061GUV8_THECC	TMhelix|GT-A	TMhelix(77-99)|Branch(139-395)
tr|A0A067DJ82|A0A067DJ82_CITSI	TMhelix|GT-A	TMhelix(65-84)|Branch(105-464)
tr|A0A067E028|A0A067E028_CITSI	TMhelix|GT-A	TMhelix(13-35)|Branch(59-411)
tr|A0A067ECV4|A0A067ECV4_CITSI	TMhelix|GT-A	TMhelix(7-29)|Branch(79-324)
tr|A0A067G205|A0A067G205_CITSI	TMhelix|GT-A	TMhelix(21-43)|Branch(20-410)
tr|A0A067GF32|A0A067GF32_CITSI	TMhelix|GT-A	TMhelix(12-34)|Branch(62-314)
tr|A0A067GY88|A0A067GY88_CITSI	TMhelix|GT-A	TMhelix(20-42)|Branch(56-423)
tr|A0A067JK10|A0A067JK10_JATCU	TMhelix|GT-A	TMhelix(33-55)|Branch(72-432)
tr|A0A067JL50|A0A067JL50_JATCU	TMhelix|GT-A	TMhelix(12-34)|Branch(69-325)
tr|A0A067JR87|A0A067JR87_JATCU	TMhelix|GT-A	TMhelix(13-35)|Branch(65-409)
tr|A0A067L6C7|A0A067L6C7_JATCU	TMhelix|GT-A	TMhelix(5-24)|Branch(52-398)
tr|A0A068XC00|A0A068XC00_HYMMI	TMhelix|GT-A	TMhelix(24-46)|Branch(103-304)
tr|A0A068XWZ5|A0A068XWZ5_ECHMU	TMhelix|GT-A	TMhelix(39-60)|Branch(121-328)
tr|A0A068XX47|A0A068XX47_ECHMU	TMhelix|GT-A	TMhelix(20-39)|Branch(97-293)
tr|A0A068Y463|A0A068Y463_ECHMU	TMhelix|GT-A	TMhelix(7-29)|Branch(90-286)
tr|A0A068YMZ7|A0A068YMZ7_ECHMU	TMhelix|GT-A	TMhelix(9-31)|Branch(77-255)
tr|A0A072VHX3|A0A072VHX3_MEDTR	TMhelix|GT-A	TMhelix(39-58)|Branch(73-438)
tr|A0A078BPF3|A0A078BPF3_CAEEL	TMhelix|GT-A	TMhelix(96-118)|Branch(220-484)
tr|A0A087VX45|A0A087VX45_ECHMU	TMhelix|GT-A	TMhelix(40-62)|Branch(109-360)
tr|A0A0D3GIF5|A0A0D3GIF5_9ORYZ	TMhelix|GT-A	TMhelix(23-45)|Branch(21-440)
tr|A0A0D3HWU6|A0A0D3HWU6_9ORYZ	TMhelix|GT-A	TMhelix(7-26)|Branch(82-331)
tr|A0A0D9Y4W2|A0A0D9Y4W2_9ORYZ	TMhelix|GT-A	TMhelix(75-97)|Branch(66-481)
tr|A0A0E0BVC4|A0A0E0BVC4_9ORYZ	TMhelix|GT-A	TMhelix(7-26)|Branch(82-331)
tr|A0A0E0BYQ7|A0A0E0BYQ7_9ORYZ	TMhelix|GT-A	TMhelix(79-101)|Branch(125-480)
tr|A0A0E0E3M2|A0A0E0E3M2_9ORYZ	TMhelix|GT-A	TMhelix(25-47)|Branch(98-446)
tr|A0A0E0FI27|A0A0E0FI27_ORYNI	TMhelix|GT-A	TMhelix(104-126)|Branch(95-509)
tr|A0A0E0H9Q8|A0A0E0H9Q8_ORYNI	TMhelix|GT-A	TMhelix(25-47)|Branch(76-439)
tr|A0A0E0HT77|A0A0E0HT77_ORYNI	TMhelix|GT-A	TMhelix(26-48)|Branch(24-443)
tr|A0A0E0JCL1|A0A0E0JCL1_ORYNI	TMhelix|GT-A	TMhelix(7-26)|Branch(82-331)
tr|A0A0E0LD96|A0A0E0LD96_ORYPU	TMhelix|GT-A	TMhelix(28-50)|Branch(26-443)
tr|A0A0E0LR53|A0A0E0LR53_ORYPU	TMhelix|GT-A	TMhelix(20-42)|Branch(111-448)
tr|A0A0E0MPP5|A0A0E0MPP5_ORYPU	TMhelix|GT-A	TMhelix(5-27)|Branch(80-322)
tr|A0A0E0MSR4|A0A0E0MSR4_ORYRU	TMhelix|GT-A	TMhelix(75-97)|Branch(66-479)
tr|A0A0E0PZV7|A0A0E0PZV7_ORYRU	TMhelix|GT-A	TMhelix(26-48)|Branch(24-443)
tr|A0A0G3CK11|A0A0G3CK11_9GAMM	TMhelix|GT-A	TMhelix(7-29)|Branch(19-244)
tr|A0A0K0JLH9|A0A0K0JLH9_BRUMA	TMhelix|GT-A	TMhelix(5-22)|Branch(140-397)
tr|A0A0L0FZC0|A0A0L0FZC0_9EUKA	TMhelix|GT-A	TMhelix(21-43)|Branch(214-421)
tr|A0A0X3AN87|A0A0X3AN87_9FLAO	TMhelix|GT-A	TMhelix(58-75)|Branch(4-246)
tr|A0A103XB27|A0A103XB27_CYNCS	TMhelix|GT-A	TMhelix(31-53)|Branch(106-335)
tr|A0A103XL58|A0A103XL58_CYNCS	TMhelix|GT-A	TMhelix(21-43)|Branch(17-426)
tr|A0A103XQJ4|A0A103XQJ4_CYNCS	TMhelix|GT-A	TMhelix(104-123)|Branch(179-408)
tr|A0A103Y4T4|A0A103Y4T4_CYNCS	TMhelix|GT-A	TMhelix(21-43)|Branch(17-428)
tr|A0A103YA97|A0A103YA97_CYNCS	TMhelix|GT-A	TMhelix(24-46)|Branch(123-365)
tr|A0A103YMA1|A0A103YMA1_CYNCS	TMhelix|GT-A	TMhelix(13-35)|Branch(10-420)
tr|A0A103YN43|A0A103YN43_CYNCS	TMhelix|GT-A	TMhelix(5-27)|Branch(4-393)
tr|A0A103YN83|A0A103YN83_CYNCS	TMhelix|GT-A	TMhelix(21-40)|Branch(43-374)
tr|A0A118JU18|A0A118JU18_CYNCS	TMhelix|GT-A	TMhelix(13-32)|Branch(74-421)
tr|A0A118K6H5|A0A118K6H5_CYNCS	TMhelix|GT-A	TMhelix(19-41)|Branch(68-316)
tr|A0A124SC92|A0A124SC92_CYNCS	TMhelix|GT-A	TMhelix(21-43)|Branch(11-407)
tr|A0A137NVX4|A0A137NVX4_CONC2	TMhelix|GT-A	TMhelix(21-43)|Branch(97-353)
tr|A0A151RIJ8|A0A151RIJ8_CAJCA	TMhelix|GT-A	TMhelix(12-34)|Branch(1-423)
tr|A0A151SLF1|A0A151SLF1_CAJCA	TMhelix|GT-A	TMhelix(13-35)|Branch(54-420)
tr|A0A151SRU9|A0A151SRU9_CAJCA	TMhelix|GT-A	TMhelix(31-50)|Branch(107-336)
tr|A0A151SVN5|A0A151SVN5_CAJCA	TMhelix|GT-A	TMhelix(12-34)|Branch(1-421)
tr|A0A151TP53|A0A151TP53_CAJCA	TMhelix|GT-A	TMhelix(20-42)|Branch(10-461)
tr|A0A151TQD7|A0A151TQD7_CAJCA	TMhelix|GT-A	TMhelix(21-43)|Branch(77-400)
tr|A0A151TZD9|A0A151TZD9_CAJCA	TMhelix|GT-A	TMhelix(31-50)|Branch(108-338)
tr|A0A152A6H9|A0A152A6H9_9MYCE	TMhelix|GT-A	TMhelix(7-26)|Branch(243-464)
tr|A0A164WMG0|A0A164WMG0_DAUCA	TMhelix|GT-A	TMhelix(7-29)|Branch(4-238)
tr|A0A164WNE6|A0A164WNE6_DAUCA	TMhelix|GT-A	TMhelix(20-42)|Branch(94-339)
tr|A0A164ZHU1|A0A164ZHU1_DAUCA	TMhelix|GT-A	TMhelix(24-46)|Branch(16-438)
tr|A0A166AB61|A0A166AB61_DAUCA	TMhelix|GT-A	TMhelix(25-47)|Branch(22-375)
tr|A0A166DK93|A0A166DK93_DAUCA	TMhelix|GT-A	TMhelix(7-26)|Branch(75-313)
