tr|U6PXS4|U6PXS4_HAECO	Vps35|TMhelix|GT-A|TMhelix|TMhelix	Vps35(14-750)|TMhelix(840-862)|Glucosylceramide_synthase(880-1109)|TMhelix(1135-1157)|TMhelix(1177-1199)
tr|A0A0N1KJY5|A0A0N1KJY5_9BURK	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(10-32)|HpnI(15-383)|TMhelix(285-307)|TMhelix(311-330)|TMhelix(342-361)
tr|A0A0N8ECY0|A0A0N8ECY0_9CRUS	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(7-29)|Glucosylceramide_synthase(53-282)|TMhelix(290-312)|TMhelix(317-339)|TMhelix(349-371)
tr|A0A0P1BYA8|A0A0P1BYA8_9CYAN	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(7-29)|BcsA(4-404)|TMhelix(283-305)|TMhelix(312-334)|TMhelix(360-382)
tr|A0A0Q4ZU94|A0A0Q4ZU94_9RHIZ	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(15-37)|Glucosylceramide_synthase(53-281)|TMhelix(285-307)|TMhelix(311-333)|TMhelix(346-368)
tr|A0A0S3PA86|A0A0S3PA86_9NOSO	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(20-42)|BcsA(17-405)|TMhelix(291-313)|TMhelix(326-348)|TMhelix(368-390)
tr|A0A0S3PAA8|A0A0S3PAA8_9NOSO	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(7-29)|BcsA(6-403)|TMhelix(282-304)|TMhelix(311-333)|TMhelix(359-381)
tr|A0A0T7BVB6|A0A0T7BVB6_9CYAN	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(7-29)|BcsA(14-414)|TMhelix(296-315)|TMhelix(328-350)|TMhelix(365-387)
tr|A0A0V7Z5X1|A0A0V7Z5X1_9RHIZ	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(5-27)|Glucosylceramide_synthase(44-263)|TMhelix(276-298)|TMhelix(302-324)|TMhelix(337-359)
tr|A0A126NQG9|A0A126NQG9_9BRAD	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(5-27)|Glyco_tranf_GTA_type(43-272)|TMhelix(274-296)|TMhelix(306-328)|TMhelix(340-362)
tr|A0A139X9R2|A0A139X9R2_9CYAN	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(4-26)|HpnI(16-379)|TMhelix(281-303)|TMhelix(307-329)|TMhelix(336-358)
tr|A0A139XD30|A0A139XD30_9CYAN	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(7-29)|BcsA(4-405)|TMhelix(278-300)|TMhelix(312-334)|TMhelix(354-376)
tr|A0A142X446|A0A142X446_9PLAN	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(4-26)|BcsA(14-270)|TMhelix(287-309)|TMhelix(319-341)|TMhelix(362-384)
tr|A0A168AVM0|A0A168AVM0_CORDF	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(13-35)|Glyco_tranf_GTA_type(51-361)|TMhelix(330-352)|TMhelix(404-426)|TMhelix(462-484)
tr|A0A177DRC2|A0A177DRC2_ALTAL	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(4-26)|Glyco_tranf_GTA_type(51-378)|TMhelix(381-403)|TMhelix(423-445)|TMhelix(504-526)
tr|A0A197K2L4|A0A197K2L4_9FUNG	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(41-63)|Glucosylceramide_synthase(86-317)|TMhelix(319-341)|TMhelix(346-368)|TMhelix(389-411)
tr|A0A197K5Q5|A0A197K5Q5_9FUNG	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(41-63)|Glucosylceramide_synthase(85-316)|TMhelix(318-340)|TMhelix(345-367)|TMhelix(388-410)
tr|A0A1A6A8X8|A0A1A6A8X8_9TREE	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(5-27)|Glucosylceramide_synthase(53-310)|TMhelix(315-337)|TMhelix(341-360)|TMhelix(381-403)
tr|A0A1B7VX56|A0A1B7VX56_APHFL	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(20-42)|HpnI(16-387)|TMhelix(289-311)|TMhelix(315-337)|TMhelix(350-372)
tr|A0A1B7VZR0|A0A1B7VZR0_APHFL	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(11-30)|BcsA(4-405)|TMhelix(279-301)|TMhelix(311-333)|TMhelix(354-376)
tr|A0A1B9I6L7|A0A1B9I6L7_9TREE	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(5-27)|Glucosylceramide_synthase(53-329)|TMhelix(334-356)|TMhelix(360-379)|TMhelix(400-422)
tr|A0A1C2G3F3|A0A1C2G3F3_9GAMM	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(5-27)|HpnI(2-370)|TMhelix(276-298)|TMhelix(302-319)|TMhelix(332-351)
tr|A0A1C2J124|A0A1C2J124_ACITH	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(10-32)|HpnI(52-387)|TMhelix(289-311)|TMhelix(315-332)|TMhelix(345-364)
tr|A0A1C3X5T4|A0A1C3X5T4_9RHIZ	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(6-28)|Glucosylceramide_synthase(43-271)|TMhelix(275-297)|TMhelix(302-324)|TMhelix(331-353)
tr|A0A1D2P5E6|A0A1D2P5E6_9CYAN	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(7-29)|BcsA(6-405)|TMhelix(282-304)|TMhelix(311-333)|TMhelix(357-379)
tr|A0A1D2PD08|A0A1D2PD08_9CYAN	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(15-37)|HpnI(13-390)|TMhelix(291-310)|TMhelix(315-337)|TMhelix(350-372)
tr|A0A1E2WNR7|A0A1E2WNR7_9NOSO	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(4-26)|BcsA(6-363)|TMhelix(281-303)|TMhelix(308-330)|TMhelix(351-373)
tr|A0A1E2WRB5|A0A1E2WRB5_9NOSO	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(15-32)|BcsA(6-405)|TMhelix(279-301)|TMhelix(311-333)|TMhelix(353-375)
tr|A0A1E4T2J4|A0A1E4T2J4_9ASCO	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(10-32)|Glucosylceramide_synthase(57-343)|TMhelix(345-367)|TMhelix(382-404)|TMhelix(450-472)
tr|A0A1E5W893|A0A1E5W893_9POAL	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(26-48)|Glyco_tranf_GTA_type(85-291)|TMhelix(317-339)|TMhelix(362-384)|TMhelix(405-427)
tr|A0A1F9X980|A0A1F9X980_9BACT	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(20-42)|HpnI(36-397)|TMhelix(297-319)|TMhelix(323-345)|TMhelix(352-374)
tr|A0A1G5T1E4|A0A1G5T1E4_9SPHN	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(31-53)|HpnI(51-405)|TMhelix(301-323)|TMhelix(328-350)|TMhelix(362-384)
tr|A0A1H0H006|A0A1H0H006_9RHIZ	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(4-26)|Glucosylceramide_synthase(44-272)|TMhelix(276-298)|TMhelix(302-324)|TMhelix(337-359)
tr|A0A1H5TJ98|A0A1H5TJ98_9BRAD	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(5-27)|Glucosylceramide_synthase(43-272)|TMhelix(274-296)|TMhelix(311-333)|TMhelix(340-362)
tr|A0A1H7F3I3|A0A1H7F3I3_9BURK	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(52-74)|HpnI(56-424)|TMhelix(328-350)|TMhelix(354-371)|TMhelix(383-405)
tr|A0A1I2QKR3|A0A1I2QKR3_9RHIZ	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(10-32)|Glucosylceramide_synthase(48-276)|TMhelix(280-302)|TMhelix(306-328)|TMhelix(341-363)
tr|A0A1J5FPM1|A0A1J5FPM1_9BACT	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(4-26)|BcsA(4-385)|TMhelix(283-305)|TMhelix(309-327)|TMhelix(340-362)
tr|A0A1L6KZ27|A0A1L6KZ27_9DELT	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(6-28)|HpnI(12-381)|TMhelix(282-304)|TMhelix(308-330)|TMhelix(337-359)
tr|A0A1L9T767|A0A1L9T767_9EURO	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(26-48)|Glyco_tranf_GTA_type(70-380)|TMhelix(382-404)|TMhelix(432-454)|TMhelix(484-506)
tr|A0A1M3D9G6|A0A1M3D9G6_9SPHN	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(5-27)|HpnI(8-377)|TMhelix(281-303)|TMhelix(308-325)|TMhelix(335-357)
tr|A0A1M6WRV2|A0A1M6WRV2_9BURK	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(10-32)|HpnI(15-383)|TMhelix(286-305)|TMhelix(310-327)|TMhelix(340-362)
tr|A0A1Q2HPT5|A0A1Q2HPT5_9BACT	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(5-24)|BcsA(11-397)|TMhelix(285-307)|TMhelix(317-339)|TMhelix(360-382)
tr|A0A1Q6Y9J6|A0A1Q6Y9J6_9BACT	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(10-32)|HpnI(5-382)|TMhelix(283-305)|TMhelix(309-331)|TMhelix(338-360)
tr|A0A1Q6YGH6|A0A1Q6YGH6_9BACT	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(7-29)|BcsA(1-394)|TMhelix(282-304)|TMhelix(311-330)|TMhelix(350-372)
tr|A0A1Q7FYC6|A0A1Q7FYC6_9BACT	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(4-26)|HpnI(1-378)|TMhelix(283-305)|TMhelix(309-331)|TMhelix(336-358)
tr|A0A1Q7KPP4|A0A1Q7KPP4_9BACT	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(10-32)|HpnI(9-383)|TMhelix(283-305)|TMhelix(310-332)|TMhelix(345-362)
tr|A0A1Q7YQW0|A0A1Q7YQW0_9CHLR	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(10-32)|HpnI(6-384)|TMhelix(289-311)|TMhelix(315-337)|TMhelix(344-366)
tr|A0A1S8W6N0|A0A1S8W6N0_9FUNG	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(26-48)|Glucosylceramide_synthase(74-304)|TMhelix(307-329)|TMhelix(339-361)|TMhelix(374-396)
tr|A0A1U7ITR8|A0A1U7ITR8_9CYAN	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(4-26)|HpnI(10-376)|TMhelix(277-299)|TMhelix(304-326)|TMhelix(333-355)
tr|A0A1U9NJ64|A0A1U9NJ64_9BACT	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(10-32)|HpnI(34-398)|TMhelix(285-307)|TMhelix(317-336)|TMhelix(364-386)
tr|A0A1W6LPC9|A0A1W6LPC9_9BACT	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(5-24)|BcsA(11-396)|TMhelix(285-307)|TMhelix(317-339)|TMhelix(360-382)
tr|A0A1Y2GZH8|A0A1Y2GZH8_9FUNG	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(41-63)|Glucosylceramide_synthase(85-316)|TMhelix(319-341)|TMhelix(354-376)|TMhelix(487-504)
tr|A0A1Z4FW33|A0A1Z4FW33_9CYAN	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(10-32)|BcsA(1-405)|TMhelix(279-301)|TMhelix(311-333)|TMhelix(359-381)
tr|A0A1Z4FZM0|A0A1Z4FZM0_9CYAN	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(10-32)|HpnI(12-387)|TMhelix(287-309)|TMhelix(313-335)|TMhelix(355-372)
tr|A0A1Z4GSI3|A0A1Z4GSI3_9CYAN	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(7-29)|BcsA(12-405)|TMhelix(282-304)|TMhelix(311-333)|TMhelix(353-375)
tr|A0A1Z4GSJ1|A0A1Z4GSJ1_9CYAN	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(6-28)|BcsA(1-279)|TMhelix(279-301)|TMhelix(311-333)|TMhelix(359-381)
tr|A0A1Z4K1Z3|A0A1Z4K1Z3_9CYAN	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(5-27)|BcsA(1-393)|TMhelix(277-299)|TMhelix(309-331)|TMhelix(359-381)
tr|A0A1Z4K218|A0A1Z4K218_9CYAN	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(7-29)|BcsA(7-405)|TMhelix(281-303)|TMhelix(315-337)|TMhelix(368-390)
tr|A0A1Z4PXV1|A0A1Z4PXV1_9CYAN	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(7-29)|BcsA(4-405)|TMhelix(282-304)|TMhelix(311-333)|TMhelix(360-379)
tr|A0A1Z4Q1C2|A0A1Z4Q1C2_9CYAN	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(15-37)|HpnI(22-390)|TMhelix(289-311)|TMhelix(315-337)|TMhelix(350-372)
tr|A0A1Z4Q1D4|A0A1Z4Q1D4_9CYAN	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(10-32)|HpnI(11-390)|TMhelix(289-311)|TMhelix(315-337)|TMhelix(350-372)
tr|A0A1Z4S4Z7|A0A1Z4S4Z7_9NOSO	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(20-42)|BcsA(18-417)|TMhelix(293-315)|TMhelix(325-347)|TMhelix(368-390)
tr|A0A1Z4V7D3|A0A1Z4V7D3_9CYAN	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(7-29)|BcsA(4-405)|TMhelix(282-304)|TMhelix(311-333)|TMhelix(359-381)
tr|A0A218Q4K9|A0A218Q4K9_9CYAN	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(7-29)|BcsA(4-405)|TMhelix(279-301)|TMhelix(314-333)|TMhelix(353-375)
tr|A0A218Q4L5|A0A218Q4L5_9CYAN	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(7-29)|BcsA(4-392)|TMhelix(282-304)|TMhelix(311-333)|TMhelix(359-381)
tr|A0A218QIH9|A0A218QIH9_9CYAN	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(17-39)|HpnI(27-390)|TMhelix(288-310)|TMhelix(317-339)|TMhelix(349-368)
tr|A0A218QNL1|A0A218QNL1_9CYAN	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(12-31)|BcsA(6-402)|TMhelix(281-303)|TMhelix(310-332)|TMhelix(352-374)
tr|A0A235HVM0|A0A235HVM0_9NOSO	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(10-32)|HpnI(20-386)|TMhelix(288-310)|TMhelix(314-336)|TMhelix(349-371)
tr|A0A235II90|A0A235II90_9NOSO	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(15-32)|BcsA(6-283)|TMhelix(279-301)|TMhelix(311-333)|TMhelix(354-376)
tr|A0A251WFB7|A0A251WFB7_9CYAN	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(4-26)|HpnI(75-407)|TMhelix(307-329)|TMhelix(333-355)|TMhelix(362-384)
tr|A0A252EBQ8|A0A252EBQ8_9NOSO	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(7-29)|BcsA(7-393)|TMhelix(282-304)|TMhelix(311-333)|TMhelix(353-375)
tr|A0A286RJ41|A0A286RJ41_9PLAN	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(34-56)|HpnI(80-424)|TMhelix(312-334)|TMhelix(339-358)|TMhelix(389-411)
