tr|A0A0D2VFJ7|A0A0D2VFJ7_CAPO3	VI_ClpV1|GT-A|GT-A	VI_ClpV1(41-171)|Glyco_tranf_GTA_type(167-496)|Glyco_transf_49(556-789)
tr|H0WH59|H0WH59_OTOGA	TMhelix|GT-A|GT-A	TMhelix(12-34)|GT8_LARGE_C(138-417)|Glyco_transf_49(473-742)
tr|H0ZKU7|H0ZKU7_TAEGU	TMhelix|GT-A|GT-A	TMhelix(12-34)|GT8_LARGE_C(138-417)|Glyco_transf_49(473-742)
tr|H2QZS2|H2QZS2_PANTR	TMhelix|GT-A|GT-A	TMhelix(12-34)|GT8_LARGE_C(138-417)|Glyco_transf_49(473-742)
tr|H3AH90|H3AH90_LATCH	TMhelix|GT-A|GT-A	TMhelix(12-34)|GT8_LARGE_C(136-415)|Glyco_transf_49(471-740)
tr|H3F1L6|H3F1L6_PRIPA	TMhelix|GT-A|GT-A	TMhelix(12-34)|Glyco_tranf_GTA_type(67-300)|Glyco_transf_49(353-618)
tr|K1QQU3|K1QQU3_CRAGI	TMhelix|GT-A|GT-A	TMhelix(21-43)|GT8_LARGE_C(116-395)|Glyco_transf_49(445-714)
tr|K7G3X8|K7G3X8_PELSI	TMhelix|GT-A|GT-A	TMhelix(12-34)|GT8_LARGE_C(126-405)|Glyco_transf_49(461-730)
tr|K7J3A2|K7J3A2_NASVI	TMhelix|GT-A|GT-A	TMhelix(5-27)|Glyco_tranf_GTA_type(75-352)|Glyco_transf_49(398-668)
tr|M3WNA3|M3WNA3_FELCA	TMhelix|GT-A|GT-A	TMhelix(12-34)|GT8_LARGE_C(138-417)|Glyco_transf_49(473-742)
tr|M3YLT6|M3YLT6_MUSPF	TMhelix|GT-A|GT-A	TMhelix(12-34)|GT8_LARGE_C(138-417)|Glyco_transf_49(473-742)
tr|V8P3L6|V8P3L6_OPHHA	TMhelix|GT-A|GT-A	TMhelix(47-66)|Glyco_tranf_GTA_type(156-400)|Glyco_transf_49(453-722)
tr|W5MCB4|W5MCB4_LEPOC	TMhelix|GT-A|GT-A	TMhelix(12-29)|GT8_LARGE_C(128-407)|Glyco_transf_49(463-732)
tr|A0A067RL10|A0A067RL10_ZOONE	TMhelix|GT-A	TMhelix(7-24)|Glyco_tranf_GTA_type(103-353)
tr|A0A068Y5Q3|A0A068Y5Q3_ECHMU	TMhelix|GT-A	TMhelix(47-66)|Glyco_tranf_GTA_type(96-317)
tr|A0A068Y7S0|A0A068Y7S0_ECHMU	TMhelix|GT-A	TMhelix(42-64)|Glyco_tranf_GTA_type(98-337)
tr|A0A0M4EXD4|A0A0M4EXD4_DROBS	TMhelix|GT-A	TMhelix(66-88)|Glyco_tranf_GTA_type(170-438)
tr|A0A154PA53|A0A154PA53_9HYME	TMhelix|GT-A	TMhelix(7-24)|Glyco_tranf_GTA_type(85-322)
tr|A0A162Q1G4|A0A162Q1G4_9CRUS	TMhelix|GT-A	TMhelix(7-26)|Glyco_tranf_GTA_type(101-362)
tr|A0A165I2Y4|A0A165I2Y4_EXIGL	TMhelix|GT-A	TMhelix(12-34)|Glyco_tranf_GTA_type(69-198)
tr|A0A1A9UJ02|A0A1A9UJ02_GLOAU	TMhelix|GT-A	TMhelix(24-46)|Glyco_tranf_GTA_type(151-419)
tr|A0A1A9WP50|A0A1A9WP50_9MUSC	TMhelix|GT-A	TMhelix(26-48)|Glyco_tranf_GTA_type(152-420)
tr|A0A1A9Y6H6|A0A1A9Y6H6_GLOFF	TMhelix|GT-A	TMhelix(24-46)|Glyco_tranf_GTA_type(153-420)
tr|A0A1B0A994|A0A1B0A994_GLOPL	TMhelix|GT-A	TMhelix(24-46)|Glyco_tranf_GTA_type(151-419)
tr|A0A1B0BI80|A0A1B0BI80_9MUSC	TMhelix|GT-A	TMhelix(24-46)|Glyco_tranf_GTA_type(153-420)
tr|A0A1I8N0D5|A0A1I8N0D5_MUSDO	TMhelix|GT-A	TMhelix(30-52)|Glyco_tranf_GTA_type(194-478)
tr|A0A1I8PCD5|A0A1I8PCD5_STOCA	TMhelix|GT-A	TMhelix(29-51)|Glyco_tranf_GTA_type(207-491)
tr|A0A1S3JWL1|A0A1S3JWL1_LINUN	TMhelix|GT-A	TMhelix(13-32)|Glyco_tranf_GTA_type(110-354)
tr|A0A1S3MNT7|A0A1S3MNT7_SALSA	TMhelix|GT-A	TMhelix(20-39)|Glyco_tranf_GTA_type(126-362)
tr|A0A1S4E697|A0A1S4E697_DIACI	TMhelix|GT-A	TMhelix(5-24)|Glyco_tranf_GTA_type(73-301)
tr|A0A1W4UZD7|A0A1W4UZD7_DROFC	TMhelix|GT-A	TMhelix(82-104)|Glyco_tranf_GTA_type(185-447)
tr|A0A2C9K2F3|A0A2C9K2F3_BIOGL	TMhelix|GT-A	TMhelix(12-31)|Glyco_tranf_GTA_type(107-327)
tr|A0A2I2ZLQ5|A0A2I2ZLQ5_GORGO	TMhelix|GT-A	TMhelix(21-40)|Glyco_tranf_GTA_type(105-364)
tr|A0A2I3GEB6|A0A2I3GEB6_NOMLE	TMhelix|GT-A	TMhelix(20-42)|Glyco_tranf_GTA_type(108-364)
tr|A0A2I4AIL4|A0A2I4AIL4_9TELE	TMhelix|GT-A	TMhelix(12-29)|Glyco_tranf_GTA_type(113-349)
tr|A0A2P6K6H1|A0A2P6K6H1_NEPCL	TMhelix|GT-A	TMhelix(24-43)|Glyco_tranf_GTA_type(115-343)
tr|B3MCQ4|B3MCQ4_DROAN	TMhelix|GT-A	TMhelix(68-90)|Glyco_tranf_GTA_type(171-433)
tr|B4GCH6|B4GCH6_DROPE	TMhelix|GT-A	TMhelix(68-90)|Glyco_tranf_GTA_type(171-435)
tr|B4J669|B4J669_DROGR	TMhelix|GT-A	TMhelix(59-81)|Glyco_tranf_GTA_type(177-426)
tr|B4KLX0|B4KLX0_DROMO	TMhelix|GT-A	TMhelix(61-78)|Glyco_tranf_GTA_type(171-427)
tr|B7QKD1|B7QKD1_IXOSC	TMhelix|GT-A	TMhelix(13-32)|Glyco_tranf_GTA_type(111-346)
tr|B8PB08|B8PB08_POSPM	TMhelix|GT-A	TMhelix(39-56)|Glyco_tranf_GTA_type(150-262)
tr|D2VZC5|D2VZC5_NAEGR	TMhelix|GT-A	TMhelix(7-29)|Glyco_tranf_GTA_type(77-330)
tr|D6WJF9|D6WJF9_TRICA	TMhelix|GT-A	TMhelix(12-34)|Glyco_tranf_GTA_type(69-329)
tr|E0VXC9|E0VXC9_PEDHC	TMhelix|GT-A	TMhelix(7-24)|Glyco_tranf_GTA_type(94-321)
tr|E2BUM4|E2BUM4_HARSA	TMhelix|GT-A	TMhelix(7-24)|Glyco_tranf_GTA_type(94-331)
tr|E7F9V4|E7F9V4_DANRE	TMhelix|GT-A	TMhelix(20-39)|Glyco_tranf_GTA_type(119-350)
tr|F6S4X9|F6S4X9_CIOIN	TMhelix|GT-A	TMhelix(24-46)|Glyco_tranf_GTA_type(125-390)
tr|G1T4E1|G1T4E1_RABIT	TMhelix|GT-A	TMhelix(20-42)|Glyco_tranf_GTA_type(118-376)
tr|G3P3Z1|G3P3Z1_GASAC	TMhelix|GT-A	TMhelix(20-39)|Glyco_tranf_GTA_type(130-366)
tr|G7Y2L8|G7Y2L8_CLOSI	TMhelix|GT-A	TMhelix(21-38)|Glyco_tranf_GTA_type(77-344)
tr|G7Y5A5|G7Y5A5_CLOSI	TMhelix|GT-A	TMhelix(55-77)|Glyco_tranf_GTA_type(44-311)
tr|G7Y9Z1|G7Y9Z1_CLOSI	TMhelix|GT-A	TMhelix(7-29)|Glyco_tranf_GTA_type(56-304)
tr|G7YPL5|G7YPL5_CLOSI	TMhelix|GT-A	TMhelix(7-25)|Glyco_tranf_GTA_type(114-320)
tr|G7YW34|G7YW34_CLOSI	TMhelix|GT-A	TMhelix(21-43)|Glyco_tranf_GTA_type(68-313)
tr|H2LU92|H2LU92_ORYLA	TMhelix|GT-A	TMhelix(20-39)|Glyco_tranf_GTA_type(111-348)
tr|H2V5N0|H2V5N0_TAKRU	TMhelix|GT-A	TMhelix(20-39)|Glyco_tranf_GTA_type(116-352)
tr|H3CYS5|H3CYS5_TETNG	TMhelix|GT-A	TMhelix(20-39)|Glyco_tranf_GTA_type(115-350)
tr|I3J366|I3J366_ORENI	TMhelix|GT-A	TMhelix(20-39)|Glyco_tranf_GTA_type(131-367)
tr|I6L4Q3|I6L4Q3_LATCH	TMhelix|GT-A	TMhelix(20-39)|Glyco_tranf_GTA_type(126-389)
tr|K1R1E9|K1R1E9_CRAGI	TMhelix|GT-A	TMhelix(13-30)|Glyco_tranf_GTA_type(100-358)
tr|M3ZTJ7|M3ZTJ7_XIPMA	TMhelix|GT-A	TMhelix(20-39)|Glyco_tranf_GTA_type(116-352)
tr|Q290A9|Q290A9_DROPS	TMhelix|GT-A	TMhelix(68-90)|Glyco_tranf_GTA_type(171-435)
tr|Q9W1D1|Q9W1D1_DROME	TMhelix|GT-A	TMhelix(69-91)|Glyco_tranf_GTA_type(172-422)
tr|W4Z1S8|W4Z1S8_STRPU	TMhelix|GT-A	TMhelix(62-81)|Glyco_tranf_GTA_type(200-431)
tr|W4Z1S9|W4Z1S9_STRPU	TMhelix|GT-A	TMhelix(31-53)|Glyco_tranf_GTA_type(134-365)
tr|W5KLQ7|W5KLQ7_ASTMX	TMhelix|GT-A	TMhelix(20-39)|Glyco_tranf_GTA_type(132-356)
tr|W5MBY8|W5MBY8_LEPOC	TMhelix|GT-A	TMhelix(21-40)|Glyco_tranf_GTA_type(119-352)
tr|T1JRE0|T1JRE0_TETUR	TMhelix|Filament|GT-A|GT-A	TMhelix(21-43)|Filament(67-140)|GT8_LARGE_C(172-451)|Glyco_transf_49(513-783)
tr|A0A2J8UVN3|A0A2J8UVN3_PONAB	TMhelix|bZIP|GT-A|GT-A	TMhelix(12-34)|bZIP(56-90)|GT8_LARGE_C(138-417)|Glyco_transf_49(473-742)
tr|A0A2K6EKN8|A0A2K6EKN8_PROCO	TMhelix|bZIP|GT-A|GT-A	TMhelix(12-34)|bZIP(56-90)|GT8_LARGE_C(138-417)|Glyco_transf_49(473-742)
tr|F1RYI1|F1RYI1_PIG	TMhelix|bZIP|GT-A|GT-A	TMhelix(12-34)|bZIP(53-89)|GT8_LARGE_C(136-415)|Glyco_transf_49(471-740)
tr|H3BGT5|H3BGT5_LATCH	TMhelix|bZIP|GT-A|GT-A	TMhelix(7-29)|bZIP(54-78)|Glyco_tranf_GTA_type(148-374)|Glyco_transf_49(430-666)
tr|I3MWQ4|I3MWQ4_ICTTR	TMhelix|bZIP|GT-A|GT-A	TMhelix(12-34)|bZIP(55-89)|GT8_LARGE_C(138-417)|Glyco_transf_49(473-742)
tr|W4ZAE9|W4ZAE9_STRPU	SFP1|GT-A|GT-A	SFP1(20-111)|GT8_LARGE_C(243-490)|Glyco_transf_49(543-712)
tr|A9UZX9|A9UZX9_MONBE	PP2Cc|Rib_recp_KP_reg|PP2Cc|GT-A	PP2Cc(141-462)|Rib_recp_KP_reg(469-540)|PP2Cc(545-865)|Glyco_tranf_GTA_type(878-1112)
tr|A0A1S3G9P3|A0A1S3G9P3_DIPOR	GT-A|GT-A|GT-A	Glyco_tranf_GTA_type(21-140)|GT8_LARGE_C(182-461)|Glyco_transf_49(516-749)
sp|Q5XPT3|LARG2_MOUSE	GT-A|GT-A	GT8_LARGE_C(68-347)|Glyco_transf_49(402-635)
sp|Q66PG2|LARG1_DANRE	GT-A|GT-A	GT8_LARGE_C(139-418)|Glyco_transf_49(474-743)
sp|Q66PG4|LARG2_CHICK	GT-A|GT-A	GT8_LARGE_C(121-400)|Glyco_transf_49(456-725)
sp|Q6P7A1|LARG2_RAT	GT-A|GT-A	GT8_LARGE_C(67-346)|Glyco_transf_49(401-635)
sp|Q8N3Y3|LARG2_HUMAN	GT-A|GT-A	GT8_LARGE_C(97-376)|Glyco_transf_49(431-664)
tr|A0A067QRU2|A0A067QRU2_ZOONE	GT-A|GT-A	GT8_LARGE_C(75-354)|Glyco_transf_49(407-676)
tr|A0A068X669|A0A068X669_HYMMI	GT-A|GT-A	Glyco_tranf_GTA_type(19-252)|Glyco_transf_49(353-614)
tr|A0A068YD30|A0A068YD30_ECHMU	GT-A|GT-A	Glyco_tranf_GTA_type(30-272)|Glyco_transf_49(405-483)
tr|A0A0G2K618|A0A0G2K618_RAT	GT-A|GT-A	GT8_LARGE_C(138-417)|Glyco_transf_49(473-742)
tr|A0A0V0SJM9|A0A0V0SJM9_9BILA	GT-A|GT-A	Glyco_tranf_GTA_type(70-346)|Glyco_transf_49(404-669)
tr|A0A0V0UMU4|A0A0V0UMU4_9BILA	GT-A|GT-A	Glyco_tranf_GTA_type(70-346)|Glyco_transf_49(404-669)
tr|A0A0V0W2K7|A0A0V0W2K7_9BILA	GT-A|GT-A	Glyco_tranf_GTA_type(20-289)|Glyco_transf_49(347-613)
tr|A0A0V0Z8K9|A0A0V0Z8K9_9BILA	GT-A|GT-A	Glyco_tranf_GTA_type(70-346)|Glyco_transf_49(404-669)
tr|A0A0V1MZZ1|A0A0V1MZZ1_9BILA	GT-A|GT-A	Glyco_tranf_GTA_type(71-347)|Glyco_transf_49(405-670)
tr|A0A0V1P6U7|A0A0V1P6U7_9BILA	GT-A|GT-A	Glyco_tranf_GTA_type(63-339)|Glyco_transf_49(397-662)
tr|A0A164UCF2|A0A164UCF2_9CRUS	GT-A|GT-A	GT8_LARGE_C(102-381)|Glyco_transf_49(432-664)
tr|A0A182E0A0|A0A182E0A0_ONCOC	GT-A|GT-A	Glyco_tranf_GTA_type(48-313)|Glyco_transf_49(369-602)
tr|A0A1A6HQC8|A0A1A6HQC8_NEOLE	GT-A|GT-A	GT8_LARGE_C(69-348)|Glyco_transf_49(403-636)
tr|A0A1B0FUZ4|A0A1B0FUZ4_LUTLO	GT-A|GT-A	Glyco_tranf_GTA_type(52-292)|Glyco_tranf_GTA_type(468-708)
tr|A0A1D1VTF9|A0A1D1VTF9_RAMVA	GT-A|GT-A	Glyco_tranf_GTA_type(90-367)|Glyco_transf_49(424-694)
tr|A0A1D2N9G8|A0A1D2N9G8_ORCCI	GT-A|GT-A	GT8_LARGE_C(51-330)|Glyco_transf_49(390-622)
tr|A0A1I8FA84|A0A1I8FA84_9PLAT	GT-A|GT-A	Glyco_tranf_GTA_type(48-285)|Glyco_transf_49(353-436)
tr|A0A1I8G5P0|A0A1I8G5P0_9PLAT	GT-A|GT-A	Glyco_tranf_GTA_type(85-366)|Glyco_transf_49(434-688)
tr|A0A1I8J7M8|A0A1I8J7M8_9PLAT	GT-A|GT-A	Glyco_tranf_GTA_type(85-377)|Glyco_transf_49(496-588)
tr|A0A1L8GDQ0|A0A1L8GDQ0_XENLA	GT-A|GT-A	GT8_LARGE_C(107-386)|Glyco_transf_49(440-709)
tr|A0A1L8GIU4|A0A1L8GIU4_XENLA	GT-A|GT-A	GT8_LARGE_C(107-386)|Glyco_transf_49(440-709)
tr|A0A1S2ZGY7|A0A1S2ZGY7_ERIEU	GT-A|GT-A	GT8_LARGE_C(59-338)|Glyco_transf_49(393-626)
tr|A0A1S3CXG0|A0A1S3CXG0_DIACI	GT-A|GT-A	GT8_LARGE_C(88-368)|Glyco_transf_49(423-694)
tr|A0A1S3ID46|A0A1S3ID46_LINUN	GT-A|GT-A	Glyco_tranf_GTA_type(120-358)|Glyco_transf_49(409-624)
tr|A0A1S3JZD3|A0A1S3JZD3_LINUN	GT-A|GT-A	GT8_LARGE_C(117-398)|Glyco_transf_49(449-718)
tr|A0A1S3K036|A0A1S3K036_LINUN	GT-A|GT-A	GT8_LARGE_C(119-400)|Glyco_transf_49(451-720)
tr|A0A1S3KT15|A0A1S3KT15_SALSA	GT-A|GT-A	GT8_LARGE_C(133-412)|Glyco_transf_49(468-737)
tr|A0A1S3PRW3|A0A1S3PRW3_SALSA	GT-A|GT-A	GT8_LARGE_C(133-412)|Glyco_transf_49(468-737)
tr|A0A1S3WMX1|A0A1S3WMX1_ERIEU	GT-A|GT-A	GT8_LARGE_C(138-425)|Glyco_transf_49(481-750)
tr|A0A1U7Q5L5|A0A1U7Q5L5_MESAU	GT-A|GT-A	GT8_LARGE_C(69-347)|Glyco_transf_49(403-636)
tr|A0A1U7T818|A0A1U7T818_TARSY	GT-A|GT-A	GT8_LARGE_C(143-422)|Glyco_transf_49(475-683)
tr|A0A1U8D6N3|A0A1U8D6N3_ALLSI	GT-A|GT-A	GT8_LARGE_C(142-421)|Glyco_transf_49(477-746)
tr|A0A226E869|A0A226E869_FOLCA	GT-A|GT-A	GT8_LARGE_C(71-350)|Glyco_transf_49(414-646)
