tr|A0A2P6TT09|A0A2P6TT09_CHLSO	WD40|WD40|GH43_62_32_68_117_130|GH43_62_32_68_117_130|TMhelix|TMhelix|GT-A	WD40(14-197)|WD40(8-418)|GH43_62_32_68_117_130(771-941)|GH43_62_32_68_117_130(1156-1349)|TMhelix(1435-1452)|TMhelix(1542-1564)|Glyco_transf_64(1581-1822)
tr|A0A2K5R4R6|A0A2K5R4R6_CEBCA	TMhelix|TPR_MLP1_2|Exotosin|GT-A	TMhelix(29-51)|TPR_MLP1_2(71-150)|Exostosin(190-500)|Glyco_transf_64(663-900)
tr|A0A2K5ZV76|A0A2K5ZV76_MANLE	TMhelix|TPR_MLP1_2|Exotosin|GT-A	TMhelix(29-51)|TPR_MLP1_2(71-150)|Exostosin(190-500)|Glyco_transf_64(663-900)
tr|A0A2K6D518|A0A2K6D518_MACNE	TMhelix|TPR_MLP1_2|Exotosin|GT-A	TMhelix(29-51)|TPR_MLP1_2(71-150)|Exostosin(190-500)|Glyco_transf_64(663-900)
tr|A0A2K6EMG6|A0A2K6EMG6_PROCO	TMhelix|TPR_MLP1_2|Exotosin|GT-A	TMhelix(29-51)|TPR_MLP1_2(71-150)|Exostosin(190-500)|Glyco_transf_64(663-900)
tr|A0A2K6KBM5|A0A2K6KBM5_RHIBE	TMhelix|TPR_MLP1_2|Exotosin|GT-A	TMhelix(29-51)|TPR_MLP1_2(71-150)|Exostosin(190-500)|Glyco_transf_64(663-900)
tr|A0A2K6QHJ8|A0A2K6QHJ8_RHIRO	TMhelix|TPR_MLP1_2|Exotosin|GT-A	TMhelix(29-51)|TPR_MLP1_2(71-150)|Exostosin(190-500)|Glyco_transf_64(663-900)
tr|A0A2K6U547|A0A2K6U547_SAIBB	TMhelix|TPR_MLP1_2|Exotosin|GT-A	TMhelix(29-51)|TPR_MLP1_2(71-150)|Exostosin(190-500)|Glyco_transf_64(663-900)
tr|A0A2R9AY22|A0A2R9AY22_PANPA	TMhelix|TPR_MLP1_2|Exotosin|GT-A	TMhelix(29-51)|TPR_MLP1_2(71-150)|Exostosin(190-500)|Glyco_transf_64(663-900)
tr|A2VE26|A2VE26_BOVIN	TMhelix|TPR_MLP1_2|Exotosin|GT-A	TMhelix(29-51)|TPR_MLP1_2(76-150)|Exostosin(190-500)|Glyco_transf_64(663-900)
tr|F1NGB8|F1NGB8_CHICK	TMhelix|TPR_MLP1_2|Exotosin|GT-A	TMhelix(29-51)|TPR_MLP1_2(71-150)|Exostosin(190-500)|Glyco_transf_64(663-900)
tr|F1P994|F1P994_CANLF	TMhelix|TPR_MLP1_2|Exotosin|GT-A	TMhelix(29-51)|TPR_MLP1_2(71-150)|Exostosin(190-500)|Glyco_transf_64(663-885)
tr|F1RJQ6|F1RJQ6_PIG	TMhelix|TPR_MLP1_2|Exotosin|GT-A	TMhelix(29-51)|TPR_MLP1_2(76-150)|Exostosin(190-500)|Glyco_transf_64(663-900)
tr|F6XD50|F6XD50_XENTR	TMhelix|TPR_MLP1_2|Exotosin|GT-A	TMhelix(31-53)|TPR_MLP1_2(73-152)|Exostosin(192-502)|Glyco_transf_64(665-853)
tr|F7A0U8|F7A0U8_HORSE	TMhelix|TPR_MLP1_2|Exotosin|GT-A	TMhelix(29-51)|TPR_MLP1_2(71-150)|Exostosin(190-500)|Glyco_transf_64(663-900)
tr|F7AKV9|F7AKV9_CALJA	TMhelix|TPR_MLP1_2|Exotosin|GT-A	TMhelix(29-51)|TPR_MLP1_2(71-150)|Exostosin(190-500)|Glyco_transf_64(663-900)
tr|G1MC02|G1MC02_AILME	TMhelix|TPR_MLP1_2|Exotosin|GT-A	TMhelix(31-53)|TPR_MLP1_2(73-152)|Exostosin(192-502)|Glyco_transf_64(665-902)
tr|G1NN06|G1NN06_MELGA	TMhelix|TPR_MLP1_2|Exotosin|GT-A	TMhelix(31-53)|TPR_MLP1_2(73-152)|Exostosin(192-502)|Glyco_transf_64(665-902)
tr|G1PKJ2|G1PKJ2_MYOLU	TMhelix|TPR_MLP1_2|Exotosin|GT-A	TMhelix(31-53)|TPR_MLP1_2(73-152)|Exostosin(192-486)|Glyco_transf_64(649-886)
tr|G1S3W3|G1S3W3_NOMLE	TMhelix|TPR_MLP1_2|Exotosin|GT-A	TMhelix(29-51)|TPR_MLP1_2(71-150)|Exostosin(190-500)|Glyco_transf_64(663-900)
tr|G3H0J7|G3H0J7_CRIGR	TMhelix|TPR_MLP1_2|Exotosin|GT-A	TMhelix(29-51)|TPR_MLP1_2(71-150)|Exostosin(190-500)|Glyco_transf_64(663-900)
tr|G3QZY3|G3QZY3_GORGO	TMhelix|TPR_MLP1_2|Exotosin|GT-A	TMhelix(29-51)|TPR_MLP1_2(71-150)|Exostosin(190-500)|Glyco_transf_64(663-900)
tr|G3SYT1|G3SYT1_LOXAF	TMhelix|TPR_MLP1_2|Exotosin|GT-A	TMhelix(31-53)|TPR_MLP1_2(73-152)|Exostosin(192-502)|Glyco_transf_64(665-902)
tr|G3WXA6|G3WXA6_SARHA	TMhelix|TPR_MLP1_2|Exotosin|GT-A	TMhelix(31-53)|TPR_MLP1_2(73-152)|Exostosin(192-502)|Glyco_transf_64(665-902)
tr|G5B503|G5B503_HETGA	TMhelix|TPR_MLP1_2|Exotosin|GT-A	TMhelix(29-51)|TPR_MLP1_2(71-150)|Exostosin(190-500)|Glyco_transf_64(663-900)
tr|G7N0T1|G7N0T1_MACMU	TMhelix|TPR_MLP1_2|Exotosin|GT-A	TMhelix(29-51)|TPR_MLP1_2(71-150)|Exostosin(190-500)|Glyco_transf_64(663-900)
tr|G7PD46|G7PD46_MACFA	TMhelix|TPR_MLP1_2|Exotosin|GT-A	TMhelix(29-51)|TPR_MLP1_2(71-150)|Exostosin(190-500)|Glyco_transf_64(663-900)
tr|H0VNQ6|H0VNQ6_CAVPO	TMhelix|TPR_MLP1_2|Exotosin|GT-A	TMhelix(29-51)|TPR_MLP1_2(76-150)|Exostosin(190-500)|Glyco_transf_64(663-900)
tr|H0WKH4|H0WKH4_OTOGA	TMhelix|TPR_MLP1_2|Exotosin|GT-A	TMhelix(31-53)|TPR_MLP1_2(73-152)|Exostosin(192-502)|Glyco_transf_64(665-902)
tr|H0ZSX5|H0ZSX5_TAEGU	TMhelix|TPR_MLP1_2|Exotosin|GT-A	TMhelix(31-53)|TPR_MLP1_2(73-152)|Exostosin(192-502)|Glyco_transf_64(665-902)
tr|H2PPY1|H2PPY1_PONAB	TMhelix|TPR_MLP1_2|Exotosin|GT-A	TMhelix(29-51)|TPR_MLP1_2(71-150)|Exostosin(190-500)|Glyco_transf_64(663-900)
tr|H2QVZ1|H2QVZ1_PANTR	TMhelix|TPR_MLP1_2|Exotosin|GT-A	TMhelix(29-51)|TPR_MLP1_2(71-150)|Exostosin(190-500)|Glyco_transf_64(663-900)
tr|H3AWJ5|H3AWJ5_LATCH	TMhelix|TPR_MLP1_2|Exotosin|GT-A	TMhelix(29-51)|TPR_MLP1_2(71-150)|Exostosin(190-500)|Glyco_transf_64(663-900)
tr|H9GG59|H9GG59_ANOCA	TMhelix|TPR_MLP1_2|Exotosin|GT-A	TMhelix(29-51)|TPR_MLP1_2(71-150)|Exostosin(190-500)|Glyco_transf_64(663-900)
tr|I3N5C5|I3N5C5_ICTTR	TMhelix|TPR_MLP1_2|Exotosin|GT-A	TMhelix(29-51)|TPR_MLP1_2(71-150)|Exostosin(190-500)|Glyco_transf_64(663-900)
tr|L5L238|L5L238_PTEAL	TMhelix|TPR_MLP1_2|Exotosin|GT-A	TMhelix(29-51)|TPR_MLP1_2(71-150)|Exostosin(190-500)|Glyco_transf_64(663-900)
tr|M3WRR9|M3WRR9_FELCA	TMhelix|TPR_MLP1_2|Exotosin|GT-A	TMhelix(29-51)|TPR_MLP1_2(71-150)|Exostosin(190-500)|Glyco_transf_64(663-900)
tr|M3XPI8|M3XPI8_MUSPF	TMhelix|TPR_MLP1_2|Exotosin|GT-A	TMhelix(29-51)|TPR_MLP1_2(71-150)|Exostosin(190-500)|Glyco_transf_64(663-900)
tr|Q9JMA8|Q9JMA8_RAT	TMhelix|TPR_MLP1_2|Exotosin|GT-A	TMhelix(29-51)|TPR_MLP1_2(71-150)|Exostosin(190-500)|Glyco_transf_64(663-900)
tr|R0L982|R0L982_ANAPL	TMhelix|TPR_MLP1_2|Exotosin|GT-A	TMhelix(31-53)|TPR_MLP1_2(73-152)|Exostosin(192-502)|Glyco_transf_64(665-902)
tr|U3K8E7|U3K8E7_FICAL	TMhelix|TPR_MLP1_2|Exotosin|GT-A	TMhelix(29-51)|TPR_MLP1_2(71-150)|Exostosin(190-500)|Glyco_transf_64(663-900)
tr|V8PCC6|V8PCC6_OPHHA	TMhelix|TPR_MLP1_2|Exotosin|GT-A	TMhelix(29-51)|TPR_MLP1_2(71-150)|Exostosin(190-500)|Glyco_transf_64(663-900)
tr|W5NGE7|W5NGE7_LEPOC	TMhelix|TPR_MLP1_2|Exotosin|GT-A	TMhelix(32-54)|TPR_MLP1_2(74-153)|Exostosin(193-505)|Glyco_transf_64(668-905)
tr|W5Q042|W5Q042_SHEEP	TMhelix|TPR_MLP1_2|Exotosin|GT-A	TMhelix(29-51)|TPR_MLP1_2(76-150)|Exostosin(190-444)|Glyco_transf_64(576-813)
tr|M0TMW2|M0TMW2_MUSAM	TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|GT-A|TRX_family	TMhelix(21-43)|TMhelix(120-142)|TMhelix(149-171)|TMhelix(427-449)|TMhelix(497-519)|Glyco_transf_64(536-767)|TRX_family(908-1004)
tr|A0A0D3GAA4|A0A0D3GAA4_9ORYZ	TMhelix|TMhelix|TMhelix|GT-A	TMhelix(167-189)|TMhelix(517-536)|TMhelix(598-620)|Glyco_transf_64(637-868)
tr|A0A0E0A257|A0A0E0A257_9ORYZ	TMhelix|TMhelix|TMhelix|GT-A	TMhelix(167-189)|TMhelix(517-536)|TMhelix(598-620)|Glyco_transf_64(637-868)
tr|A0A0E0DU97|A0A0E0DU97_9ORYZ	TMhelix|TMhelix|TMhelix|GT-A	TMhelix(173-195)|TMhelix(523-542)|TMhelix(604-626)|Glyco_transf_64(643-874)
tr|A0A0E0HHI6|A0A0E0HHI6_ORYNI	TMhelix|TMhelix|TMhelix|GT-A	TMhelix(167-189)|TMhelix(517-536)|TMhelix(598-620)|Glyco_transf_64(637-868)
tr|A0A0E0KHI7|A0A0E0KHI7_ORYPU	TMhelix|TMhelix|TMhelix|GT-A	TMhelix(20-42)|TMhelix(372-394)|TMhelix(455-477)|Glyco_transf_64(494-722)
tr|A0A0E0L547|A0A0E0L547_ORYPU	TMhelix|TMhelix|TMhelix|GT-A	TMhelix(31-53)|TMhelix(381-400)|TMhelix(462-484)|Glyco_transf_64(501-732)
tr|A0A0E0PQJ6|A0A0E0PQJ6_ORYRU	TMhelix|TMhelix|TMhelix|GT-A	TMhelix(167-189)|TMhelix(517-536)|TMhelix(598-620)|Glyco_transf_64(637-868)
tr|A0A103Y9L6|A0A103Y9L6_CYNCS	TMhelix|TMhelix|TMhelix|GT-A	TMhelix(38-60)|TMhelix(373-395)|TMhelix(445-467)|Glyco_transf_64(484-715)
tr|A0A176VJ30|A0A176VJ30_MARPO	TMhelix|TMhelix|TMhelix|GT-A	TMhelix(33-55)|TMhelix(385-407)|TMhelix(466-488)|Glyco_transf_64(505-748)
tr|A0A1D6MBB8|A0A1D6MBB8_MAIZE	TMhelix|TMhelix|TMhelix|GT-A	TMhelix(29-51)|TMhelix(378-397)|TMhelix(460-482)|Glyco_transf_64(499-730)
tr|A0A251SSH1|A0A251SSH1_HELAN	TMhelix|TMhelix|TMhelix|GT-A	TMhelix(21-43)|TMhelix(373-395)|TMhelix(456-478)|Glyco_transf_64(495-735)
tr|A0A251U5A0|A0A251U5A0_HELAN	TMhelix|TMhelix|TMhelix|GT-A	TMhelix(26-48)|TMhelix(362-384)|TMhelix(423-445)|Glyco_transf_64(462-702)
tr|A0A287MZN3|A0A287MZN3_HORVV	TMhelix|TMhelix|TMhelix|GT-A	TMhelix(38-60)|TMhelix(391-413)|TMhelix(472-494)|Glyco_transf_64(511-739)
tr|A0A2J6LGC2|A0A2J6LGC2_LACSA	TMhelix|TMhelix|TMhelix|GT-A	TMhelix(35-57)|TMhelix(370-392)|TMhelix(434-456)|Glyco_transf_64(473-704)
tr|A0A2P4LQ05|A0A2P4LQ05_QUESU	TMhelix|TMhelix|TMhelix|GT-A	TMhelix(68-90)|TMhelix(425-447)|TMhelix(509-531)|Glyco_transf_64(548-776)
tr|A0A2R6XW80|A0A2R6XW80_MARPO	TMhelix|TMhelix|TMhelix|GT-A	TMhelix(55-77)|TMhelix(407-429)|TMhelix(488-510)|Glyco_transf_64(527-770)
tr|A2Y6Z7|A2Y6Z7_ORYSI	TMhelix|TMhelix|TMhelix|GT-A	TMhelix(29-51)|TMhelix(379-398)|TMhelix(460-482)|Glyco_transf_64(499-730)
tr|B9HUX5|B9HUX5_POPTR	TMhelix|TMhelix|TMhelix|GT-A	TMhelix(52-74)|TMhelix(478-500)|TMhelix(562-584)|Glyco_transf_64(601-829)
tr|D8SKK9|D8SKK9_SELML	TMhelix|TMhelix|TMhelix|GT-A	TMhelix(51-73)|TMhelix(402-424)|TMhelix(481-503)|Glyco_transf_64(521-755)
tr|I1GPI2|I1GPI2_BRADI	TMhelix|TMhelix|TMhelix|GT-A	TMhelix(21-43)|TMhelix(370-392)|TMhelix(451-473)|Glyco_transf_64(490-718)
tr|I1HH28|I1HH28_BRADI	TMhelix|TMhelix|TMhelix|GT-A	TMhelix(31-53)|TMhelix(380-399)|TMhelix(461-483)|Glyco_transf_64(500-731)
tr|I1PXH2|I1PXH2_ORYGL	TMhelix|TMhelix|TMhelix|GT-A	TMhelix(29-51)|TMhelix(379-398)|TMhelix(460-482)|Glyco_transf_64(499-730)
tr|K7VSI1|K7VSI1_MAIZE	TMhelix|TMhelix|TMhelix|GT-A	TMhelix(29-51)|TMhelix(378-397)|TMhelix(458-480)|Glyco_transf_64(499-731)
tr|M0RGK8|M0RGK8_MUSAM	TMhelix|TMhelix|TMhelix|GT-A	TMhelix(12-34)|TMhelix(375-397)|TMhelix(462-484)|Glyco_transf_64(500-691)
tr|Q53WK1|Q53WK1_ORYSJ	TMhelix|TMhelix|TMhelix|GT-A	TMhelix(29-51)|TMhelix(379-398)|TMhelix(460-482)|Glyco_transf_64(499-730)
tr|A0A151T0S2|A0A151T0S2_CAJCA	TMhelix|TMhelix|TMhelix|GH43_62_32_68_117_130|TMhelix|TMhelix|GT-A	TMhelix(53-75)|TMhelix(157-179)|TMhelix(192-210)|GH43_62_32_68_117_130(204-357)|TMhelix(461-483)|TMhelix(533-555)|Glyco_transf_64(572-801)
tr|A0A182JJ75|A0A182JJ75_9DIPT	TMhelix|TMhelix|SMC_prok_A|Exotosin|GT-A	TMhelix(6-25)|TMhelix(30-52)|SMC_prok_A(55-159)|Exostosin(202-543)|Glyco_transf_64(704-942)
tr|A0A0E0GRZ0|A0A0E0GRZ0_ORYNI	TMhelix|TMhelix|GT-A	TMhelix(329-351)|TMhelix(412-434)|Glyco_transf_64(451-679)
tr|A0A1B6QIT6|A0A1B6QIT6_SORBI	TMhelix|TMhelix|GT-A	TMhelix(375-397)|TMhelix(456-478)|Glyco_transf_64(495-723)
tr|A0A1D5X5A0|A0A1D5X5A0_WHEAT	TMhelix|TMhelix|GT-A	TMhelix(373-395)|TMhelix(454-476)|Glyco_transf_64(493-721)
tr|A0A1D5XSX8|A0A1D5XSX8_WHEAT	TMhelix|TMhelix|GT-A	TMhelix(369-391)|TMhelix(450-472)|Glyco_transf_64(489-717)
tr|A0A1D6CF66|A0A1D6CF66_WHEAT	TMhelix|TMhelix|GT-A	TMhelix(104-126)|TMhelix(160-182)|Glyco_transf_64(146-408)
tr|A0A1D6D0V9|A0A1D6D0V9_WHEAT	TMhelix|TMhelix|GT-A	TMhelix(13-35)|TMhelix(69-91)|Glyco_transf_64(55-317)
tr|A0A1E5W6L6|A0A1E5W6L6_9POAL	TMhelix|TMhelix|GT-A	TMhelix(361-380)|TMhelix(440-462)|Glyco_transf_64(481-715)
tr|A0A1E5WID9|A0A1E5WID9_9POAL	TMhelix|TMhelix|GT-A	TMhelix(375-397)|TMhelix(456-478)|Glyco_transf_64(495-723)
tr|A0A1S3YQ60|A0A1S3YQ60_TOBAC	TMhelix|TMhelix|GT-A	TMhelix(7-29)|TMhelix(62-84)|Glyco_transf_64(51-306)
tr|A0A1S4C0Z2|A0A1S4C0Z2_TOBAC	TMhelix|TMhelix|GT-A	TMhelix(7-29)|TMhelix(62-84)|Glyco_transf_64(51-306)
tr|A0A1U7VAK4|A0A1U7VAK4_NICSY	TMhelix|TMhelix|GT-A	TMhelix(7-29)|TMhelix(62-84)|Glyco_transf_64(51-306)
tr|A0A2H3ZTJ8|A0A2H3ZTJ8_PHODC	TMhelix|TMhelix|GT-A	TMhelix(238-260)|TMhelix(314-336)|Glyco_transf_64(353-583)
tr|A2XKS0|A2XKS0_ORYSI	TMhelix|TMhelix|GT-A	TMhelix(374-396)|TMhelix(457-479)|Glyco_transf_64(496-724)
tr|C5YUK2|C5YUK2_SORBI	TMhelix|TMhelix|GT-A	TMhelix(380-399)|TMhelix(460-482)|Glyco_transf_64(501-732)
tr|K4A6C5|K4A6C5_SETIT	TMhelix|TMhelix|GT-A	TMhelix(361-383)|TMhelix(442-464)|Glyco_transf_64(481-709)
tr|K4CI97|K4CI97_SOLLC	TMhelix|TMhelix|GT-A	TMhelix(7-29)|TMhelix(63-85)|Glyco_transf_64(52-308)
tr|M0TZ99|M0TZ99_MUSAM	TMhelix|TMhelix|GT-A	TMhelix(431-453)|TMhelix(513-535)|Glyco_transf_64(552-781)
tr|B7G192|B7G192_PHATC	TMhelix|TMhelix	TMhelix(93-112)|TMhelix(133-155)
tr|A0A044UZ00|A0A044UZ00_ONCVO	TMhelix|Spc7|Exotosin|GT-A	TMhelix(43-65)|Spc7(103-165)|Exostosin(216-461)|Glyco_transf_64(622-856)
tr|A0A1B0FQF4|A0A1B0FQF4_GLOMM	TMhelix|SMC_prok_A|Exotosin|GT-A|FANC	TMhelix(113-130)|SMC_prok_A(157-240)|Exostosin(284-616)|Glyco_transf_64(950-1155)|FANC(1201-2423)
sp|Q9XZ08|EXT3_DROME	TMhelix|SMC_prok_A|Exotosin|GT-A	TMhelix(54-76)|SMC_prok_A(106-193)|Exostosin(224-551)|Glyco_transf_64(714-953)
tr|A0A067R2M2|A0A067R2M2_ZOONE	TMhelix|SMC_prok_A|Exotosin|GT-A	TMhelix(29-51)|SMC_prok_A(83-179)|Exostosin(201-590)|Glyco_transf_64(752-989)
tr|A0A0M4EVX8|A0A0M4EVX8_DROBS	TMhelix|SMC_prok_A|Exotosin|GT-A	TMhelix(44-61)|SMC_prok_A(97-186)|Exostosin(215-548)|Glyco_transf_64(711-949)
tr|A0A164PAJ0|A0A164PAJ0_9CRUS	TMhelix|SMC_prok_A|Exotosin|GT-A	TMhelix(33-55)|SMC_prok_A(70-174)|Exostosin(205-481)|Glyco_transf_64(645-882)
tr|A0A182FQP3|A0A182FQP3_ANOAL	TMhelix|SMC_prok_A|Exotosin|GT-A	TMhelix(64-86)|SMC_prok_A(84-223)|Exostosin(236-573)|Glyco_transf_64(734-972)
tr|A0A1B0DHY7|A0A1B0DHY7_PHLPP	TMhelix|SMC_prok_A|Exotosin|GT-A	TMhelix(33-55)|SMC_prok_A(58-176)|Exostosin(202-528)|Glyco_transf_64(690-928)
tr|A0A1I7YEY2|A0A1I7YEY2_9BILA	TMhelix|SMC_prok_A|Exotosin|GT-A	TMhelix(26-48)|SMC_prok_A(77-142)|Exostosin(198-435)|Glyco_transf_64(615-849)
tr|A0A1I8MLI9|A0A1I8MLI9_MUSDO	TMhelix|SMC_prok_A|Exotosin|GT-A	TMhelix(64-83)|SMC_prok_A(97-193)|Exostosin(236-568)|Glyco_transf_64(731-969)
tr|A0A1I8Q2H4|A0A1I8Q2H4_STOCA	TMhelix|SMC_prok_A|Exotosin|GT-A	TMhelix(81-100)|SMC_prok_A(114-210)|Exostosin(253-584)|Glyco_transf_64(747-985)
tr|A0A1V9WYV7|A0A1V9WYV7_9ACAR	TMhelix|SMC_prok_A|Exotosin|GT-A	TMhelix(50-72)|SMC_prok_A(89-181)|Exostosin(204-517)|Glyco_transf_64(677-915)
tr|A0A1W4V651|A0A1W4V651_DROFC	TMhelix|SMC_prok_A|Exotosin|GT-A	TMhelix(52-74)|SMC_prok_A(104-191)|Exostosin(222-549)|Glyco_transf_64(712-951)
tr|A0A232EHI4|A0A232EHI4_9HYME	TMhelix|SMC_prok_A|Exotosin|GT-A	TMhelix(35-54)|SMC_prok_A(83-181)|Exostosin(202-530)|Glyco_transf_64(692-930)
tr|A0A2G5USV8|A0A2G5USV8_9PELO	TMhelix|SMC_prok_A|Exotosin|GT-A	TMhelix(12-34)|SMC_prok_A(73-137)|Exostosin(337-403)|Glyco_transf_64(568-802)
tr|A0A2J7QL81|A0A2J7QL81_9NEOP	TMhelix|SMC_prok_A|Exotosin|GT-A	TMhelix(29-51)|SMC_prok_A(83-180)|Exostosin(201-587)|Glyco_transf_64(749-986)
tr|B0XBE7|B0XBE7_CULQU	TMhelix|SMC_prok_A|Exotosin|GT-A	TMhelix(34-56)|SMC_prok_A(53-162)|Exostosin(206-536)|Glyco_transf_64(697-918)
tr|B3MCH9|B3MCH9_DROAN	TMhelix|SMC_prok_A|Exotosin|GT-A	TMhelix(55-74)|SMC_prok_A(105-192)|Exostosin(223-550)|Glyco_transf_64(713-952)
tr|B4KU72|B4KU72_DROMO	TMhelix|SMC_prok_A|Exotosin|GT-A	TMhelix(65-84)|SMC_prok_A(119-195)|Exostosin(237-567)|Glyco_transf_64(730-968)
tr|B4MCN7|B4MCN7_DROVI	TMhelix|SMC_prok_A|Exotosin|GT-A	TMhelix(53-72)|SMC_prok_A(107-196)|Exostosin(225-557)|Glyco_transf_64(720-958)
tr|E9HMX1|E9HMX1_DAPPU	TMhelix|SMC_prok_A|Exotosin|GT-A	TMhelix(32-54)|SMC_prok_A(60-186)|Exostosin(204-481)|Glyco_transf_64(645-882)
tr|K7J5U2|K7J5U2_NASVI	TMhelix|SMC_prok_A|Exotosin|GT-A	TMhelix(35-54)|SMC_prok_A(83-181)|Exostosin(202-515)|Glyco_transf_64(677-915)
tr|W4XC19|W4XC19_STRPU	TMhelix|SMC_prok_A|Exotosin|GT-A	TMhelix(46-68)|SMC_prok_A(87-197)|Exostosin(245-529)|Glyco_transf_64(691-929)
tr|W5J584|W5J584_ANODA	TMhelix|SMC_prok_A|Exotosin|GT-A	TMhelix(27-49)|SMC_prok_A(80-188)|Exostosin(199-538)|Glyco_transf_64(699-937)
tr|A0A1A9UR19|A0A1A9UR19_GLOAU	TMhelix|Smc|Exotosin|GT-A	TMhelix(113-130)|Smc(132-241)|Exostosin(284-616)|Glyco_transf_64(779-1017)
tr|A0A1A9WN58|A0A1A9WN58_9MUSC	TMhelix|Smc|Exotosin|GT-A	TMhelix(89-108)|Smc(140-217)|Exostosin(261-593)|Glyco_transf_64(756-994)
tr|A0A1A9YDR4|A0A1A9YDR4_GLOFF	TMhelix|Smc|Exotosin|GT-A	TMhelix(112-129)|Smc(131-240)|Exostosin(283-615)|Glyco_transf_64(778-1016)
tr|A0A1A9ZCX8|A0A1A9ZCX8_GLOPL	TMhelix|Smc|Exotosin|GT-A	TMhelix(113-130)|Smc(132-241)|Exostosin(284-616)|Glyco_transf_64(779-1003)
