tr|A0A1J8QIW8|A0A1J8QIW8_9HOMO	TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|GT-A|GT-A	TMhelix(287-309)|TMhelix(337-359)|TMhelix(372-394)|TMhelix(426-448)|TMhelix(458-477)|UDP-g_GGTase(526-1754)|GT8_HUGT1_C_like(1806-2053)
tr|A0A2I2YP48|A0A2I2YP48_GORGO	TMhelix|GT-A|GT-A	TMhelix(12-34)|UDP-g_GGTase(41-1182)|GT8_HUGT1_C_like(1242-1489)
tr|A0A2K5DG59|A0A2K5DG59_AOTNA	TMhelix|GT-A|GT-A	TMhelix(13-35)|UDP-g_GGTase(45-1201)|GT8_HUGT1_C_like(1243-1490)
tr|A0A2K5P578|A0A2K5P578_CERAT	TMhelix|GT-A|GT-A	TMhelix(13-35)|UDP-g_GGTase(45-1201)|GT8_HUGT1_C_like(1256-1503)
tr|A0A2K5PG06|A0A2K5PG06_CEBCA	TMhelix|GT-A|GT-A	TMhelix(13-35)|UDP-g_GGTase(42-1143)|GT8_HUGT1_C_like(1208-1455)
tr|A0A2K5XEG8|A0A2K5XEG8_MANLE	TMhelix|GT-A|GT-A	TMhelix(9-31)|UDP-g_GGTase(41-1218)|GT8_HUGT1_C_like(1261-1508)
tr|A0A2K6KD86|A0A2K6KD86_RHIBE	TMhelix|GT-A|GT-A	TMhelix(17-39)|UDP-g_GGTase(47-1204)|GT8_HUGT1_C_like(1259-1506)
tr|A0A2K6P8Y8|A0A2K6P8Y8_RHIRO	TMhelix|GT-A|GT-A	TMhelix(13-35)|UDP-g_GGTase(46-1190)|GT8_HUGT1_C_like(1245-1492)
tr|A0A2K6TZE2|A0A2K6TZE2_SAIBB	TMhelix|GT-A|GT-A	TMhelix(13-35)|UDP-g_GGTase(45-1202)|GT8_HUGT1_C_like(1257-1504)
tr|A0A2R6R1B4|A0A2R6R1B4_ACTCH	TMhelix|GT-A|GT-A	TMhelix(7-26)|UDP-g_GGTase(34-1269)|GT8_HUGT1_C_like(1334-1581)
tr|A0A2R8NDG8|A0A2R8NDG8_CALJA	TMhelix|GT-A|GT-A	TMhelix(13-35)|UDP-g_GGTase(45-1202)|GT8_HUGT1_C_like(1257-1504)
tr|A0A2R9BTC9|A0A2R9BTC9_PANPA	TMhelix|GT-A|GT-A	TMhelix(21-38)|UDP-g_GGTase(46-1203)|GT8_HUGT1_C_like(1258-1505)
tr|F7EH28|F7EH28_MACMU	TMhelix|GT-A|GT-A	TMhelix(13-35)|UDP-g_GGTase(45-1189)|GT8_HUGT1_C_like(1244-1491)
tr|G1S1F4|G1S1F4_NOMLE	TMhelix|GT-A|GT-A	TMhelix(13-35)|UDP-g_GGTase(45-1202)|GT8_HUGT1_C_like(1257-1504)
tr|G7PLH3|G7PLH3_MACFA	TMhelix|GT-A|GT-A	TMhelix(13-35)|UDP-g_GGTase(45-1204)|GT8_HUGT1_C_like(1259-1506)
tr|H2QIP7|H2QIP7_PANTR	TMhelix|GT-A|GT-A	TMhelix(21-38)|UDP-g_GGTase(46-1203)|GT8_HUGT1_C_like(1269-1516)
tr|I1KUN0|I1KUN0_SOYBN	TMhelix|GT-A|GT-A	TMhelix(21-38)|UDP-g_GGTase(46-1265)|GT8_HUGT1_C_like(1326-1573)
tr|J9JSC5|J9JSC5_ACYPI	TMhelix|GT-A|GT-A	TMhelix(42-59)|UDP-g_GGTase(71-1204)|GT8_HUGT1_C_like(1242-1489)
tr|M1VKZ8|M1VKZ8_CYAM1	TMhelix|GT-A|GT-A	TMhelix(178-200)|UDP-g_GGTase(212-1664)|Glyco_tranf_GTA_type(1780-2043)
tr|Q0CH94|Q0CH94_ASPTN	TMhelix|GT-A|GT-A	TMhelix(29-51)|UDP-g_GGTase(86-1185)|GT8_HUGT1_C_like(1233-1480)
tr|D8U3D9|D8U3D9_VOLCA	SGNH_hydrolase|GT-A|GT-A	SGNH_hydrolase(9-194)|UDP-g_GGTase(398-1792)|GT8_HUGT1_C_like(1876-2148)
tr|A0A168S7P9|A0A168S7P9_ABSGL	PLN02560|GT-A|GT-A	PLN02560(1-298)|UDP-g_GGTase(487-1277)|Glyco_tranf_GTA_type(1325-1504)
tr|A0A1Q9CPK3|A0A1Q9CPK3_SYMMI	MT|GT-A	AdoMet_MTases(126-343)|GT8_HUGT1_C_like(523-868)
tr|D8T892|D8T892_SELML	GT-A|TMhelix|TMhelix|GT-A	UDP-g_GGTase(27-1239)|TMhelix(785-807)|TMhelix(959-981)|GT8_HUGT1_C_like(1296-1561)
tr|A0A151VNH5|A0A151VNH5_HYPMA	GT-A|GT-A|Ubiquitination	UDP-g_GGTase(24-1204)|GT8_HUGT1_C_like(1252-1499)|COG5078(1580-1721)
tr|A0A151J135|A0A151J135_9HYME	GT-A|GT-A|TMhelix|TMhelix|TMhelix|TMhelix|CDF|TMhelix|TMhelix	UDP-g_GGTase(27-1194)|GT8_HUGT1_C_like(1231-1478)|TMhelix(1666-1688)|TMhelix(1695-1717)|TMhelix(1732-1754)|TMhelix(1766-1788)|CDF(1674-1964)|TMhelix(1828-1850)|TMhelix(1857-1879)
tr|A0A195BU08|A0A195BU08_9HYME	GT-A|GT-A|TMhelix|TMhelix|TMhelix|TMhelix|CDF|TMhelix|TMhelix	UDP-g_GGTase(27-1197)|GT8_HUGT1_C_like(1234-1481)|TMhelix(1670-1692)|TMhelix(1699-1721)|TMhelix(1736-1758)|TMhelix(1770-1792)|CDF(1678-1968)|TMhelix(1834-1856)|TMhelix(1861-1883)
tr|A0A195FXM8|A0A195FXM8_9HYME	GT-A|GT-A|TMhelix|TMhelix|TMhelix|TMhelix|CDF|TMhelix|TMhelix	UDP-g_GGTase(25-1185)|GT8_HUGT1_C_like(1222-1469)|TMhelix(1657-1679)|TMhelix(1686-1708)|TMhelix(1723-1745)|TMhelix(1757-1779)|CDF(1665-1958)|TMhelix(1821-1843)|TMhelix(1848-1870)
tr|E2AEM6|E2AEM6_CAMFO	GT-A|GT-A|TMhelix|TMhelix|TMhelix|TMhelix|CDF|TMhelix|TMhelix	UDP-g_GGTase(24-1183)|GT8_HUGT1_C_like(1220-1467)|TMhelix(1638-1660)|TMhelix(1667-1689)|TMhelix(1704-1726)|TMhelix(1738-1760)|CDF(1646-1932)|TMhelix(1796-1818)|TMhelix(1825-1847)
tr|A0A0V0TGP3|A0A0V0TGP3_9BILA	GT-A|GT-A|P-loop_NTPase|Raptor_N|WD40	UDP-g_GGTase(24-1159)|GT8_HUGT1_C_like(1196-1443)|P-loop_NTPase(1636-1962)|Raptor_N(2055-2206)|WD40(3340-3612)
tr|A0A0V0WID1|A0A0V0WID1_9BILA	GT-A|GT-A|P-loop_NTPase|Raptor_N|WD40	UDP-g_GGTase(79-1214)|GT8_HUGT1_C_like(1251-1490)|P-loop_NTPase(1612-1938)|Raptor_N(2031-2182)|WD40(3316-3588)
tr|A0A0V1CBS2|A0A0V1CBS2_TRIBR	GT-A|GT-A|P-loop_NTPase|Raptor_N|WD40	UDP-g_GGTase(24-1159)|GT8_HUGT1_C_like(1196-1435)|P-loop_NTPase(1552-1878)|Raptor_N(1971-2122)|WD40(3256-3528)
tr|A0A0V1KRU3|A0A0V1KRU3_9BILA	GT-A|GT-A|P-loop_NTPase|Raptor_N|WD40	UDP-g_GGTase(44-1179)|GT8_HUGT1_C_like(1216-1463)|P-loop_NTPase(1661-1987)|Raptor_N(2080-2231)|WD40(3365-3637)
tr|A0A2P6NH79|A0A2P6NH79_9MYCE	GT-A|GT-A|PLN00113|PKc_like|PLN00113|PLN00113|LRR|TMhelix|Protein_Kinase	UDP-g_GGTase(30-1164)|GT8_HUGT1_C_like(1203-1450)|PLN00113(1525-2114)|PKc_like(2164-2220)|PLN00113(2300-2850)|PLN00113(2619-3180)|LRR(3115-3289)|TMhelix(3441-3463)|STKc_MAP3K-like(3505-3745)
tr|L5KKI7|L5KKI7_PTEAL	GT-A|GT-A|Dzip-like_N|Smc	UDP-g_GGTase(32-1188)|GT8_HUGT1_C_like(1227-1474)|Dzip-like_N(1612-1732)|Smc(1676-1973)
tr|A0A163HJ27|A0A163HJ27_DIDRA	GT-A|GT-A|DUF460	UDP-g_GGTase(29-1138)|GT8_HUGT1_C_like(1199-1446)|DUF460(1443-1502)
tr|Q0UYX8|Q0UYX8_PHANO	GT-A|GT-A|CAF-1_p150	UDP-g_GGTase(1-932)|GT8_HUGT1_C_like(994-1241)|CAF-1_p150(1237-1299)
tr|A9V136|A9V136_MONBE	GT-A|GT-A|Ankyrin	UDP-g_GGTase(41-1049)|Glyco_tranf_GTA_type(1119-1317)|Ank_2(1536-1630)
tr|A0A1I8ID61|A0A1I8ID61_9PLAT	GT-A|GT-A|ANKYR	UDP-g_GGTase(2-690)|GT8_HUGT1_C_like(1084-1331)|ANKYR(1384-1552)
sp|P22023|KRE5_YEAST	GT-A|GT-A	UDP-g_GGTase(110-1024)|Glyco_tranf_GTA_type(1095-1309)
sp|Q09140|UGGG_SCHPO	GT-A|GT-A	UDP-g_GGTase(20-1121)|GT8_HUGT1_C_like(1157-1404)
sp|Q09332|UGGG_DROME	GT-A|GT-A	UDP-g_GGTase(29-1196)|GT8_HUGT1_C_like(1240-1487)
sp|Q0WL80|UGGG_ARATH	GT-A|GT-A	UDP-g_GGTase(31-1240)|GT8_HUGT1_C_like(1301-1548)
sp|Q6P5E4|UGGG1_MOUSE	GT-A|GT-A	UDP-g_GGTase(45-1202)|GT8_HUGT1_C_like(1256-1503)
sp|Q8T191|UGGG_DICDI	GT-A|GT-A	UDP-g_GGTase(35-1294)|GT8_HUGT1_C_like(1369-1616)
sp|Q9JLA3|UGGG1_RAT	GT-A|GT-A	UDP-g_GGTase(45-1202)|GT8_HUGT1_C_like(1256-1503)
sp|Q9NYU1|UGGG2_HUMAN	GT-A|GT-A	UDP-g_GGTase(33-1189)|GT8_HUGT1_C_like(1231-1478)
tr|A0A010RHF5|A0A010RHF5_9PEZI	GT-A|GT-A	UDP-g_GGTase(25-1124)|GT8_HUGT1_C_like(1165-1412)
tr|A0A015JJG2|A0A015JJG2_9GLOM	GT-A|GT-A	UDP-g_GGTase(30-1263)|GT8_HUGT1_C_like(1298-1545)
tr|A0A017SMF1|A0A017SMF1_9EURO	GT-A|GT-A	UDP-g_GGTase(29-1133)|GT8_HUGT1_C_like(1181-1428)
tr|A0A023B7U2|A0A023B7U2_GRENI	GT-A|GT-A	UDP-g_GGTase(1096-1349)|Glyco_tranf_GTA_type(1448-1700)
tr|A0A024U769|A0A024U769_9STRA	GT-A|GT-A	UDP-g_GGTase(25-1195)|GT8_HUGT1_C_like(1248-1493)
tr|A0A044SP17|A0A044SP17_ONCVO	GT-A|GT-A	UDP-g_GGTase(24-1187)|GT8_HUGT1_C_like(1226-1458)
tr|A0A059J2S9|A0A059J2S9_9EURO	GT-A|GT-A	UDP-g_GGTase(30-1154)|GT8_HUGT1_C_like(1200-1447)
tr|A0A061E726|A0A061E726_THECC	GT-A|GT-A	UDP-g_GGTase(34-1273)|GT8_HUGT1_C_like(1336-1583)
tr|A0A063C5H5|A0A063C5H5_9HYPO	GT-A|GT-A	UDP-g_GGTase(2-631)|GT8_HUGT1_C_like(680-927)
tr|A0A067E4U9|A0A067E4U9_CITSI	GT-A|GT-A	UDP-g_GGTase(34-1280)|GT8_HUGT1_C_like(1339-1586)
tr|A0A067KV48|A0A067KV48_JATCU	GT-A|GT-A	UDP-g_GGTase(34-1274)|GT8_HUGT1_C_like(1337-1584)
tr|A0A067LY69|A0A067LY69_9HOMO	GT-A|GT-A	UDP-g_GGTase(22-1177)|GT8_HUGT1_C_like(1226-1473)
tr|A0A067P5W8|A0A067P5W8_PLEOS	GT-A|GT-A	UDP-g_GGTase(25-1158)|GT8_HUGT1_C_like(1206-1453)
tr|A0A067TC20|A0A067TC20_GALM3	GT-A|GT-A	UDP-g_GGTase(24-1221)|GT8_HUGT1_C_like(1271-1518)
tr|A0A068XQQ8|A0A068XQQ8_HYMMI	GT-A|GT-A	UDP-g_GGTase(15-1253)|GT8_HUGT1_C_like(1317-1564)
tr|A0A068Y775|A0A068Y775_ECHMU	GT-A|GT-A	UDP-g_GGTase(25-1340)|GT8_HUGT1_C_like(1400-1647)
tr|A0A088AHX7|A0A088AHX7_APIME	GT-A|GT-A	UDP-g_GGTase(33-1189)|GT8_HUGT1_C_like(1231-1478)
tr|A0A090M3I9|A0A090M3I9_OSTTA	GT-A|GT-A	UDP-g_GGTase(27-1220)|GT8_HUGT1_C_like(1252-1499)
tr|A0A0C4EFH4|A0A0C4EFH4_MAGP6	GT-A|GT-A	UDP-g_GGTase(31-1145)|GT8_HUGT1_C_like(1202-1449)
tr|A0A0D1CAH9|A0A0D1CAH9_USTMA	GT-A|GT-A	UDP-g_GGTase(32-1280)|GT8_HUGT1_C_like(1353-1600)
tr|A0A0D2U4V1|A0A0D2U4V1_CAPO3	GT-A|GT-A	UDP-g_GGTase(35-1222)|GT8_HUGT1_C_like(1382-1629)
tr|A0A0D2XIH3|A0A0D2XIH3_FUSO4	GT-A|GT-A	UDP-g_GGTase(22-1121)|GT8_HUGT1_C_like(1167-1414)
tr|A0A0D3F8K1|A0A0D3F8K1_9ORYZ	GT-A|GT-A	UDP-g_GGTase(38-1242)|GT8_HUGT1_C_like(1303-1550)
tr|A0A0D9YW28|A0A0D9YW28_9ORYZ	GT-A|GT-A	UDP-g_GGTase(38-1223)|GT8_HUGT1_C_like(1328-1575)
tr|A0A0E0CPF7|A0A0E0CPF7_9ORYZ	GT-A|GT-A	UDP-g_GGTase(38-1217)|GT8_HUGT1_C_like(1278-1525)
tr|A0A0E0GAT8|A0A0E0GAT8_ORYNI	GT-A|GT-A	UDP-g_GGTase(38-1223)|GT8_HUGT1_C_like(1284-1531)
tr|A0A0E0K399|A0A0E0K399_ORYPU	GT-A|GT-A	UDP-g_GGTase(41-1269)|GT8_HUGT1_C_like(1353-1614)
tr|A0A0E0NIV1|A0A0E0NIV1_ORYRU	GT-A|GT-A	UDP-g_GGTase(38-1223)|GT8_HUGT1_C_like(1284-1531)
tr|A0A0J7AWV3|A0A0J7AWV3_COCIT	GT-A|GT-A	UDP-g_GGTase(30-1152)|GT8_HUGT1_C_like(1197-1444)
tr|A0A0J8S0A1|A0A0J8S0A1_COCIT	GT-A|GT-A	UDP-g_GGTase(22-927)|GT8_HUGT1_C_like(972-1219)
tr|A0A0K0JDM9|A0A0K0JDM9_BRUMA	GT-A|GT-A	UDP-g_GGTase(33-1209)|GT8_HUGT1_C_like(1249-1496)
tr|A0A0K3CW64|A0A0K3CW64_RHOTO	GT-A|GT-A	UDP-g_GGTase(24-1311)|GT8_HUGT1_C_like(1363-1610)
tr|A0A0L0W0M9|A0A0L0W0M9_9BASI	GT-A|GT-A	UDP-g_GGTase(26-1233)|GT8_HUGT1_C_like(1289-1536)
tr|A0A0M5IYM8|A0A0M5IYM8_DROBS	GT-A|GT-A	UDP-g_GGTase(27-1197)|GT8_HUGT1_C_like(1239-1486)
tr|A0A0P1AJ21|A0A0P1AJ21_9STRA	GT-A|GT-A	UDP-g_GGTase(23-1287)|GT8_HUGT1_C_like(1368-1613)
tr|A0A0P1BES4|A0A0P1BES4_9BASI	GT-A|GT-A	UDP-g_GGTase(66-1322)|GT8_HUGT1_C_like(1382-1629)
tr|A0A0P5YC41|A0A0P5YC41_9CRUS	GT-A|GT-A	UDP-g_GGTase(34-1183)|GT8_HUGT1_C_like(1221-1468)
tr|A0A0R0K2I7|A0A0R0K2I7_SOYBN	GT-A|GT-A	UDP-g_GGTase(32-1268)|GT8_HUGT1_C_like(1328-1575)
tr|A0A0U5FXL9|A0A0U5FXL9_9EURO	GT-A|GT-A	UDP-g_GGTase(30-1124)|GT8_HUGT1_C_like(1171-1418)
tr|A0A0U9HMB3|A0A0U9HMB3_KLENI	GT-A|GT-A	UDP-g_GGTase(32-1245)|GT8_HUGT1_C_like(1365-1612)
tr|A0A0V0XWD7|A0A0V0XWD7_TRIPS	GT-A|GT-A	UDP-g_GGTase(1-778)|GT8_HUGT1_C_like(819-1059)
tr|A0A0V0ZAV6|A0A0V0ZAV6_9BILA	GT-A|GT-A	UDP-g_GGTase(71-438)|GT8_HUGT1_C_like(475-715)
tr|A0A0W0G5Q4|A0A0W0G5Q4_9AGAR	GT-A|GT-A	UDP-g_GGTase(18-1263)|GT8_HUGT1_C_like(1312-1555)
tr|A0A100IE92|A0A100IE92_ASPNG	GT-A|GT-A	UDP-g_GGTase(30-1139)|GT8_HUGT1_C_like(1188-1435)
tr|A0A101MMS5|A0A101MMS5_9EURO	GT-A|GT-A	UDP-g_GGTase(30-1144)|GT8_HUGT1_C_like(1192-1439)
tr|A0A109FC58|A0A109FC58_9BASI	GT-A|GT-A	UDP-g_GGTase(63-1132)|GT8_HUGT1_C_like(1183-1432)
tr|A0A132A635|A0A132A635_SARSC	GT-A|GT-A	UDP-g_GGTase(35-1190)|GT8_HUGT1_C_like(1240-1487)
tr|A0A135LIH1|A0A135LIH1_PENPA	GT-A|GT-A	UDP-g_GGTase(30-1121)|GT8_HUGT1_C_like(1169-1416)
tr|A0A135RSE0|A0A135RSE0_9PEZI	GT-A|GT-A	UDP-g_GGTase(25-1124)|GT8_HUGT1_C_like(1165-1412)
tr|A0A135UJD3|A0A135UJD3_9PEZI	GT-A|GT-A	UDP-g_GGTase(25-1126)|GT8_HUGT1_C_like(1167-1414)
tr|A0A136IWP4|A0A136IWP4_9PEZI	GT-A|GT-A	UDP-g_GGTase(1-1099)|GT8_HUGT1_C_like(1145-1392)
tr|A0A137NX34|A0A137NX34_CONC2	GT-A|GT-A	UDP-g_GGTase(51-1065)|Glyco_tranf_GTA_type(1066-1282)
tr|A0A137QJD2|A0A137QJD2_9AGAR	GT-A|GT-A	UDP-g_GGTase(22-1247)|GT8_HUGT1_C_like(1298-1545)
tr|A0A139ASN6|A0A139ASN6_GONPR	GT-A|GT-A	UDP-g_GGTase(31-1202)|GT8_HUGT1_C_like(1250-1497)
tr|A0A139HHC8|A0A139HHC8_9PEZI	GT-A|GT-A	UDP-g_GGTase(23-1163)|GT8_HUGT1_C_like(1229-1476)
tr|A0A139IVL5|A0A139IVL5_9PEZI	GT-A|GT-A	UDP-g_GGTase(23-1163)|GT8_HUGT1_C_like(1229-1476)
tr|A0A146F2J1|A0A146F2J1_9EURO	GT-A|GT-A	UDP-g_GGTase(30-1139)|GT8_HUGT1_C_like(1188-1435)
tr|A0A150VE77|A0A150VE77_9PEZI	GT-A|GT-A	UDP-g_GGTase(27-1161)|GT8_HUGT1_C_like(1228-1475)
tr|A0A151GI09|A0A151GI09_9HYPO	GT-A|GT-A	UDP-g_GGTase(13-1107)|GT8_HUGT1_C_like(1152-1399)
tr|A0A151I9B4|A0A151I9B4_9HYME	GT-A|GT-A	UDP-g_GGTase(27-1183)|GT8_HUGT1_C_like(1220-1467)
tr|A0A151T7Z7|A0A151T7Z7_CAJCA	GT-A|GT-A	UDP-g_GGTase(32-1199)|GT8_HUGT1_C_like(1288-1535)
tr|A0A151WG09|A0A151WG09_9HYME	GT-A|GT-A	UDP-g_GGTase(25-1194)|GT8_HUGT1_C_like(1231-1478)
tr|A0A152A0Q0|A0A152A0Q0_9MYCE	GT-A|GT-A	UDP-g_GGTase(27-1173)|GT8_HUGT1_C_like(1227-1474)
tr|A0A158NV88|A0A158NV88_ATTCE	GT-A|GT-A	UDP-g_GGTase(25-1185)|GT8_HUGT1_C_like(1227-1474)
tr|A0A162JTX3|A0A162JTX3_9HYPO	GT-A|GT-A	UDP-g_GGTase(24-1121)|GT8_HUGT1_C_like(1167-1414)
tr|A0A162KFY5|A0A162KFY5_CORDF	GT-A|GT-A	UDP-g_GGTase(23-1121)|GT8_HUGT1_C_like(1167-1414)
tr|A0A162QGF2|A0A162QGF2_MUCCL	GT-A|GT-A	UDP-g_GGTase(35-1208)|GT8_HUGT1_C_like(1262-1509)
tr|A0A162UJY8|A0A162UJY8_PHYB8	GT-A|GT-A	UDP-g_GGTase(1-1122)|GT8_HUGT1_C_like(1158-1405)
tr|A0A164XTE8|A0A164XTE8_9HOMO	GT-A|GT-A	UDP-g_GGTase(28-1233)|GT8_HUGT1_C_like(1282-1529)
tr|A0A165DM66|A0A165DM66_9BASI	GT-A|GT-A	UDP-g_GGTase(28-1222)|GT8_HUGT1_C_like(1276-1523)
tr|A0A165EGY0|A0A165EGY0_9APHY	GT-A|GT-A	UDP-g_GGTase(25-1228)|GT8_HUGT1_C_like(1278-1525)
tr|A0A165G6I5|A0A165G6I5_9PEZI	GT-A|GT-A	UDP-g_GGTase(41-1153)|GT8_HUGT1_C_like(1208-1456)
tr|A0A165LNB5|A0A165LNB5_EXIGL	GT-A|GT-A	UDP-g_GGTase(23-1222)|GT8_HUGT1_C_like(1272-1519)
tr|A0A165Q747|A0A165Q747_9APHY	GT-A|GT-A	UDP-g_GGTase(25-1228)|GT8_HUGT1_C_like(1278-1525)
tr|A0A165S9K7|A0A165S9K7_9HOMO	GT-A|GT-A	UDP-g_GGTase(22-1230)|GT8_HUGT1_C_like(1281-1528)
tr|A0A165Y2E4|A0A165Y2E4_9HOMO	GT-A|GT-A	UDP-g_GGTase(13-347)|GT8_HUGT1_C_like(369-610)
tr|A0A166C2T0|A0A166C2T0_9HOMO	GT-A|GT-A	UDP-g_GGTase(28-1233)|GT8_HUGT1_C_like(1282-1529)
tr|A0A166C8C2|A0A166C8C2_9HOMO	GT-A|GT-A	UDP-g_GGTase(22-1244)|GT8_HUGT1_C_like(1295-1542)
tr|A0A166DZ31|A0A166DZ31_DAUCA	GT-A|GT-A	UDP-g_GGTase(34-1185)|GT8_HUGT1_C_like(1249-1496)
tr|A0A166GTZ0|A0A166GTZ0_9HOMO	GT-A|GT-A	UDP-g_GGTase(20-1218)|GT8_HUGT1_C_like(1267-1514)
tr|A0A166NML3|A0A166NML3_9PEZI	GT-A|GT-A	UDP-g_GGTase(25-1124)|GT8_HUGT1_C_like(1165-1412)
tr|A0A166WM42|A0A166WM42_9PEZI	GT-A|GT-A	UDP-g_GGTase(87-1186)|GT8_HUGT1_C_like(1227-1474)
tr|A0A167DST0|A0A167DST0_9ASCO	GT-A|GT-A	UDP-g_GGTase(1-143)|GT8_HUGT1_C_like(191-438)
tr|A0A167L733|A0A167L733_9BASI	GT-A|GT-A	UDP-g_GGTase(26-1196)|GT8_HUGT1_C_like(1250-1497)
tr|A0A167X8K9|A0A167X8K9_9PEZI	GT-A|GT-A	UDP-g_GGTase(29-1141)|GT8_HUGT1_C_like(1207-1454)
tr|A0A168A2N5|A0A168A2N5_9HYPO	GT-A|GT-A	UDP-g_GGTase(24-1121)|GT8_HUGT1_C_like(1170-1417)
tr|A0A175VUN3|A0A175VUN3_9PEZI	GT-A|GT-A	UDP-g_GGTase(30-1143)|GT8_HUGT1_C_like(1197-1444)
tr|A0A176WAF0|A0A176WAF0_MARPO	GT-A|GT-A	UDP-g_GGTase(39-1269)|GT8_HUGT1_C_like(1340-1587)
tr|A0A177B3H6|A0A177B3H6_9METZ	GT-A|GT-A	UDP-g_GGTase(21-1117)|GT8_HUGT1_C_like(1157-1404)
tr|A0A177C9F3|A0A177C9F3_9PLEO	GT-A|GT-A	UDP-g_GGTase(28-1139)|GT8_HUGT1_C_like(1202-1449)
tr|A0A177D5K1|A0A177D5K1_ALTAL	GT-A|GT-A	UDP-g_GGTase(29-1136)|GT8_HUGT1_C_like(1199-1446)
tr|A0A177V5M1|A0A177V5M1_9BASI	GT-A|GT-A	UDP-g_GGTase(45-1415)|GT8_HUGT1_C_like(1472-1719)
tr|A0A177VBA0|A0A177VBA0_9BASI	GT-A|GT-A	UDP-g_GGTase(40-1408)|GT8_HUGT1_C_like(1464-1711)
tr|A0A177W8Z4|A0A177W8Z4_BATDE	GT-A|GT-A	UDP-g_GGTase(29-1120)|GT8_HUGT1_C_like(1159-1406)
tr|A0A178AB07|A0A178AB07_9PLEO	GT-A|GT-A	UDP-g_GGTase(28-1132)|GT8_HUGT1_C_like(1194-1441)
tr|A0A178DLY2|A0A178DLY2_9PLEO	GT-A|GT-A	UDP-g_GGTase(28-1140)|GT8_HUGT1_C_like(1202-1449)
tr|A0A178ZGX8|A0A178ZGX8_9EURO	GT-A|GT-A	UDP-g_GGTase(29-1141)|GT8_HUGT1_C_like(1185-1432)
tr|A0A179FNV7|A0A179FNV7_METCM	GT-A|GT-A	UDP-g_GGTase(25-1116)|GT8_HUGT1_C_like(1163-1410)
tr|A0A179HT07|A0A179HT07_9HYPO	GT-A|GT-A	UDP-g_GGTase(24-1120)|GT8_HUGT1_C_like(1166-1413)
tr|A0A179U6Y3|A0A179U6Y3_BLAGS	GT-A|GT-A	UDP-g_GGTase(32-1148)|GT8_HUGT1_C_like(1194-1441)
tr|A0A180GJ89|A0A180GJ89_PUCT1	GT-A|GT-A	UDP-g_GGTase(26-1231)|GT8_HUGT1_C_like(1288-1535)
tr|A0A182E2B2|A0A182E2B2_ONCOC	GT-A|GT-A	UDP-g_GGTase(24-1179)|GT8_HUGT1_C_like(1218-1442)
tr|A0A182F6N1|A0A182F6N1_ANOAL	GT-A|GT-A	UDP-g_GGTase(32-1203)|GT8_HUGT1_C_like(1253-1500)
