tr|A0A2I1CKB3|A0A2I1CKB3_9EURO	Transporter|Transporter|Transporter|GT-A	Mito_carr(43-128)|Mito_carr(152-260)|Mito_carr(228-322)|Anp1(535-800)
tr|G0VHJ1|G0VHJ1_NAUCC	TMhelix|TMhelix|GT-A	TMhelix(10-29)|TMhelix(31-53)|Anp1(82-343)
tr|A0A1V2L813|A0A1V2L813_CYBFA	TMhelix|SH3_and_anchor|GT-A|GT-A	TMhelix(21-43)|SH3_and_anchor(48-138)|Glyco_tranf_GTA_type(173-426)|Glyco_tranf_GTA_type(661-901)
tr|W2R2X5|W2R2X5_PHYPN	TMhelix|Herpes_U47|GT-A	TMhelix(21-43)|Herpes_U47(58-174)|Glyco_tranf_GTA_type(165-405)
tr|M4BFC8|M4BFC8_HYAAE	TMhelix|Herpes_BLLF1|GT-A	TMhelix(28-45)|Herpes_BLLF1(59-164)|Glyco_tranf_GTA_type(237-479)
tr|A0A175W0H9|A0A175W0H9_9PEZI	TMhelix|GT-A|Unknown	TMhelix(52-74)|Anp1(95-357)|DUF5401(398-485)
tr|A0A1E3NR81|A0A1E3NR81_9ASCO	TMhelix|GT-A|Unknown	TMhelix(27-49)|Anp1(75-336)|DUF5401(376-660)
tr|W1Q7L2|W1Q7L2_OGAPD	TMhelix|GT-A|Unknown	TMhelix(85-107)|Anp1(144-406)|DUF5401(601-734)
tr|W6MFU9|W6MFU9_9ASCO	TMhelix|GT-A|Unknown	TMhelix(100-122)|Anp1(155-416)|DUF5401(460-745)
tr|A0A1L9SVK0|A0A1L9SVK0_9EURO	TMhelix|GT-A|TPH	TMhelix(47-69)|Anp1(88-350)|TPH(391-456)
tr|M3ALI7|M3ALI7_PSEFD	TMhelix|GT-A|tolA_full	TMhelix(19-38)|Anp1(64-326)|tolA_full(363-433)
tr|A0A1E3QQ20|A0A1E3QQ20_9ASCO	TMhelix|GT-A|tolA	TMhelix(20-42)|Anp1(77-338)|tolA(584-663)
tr|B2AXY3|B2AXY3_PODAN	TMhelix|GT-A|TMhelix	TMhelix(13-35)|Anp1(73-338)|TMhelix(361-383)
tr|A0A231MBI2|A0A231MBI2_9EURO	TMhelix|GT-A|TAF4	TMhelix(47-69)|Anp1(88-350)|TAF4(377-433)
tr|A0A2D3VMS3|A0A2D3VMS3_9PEZI	TMhelix|GT-A|TAF4	TMhelix(67-89)|Anp1(113-375)|TAF4(402-480)
tr|A1C7S9|A1C7S9_ASPCL	TMhelix|GT-A|TAF4	TMhelix(47-69)|Anp1(88-350)|TAF4(377-463)
tr|A1DIF1|A1DIF1_NEOFI	TMhelix|GT-A|TAF4	TMhelix(47-69)|Anp1(88-350)|TAF4(377-458)
tr|A0A1V8TFH0|A0A1V8TFH0_9PEZI	TMhelix|GT-A|SnoaL_2	TMhelix(13-31)|Anp1(79-340)|SnoaL_2(374-464)
tr|A0A010Q873|A0A010Q873_9PEZI	TMhelix|GT-A|PTZ00121	TMhelix(26-48)|Anp1(69-331)|PTZ00121(436-491)
tr|A0A178EER1|A0A178EER1_9PLEO	TMhelix|GT-A|PTZ00121	TMhelix(47-69)|Anp1(91-353)|PTZ00121(382-468)
tr|A0A1G4BJC5|A0A1G4BJC5_9PEZI	TMhelix|GT-A|PTZ00121	TMhelix(54-76)|Anp1(97-359)|PTZ00121(449-514)
tr|A0A1V8SMH7|A0A1V8SMH7_9PEZI	TMhelix|GT-A|PTZ00121	TMhelix(56-78)|Anp1(103-365)|PTZ00121(394-543)
tr|A0A1V8TD71|A0A1V8TD71_9PEZI	TMhelix|GT-A|PTZ00121	TMhelix(56-78)|Anp1(103-365)|PTZ00121(403-541)
tr|A0A1V8UMB3|A0A1V8UMB3_9PEZI	TMhelix|GT-A|PTZ00121	TMhelix(43-65)|Anp1(90-352)|PTZ00121(390-526)
tr|A0A1V8V1F1|A0A1V8V1F1_9PEZI	TMhelix|GT-A|PTZ00121	TMhelix(56-78)|Anp1(103-365)|PTZ00121(394-543)
tr|A0A2G5H940|A0A2G5H940_CERBT	TMhelix|GT-A|PTZ00121	TMhelix(64-86)|Anp1(110-372)|PTZ00121(444-563)
tr|A0A2I0RHF2|A0A2I0RHF2_9PEZI	TMhelix|GT-A|PTZ00121	TMhelix(65-87)|Anp1(111-373)|PTZ00121(476-561)
tr|A7ET25|A7ET25_SCLS1	TMhelix|GT-A|PTZ00121	TMhelix(61-83)|Anp1(104-366)|PTZ00121(404-493)
tr|B8N6I3|B8N6I3_ASPFN	TMhelix|GT-A|PTZ00121	TMhelix(47-69)|Anp1(88-350)|PTZ00121(388-516)
tr|F2PV51|F2PV51_TRIEC	TMhelix|GT-A|PTZ00121	TMhelix(20-42)|Anp1(65-327)|PTZ00121(365-514)
tr|G4MSP4|G4MSP4_MAGO7	TMhelix|GT-A|PTZ00121	TMhelix(53-75)|Anp1(96-358)|PTZ00121(399-499)
tr|G8C1I6|G8C1I6_TETPH	TMhelix|GT-A|PTZ00121	TMhelix(7-29)|Anp1(65-326)|PTZ00121(437-537)
tr|H6C6G6|H6C6G6_EXODN	TMhelix|GT-A|PTZ00121	TMhelix(67-89)|Anp1(109-371)|PTZ00121(409-520)
tr|K2R352|K2R352_MACPH	TMhelix|GT-A|PTZ00121	TMhelix(54-76)|Anp1(95-357)|PTZ00121(395-581)
tr|Q2UDD7|Q2UDD7_ASPOR	TMhelix|GT-A|PTZ00121	TMhelix(22-44)|Anp1(63-325)|PTZ00121(372-477)
tr|R8BWP4|R8BWP4_TOGMI	TMhelix|GT-A|PTZ00121	TMhelix(53-72)|Anp1(96-358)|PTZ00121(396-485)
tr|W9Y567|W9Y567_9EURO	TMhelix|GT-A|PTZ00121	TMhelix(69-91)|Anp1(111-373)|PTZ00121(411-544)
tr|W9YNK1|W9YNK1_9EURO	TMhelix|GT-A|PTZ00121	TMhelix(69-88)|Anp1(111-373)|PTZ00121(411-537)
tr|A0A2P4JN27|A0A2P4JN27_QUESU	TMhelix|GT-A|PRK14951	TMhelix(39-61)|Anp1(81-343)|PRK14951(500-626)
tr|A0A1Y2FCB0|A0A1Y2FCB0_9ASCO	TMhelix|GT-A|PRK13700	TMhelix(33-55)|Anp1(79-341)|PRK13700(411-491)
tr|A0A1B8AYM2|A0A1B8AYM2_FUSPO	TMhelix|GT-A|PHA03247	TMhelix(54-73)|Anp1(97-359)|PHA03247(449-516)
tr|A0A1B8GIK1|A0A1B8GIK1_9PEZI	TMhelix|GT-A|GrpE	TMhelix(57-79)|Anp1(100-362)|GrpE(396-459)
tr|K1X9K4|K1X9K4_MARBU	TMhelix|GT-A|G_path_suppress	TMhelix(43-65)|Anp1(85-347)|G_path_suppress(391-435)
tr|A0A2P4GZ07|A0A2P4GZ07_QUESU	TMhelix|GT-A|GAF	TMhelix(145-164)|Anp1(215-475)|GAF(534-659)
tr|A0A139H1H4|A0A139H1H4_9PEZI	TMhelix|GT-A|DUF4887	TMhelix(65-84)|Anp1(110-372)|DUF4887(444-532)
tr|I1RK84|I1RK84_GIBZE	TMhelix|GT-A|DUF4887	TMhelix(42-61)|Anp1(85-347)|DUF4887(395-486)
tr|A0A1J9R7L8|A0A1J9R7L8_9PEZI	TMhelix|GT-A|DUF4337|MSCRAMM_SdrC	TMhelix(46-68)|Anp1(87-349)|DUF4337(390-458)|MSCRAMM_SdrC(444-567)
tr|A0A165HBX2|A0A165HBX2_9PEZI	TMhelix|GT-A|DUF4207	TMhelix(52-74)|Anp1(97-359)|DUF4207(400-463)
tr|A0A2N3NGK5|A0A2N3NGK5_9PEZI	TMhelix|GT-A|DUF4207	TMhelix(40-59)|Anp1(84-346)|DUF4207(387-445)
tr|K0KGY6|K0KGY6_WICCF	TMhelix|GT-A|DREPP	TMhelix(70-92)|Anp1(124-385)|DREPP(758-826)
tr|A0A1W5D9B7|A0A1W5D9B7_9LECA	TMhelix|GT-A|COG5307	TMhelix(62-84)|Anp1(107-369)|COG5307(784-1801)
tr|A0A2C5XZK0|A0A2C5XZK0_9HYPO	TMhelix|GT-A|Casc1_N|DUF4337	TMhelix(42-61)|Anp1(85-347)|Casc1_N(391-417)|DUF4337(388-448)
tr|A0A1J7JT37|A0A1J7JT37_9PEZI	TMhelix|GT-A|BASP1	TMhelix(57-79)|Anp1(96-358)|BASP1(437-510)
tr|A0A1L7XDU6|A0A1L7XDU6_9HELO	TMhelix|GT-A|BASP1	TMhelix(40-62)|Anp1(82-344)|BASP1(391-494)
sp|O36022|MNN9_SCHPO	TMhelix|GT-A	TMhelix(9-28)|Anp1(48-303)
sp|O74745|ANP1_SCHPO	TMhelix|GT-A	TMhelix(38-57)|Anp1(77-340)
sp|P23642|VAN1_YEAST	TMhelix|GT-A	TMhelix(69-91)|Anp1(171-480)
sp|P32629|ANP1_YEAST	TMhelix|GT-A	TMhelix(21-43)|Anp1(61-323)
sp|P39107|MNN9_YEAST	TMhelix|GT-A	TMhelix(13-32)|Anp1(95-358)
sp|P53697|MNN9_CANAL	TMhelix|GT-A	TMhelix(17-39)|Anp1(72-334)
tr|A0A010SJ14|A0A010SJ14_9PEZI	TMhelix|GT-A	TMhelix(32-49)|Anp1(101-363)
tr|A0A017SIQ2|A0A017SIQ2_9EURO	TMhelix|GT-A	TMhelix(41-63)|Anp1(82-344)
tr|A0A024U9V1|A0A024U9V1_9STRA	TMhelix|GT-A	TMhelix(12-29)|Glyco_tranf_GTA_type(115-346)
tr|A0A059JHN0|A0A059JHN0_9EURO	TMhelix|GT-A	TMhelix(32-49)|Anp1(101-363)
tr|A0A061AVU9|A0A061AVU9_CYBFA	TMhelix|GT-A	TMhelix(19-38)|Anp1(70-333)
tr|A0A061AXK6|A0A061AXK6_CYBFA	TMhelix|GT-A	TMhelix(25-47)|Anp1(61-322)
tr|A0A0C4DTA9|A0A0C4DTA9_MAGP6	TMhelix|GT-A	TMhelix(13-35)|Anp1(76-338)
tr|A0A0D2Y4Z2|A0A0D2Y4Z2_FUSO4	TMhelix|GT-A	TMhelix(42-61)|Anp1(85-347)
tr|A0A0E1RZ80|A0A0E1RZ80_COCIM	TMhelix|GT-A	TMhelix(47-69)|Anp1(88-350)
tr|A0A0J6XZE8|A0A0J6XZE8_COCIT	TMhelix|GT-A	TMhelix(148-170)|Anp1(189-451)
tr|A0A0J8R9L6|A0A0J8R9L6_COCIT	TMhelix|GT-A	TMhelix(148-170)|Anp1(189-451)
tr|A0A0K3CLU7|A0A0K3CLU7_RHOTO	TMhelix|GT-A	TMhelix(30-52)|Anp1(63-316)
tr|A0A0K3CUY0|A0A0K3CUY0_RHOTO	TMhelix|GT-A	TMhelix(52-74)|Glyco_tranf_GTA_type(117-425)
tr|A0A0U5GD34|A0A0U5GD34_9EURO	TMhelix|GT-A	TMhelix(47-69)|Anp1(89-351)
tr|A0A0W7VA56|A0A0W7VA56_9HYPO	TMhelix|GT-A	TMhelix(42-61)|Anp1(85-347)
tr|A0A0W7VZ20|A0A0W7VZ20_9HYPO	TMhelix|GT-A	TMhelix(32-49)|Anp1(101-363)
tr|A0A109FAY7|A0A109FAY7_9BASI	TMhelix|GT-A	TMhelix(54-76)|Glyco_tranf_GTA_type(127-441)
tr|A0A117NT78|A0A117NT78_9EURO	TMhelix|GT-A	TMhelix(44-66)|Anp1(85-347)
tr|A0A132B3B3|A0A132B3B3_9HELO	TMhelix|GT-A	TMhelix(40-62)|Anp1(82-344)
tr|A0A135T9F2|A0A135T9F2_9PEZI	TMhelix|GT-A	TMhelix(32-49)|Anp1(101-363)
tr|A0A135TSP8|A0A135TSP8_9PEZI	TMhelix|GT-A	TMhelix(69-91)|Anp1(112-374)
tr|A0A135UGS9|A0A135UGS9_9PEZI	TMhelix|GT-A	TMhelix(50-72)|Anp1(93-355)
tr|A0A135UIL0|A0A135UIL0_9PEZI	TMhelix|GT-A	TMhelix(32-49)|Anp1(101-363)
tr|A0A136IV90|A0A136IV90_9PEZI	TMhelix|GT-A	TMhelix(12-31)|Glyco_tranf_GTA_type(131-358)
tr|A0A136J1A6|A0A136J1A6_9PEZI	TMhelix|GT-A	TMhelix(32-49)|Anp1(101-363)
tr|A0A136JA11|A0A136JA11_9PEZI	TMhelix|GT-A	TMhelix(7-25)|Glyco_tranf_GTA_type(131-328)
tr|A0A136JDJ0|A0A136JDJ0_9PEZI	TMhelix|GT-A	TMhelix(54-76)|Anp1(100-362)
tr|A0A139H4X4|A0A139H4X4_9PEZI	TMhelix|GT-A	TMhelix(33-50)|Anp1(102-364)
tr|A0A139H696|A0A139H696_9PEZI	TMhelix|GT-A	TMhelix(33-50)|Anp1(102-364)
tr|A0A139HK96|A0A139HK96_9PEZI	TMhelix|GT-A	TMhelix(12-31)|Anp1(80-343)
tr|A0A139I5P7|A0A139I5P7_9PEZI	TMhelix|GT-A	TMhelix(12-31)|Anp1(80-343)
tr|A0A139IBG0|A0A139IBG0_9PEZI	TMhelix|GT-A	TMhelix(65-84)|Anp1(110-372)
tr|A0A150V060|A0A150V060_9PEZI	TMhelix|GT-A	TMhelix(7-25)|Glyco_tranf_GTA_type(124-317)
tr|A0A150V3V6|A0A150V3V6_9PEZI	TMhelix|GT-A	TMhelix(32-54)|Anp1(101-363)
tr|A0A150V4U8|A0A150V4U8_9PEZI	TMhelix|GT-A	TMhelix(13-30)|Anp1(82-345)
tr|A0A150VJE9|A0A150VJE9_9PEZI	TMhelix|GT-A	TMhelix(66-88)|Anp1(112-374)
tr|A0A151GFJ7|A0A151GFJ7_9HYPO	TMhelix|GT-A	TMhelix(43-62)|Anp1(85-347)
tr|A0A151GTS0|A0A151GTS0_9HYPO	TMhelix|GT-A	TMhelix(32-49)|Anp1(101-363)
tr|A0A161HHQ3|A0A161HHQ3_9ASCO	TMhelix|GT-A	TMhelix(47-66)|Anp1(91-353)
tr|A0A161YKF9|A0A161YKF9_9PEZI	TMhelix|GT-A	TMhelix(21-40)|Anp1(75-338)
tr|A0A162MH88|A0A162MH88_9HYPO	TMhelix|GT-A	TMhelix(37-59)|Anp1(80-342)
tr|A0A163IVB9|A0A163IVB9_DIDRA	TMhelix|GT-A	TMhelix(46-65)|Anp1(90-352)
tr|A0A163J083|A0A163J083_ABSGL	TMhelix|GT-A	TMhelix(13-32)|Anp1(70-305)
tr|A0A163KEB7|A0A163KEB7_ABSGL	TMhelix|GT-A	TMhelix(7-26)|Anp1(54-321)
tr|A0A165J3C0|A0A165J3C0_9PEZI	TMhelix|GT-A	TMhelix(32-49)|Anp1(101-363)
tr|A0A166MT21|A0A166MT21_9PEZI	TMhelix|GT-A	TMhelix(21-40)|Anp1(75-338)
tr|A0A166QY23|A0A166QY23_9PEZI	TMhelix|GT-A	TMhelix(32-49)|Anp1(101-363)
tr|A0A166VH04|A0A166VH04_9HYPO	TMhelix|GT-A	TMhelix(42-61)|Anp1(85-347)
tr|A0A166VML3|A0A166VML3_9PEZI	TMhelix|GT-A	TMhelix(32-49)|Anp1(101-363)
tr|A0A166W9W2|A0A166W9W2_9PEZI	TMhelix|GT-A	TMhelix(54-76)|Anp1(97-359)
tr|A0A167BCE3|A0A167BCE3_9PEZI	TMhelix|GT-A	TMhelix(54-76)|Anp1(97-359)
tr|A0A167FI69|A0A167FI69_9ASCO	TMhelix|GT-A	TMhelix(49-71)|Anp1(124-387)
tr|A0A167R3S2|A0A167R3S2_9HYPO	TMhelix|GT-A	TMhelix(32-49)|Anp1(101-364)
tr|A0A168A7D1|A0A168A7D1_9PEZI	TMhelix|GT-A	TMhelix(55-77)|Anp1(97-359)
tr|A0A168JAT0|A0A168JAT0_MUCCL	TMhelix|GT-A	TMhelix(25-47)|Anp1(71-318)
tr|A0A168JCX7|A0A168JCX7_CORDF	TMhelix|GT-A	TMhelix(32-49)|Anp1(101-364)
tr|A0A168MHI4|A0A168MHI4_MUCCL	TMhelix|GT-A	TMhelix(21-40)|Anp1(81-334)
tr|A0A168NE56|A0A168NE56_ABSGL	TMhelix|GT-A	TMhelix(13-30)|Anp1(61-330)
tr|A0A168PT51|A0A168PT51_ABSGL	TMhelix|GT-A	TMhelix(21-38)|Glyco_tranf_GTA_type(185-340)
tr|A0A168Q2Q9|A0A168Q2Q9_ABSGL	TMhelix|GT-A	TMhelix(20-42)|Anp1(80-341)
tr|A0A168Q327|A0A168Q327_ABSGL	TMhelix|GT-A	TMhelix(20-42)|Anp1(79-340)
tr|A0A175WE66|A0A175WE66_9PEZI	TMhelix|GT-A	TMhelix(32-49)|Anp1(101-363)
tr|A0A177CM49|A0A177CM49_9PLEO	TMhelix|GT-A	TMhelix(13-30)|Anp1(72-336)
tr|A0A177CQG5|A0A177CQG5_9PLEO	TMhelix|GT-A	TMhelix(52-71)|Anp1(96-358)
tr|A0A177DCX0|A0A177DCX0_ALTAL	TMhelix|GT-A	TMhelix(13-30)|Anp1(69-333)
tr|A0A177DJA4|A0A177DJA4_ALTAL	TMhelix|GT-A	TMhelix(40-59)|Anp1(84-346)
tr|A0A178AG90|A0A178AG90_9PLEO	TMhelix|GT-A	TMhelix(13-30)|Anp1(70-334)
tr|A0A178B267|A0A178B267_9PLEO	TMhelix|GT-A	TMhelix(51-70)|Anp1(94-356)
tr|A0A178DPA5|A0A178DPA5_9PLEO	TMhelix|GT-A	TMhelix(7-29)|Anp1(70-334)
tr|A0A178E033|A0A178E033_9PLEO	TMhelix|GT-A	TMhelix(31-48)|Anp1(100-359)
tr|A0A178ZC83|A0A178ZC83_9EURO	TMhelix|GT-A	TMhelix(69-88)|Anp1(112-374)
tr|A0A178ZFU3|A0A178ZFU3_9EURO	TMhelix|GT-A	TMhelix(16-38)|Anp1(80-345)
tr|A0A179F8R0|A0A179F8R0_METCM	TMhelix|GT-A	TMhelix(32-49)|Anp1(101-363)
tr|A0A179GAR0|A0A179GAR0_9HYPO	TMhelix|GT-A	TMhelix(32-49)|Anp1(101-363)
tr|A0A179U8D7|A0A179U8D7_BLAGS	TMhelix|GT-A	TMhelix(47-69)|Anp1(88-350)
tr|A0A179UKW8|A0A179UKW8_BLAGS	TMhelix|GT-A	TMhelix(32-50)|Anp1(101-362)
tr|A0A194VBY7|A0A194VBY7_9PEZI	TMhelix|GT-A	TMhelix(13-35)|Anp1(79-345)
tr|A0A194VPZ5|A0A194VPZ5_9PEZI	TMhelix|GT-A	TMhelix(13-35)|Anp1(79-345)
tr|A0A194VXL1|A0A194VXL1_9PEZI	TMhelix|GT-A	TMhelix(41-63)|Anp1(82-344)
tr|A0A194WWP9|A0A194WWP9_9HELO	TMhelix|GT-A	TMhelix(32-49)|Anp1(101-365)
tr|A0A194XRV4|A0A194XRV4_9HELO	TMhelix|GT-A	TMhelix(13-35)|Anp1(74-338)
tr|A0A197JD09|A0A197JD09_9FUNG	TMhelix|GT-A	TMhelix(13-35)|Glyco_tranf_GTA_type(66-299)
tr|A0A1A0HGM8|A0A1A0HGM8_9ASCO	TMhelix|GT-A	TMhelix(45-63)|Anp1(80-324)
tr|A0A1B7NWS3|A0A1B7NWS3_9EURO	TMhelix|GT-A	TMhelix(13-35)|Anp1(77-343)
tr|A0A1C1C8I0|A0A1C1C8I0_9EURO	TMhelix|GT-A	TMhelix(69-88)|Anp1(112-374)
tr|A0A1C7N9Z1|A0A1C7N9Z1_9FUNG	TMhelix|GT-A	TMhelix(21-43)|Anp1(77-330)
tr|A0A1C7NKC7|A0A1C7NKC7_9FUNG	TMhelix|GT-A	TMhelix(13-35)|Anp1(58-297)
tr|A0A1D2VB26|A0A1D2VB26_9ASCO	TMhelix|GT-A	TMhelix(17-36)|Anp1(86-349)
tr|A0A1D2VC57|A0A1D2VC57_9ASCO	TMhelix|GT-A	TMhelix(21-43)|Anp1(57-316)
tr|A0A1D2VQB6|A0A1D2VQB6_9ASCO	TMhelix|GT-A	TMhelix(33-52)|Anp1(174-486)
tr|A0A1D8PKT1|A0A1D8PKT1_CANAL	TMhelix|GT-A	TMhelix(35-54)|Anp1(120-431)
tr|A0A1D8PQ12|A0A1D8PQ12_CANAL	TMhelix|GT-A	TMhelix(12-34)|Anp1(112-387)
tr|A0A1E1LBT8|A0A1E1LBT8_9HELO	TMhelix|GT-A	TMhelix(47-69)|Anp1(89-351)
tr|A0A1E1LRH2|A0A1E1LRH2_9HELO	TMhelix|GT-A	TMhelix(32-49)|Anp1(101-365)
tr|A0A1E3BF52|A0A1E3BF52_9EURO	TMhelix|GT-A	TMhelix(41-63)|Anp1(82-344)
tr|A0A1E3NEQ0|A0A1E3NEQ0_9ASCO	TMhelix|GT-A	TMhelix(13-35)|Anp1(68-331)
tr|A0A1E3NH21|A0A1E3NH21_9ASCO	TMhelix|GT-A	TMhelix(13-35)|Anp1(78-343)
tr|A0A1E3P182|A0A1E3P182_WICAO	TMhelix|GT-A	TMhelix(19-36)|Anp1(70-333)
tr|A0A1E3P1L1|A0A1E3P1L1_WICAO	TMhelix|GT-A	TMhelix(62-84)|Anp1(112-373)
tr|A0A1E3P2X6|A0A1E3P2X6_WICAO	TMhelix|GT-A	TMhelix(24-46)|Anp1(60-322)
tr|A0A1E3PBC7|A0A1E3PBC7_WICAO	TMhelix|GT-A	TMhelix(27-46)|Anp1(81-389)
tr|A0A1E3PMV4|A0A1E3PMV4_9ASCO	TMhelix|GT-A	TMhelix(13-32)|Anp1(64-325)
tr|A0A1E3QA12|A0A1E3QA12_LIPST	TMhelix|GT-A	TMhelix(45-64)|Anp1(84-348)
tr|A0A1E3QC41|A0A1E3QC41_LIPST	TMhelix|GT-A	TMhelix(37-59)|Anp1(76-338)
tr|A0A1E3QL32|A0A1E3QL32_9ASCO	TMhelix|GT-A	TMhelix(12-31)|Anp1(50-311)
tr|A0A1E3QPW4|A0A1E3QPW4_9ASCO	TMhelix|GT-A	TMhelix(17-34)|Anp1(70-331)
tr|A0A1E3QZX2|A0A1E3QZX2_9ASCO	TMhelix|GT-A	TMhelix(32-49)|Anp1(92-402)
tr|A0A1E4RFP8|A0A1E4RFP8_9ASCO	TMhelix|GT-A	TMhelix(32-51)|Anp1(117-429)
tr|A0A1E4RMU8|A0A1E4RMU8_9ASCO	TMhelix|GT-A	TMhelix(28-50)|Anp1(61-323)
