tr|Q01A30|Q01A30_OSTTA	TMhelix|TMhelix|TMhelix|TMhelix|TMhelix	TMhelix(142-164)|TMhelix(184-206)|TMhelix(506-528)|TMhelix(538-560)|TMhelix(572-594)
tr|F8AWS0|F8AWS0_FRADG	TMhelix|TMhelix|GT|TMhelix|TMhelix|TMhelix	TMhelix(38-57)|TMhelix(67-89)|Glyco_tranf_2_3(110-362)|TMhelix(379-401)|TMhelix(411-433)|TMhelix(454-476)
tr|A0A1H5D6D0|A0A1H5D6D0_9ACTN	TMhelix|TMhelix|GT|TMhelix|GT|TMhelix|TMhelix	TMhelix(29-48)|TMhelix(58-80)|Glyco_tranf_2_3(99-352)|TMhelix(369-391)|PLN02195(296-483)|TMhelix(401-423)|TMhelix(444-466)
tr|L7FDY3|L7FDY3_9ACTN	TMhelix|TMhelix|GT|TMhelix|GT|TMhelix|TMhelix	TMhelix(27-49)|TMhelix(59-81)|Glyco_tranf_2_3(101-353)|TMhelix(371-393)|PLN02915(298-484)|TMhelix(408-427)|TMhelix(440-462)
tr|A0A0J6XFL8|A0A0J6XFL8_9ACTN	TMhelix|TMhelix|GT|TMhelix|GT-A|TMhelix|TMhelix	TMhelix(29-48)|TMhelix(58-80)|Glyco_tranf_2_3(99-351)|TMhelix(368-390)|BcsA(281-481)|TMhelix(400-422)|TMhelix(443-465)
tr|A0A139ATL1|A0A139ATL1_GONPR	TMhelix|TMhelix|GT-A|TMhelix|TMhelix|TMhelix|TMhelix	TMhelix(51-73)|TMhelix(88-110)|Glyco_trans_2_3(209-390)|TMhelix(363-385)|TMhelix(395-417)|TMhelix(429-451)|TMhelix(461-483)
sp|A8XAC4|BRE3_CAEBR	TMhelix|TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(7-29)|TMhelix(44-66)|Glyco_trans_2_3(184-372)|TMhelix(346-365)|TMhelix(380-402)|TMhelix(415-437)
sp|O01346|EGH_DROME	TMhelix|TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(7-28)|TMhelix(54-76)|Glyco_trans_2_3(184-372)|TMhelix(345-367)|TMhelix(377-399)|TMhelix(406-428)
sp|Q03562|BRE3_CAEEL	TMhelix|TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(7-29)|TMhelix(44-66)|Glyco_trans_2_3(184-372)|TMhelix(346-365)|TMhelix(380-402)|TMhelix(415-437)
tr|A0A067R6G9|A0A067R6G9_ZOONE	TMhelix|TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(9-31)|TMhelix(51-73)|Glyco_trans_2_3(185-361)|TMhelix(346-368)|TMhelix(378-400)|TMhelix(407-429)
tr|A0A0M4EIY8|A0A0M4EIY8_DROBS	TMhelix|TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(9-31)|TMhelix(55-77)|Glyco_trans_2_3(185-373)|TMhelix(346-368)|TMhelix(378-400)|TMhelix(407-429)
tr|A0A0V0SNI5|A0A0V0SNI5_9BILA	TMhelix|TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(16-38)|TMhelix(53-75)|Glyco_trans_2_3(196-410)|TMhelix(391-413)|TMhelix(417-439)|TMhelix(452-474)
tr|A0A0V0VWM7|A0A0V0VWM7_9BILA	TMhelix|TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(16-38)|TMhelix(53-75)|Glyco_trans_2_3(196-403)|TMhelix(384-406)|TMhelix(410-432)|TMhelix(445-467)
tr|A0A0V1CQJ1|A0A0V1CQJ1_TRIBR	TMhelix|TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(16-38)|TMhelix(53-75)|Glyco_trans_2_3(196-403)|TMhelix(384-406)|TMhelix(410-432)|TMhelix(445-467)
tr|A0A0V1HMD9|A0A0V1HMD9_9BILA	TMhelix|TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(20-38)|TMhelix(53-75)|Glyco_trans_2_3(196-381)|TMhelix(362-384)|TMhelix(388-410)|TMhelix(423-445)
tr|A0A0V1LKX2|A0A0V1LKX2_9BILA	TMhelix|TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(16-38)|TMhelix(53-75)|Glyco_trans_2_3(196-381)|TMhelix(362-384)|TMhelix(388-410)|TMhelix(423-445)
tr|A0A0V1N9S2|A0A0V1N9S2_9BILA	TMhelix|TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(20-38)|TMhelix(53-75)|Glyco_trans_2_3(196-381)|TMhelix(362-384)|TMhelix(388-410)|TMhelix(423-445)
tr|A0A0V1PI73|A0A0V1PI73_9BILA	TMhelix|TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(16-38)|TMhelix(53-75)|Glyco_trans_2_3(196-381)|TMhelix(362-384)|TMhelix(388-410)|TMhelix(423-445)
tr|A0A132ABW3|A0A132ABW3_SARSC	TMhelix|TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(7-26)|TMhelix(59-81)|Glyco_trans_2_3(187-370)|TMhelix(348-370)|TMhelix(380-402)|TMhelix(415-437)
tr|A0A182HMS1|A0A182HMS1_ANOAR	TMhelix|TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(13-35)|TMhelix(55-77)|Glyco_trans_2_3(185-326)|TMhelix(311-333)|TMhelix(343-365)|TMhelix(372-394)
tr|A0A182KER3|A0A182KER3_9DIPT	TMhelix|TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(9-31)|TMhelix(51-73)|Glyco_trans_2_3(185-361)|TMhelix(346-368)|TMhelix(378-400)|TMhelix(407-429)
tr|A0A182LIV0|A0A182LIV0_9DIPT	TMhelix|TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(9-31)|TMhelix(51-73)|Glyco_trans_2_3(185-331)|TMhelix(316-338)|TMhelix(348-370)|TMhelix(377-399)
tr|A0A182MRW6|A0A182MRW6_9DIPT	TMhelix|TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(9-31)|TMhelix(51-73)|Glyco_trans_2_3(185-361)|TMhelix(346-368)|TMhelix(378-400)|TMhelix(407-429)
tr|A0A182PWH3|A0A182PWH3_9DIPT	TMhelix|TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(9-31)|TMhelix(51-73)|Glyco_trans_2_3(185-361)|TMhelix(346-368)|TMhelix(378-400)|TMhelix(407-429)
tr|A0A182QLH8|A0A182QLH8_9DIPT	TMhelix|TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(7-29)|TMhelix(55-77)|Glyco_trans_2_3(185-379)|TMhelix(346-368)|TMhelix(378-400)|TMhelix(407-429)
tr|A0A182U5T9|A0A182U5T9_9DIPT	TMhelix|TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(9-31)|TMhelix(51-73)|Glyco_trans_2_3(185-361)|TMhelix(346-368)|TMhelix(378-400)|TMhelix(407-429)
tr|A0A182VBP5|A0A182VBP5_ANOME	TMhelix|TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(9-31)|TMhelix(51-73)|Glyco_trans_2_3(185-361)|TMhelix(346-368)|TMhelix(378-400)|TMhelix(407-429)
tr|A0A182X8S3|A0A182X8S3_ANOQN	TMhelix|TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(9-31)|TMhelix(51-73)|Glyco_trans_2_3(185-326)|TMhelix(311-333)|TMhelix(343-365)|TMhelix(372-394)
tr|A0A1A9UM62|A0A1A9UM62_GLOAU	TMhelix|TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(7-28)|TMhelix(54-76)|Glyco_trans_2_3(184-328)|TMhelix(301-323)|TMhelix(333-355)|TMhelix(362-384)
tr|A0A1A9WA57|A0A1A9WA57_9MUSC	TMhelix|TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(7-28)|TMhelix(54-76)|Glyco_trans_2_3(184-372)|TMhelix(345-367)|TMhelix(377-399)|TMhelix(406-428)
tr|A0A1B0FIE1|A0A1B0FIE1_GLOMM	TMhelix|TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(7-28)|TMhelix(54-76)|Glyco_trans_2_3(184-328)|TMhelix(301-323)|TMhelix(333-355)|TMhelix(362-384)
tr|A0A1D2MZB0|A0A1D2MZB0_ORCCI	TMhelix|TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(9-31)|TMhelix(61-83)|Glyco_trans_2_3(155-352)|TMhelix(316-338)|TMhelix(348-370)|TMhelix(383-405)
tr|A0A1H3KB91|A0A1H3KB91_9EURY	TMhelix|TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(83-105)|TMhelix(115-137)|Glyco_tranf_GTA_type(228-413)|TMhelix(377-396)|TMhelix(406-428)|TMhelix(435-457)
tr|A0A1H3W6D1|A0A1H3W6D1_9EURY	TMhelix|TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(32-49)|TMhelix(62-84)|Glyco_tranf_GTA_type(178-372)|TMhelix(328-350)|TMhelix(354-373)|TMhelix(386-408)
tr|A0A1H3ZBX6|A0A1H3ZBX6_9EURY	TMhelix|TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(5-27)|TMhelix(42-64)|BcsA(135-374)|TMhelix(304-326)|TMhelix(330-352)|TMhelix(359-381)
tr|A0A1I8MPQ9|A0A1I8MPQ9_MUSDO	TMhelix|TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(7-28)|TMhelix(54-76)|Glyco_trans_2_3(184-372)|TMhelix(345-367)|TMhelix(377-399)|TMhelix(406-428)
tr|A0A1S8VMC1|A0A1S8VMC1_9FUNG	TMhelix|TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(65-87)|TMhelix(107-129)|Glyco_trans_2_3(227-410)|TMhelix(382-404)|TMhelix(414-436)|TMhelix(448-470)
tr|A0A1V9XZV6|A0A1V9XZV6_9ACAR	TMhelix|TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(7-29)|TMhelix(44-66)|Glyco_trans_2_3(239-415)|TMhelix(400-422)|TMhelix(432-454)|TMhelix(461-483)
tr|A0A1W0X3D4|A0A1W0X3D4_HYPDU	TMhelix|TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(13-35)|TMhelix(50-72)|Glyco_trans_2_3(184-378)|TMhelix(345-366)|TMhelix(381-403)|TMhelix(416-438)
tr|A0A1W4V8N3|A0A1W4V8N3_DROFC	TMhelix|TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(7-28)|TMhelix(54-76)|Glyco_trans_2_3(184-372)|TMhelix(345-367)|TMhelix(377-399)|TMhelix(406-428)
tr|A0A1W4X1W1|A0A1W4X1W1_AGRPL	TMhelix|TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(9-27)|TMhelix(47-69)|Glyco_trans_2_3(185-373)|TMhelix(346-368)|TMhelix(378-399)|TMhelix(412-434)
tr|A0A1Y2AZ76|A0A1Y2AZ76_9FUNG	TMhelix|TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(36-58)|TMhelix(73-95)|Glyco_trans_2_3(197-399)|TMhelix(354-376)|TMhelix(386-408)|TMhelix(420-442)
tr|A0A1Y2BPB1|A0A1Y2BPB1_9FUNG	TMhelix|TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(26-48)|TMhelix(68-90)|Glyco_trans_2_3(192-373)|TMhelix(347-369)|TMhelix(379-401)|TMhelix(421-443)
tr|A0A1Y2CV47|A0A1Y2CV47_9FUNG	TMhelix|TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(52-74)|TMhelix(87-109)|Glyco_trans_2_3(211-388)|TMhelix(367-389)|TMhelix(401-423)|TMhelix(438-460)
tr|A0A238VQK1|A0A238VQK1_9ACTN	TMhelix|TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(60-82)|TMhelix(97-119)|Glyco_trans_2_3(225-406)|TMhelix(392-414)|TMhelix(424-441)|TMhelix(461-483)
tr|A0A2A2JE84|A0A2A2JE84_9BILA	TMhelix|TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(7-29)|TMhelix(55-77)|Glyco_trans_2_3(185-373)|TMhelix(346-368)|TMhelix(381-403)|TMhelix(415-437)
tr|A0A2A4JX61|A0A2A4JX61_HELVI	TMhelix|TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(10-32)|TMhelix(45-67)|Glyco_trans_2_3(185-370)|TMhelix(346-368)|TMhelix(381-398)|TMhelix(418-440)
tr|A0A2E3BYF2|A0A2E3BYF2_9PROT	TMhelix|TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(15-37)|TMhelix(58-80)|Glyco_trans_2_3(218-448)|TMhelix(397-419)|TMhelix(426-448)|TMhelix(468-490)
tr|A0A2G5HK24|A0A2G5HK24_CERBT	TMhelix|TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(21-43)|TMhelix(63-85)|Glyco_trans_2_3(190-392)|TMhelix(332-354)|TMhelix(374-396)|TMhelix(409-431)
tr|A0A2G5UIG7|A0A2G5UIG7_9PELO	TMhelix|TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(42-64)|TMhelix(79-101)|Glyco_trans_2_3(218-406)|TMhelix(380-399)|TMhelix(414-436)|TMhelix(449-471)
tr|A0A2H5V681|A0A2H5V681_9ARCH	TMhelix|TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(12-31)|TMhelix(65-82)|Glyco_trans_2_3(309-500)|TMhelix(471-493)|TMhelix(498-520)|TMhelix(541-563)
tr|A0A2I2F8Z7|A0A2I2F8Z7_9EURO	TMhelix|TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(21-43)|TMhelix(69-91)|Glyco_trans_2_3(199-406)|TMhelix(352-374)|TMhelix(384-406)|TMhelix(413-435)
tr|A0A2J7PFZ4|A0A2J7PFZ4_9NEOP	TMhelix|TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(9-31)|TMhelix(51-73)|Glyco_trans_2_3(185-361)|TMhelix(346-368)|TMhelix(378-400)|TMhelix(407-429)
tr|B3MYW8|B3MYW8_DROAN	TMhelix|TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(7-26)|TMhelix(54-76)|Glyco_trans_2_3(184-372)|TMhelix(345-367)|TMhelix(377-399)|TMhelix(406-428)
tr|B4I9W7|B4I9W7_DROSE	TMhelix|TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(7-28)|TMhelix(54-76)|Glyco_trans_2_3(184-372)|TMhelix(345-367)|TMhelix(377-399)|TMhelix(406-428)
tr|B7P9Z4|B7P9Z4_IXOSC	TMhelix|TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(13-35)|TMhelix(55-77)|Glyco_trans_2_3(186-383)|TMhelix(352-374)|TMhelix(378-400)|TMhelix(413-435)
tr|E5SF87|E5SF87_TRISP	TMhelix|TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(16-38)|TMhelix(53-75)|Glyco_trans_2_3(196-406)|TMhelix(387-409)|TMhelix(413-435)|TMhelix(448-470)
tr|E6N536|E6N536_9ARCH	TMhelix|TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(12-31)|TMhelix(65-82)|Glyco_trans_2_3(309-500)|TMhelix(471-493)|TMhelix(498-520)|TMhelix(541-563)
tr|G0MK35|G0MK35_CAEBE	TMhelix|TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(7-29)|TMhelix(44-66)|Glyco_trans_2_3(184-372)|TMhelix(346-365)|TMhelix(380-402)|TMhelix(415-437)
tr|L1JDN1|L1JDN1_GUITH	TMhelix|TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(21-43)|TMhelix(58-80)|Glyco_trans_2_3(203-400)|TMhelix(376-398)|TMhelix(405-427)|TMhelix(442-464)
tr|Q6L2V0|Q6L2V0_PICTO	TMhelix|TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(28-50)|TMhelix(60-79)|Glyco_trans_2_3(195-401)|TMhelix(357-379)|TMhelix(384-406)|TMhelix(419-441)
tr|Q7Q4U5|Q7Q4U5_ANOGA	TMhelix|TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(9-31)|TMhelix(51-73)|Glyco_trans_2_3(185-361)|TMhelix(346-368)|TMhelix(378-400)|TMhelix(407-429)
tr|Q9HLL4|Q9HLL4_THEAC	TMhelix|TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(7-29)|TMhelix(39-61)|Glyco_trans_2_3(181-397)|TMhelix(351-373)|TMhelix(383-400)|TMhelix(421-443)
tr|T0N356|T0N356_9EURY	TMhelix|TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(13-35)|TMhelix(45-67)|Glyco_trans_2_3(185-393)|TMhelix(350-372)|TMhelix(387-406)|TMhelix(427-449)
tr|T0NBN7|T0NBN7_9EURY	TMhelix|TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(13-35)|TMhelix(45-67)|Glyco_trans_2_3(185-393)|TMhelix(350-372)|TMhelix(387-406)|TMhelix(427-449)
tr|T1KL38|T1KL38_TETUR	TMhelix|TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(47-69)|TMhelix(89-111)|Glyco_trans_2_3(222-425)|TMhelix(384-406)|TMhelix(416-438)|TMhelix(451-473)
tr|A0A100INS9|A0A100INS9_ASPNG	TMhelix|TMhelix|GT-A|TMhelix|TMhelix	TMhelix(21-43)|TMhelix(69-91)|Glyco_trans_2_3(199-345)|TMhelix(350-372)|TMhelix(419-441)
tr|A0A177WLB6|A0A177WLB6_BATDE	TMhelix|TMhelix|GT-A|TMhelix|TMhelix	TMhelix(60-82)|TMhelix(102-124)|Glyco_trans_2_3(224-407)|TMhelix(381-403)|TMhelix(418-440)
tr|A0A1I8A0T6|A0A1I8A0T6_9BILA	TMhelix|TMhelix|GT-A|TMhelix|TMhelix	TMhelix(12-34)|TMhelix(59-81)|Glyco_trans_2_3(189-404)|TMhelix(350-371)|TMhelix(381-403)
tr|A0A1V6S5T9|A0A1V6S5T9_9EURO	TMhelix|TMhelix|GT-A|TMhelix|TMhelix	TMhelix(33-55)|TMhelix(75-97)|Glyco_trans_2_3(204-380)|TMhelix(359-381)|TMhelix(426-448)
tr|A0A261C6J4|A0A261C6J4_9PELO	TMhelix|TMhelix|GT-A|TMhelix|TMhelix	TMhelix(7-29)|TMhelix(44-66)|Glyco_trans_2_3(184-372)|TMhelix(375-397)|TMhelix(417-439)
tr|E3LSF5|E3LSF5_CAERE	TMhelix|TMhelix|GT-A|TMhelix|TMhelix	TMhelix(7-29)|TMhelix(44-66)|Glyco_trans_2_3(184-372)|TMhelix(375-397)|TMhelix(417-439)
tr|G7XG95|G7XG95_ASPKW	TMhelix|TMhelix|GT-A|TMhelix|TMhelix	TMhelix(21-43)|TMhelix(69-91)|Glyco_trans_2_3(199-375)|TMhelix(357-379)|TMhelix(423-445)
tr|H2C4E9|H2C4E9_9CREN	TMhelix|TMhelix|GT-A|TMhelix|TMhelix	TMhelix(25-47)|TMhelix(62-79)|Glyco_trans_2_3(187-329)|TMhelix(376-398)|TMhelix(413-435)
tr|J9JTY1|J9JTY1_ACYPI	TMhelix|TMhelix|GT-A|TMhelix|TMhelix	TMhelix(10-29)|TMhelix(49-71)|Glyco_trans_2_3(187-363)|TMhelix(379-401)|TMhelix(414-436)
tr|L2FQI4|L2FQI4_COLGN	TMhelix|TMhelix|GT-A|TMhelix|TMhelix	TMhelix(43-65)|TMhelix(85-107)|Glyco_trans_2_3(218-414)|TMhelix(359-381)|TMhelix(385-407)
tr|N4V8Y8|N4V8Y8_COLOR	TMhelix|TMhelix|GT-A|TMhelix|TMhelix	TMhelix(35-57)|TMhelix(72-94)|Glyco_trans_2_3(204-350)|TMhelix(349-371)|TMhelix(376-398)
tr|T0M2U5|T0M2U5_COLGC	TMhelix|TMhelix|GT-A|TMhelix|TMhelix	TMhelix(43-65)|TMhelix(85-107)|Glyco_trans_2_3(218-414)|TMhelix(359-381)|TMhelix(385-407)
tr|A0A1B0GKC5|A0A1B0GKC5_LUTLO	TMhelix|TMhelix|GT-A|TMhelix|GT-A|TMhelix|TMhelix	TMhelix(12-31)|TMhelix(57-79)|Glyco_trans_2_3(187-377)|TMhelix(353-375)|Glyco_tranf_GTA_type(312-453)|TMhelix(379-401)|TMhelix(414-436)
tr|A0A1L9WIN1|A0A1L9WIN1_ASPAC	TMhelix|TMhelix|GT-A|TMhelix	TMhelix(27-49)|TMhelix(69-91)|Glyco_tranf_GTA_type(191-388)|TMhelix(355-377)
tr|A0A212EPC8|A0A212EPC8_DANPL	TMhelix|TMhelix|GT-A|TMhelix	TMhelix(12-34)|TMhelix(58-80)|Glyco_trans_2_3(188-340)|TMhelix(333-350)
tr|A0A088AFU3|A0A088AFU3_APIME	TMhelix|TMhelix|GT-A|NGP1NT|NGP_1	TMhelix(10-32)|TMhelix(45-67)|Glyco_trans_2_3(185-329)|NGP1NT(380-510)|NGP_1(548-704)
tr|A0A164LCS0|A0A164LCS0_9CRUS	TMhelix|TMhelix|GT-A|GT-A|TMhelix|TMhelix|TMhelix|TMhelix|MPC	TMhelix(24-46)|TMhelix(67-89)|BcsA(79-461)|Glyco_trans_2_3(206-386)|TMhelix(386-408)|TMhelix(420-442)|TMhelix(465-487)|TMhelix(507-529)|MPC(483-566)
tr|A0A044V0M5|A0A044V0M5_ONCVO	TMhelix|TMhelix|GT-A|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(13-35)|TMhelix(60-82)|BcsA(49-457)|Glyco_trans_2_3(190-375)|TMhelix(351-373)|TMhelix(386-408)|TMhelix(420-442)
tr|A0A0J9XZH0|A0A0J9XZH0_BRUMA	TMhelix|TMhelix|GT-A|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(13-35)|TMhelix(60-82)|BcsA(49-457)|Glyco_trans_2_3(190-388)|TMhelix(351-373)|TMhelix(383-405)|TMhelix(418-440)
tr|A0A151XJ08|A0A151XJ08_9HYME	TMhelix|TMhelix|GT-A|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(9-31)|TMhelix(46-68)|BcsA(41-436)|Glyco_trans_2_3(185-373)|TMhelix(346-368)|TMhelix(378-400)|TMhelix(407-429)
tr|A0A158NEH7|A0A158NEH7_ATTCE	TMhelix|TMhelix|GT-A|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(9-31)|TMhelix(46-68)|BcsA(41-436)|Glyco_trans_2_3(185-373)|TMhelix(346-368)|TMhelix(378-400)|TMhelix(407-429)
