tr|A0A199UHN5|A0A199UHN5_ANACO	zf-Dof|GT	zf-Dof(87-137)|PLN02829(204-685)
tr|A0A0E0QU85|A0A0E0QU85_ORYRU	TMhelix|PLN02910|PLN02910|Protein_Kinase	TMhelix(32-54)|PLN02910(95-695)|PLN02910(888-1337)|STKc_IRAK(1456-1726)
sp|Q9LE59|GAUT1_ARATH	TMhelix|PLN02910	TMhelix(23-45)|PLN02910(81-673)
tr|A0A061DUT4|A0A061DUT4_THECC	TMhelix|PLN02910	TMhelix(24-46)|PLN02910(81-676)
tr|A0A067H4R3|A0A067H4R3_CITSI	TMhelix|PLN02910	TMhelix(21-40)|PLN02910(84-683)
tr|A0A067K8Z3|A0A067K8Z3_JATCU	TMhelix|PLN02910	TMhelix(21-43)|PLN02910(162-686)
tr|A0A0D3HCS0|A0A0D3HCS0_9ORYZ	TMhelix|PLN02910	TMhelix(21-43)|PLN02910(46-685)
tr|A0A0E0B9G7|A0A0E0B9G7_9ORYZ	TMhelix|PLN02910	TMhelix(21-43)|PLN02910(46-685)
tr|A0A0E0IR42|A0A0E0IR42_ORYNI	TMhelix|PLN02910	TMhelix(21-43)|PLN02910(46-685)
tr|A0A0E0LFK5|A0A0E0LFK5_ORYPU	TMhelix|PLN02910	TMhelix(88-110)|PLN02910(144-667)
tr|A0A0E0M3S7|A0A0E0M3S7_ORYPU	TMhelix|PLN02910	TMhelix(30-52)|PLN02910(93-693)
tr|A0A164TW83|A0A164TW83_DAUCA	TMhelix|PLN02910	TMhelix(12-34)|PLN02910(24-659)
tr|A0A165A0L6|A0A165A0L6_DAUCA	TMhelix|PLN02910	TMhelix(21-43)|PLN02910(23-657)
tr|A0A199VU15|A0A199VU15_ANACO	TMhelix|PLN02910	TMhelix(21-43)|PLN02910(89-707)
tr|A0A1D6ETS0|A0A1D6ETS0_MAIZE	TMhelix|PLN02910	TMhelix(27-49)|PLN02910(114-684)
tr|A0A1D6I9P8|A0A1D6I9P8_MAIZE	TMhelix|PLN02910	TMhelix(26-48)|PLN02910(179-683)
tr|A0A1E5V6T0|A0A1E5V6T0_9POAL	TMhelix|PLN02910	TMhelix(27-49)|PLN02910(110-675)
tr|A0A1Q3C9B3|A0A1Q3C9B3_CEPFO	TMhelix|PLN02910	TMhelix(24-43)|PLN02910(86-685)
tr|A0A1R3I817|A0A1R3I817_COCAP	TMhelix|PLN02910	TMhelix(24-46)|PLN02910(81-676)
tr|A0A1R3K091|A0A1R3K091_9ROSI	TMhelix|PLN02910	TMhelix(24-46)|PLN02910(81-676)
tr|A0A1S3AVA4|A0A1S3AVA4_CUCME	TMhelix|PLN02910	TMhelix(26-48)|PLN02910(133-651)
tr|A0A1S3BID1|A0A1S3BID1_CUCME	TMhelix|PLN02910	TMhelix(12-34)|PLN02910(46-679)
tr|A0A1S3ZEV1|A0A1S3ZEV1_TOBAC	TMhelix|PLN02910	TMhelix(21-43)|PLN02910(84-693)
tr|A0A1S4B367|A0A1S4B367_TOBAC	TMhelix|PLN02910	TMhelix(7-26)|PLN02910(63-668)
tr|A0A1S4C1P9|A0A1S4C1P9_TOBAC	TMhelix|PLN02910	TMhelix(7-29)|PLN02910(63-668)
tr|A0A1S4CEY5|A0A1S4CEY5_TOBAC	TMhelix|PLN02910	TMhelix(21-43)|PLN02910(84-687)
tr|A0A1S4E2N0|A0A1S4E2N0_CUCME	TMhelix|PLN02910	TMhelix(21-43)|PLN02910(83-683)
tr|A0A1U7WBN0|A0A1U7WBN0_NICSY	TMhelix|PLN02910	TMhelix(7-29)|PLN02910(63-668)
tr|A0A1U7XGB9|A0A1U7XGB9_NICSY	TMhelix|PLN02910	TMhelix(21-43)|PLN02910(84-687)
tr|A0A1U8A336|A0A1U8A336_NELNU	TMhelix|PLN02910	TMhelix(20-42)|PLN02910(86-692)
tr|A0A1U8AX41|A0A1U8AX41_NELNU	TMhelix|PLN02910	TMhelix(17-39)|PLN02910(157-682)
tr|A0A1U8HZZ4|A0A1U8HZZ4_GOSHI	TMhelix|PLN02910	TMhelix(24-46)|PLN02910(81-672)
tr|A0A1U8IB91|A0A1U8IB91_GOSHI	TMhelix|PLN02910	TMhelix(7-26)|PLN02910(53-691)
tr|A0A1U8IVS6|A0A1U8IVS6_GOSHI	TMhelix|PLN02910	TMhelix(24-46)|PLN02910(81-672)
tr|A0A1U8K361|A0A1U8K361_GOSHI	TMhelix|PLN02910	TMhelix(24-46)|PLN02910(36-676)
tr|A0A1U8KXE7|A0A1U8KXE7_GOSHI	TMhelix|PLN02910	TMhelix(7-29)|PLN02910(43-681)
tr|A0A1U8P391|A0A1U8P391_GOSHI	TMhelix|PLN02910	TMhelix(24-46)|PLN02910(81-676)
tr|A0A1U8P602|A0A1U8P602_GOSHI	TMhelix|PLN02910	TMhelix(24-46)|PLN02910(81-672)
tr|A0A1U8PAV4|A0A1U8PAV4_GOSHI	TMhelix|PLN02910	TMhelix(24-46)|PLN02910(81-676)
tr|A0A200PPS1|A0A200PPS1_9MAGN	TMhelix|PLN02910	TMhelix(19-41)|PLN02910(118-717)
tr|A0A218VWM1|A0A218VWM1_PUNGR	TMhelix|PLN02910	TMhelix(17-39)|PLN02910(80-678)
tr|A0A251RNI8|A0A251RNI8_HELAN	TMhelix|PLN02910	TMhelix(48-70)|PLN02910(88-716)
tr|A0A251S370|A0A251S370_HELAN	TMhelix|PLN02910	TMhelix(20-42)|PLN02910(81-669)
tr|A0A251SZ12|A0A251SZ12_HELAN	TMhelix|PLN02910	TMhelix(75-97)|PLN02910(140-731)
tr|A0A251SZ49|A0A251SZ49_HELAN	TMhelix|PLN02910	TMhelix(12-34)|PLN02910(75-668)
tr|A0A2G2W3R9|A0A2G2W3R9_CAPBA	TMhelix|PLN02910	TMhelix(21-40)|PLN02910(31-645)
tr|A0A2G9HK85|A0A2G9HK85_9LAMI	TMhelix|PLN02910	TMhelix(20-42)|PLN02910(86-685)
tr|A0A2H3X1J3|A0A2H3X1J3_PHODC	TMhelix|PLN02910	TMhelix(21-43)|PLN02910(85-696)
tr|A0A2H5NQ27|A0A2H5NQ27_CITUN	TMhelix|PLN02910	TMhelix(21-40)|PLN02910(31-663)
tr|A0A2H5NQS2|A0A2H5NQS2_CITUN	TMhelix|PLN02910	TMhelix(21-40)|PLN02910(121-625)
tr|A0A2I4DHN0|A0A2I4DHN0_9ROSI	TMhelix|PLN02910	TMhelix(13-35)|PLN02910(78-674)
tr|A0A2I4H6C9|A0A2I4H6C9_9ROSI	TMhelix|PLN02910	TMhelix(21-40)|PLN02910(90-686)
tr|A0A2J6KMC4|A0A2J6KMC4_LACSA	TMhelix|PLN02910	TMhelix(31-53)|PLN02910(73-670)
tr|A0A2K1J2H6|A0A2K1J2H6_PHYPA	TMhelix|PLN02910	TMhelix(20-42)|PLN02910(84-657)
tr|A0A2K1XRU2|A0A2K1XRU2_POPTR	TMhelix|PLN02910	TMhelix(21-43)|PLN02910(90-688)
tr|A0A2K2BJ36|A0A2K2BJ36_POPTR	TMhelix|PLN02910	TMhelix(21-40)|PLN02910(85-683)
tr|A0A2K3PGC1|A0A2K3PGC1_TRIPR	TMhelix|PLN02910	TMhelix(12-34)|PLN02910(110-616)
tr|A0A2P4KCS0|A0A2P4KCS0_QUESU	TMhelix|PLN02910	TMhelix(17-39)|PLN02910(79-679)
tr|A0A2P5ALD7|A0A2P5ALD7_PARAD	TMhelix|PLN02910	TMhelix(21-43)|PLN02910(109-625)
tr|A0A2P5EHZ6|A0A2P5EHZ6_9ROSA	TMhelix|PLN02910	TMhelix(21-43)|PLN02910(109-625)
tr|A0A2P5SEJ6|A0A2P5SEJ6_GOSBA	TMhelix|PLN02910	TMhelix(24-46)|PLN02910(81-695)
tr|A0A2P5SI31|A0A2P5SI31_GOSBA	TMhelix|PLN02910	TMhelix(24-46)|PLN02910(81-672)
tr|A0A2P6SGD1|A0A2P6SGD1_ROSCH	TMhelix|PLN02910	TMhelix(13-35)|PLN02910(76-671)
tr|A0A2R6QS99|A0A2R6QS99_ACTCH	TMhelix|PLN02910	TMhelix(20-42)|PLN02910(82-680)
tr|A0A2R6WD24|A0A2R6WD24_MARPO	TMhelix|PLN02910	TMhelix(24-46)|PLN02910(87-696)
tr|B8BDU1|B8BDU1_ORYSI	TMhelix|PLN02910	TMhelix(21-43)|PLN02910(172-542)
tr|B8BDU2|B8BDU2_ORYSI	TMhelix|PLN02910	TMhelix(32-54)|PLN02910(95-695)
tr|B9RDH4|B9RDH4_RICCO	TMhelix|PLN02910	TMhelix(20-39)|PLN02910(112-710)
tr|C5X673|C5X673_SORBI	TMhelix|PLN02910	TMhelix(28-50)|PLN02910(111-683)
tr|C5Z2J9|C5Z2J9_SORBI	TMhelix|PLN02910	TMhelix(31-53)|PLN02910(94-692)
tr|D7LS61|D7LS61_ARALL	TMhelix|PLN02910	TMhelix(21-40)|PLN02910(20-673)
tr|D7U7P1|D7U7P1_VITVI	TMhelix|PLN02910	TMhelix(21-40)|PLN02910(81-681)
tr|G7L1F3|G7L1F3_MEDTR	TMhelix|PLN02910	TMhelix(13-35)|PLN02910(75-664)
tr|I1IS53|I1IS53_BRADI	TMhelix|PLN02910	TMhelix(29-51)|PLN02910(114-691)
tr|I1QQN7|I1QQN7_ORYGL	TMhelix|PLN02910	TMhelix(32-54)|PLN02910(118-695)
tr|I1QTS2|I1QTS2_ORYGL	TMhelix|PLN02910	TMhelix(21-40)|PLN02910(48-666)
tr|K3ZR93|K3ZR93_SETIT	TMhelix|PLN02910	TMhelix(27-49)|PLN02910(110-682)
tr|M0ZG03|M0ZG03_SOLTU	TMhelix|PLN02910	TMhelix(21-40)|PLN02910(84-688)
tr|M1AND6|M1AND6_SOLTU	TMhelix|PLN02910	TMhelix(13-35)|PLN02910(132-635)
tr|M4CK01|M4CK01_BRARP	TMhelix|PLN02910	TMhelix(19-41)|PLN02910(41-646)
tr|M4CTM9|M4CTM9_BRARP	TMhelix|PLN02910	TMhelix(21-43)|PLN02910(24-673)
tr|M4DD85|M4DD85_BRARP	TMhelix|PLN02910	TMhelix(21-43)|PLN02910(86-663)
tr|M5XSU4|M5XSU4_PRUPE	TMhelix|PLN02910	TMhelix(17-39)|PLN02910(81-674)
tr|Q652K2|Q652K2_ORYSJ	TMhelix|PLN02910	TMhelix(32-54)|PLN02910(95-695)
tr|W5FKC1|W5FKC1_WHEAT	TMhelix|PLN02910	TMhelix(21-43)|PLN02910(86-693)
tr|A0A2G3C1J9|A0A2G3C1J9_CAPCH	TMhelix|PLN02867|gag_pre-integrs	TMhelix(52-74)|PLN02867(1-533)|gag_pre-integrs(551-607)
sp|Q8L4B0|GAUTF_ARATH	TMhelix|PLN02867	TMhelix(45-67)|PLN02867(1-540)
tr|A0A061DJU0|A0A061DJU0_THECC	TMhelix|PLN02867	TMhelix(46-68)|PLN02867(1-540)
tr|A0A067F0N8|A0A067F0N8_CITSI	TMhelix|PLN02867	TMhelix(41-63)|PLN02867(1-534)
tr|A0A067LEZ6|A0A067LEZ6_JATCU	TMhelix|PLN02867	TMhelix(41-63)|PLN02867(1-529)
tr|A0A072UVY1|A0A072UVY1_MEDTR	TMhelix|PLN02867	TMhelix(49-71)|PLN02867(1-530)
tr|A0A077S3P1|A0A077S3P1_WHEAT	TMhelix|PLN02867	TMhelix(33-52)|PLN02867(25-525)
tr|A0A151RYZ4|A0A151RYZ4_CAJCA	TMhelix|PLN02867	TMhelix(44-66)|PLN02867(1-529)
tr|A0A151U266|A0A151U266_CAJCA	TMhelix|PLN02867	TMhelix(39-61)|PLN02867(1-530)
tr|A0A165YWR8|A0A165YWR8_DAUCA	TMhelix|PLN02867	TMhelix(42-64)|PLN02867(1-528)
tr|A0A1B6Q5V6|A0A1B6Q5V6_SORBI	TMhelix|PLN02867	TMhelix(38-60)|PLN02867(65-531)
tr|A0A1D6RS18|A0A1D6RS18_WHEAT	TMhelix|PLN02867	TMhelix(30-52)|PLN02867(25-525)
tr|A0A1Q3BB04|A0A1Q3BB04_CEPFO	TMhelix|PLN02867	TMhelix(39-61)|PLN02867(1-527)
tr|A0A1R3GTL9|A0A1R3GTL9_COCAP	TMhelix|PLN02867	TMhelix(50-72)|PLN02867(1-529)
tr|A0A1S2Z2C3|A0A1S2Z2C3_CICAR	TMhelix|PLN02867	TMhelix(48-70)|PLN02867(1-528)
tr|A0A1S3C352|A0A1S3C352_CUCME	TMhelix|PLN02867	TMhelix(44-66)|PLN02867(1-536)
tr|A0A1S3U9P0|A0A1S3U9P0_VIGRR	TMhelix|PLN02867	TMhelix(40-59)|PLN02867(1-525)
tr|A0A1S3VKU3|A0A1S3VKU3_VIGRR	TMhelix|PLN02867	TMhelix(43-65)|PLN02867(1-526)
tr|A0A1S4A2W7|A0A1S4A2W7_TOBAC	TMhelix|PLN02867	TMhelix(52-74)|PLN02867(2-548)
tr|A0A1S4BCM3|A0A1S4BCM3_TOBAC	TMhelix|PLN02867	TMhelix(47-69)|PLN02867(2-548)
tr|A0A1U7VLA7|A0A1U7VLA7_NICSY	TMhelix|PLN02867	TMhelix(47-69)|PLN02867(2-548)
tr|A0A1U8AWV8|A0A1U8AWV8_NELNU	TMhelix|PLN02867	TMhelix(42-64)|PLN02867(1-547)
tr|A0A1U8AYL9|A0A1U8AYL9_NELNU	TMhelix|PLN02867	TMhelix(38-60)|PLN02867(1-555)
tr|A0A1U8PJA3|A0A1U8PJA3_GOSHI	TMhelix|PLN02867	TMhelix(51-73)|PLN02867(8-544)
tr|A0A1U8PNE9|A0A1U8PNE9_GOSHI	TMhelix|PLN02867	TMhelix(76-98)|PLN02867(38-566)
tr|A0A200Q581|A0A200Q581_9MAGN	TMhelix|PLN02867	TMhelix(44-66)|PLN02867(1-562)
tr|A0A218WM40|A0A218WM40_PUNGR	TMhelix|PLN02867	TMhelix(38-60)|PLN02867(1-493)
tr|A0A251Q1F5|A0A251Q1F5_PRUPE	TMhelix|PLN02867	TMhelix(36-58)|PLN02867(1-523)
tr|A0A287LI90|A0A287LI90_HORVV	TMhelix|PLN02867	TMhelix(34-56)|PLN02867(29-531)
tr|A0A2G2WG07|A0A2G2WG07_CAPBA	TMhelix|PLN02867	TMhelix(52-74)|PLN02867(1-548)
tr|A0A2G2Z4H7|A0A2G2Z4H7_CAPAN	TMhelix|PLN02867	TMhelix(50-72)|PLN02867(1-546)
tr|A0A2H3WXP4|A0A2H3WXP4_PHODC	TMhelix|PLN02867	TMhelix(32-54)|PLN02867(1-534)
tr|A0A2H3Y241|A0A2H3Y241_PHODC	TMhelix|PLN02867	TMhelix(36-58)|PLN02867(1-534)
tr|A0A2H5PEI7|A0A2H5PEI7_CITUN	TMhelix|PLN02867	TMhelix(41-63)|PLN02867(1-524)
tr|A0A2H5PEM8|A0A2H5PEM8_CITUN	TMhelix|PLN02867	TMhelix(41-63)|PLN02867(1-534)
tr|A0A2I0AGA8|A0A2I0AGA8_9ASPA	TMhelix|PLN02867	TMhelix(12-34)|PLN02867(8-505)
tr|A0A2I4G6G1|A0A2I4G6G1_9ROSI	TMhelix|PLN02867	TMhelix(39-61)|PLN02867(1-526)
tr|A0A2P4LDY8|A0A2P4LDY8_QUESU	TMhelix|PLN02867	TMhelix(42-64)|PLN02867(1-509)
tr|A0A2P5D7Y8|A0A2P5D7Y8_PARAD	TMhelix|PLN02867	TMhelix(41-63)|PLN02867(1-531)
tr|A0A2P5EYP8|A0A2P5EYP8_9ROSA	TMhelix|PLN02867	TMhelix(41-63)|PLN02867(1-531)
tr|A0A2P6S051|A0A2P6S051_ROSCH	TMhelix|PLN02867	TMhelix(40-62)|PLN02867(1-527)
tr|A0A2R6PQK9|A0A2R6PQK9_ACTCH	TMhelix|PLN02867	TMhelix(37-59)|PLN02867(1-526)
tr|B9IA47|B9IA47_POPTR	TMhelix|PLN02867	TMhelix(36-58)|PLN02867(1-531)
tr|B9S311|B9S311_RICCO	TMhelix|PLN02867	TMhelix(43-65)|PLN02867(1-535)
tr|D7LW77|D7LW77_ARALL	TMhelix|PLN02867	TMhelix(45-67)|PLN02867(1-538)
tr|D7TMP2|D7TMP2_VITVI	TMhelix|PLN02867	TMhelix(37-59)|PLN02867(1-528)
tr|I1KY25|I1KY25_SOYBN	TMhelix|PLN02867	TMhelix(41-63)|PLN02867(1-525)
tr|I1M6W5|I1M6W5_SOYBN	TMhelix|PLN02867	TMhelix(39-58)|PLN02867(1-522)
tr|K4CGC6|K4CGC6_SOLLC	TMhelix|PLN02867	TMhelix(52-74)|PLN02867(2-545)
tr|K7MR54|K7MR54_SOYBN	TMhelix|PLN02867	TMhelix(41-63)|PLN02867(1-525)
tr|M1BGJ5|M1BGJ5_SOLTU	TMhelix|PLN02867	TMhelix(51-73)|PLN02867(1-544)
tr|M4CGM4|M4CGM4_BRARP	TMhelix|PLN02867	TMhelix(41-63)|PLN02867(1-533)
tr|M4CT78|M4CT78_BRARP	TMhelix|PLN02867	TMhelix(39-61)|PLN02867(1-532)
tr|V7B712|V7B712_PHAVU	TMhelix|PLN02867	TMhelix(40-59)|PLN02867(1-525)
tr|V7BMS2|V7BMS2_PHAVU	TMhelix|PLN02867	TMhelix(43-65)|PLN02867(1-528)
tr|A0A0D3HNK9|A0A0D3HNK9_9ORYZ	TMhelix|PLN02718	TMhelix(21-40)|PLN02718(58-547)
tr|A0A0E0BKT6|A0A0E0BKT6_9ORYZ	TMhelix|PLN02718	TMhelix(20-39)|PLN02718(55-544)
tr|A0A0E0F775|A0A0E0F775_9ORYZ	TMhelix|PLN02718	TMhelix(20-39)|PLN02718(55-544)
tr|A0A0E0J3T4|A0A0E0J3T4_ORYNI	TMhelix|PLN02718	TMhelix(21-40)|PLN02718(58-547)
tr|A0A0E0MGS2|A0A0E0MGS2_ORYPU	TMhelix|PLN02718	TMhelix(20-39)|PLN02718(50-539)
tr|A0A199VJD4|A0A199VJD4_ANACO	TMhelix|PLN02718	TMhelix(7-29)|PLN02718(63-581)
tr|A0A1D6F790|A0A1D6F790_MAIZE	TMhelix|PLN02718	TMhelix(12-34)|PLN02718(91-538)
tr|A0A1U8BLI1|A0A1U8BLI1_NELNU	TMhelix|PLN02718	TMhelix(5-27)|PLN02718(1-597)
tr|A0A1Z5RJC2|A0A1Z5RJC2_SORBI	TMhelix|PLN02718	TMhelix(13-35)|PLN02718(99-546)
tr|A0A2I4DZ98|A0A2I4DZ98_9ROSI	TMhelix|PLN02718	TMhelix(7-29)|PLN02718(1-627)
tr|A2ZG16|A2ZG16_ORYSI	TMhelix|PLN02718	TMhelix(21-40)|PLN02718(58-547)
tr|I1IKR0|I1IKR0_BRADI	TMhelix|PLN02718	TMhelix(13-35)|PLN02718(88-535)
tr|I1R1B6|I1R1B6_ORYGL	TMhelix|PLN02718	TMhelix(20-39)|PLN02718(54-543)
tr|J3N9C4|J3N9C4_ORYBR	TMhelix|PLN02718	TMhelix(12-31)|PLN02718(55-532)
tr|K4CB08|K4CB08_SOLLC	TMhelix|PLN02718	TMhelix(7-29)|PLN02718(1-595)
tr|M0ZUA8|M0ZUA8_SOLTU	TMhelix|PLN02718	TMhelix(7-29)|PLN02718(1-597)
tr|M4DYQ4|M4DYQ4_BRARP	TMhelix|PLN02718	TMhelix(74-91)|PLN02718(65-674)
tr|W1P0G5|W1P0G5_AMBTC	TMhelix|PLN02718	TMhelix(24-41)|PLN02718(15-604)
sp|Q9FH36|GAUTC_ARATH	TMhelix|PLN02659	TMhelix(37-54)|PLN02659(1-535)
tr|A0A061F5I2|A0A061F5I2_THECC	TMhelix|PLN02659	TMhelix(37-54)|PLN02659(1-533)
tr|A0A067DTP4|A0A067DTP4_CITSI	TMhelix|PLN02659	TMhelix(104-121)|PLN02659(68-600)
tr|A0A067L3G0|A0A067L3G0_JATCU	TMhelix|PLN02659	TMhelix(37-54)|PLN02659(1-532)
tr|A0A118K6A0|A0A118K6A0_CYNCS	TMhelix|PLN02659	TMhelix(37-54)|PLN02659(1-534)
tr|A0A151RXB9|A0A151RXB9_CAJCA	TMhelix|PLN02659	TMhelix(37-54)|PLN02659(1-539)
tr|A0A151SFF4|A0A151SFF4_CAJCA	TMhelix|PLN02659	TMhelix(37-59)|PLN02659(1-531)
tr|A0A164VC47|A0A164VC47_DAUCA	TMhelix|PLN02659	TMhelix(39-61)|PLN02659(1-533)
tr|A0A199V0F9|A0A199V0F9_ANACO	TMhelix|PLN02659	TMhelix(33-55)|PLN02659(1-523)
tr|A0A1J6IF06|A0A1J6IF06_NICAT	TMhelix|PLN02659	TMhelix(37-59)|PLN02659(5-537)
tr|A0A1J6L3B8|A0A1J6L3B8_NICAT	TMhelix|PLN02659	TMhelix(43-65)|PLN02659(5-537)
tr|A0A1J7GFF5|A0A1J7GFF5_LUPAN	TMhelix|PLN02659	TMhelix(33-55)|PLN02659(1-533)
tr|A0A1R3ID85|A0A1R3ID85_COCAP	TMhelix|PLN02659	TMhelix(37-54)|PLN02659(1-533)
tr|A0A1S2YIU1|A0A1S2YIU1_CICAR	TMhelix|PLN02659	TMhelix(37-59)|PLN02659(1-533)
tr|A0A1S3CJA9|A0A1S3CJA9_CUCME	TMhelix|PLN02659	TMhelix(39-61)|PLN02659(1-534)
tr|A0A1S3EAP7|A0A1S3EAP7_CICAR	TMhelix|PLN02659	TMhelix(38-60)|PLN02659(7-538)
tr|A0A1S3VR75|A0A1S3VR75_VIGRR	TMhelix|PLN02659	TMhelix(37-59)|PLN02659(1-532)
tr|A0A1S3VUR5|A0A1S3VUR5_VIGRR	TMhelix|PLN02659	TMhelix(38-60)|PLN02659(1-533)
tr|A0A1S3YW65|A0A1S3YW65_TOBAC	TMhelix|PLN02659	TMhelix(37-59)|PLN02659(5-537)
tr|A0A1S4BEI1|A0A1S4BEI1_TOBAC	TMhelix|PLN02659	TMhelix(37-59)|PLN02659(5-537)
tr|A0A1S4DR51|A0A1S4DR51_TOBAC	TMhelix|PLN02659	TMhelix(43-65)|PLN02659(5-537)
tr|A0A1U7XLC0|A0A1U7XLC0_NICSY	TMhelix|PLN02659	TMhelix(37-59)|PLN02659(5-537)
tr|A0A1U7XZ94|A0A1U7XZ94_NICSY	TMhelix|PLN02659	TMhelix(43-65)|PLN02659(5-537)
tr|A0A1U7Z2V1|A0A1U7Z2V1_NELNU	TMhelix|PLN02659	TMhelix(37-54)|PLN02659(1-534)
tr|A0A1U8AJC9|A0A1U8AJC9_NELNU	TMhelix|PLN02659	TMhelix(37-54)|PLN02659(1-534)
tr|A0A1U8EFJ7|A0A1U8EFJ7_CAPAN	TMhelix|PLN02659	TMhelix(37-59)|PLN02659(5-537)
tr|A0A1U8ICM0|A0A1U8ICM0_GOSHI	TMhelix|PLN02659	TMhelix(32-54)|PLN02659(1-532)
tr|A0A1U8KJU0|A0A1U8KJU0_GOSHI	TMhelix|PLN02659	TMhelix(37-54)|PLN02659(1-534)
tr|A0A1U8KSN2|A0A1U8KSN2_GOSHI	TMhelix|PLN02659	TMhelix(32-54)|PLN02659(1-532)
tr|A0A1U8M3P5|A0A1U8M3P5_GOSHI	TMhelix|PLN02659	TMhelix(37-54)|PLN02659(1-534)
tr|A0A200QL74|A0A200QL74_9MAGN	TMhelix|PLN02659	TMhelix(33-55)|PLN02659(1-521)
tr|A0A218XVQ8|A0A218XVQ8_PUNGR	TMhelix|PLN02659	TMhelix(37-54)|PLN02659(1-533)
tr|A0A251STT3|A0A251STT3_HELAN	TMhelix|PLN02659	TMhelix(41-63)|PLN02659(3-537)
tr|A0A251T932|A0A251T932_HELAN	TMhelix|PLN02659	TMhelix(37-54)|PLN02659(1-537)
tr|A0A2G2VR24|A0A2G2VR24_CAPBA	TMhelix|PLN02659	TMhelix(37-59)|PLN02659(5-537)
tr|A0A2G2WF78|A0A2G2WF78_CAPBA	TMhelix|PLN02659	TMhelix(43-65)|PLN02659(5-537)
tr|A0A2G2Z5D3|A0A2G2Z5D3_CAPAN	TMhelix|PLN02659	TMhelix(43-65)|PLN02659(5-537)
tr|A0A2G3ATI8|A0A2G3ATI8_CAPCH	TMhelix|PLN02659	TMhelix(37-59)|PLN02659(5-537)
tr|A0A2G3C2Z7|A0A2G3C2Z7_CAPCH	TMhelix|PLN02659	TMhelix(43-65)|PLN02659(5-537)
tr|A0A2G9GAM7|A0A2G9GAM7_9LAMI	TMhelix|PLN02659	TMhelix(38-60)|PLN02659(1-533)
tr|A0A2G9HP20|A0A2G9HP20_9LAMI	TMhelix|PLN02659	TMhelix(37-59)|PLN02659(1-535)
tr|A0A2G9HQ17|A0A2G9HQ17_9LAMI	TMhelix|PLN02659	TMhelix(37-59)|PLN02659(1-533)
tr|A0A2H3WZ80|A0A2H3WZ80_PHODC	TMhelix|PLN02659	TMhelix(37-54)|PLN02659(1-532)
tr|A0A2H3YL75|A0A2H3YL75_PHODC	TMhelix|PLN02659	TMhelix(39-61)|PLN02659(1-532)
tr|A0A2H5PR06|A0A2H5PR06_CITUN	TMhelix|PLN02659	TMhelix(104-121)|PLN02659(68-600)
tr|A0A2I0AA00|A0A2I0AA00_9ASPA	TMhelix|PLN02659	TMhelix(38-55)|PLN02659(2-533)
tr|A0A2I4EWZ3|A0A2I4EWZ3_9ROSI	TMhelix|PLN02659	TMhelix(37-59)|PLN02659(1-534)
tr|A0A2I4H8B8|A0A2I4H8B8_9ROSI	TMhelix|PLN02659	TMhelix(37-59)|PLN02659(1-533)
