tr|W4XWV3|W4XWV3_STRPU	ZipA|GT-A	ZipA(91-243)|GT8_like_2(237-532)
tr|A0A182JPQ2|A0A182JPQ2_9DIPT	GT-A	Glyco_tranf_GTA_type(63-355)
tr|A0A182M2Z7|A0A182M2Z7_9DIPT	GT-A	Glyco_tranf_GTA_type(1-276)
tr|A0A182N8K7|A0A182N8K7_9DIPT	GT-A	Glyco_tranf_GTA_type(63-355)
tr|A0A182PF78|A0A182PF78_9DIPT	GT-A	Glyco_tranf_GTA_type(1-276)
tr|A0A182Q7K0|A0A182Q7K0_9DIPT	GT-A	Glyco_tranf_GTA_type(63-317)
tr|A0A182R6T1|A0A182R6T1_ANOFN	GT-A	Glyco_tranf_GTA_type(63-355)
tr|A0A182S8J6|A0A182S8J6_9DIPT	GT-A	Glyco_tranf_GTA_type(1-238)
tr|A0A182VT11|A0A182VT11_9DIPT	GT-A	Glyco_tranf_GTA_type(63-355)
tr|A0A182XB40|A0A182XB40_ANOQN	GT-A	Glyco_tranf_GTA_type(63-355)
tr|A0A182YII6|A0A182YII6_ANOST	GT-A	Glyco_tranf_GTA_type(63-355)
tr|A0A195BF88|A0A195BF88_9HYME	GT-A	Glyco_tranf_GTA_type(57-350)
tr|A0A195C790|A0A195C790_9HYME	GT-A	Glyco_tranf_GTA_type(57-350)
tr|A0A195FKV4|A0A195FKV4_9HYME	GT-A	Glyco_tranf_GTA_type(57-350)
tr|A0A1A9YT45|A0A1A9YT45_GLOFF	GT-A	Glyco_tranf_GTA_type(15-309)
tr|A0A1A9ZZ99|A0A1A9ZZ99_GLOPL	GT-A	Glyco_tranf_GTA_type(15-303)
tr|A0A1B0B3E7|A0A1B0B3E7_9MUSC	GT-A	Glyco_tranf_GTA_type(15-309)
tr|A0A1B0FR00|A0A1B0FR00_GLOMM	GT-A	Glyco_tranf_GTA_type(47-341)
tr|A0A1D2M2U8|A0A1D2M2U8_ORCCI	GT-A	Glyco_tranf_GTA_type(36-326)
tr|A0A1D2NEB5|A0A1D2NEB5_ORCCI	GT-A	Glyco_tranf_GTA_type(108-415)
tr|A0A1L8GHZ3|A0A1L8GHZ3_XENLA	GT-A	GT8_like_2(92-395)
tr|A0A1L8GPY2|A0A1L8GPY2_XENLA	GT-A	GT8_like_2(97-400)
tr|A0A1S3A830|A0A1S3A830_ERIEU	GT-A	Glyco_tranf_GTA_type(1-221)
tr|A0A1S3EPJ0|A0A1S3EPJ0_DIPOR	GT-A	Glyco_tranf_GTA_type(1-287)
tr|A0A1S3H1M4|A0A1S3H1M4_LINUN	GT-A	Glyco_tranf_GTA_type(70-363)
tr|A0A1S3H2N4|A0A1S3H2N4_LINUN	GT-A	Glyco_tranf_GTA_type(1-294)
tr|A0A1S3K5L3|A0A1S3K5L3_LINUN	GT-A	Glyco_tranf_GTA_type(14-315)
tr|A0A1S3KFB1|A0A1S3KFB1_LINUN	GT-A	Glyco_tranf_GTA_type(14-315)
tr|A0A1S3LCF7|A0A1S3LCF7_SALSA	GT-A	GT8_like_2(113-420)
tr|A0A1S3MK96|A0A1S3MK96_SALSA	GT-A	GT8_like_2(127-430)
tr|A0A1S3P2J1|A0A1S3P2J1_SALSA	GT-A	GT8_like_2(112-415)
tr|A0A1S3SIV7|A0A1S3SIV7_SALSA	GT-A	GT8_like_2(91-393)
tr|A0A1S3WM61|A0A1S3WM61_ERIEU	GT-A	Glyco_tranf_GTA_type(91-321)
tr|A0A1U7R9L0|A0A1U7R9L0_ALLSI	GT-A	GT8_like_2(52-353)
tr|A0A1U7T666|A0A1U7T666_TARSY	GT-A	GT8_like_2(222-523)
tr|A0A1U7U2D3|A0A1U7U2D3_TARSY	GT-A	Glyco_tranf_GTA_type(1-287)
tr|A0A1U8C1Y2|A0A1U8C1Y2_MESAU	GT-A	Glyco_tranf_GTA_type(111-396)
tr|A0A1U8CY41|A0A1U8CY41_ALLSI	GT-A	Glyco_tranf_GTA_type(22-200)
tr|A0A1V4J989|A0A1V4J989_PATFA	GT-A	GT8_like_2(1-285)
tr|A0A1V4K908|A0A1V4K908_PATFA	GT-A	GT8_like_2(110-413)
tr|A0A1V9XB41|A0A1V9XB41_9ACAR	GT-A	Glyco_tranf_GTA_type(83-373)
tr|A0A1W0W8Y9|A0A1W0W8Y9_HYPDU	GT-A	Glyco_tranf_GTA_type(42-339)
tr|A0A1W0WI73|A0A1W0WI73_HYPDU	GT-A	Glyco_tranf_GTA_type(48-348)
tr|A0A1W0WV46|A0A1W0WV46_HYPDU	GT-A	Glyco_tranf_GTA_type(87-380)
tr|A0A1W0X5S6|A0A1W0X5S6_HYPDU	GT-A	Glyco_tranf_GTA_type(18-249)
tr|A0A1W4XLX4|A0A1W4XLX4_AGRPL	GT-A	Glyco_tranf_GTA_type(58-348)
tr|A0A1Z5JR87|A0A1Z5JR87_FISSO	GT-A	Glyco_tranf_GTA_type(35-277)
tr|A0A1Z5KS44|A0A1Z5KS44_FISSO	GT-A	Glyco_tranf_GTA_type(35-299)
tr|A0A212ETR5|A0A212ETR5_DANPL	GT-A	Glyco_tranf_GTA_type(60-348)
tr|A0A218UH25|A0A218UH25_9PASE	GT-A	GT8_like_2(1-304)
tr|A0A218V4X1|A0A218V4X1_9PASE	GT-A	GT8_like_2(22-323)
tr|A0A226N804|A0A226N804_CALSU	GT-A	GT8_like_2(143-444)
tr|A0A226NLH9|A0A226NLH9_CALSU	GT-A	Glyco_tranf_GTA_type(1-254)
tr|A0A226PN87|A0A226PN87_COLVI	GT-A	Glyco_tranf_GTA_type(31-280)
tr|A0A232EG96|A0A232EG96_9HYME	GT-A	Glyco_tranf_GTA_type(71-364)
tr|A0A250XT72|A0A250XT72_9CHLO	GT-A	Glyco_tranf_GTA_type(34-343)
tr|A0A284QYF5|A0A284QYF5_9AGAR	GT-A	Glyco_tranf_GTA_type(71-213)
tr|A0A284R123|A0A284R123_9AGAR	GT-A	Glyco_tranf_GTA_type(90-246)
tr|A0A287A1D3|A0A287A1D3_PIG	GT-A	GT8_like_2(116-417)
tr|A0A287D7R1|A0A287D7R1_ICTTR	GT-A	GT8_like_2(87-390)
tr|A0A2A4JMH9|A0A2A4JMH9_HELVI	GT-A	Glyco_tranf_GTA_type(57-346)
tr|A0A2B4SLB0|A0A2B4SLB0_STYPI	GT-A	Glyco_tranf_GTA_type(88-378)
tr|A0A2C9K0A1|A0A2C9K0A1_BIOGL	GT-A	Glyco_tranf_GTA_type(166-433)
tr|A0A2D0RYW7|A0A2D0RYW7_ICTPU	GT-A	GT8_like_2(108-411)
tr|A0A2D0SDU0|A0A2D0SDU0_ICTPU	GT-A	GT8_like_2(102-404)
tr|A0A2G9RF41|A0A2G9RF41_LITCT	GT-A	Glyco_tranf_GTA_type(33-245)
tr|A0A2H3B7P3|A0A2H3B7P3_9AGAR	GT-A	Glyco_tranf_GTA_type(1-135)
tr|A0A2H3BU74|A0A2H3BU74_9AGAR	GT-A	Glyco_tranf_GTA_type(71-213)
tr|A0A2H3C4W1|A0A2H3C4W1_9AGAR	GT-A	Glyco_tranf_GTA_type(13-152)
tr|A0A2H3CFQ9|A0A2H3CFQ9_ARMGA	GT-A	Glyco_tranf_GTA_type(6-152)
tr|A0A2H3CS27|A0A2H3CS27_ARMGA	GT-A	Glyco_tranf_GTA_type(1-135)
tr|A0A2H3E9E7|A0A2H3E9E7_ARMGA	GT-A	Glyco_tranf_GTA_type(1-135)
tr|A0A2I3HG26|A0A2I3HG26_NOMLE	GT-A	GT8_like_2(110-411)
tr|A0A2I4BXF9|A0A2I4BXF9_9TELE	GT-A	GT8_like_2(92-394)
tr|A0A2I4C8G3|A0A2I4C8G3_9TELE	GT-A	GT8_like_2(120-422)
tr|A0A2K5DPF4|A0A2K5DPF4_AOTNA	GT-A	GT8_like_2(49-352)
tr|A0A2K5DYV6|A0A2K5DYV6_AOTNA	GT-A	GT8_like_2(113-414)
tr|A0A2K5HDY7|A0A2K5HDY7_COLAP	GT-A	GT8_like_2(51-354)
tr|A0A2K5J0S8|A0A2K5J0S8_COLAP	GT-A	Glyco_tranf_GTA_type(74-348)
tr|A0A2K5MQE2|A0A2K5MQE2_CERAT	GT-A	GT8_like_2(116-417)
tr|A0A2K5NLN5|A0A2K5NLN5_CERAT	GT-A	GT8_like_2(110-413)
tr|A0A2K5Q881|A0A2K5Q881_CEBCA	GT-A	GT8_like_2(110-413)
tr|A0A2K5QZH1|A0A2K5QZH1_CEBCA	GT-A	GT8_like_2(113-414)
tr|A0A2K5XA38|A0A2K5XA38_MANLE	GT-A	GT8_like_2(31-334)
tr|A0A2K5ZUW1|A0A2K5ZUW1_MANLE	GT-A	GT8_like_2(42-343)
tr|A0A2K6BV05|A0A2K6BV05_MACNE	GT-A	GT8_like_2(110-413)
tr|A0A2K6E3G9|A0A2K6E3G9_MACNE	GT-A	GT8_like_2(116-417)
tr|A0A2K6FRE4|A0A2K6FRE4_PROCO	GT-A	GT8_like_2(110-413)
tr|A0A2K6GDB1|A0A2K6GDB1_PROCO	GT-A	GT8_like_2(116-417)
tr|A0A2K6L1J1|A0A2K6L1J1_RHIBE	GT-A	Glyco_tranf_GTA_type(102-389)
tr|A0A2K6PI22|A0A2K6PI22_RHIRO	GT-A	GT8_like_2(82-385)
tr|A0A2K6R8J9|A0A2K6R8J9_RHIRO	GT-A	GT8_like_2(116-417)
tr|A0A2K6SR71|A0A2K6SR71_SAIBB	GT-A	GT8_like_2(32-335)
tr|A0A2K6V6F7|A0A2K6V6F7_SAIBB	GT-A	GT8_like_2(113-414)
tr|A0A2P4SW00|A0A2P4SW00_BAMTH	GT-A	Glyco_tranf_GTA_type(1-175)
tr|A0A2R2MLX5|A0A2R2MLX5_LINUN	GT-A	Glyco_tranf_GTA_type(1-267)
tr|A0A2R8ZJB2|A0A2R8ZJB2_PANPA	GT-A	GT8_like_2(42-343)
tr|A0A2R9BLG4|A0A2R9BLG4_PANPA	GT-A	GT8_like_2(28-331)
tr|A4QN62|A4QN62_DANRE	GT-A	GT8_like_2(109-412)
tr|A7S9E5|A7S9E5_NEMVE	GT-A	Glyco_tranf_GTA_type(83-375)
tr|B3M1Y8|B3M1Y8_DROAN	GT-A	Glyco_tranf_GTA_type(56-349)
tr|B3RL55|B3RL55_TRIAD	GT-A	Glyco_tranf_GTA_type(9-300)
tr|B3RL56|B3RL56_TRIAD	GT-A	Glyco_tranf_GTA_type(19-312)
tr|B4GE30|B4GE30_DROPE	GT-A	Glyco_tranf_GTA_type(7-302)
tr|B4IJF4|B4IJF4_DROSE	GT-A	Glyco_tranf_GTA_type(26-321)
tr|B4NIX6|B4NIX6_DROWI	GT-A	Glyco_tranf_GTA_type(8-303)
tr|B4QUA9|B4QUA9_DROSI	GT-A	Glyco_tranf_GTA_type(197-492)
tr|B5DU69|B5DU69_DROPS	GT-A	Glyco_tranf_GTA_type(46-341)
tr|B7PNZ0|B7PNZ0_IXOSC	GT-A	Glyco_tranf_GTA_type(7-268)
tr|B7QLK4|B7QLK4_IXOSC	GT-A	Glyco_tranf_GTA_type(4-216)
tr|D2HHW3|D2HHW3_AILME	GT-A	GT8_like_2(45-346)
tr|D4A275|D4A275_RAT	GT-A	GT8_like_2(111-414)
tr|E0VDT7|E0VDT7_PEDHC	GT-A	Glyco_tranf_GTA_type(25-314)
tr|E1BHD8|E1BHD8_BOVIN	GT-A	GT8_like_2(116-417)
tr|E2A383|E2A383_CAMFO	GT-A	Glyco_tranf_GTA_type(58-351)
tr|E2C236|E2C236_HARSA	GT-A	Glyco_tranf_GTA_type(58-351)
tr|E4X918|E4X918_OIKDI	GT-A	Glyco_tranf_GTA_type(64-392)
tr|E4XC13|E4XC13_OIKDI	GT-A	Glyco_tranf_GTA_type(38-356)
tr|E7F0M8|E7F0M8_DANRE	GT-A	Glyco_tranf_GTA_type(20-304)
tr|E9HXG4|E9HXG4_DAPPU	GT-A	Glyco_tranf_GTA_type(25-316)
tr|E9IRV7|E9IRV7_SOLIN	GT-A	Glyco_tranf_GTA_type(49-342)
tr|F1NNI4|F1NNI4_CHICK	GT-A	GT8_like_2(89-392)
tr|F1P5A1|F1P5A1_CHICK	GT-A	GT8_like_2(109-410)
tr|F1PBA7|F1PBA7_CANLF	GT-A	GT8_like_2(29-330)
tr|F1Q013|F1Q013_CANLF	GT-A	GT8_like_2(23-326)
tr|F1SFM8|F1SFM8_PIG	GT-A	GT8_like_2(43-346)
tr|F4WRD9|F4WRD9_ACREC	GT-A	Glyco_tranf_GTA_type(57-350)
tr|F6RN55|F6RN55_XENTR	GT-A	GT8_like_2(98-398)
tr|F6RNX9|F6RNX9_CIOIN	GT-A	Glyco_tranf_GTA_type(47-362)
tr|F6SWP9|F6SWP9_XENTR	GT-A	GT8_like_2(91-394)
tr|F6V7A5|F6V7A5_MONDO	GT-A	GT8_like_2(123-423)
tr|F6W4C5|F6W4C5_HORSE	GT-A	GT8_like_2(45-348)
tr|F6YW12|F6YW12_MACMU	GT-A	GT8_like_2(110-413)
tr|F6ZLJ1|F6ZLJ1_HORSE	GT-A	GT8_like_2(1-301)
tr|F7DHM0|F7DHM0_ORNAN	GT-A	Glyco_tranf_GTA_type(1-217)
tr|F7DSQ8|F7DSQ8_CALJA	GT-A	GT8_like_2(110-413)
tr|F7F3U4|F7F3U4_CALJA	GT-A	GT8_like_2(113-414)
tr|F7GIX8|F7GIX8_MONDO	GT-A	GT8_like_2(113-416)
tr|G1KQC7|G1KQC7_ANOCA	GT-A	GT8_like_2(19-322)
tr|G1KSK3|G1KSK3_ANOCA	GT-A	GT8_like_2(106-407)
tr|G1M9E1|G1M9E1_AILME	GT-A	GT8_like_2(21-325)
tr|G1NAY2|G1NAY2_MELGA	GT-A	GT8_like_2(44-345)
tr|G1NBH6|G1NBH6_MELGA	GT-A	GT8_like_2(18-321)
tr|G1P282|G1P282_MYOLU	GT-A	GT8_like_2(43-344)
tr|G1QEK1|G1QEK1_MYOLU	GT-A	GT8_like_2(74-377)
tr|G1QR14|G1QR14_NOMLE	GT-A	GT8_like_2(110-413)
tr|G1TC67|G1TC67_RABIT	GT-A	GT8_like_2(21-324)
tr|G1TUK5|G1TUK5_RABIT	GT-A	GT8_like_2(45-345)
tr|G3IHJ0|G3IHJ0_CRIGR	GT-A	GT8_like_2(21-321)
tr|G3N2G4|G3N2G4_BOVIN	GT-A	GT8_like_2(21-324)
tr|G3NJ93|G3NJ93_GASAC	GT-A	GT8_like_2(121-422)
tr|G3PDB2|G3PDB2_GASAC	GT-A	Glyco_tranf_GTA_type(1-304)
tr|G3Q4Y4|G3Q4Y4_GASAC	GT-A	GT8_like_2(12-310)
tr|G3QQT0|G3QQT0_GORGO	GT-A	GT8_like_2(70-373)
tr|G3RQC4|G3RQC4_GORGO	GT-A	GT8_like_2(116-417)
tr|G3TQ09|G3TQ09_LOXAF	GT-A	GT8_like_2(43-344)
tr|G3UJZ8|G3UJZ8_LOXAF	GT-A	Glyco_tranf_GTA_type(21-327)
tr|G3VD51|G3VD51_SARHA	GT-A	GT8_like_2(118-419)
tr|G3WSG8|G3WSG8_SARHA	GT-A	GT8_like_2(25-328)
tr|G5C3M6|G5C3M6_HETGA	GT-A	GT8_like_2(14-315)
tr|G7NYX7|G7NYX7_MACFA	GT-A	GT8_like_2(21-324)
tr|G7PHM0|G7PHM0_MACFA	GT-A	GT8_like_2(45-346)
tr|H0UTY5|H0UTY5_CAVPO	GT-A	GT8_like_2(25-328)
tr|H0UUW5|H0UUW5_CAVPO	GT-A	GT8_like_2(113-414)
tr|H0WGN8|H0WGN8_OTOGA	GT-A	GT8_like_2(113-414)
tr|H0WUM1|H0WUM1_OTOGA	GT-A	GT8_like_2(21-324)
tr|H0Z5X6|H0Z5X6_TAEGU	GT-A	GT8_like_2(44-345)
tr|H0ZI37|H0ZI37_TAEGU	GT-A	GT8_like_2(17-320)
tr|H2LDP8|H2LDP8_ORYLA	GT-A	GT8_like_2(119-421)
tr|H2M5R7|H2M5R7_ORYLA	GT-A	Glyco_tranf_GTA_type(1-304)
tr|H2NGZ8|H2NGZ8_PONAB	GT-A	GT8_like_2(113-414)
tr|H2PA95|H2PA95_PONAB	GT-A	GT8_like_2(97-402)
tr|H2QMX8|H2QMX8_PANTR	GT-A	GT8_like_2(127-430)
tr|H2RCX7|H2RCX7_PANTR	GT-A	GT8_like_2(116-417)
tr|H2THF4|H2THF4_TAKRU	GT-A	GT8_like_2(5-308)
tr|H2V161|H2V161_TAKRU	GT-A	Glyco_tranf_GTA_type(5-307)
tr|H2V1A4|H2V1A4_TAKRU	GT-A	GT8_like_2(68-368)
tr|H2YMG5|H2YMG5_CIOSA	GT-A	Glyco_tranf_GTA_type(16-344)
tr|H2ZJF6|H2ZJF6_CIOSA	GT-A	Glyco_tranf_GTA_type(1-317)
tr|H2ZK08|H2ZK08_CIOSA	GT-A	Glyco_tranf_GTA_type(75-352)
tr|H3A630|H3A630_LATCH	GT-A	GT8_like_2(44-345)
tr|H3B283|H3B283_LATCH	GT-A	Glyco_tranf_GTA_type(112-387)
tr|H3CPH6|H3CPH6_TETNG	GT-A	GT8_like_2(6-309)
tr|H3DEY4|H3DEY4_TETNG	GT-A	GT8_like_2(120-422)
tr|H3DMD2|H3DMD2_TETNG	GT-A	Glyco_tranf_GTA_type(11-313)
tr|H9J5Y9|H9J5Y9_BOMMO	GT-A	Glyco_tranf_GTA_type(9-300)
tr|I0YTV2|I0YTV2_COCSC	GT-A	Glyco_tranf_GTA_type(87-322)
tr|I0YTV3|I0YTV3_COCSC	GT-A	Glyco_tranf_GTA_type(58-275)
tr|I3KJC7|I3KJC7_ORENI	GT-A	GT8_like_2(84-386)
tr|I3KWN6|I3KWN6_ORENI	GT-A	GT8_like_2(119-422)
tr|I3N032|I3N032_ICTTR	GT-A	GT8_like_2(42-343)
tr|K1QCP5|K1QCP5_CRAGI	GT-A	Glyco_tranf_GTA_type(57-348)
tr|K7F625|K7F625_PELSI	GT-A	GT8_like_2(30-331)
tr|K7FD27|K7FD27_PELSI	GT-A	GT8_like_2(18-321)
tr|K7ISN2|K7ISN2_NASVI	GT-A	Glyco_tranf_GTA_type(71-364)
tr|L5KB49|L5KB49_PTEAL	GT-A	Glyco_tranf_GTA_type(1-287)
tr|L5KDB1|L5KDB1_PTEAL	GT-A	GT8_like_2(45-346)
tr|L5MDR9|L5MDR9_MYODS	GT-A	GT8_like_2(68-369)
tr|L5MJ44|L5MJ44_MYODS	GT-A	Glyco_tranf_GTA_type(103-362)
tr|M3WUM6|M3WUM6_FELCA	GT-A	GT8_like_2(93-394)
tr|M3XML7|M3XML7_MUSPF	GT-A	GT8_like_2(43-314)
tr|M3YZZ0|M3YZZ0_MUSPF	GT-A	GT8_like_2(21-324)
tr|M3ZRC0|M3ZRC0_XIPMA	GT-A	Glyco_tranf_GTA_type(8-266)
tr|M4A4H6|M4A4H6_XIPMA	GT-A	GT8_like_2(92-394)
tr|M4AS78|M4AS78_XIPMA	GT-A	GT8_like_2(123-424)
tr|Q16EA7|Q16EA7_AEDAE	GT-A	Glyco_tranf_GTA_type(18-310)
tr|Q16R50|Q16R50_AEDAE	GT-A	Glyco_tranf_GTA_type(60-352)
tr|Q7Q0S5|Q7Q0S5_ANOGA	GT-A	Glyco_tranf_GTA_type(63-355)
tr|Q9VBY3|Q9VBY3_DROME	GT-A	Glyco_tranf_GTA_type(48-343)
tr|R0L9L2|R0L9L2_ANAPL	GT-A	GT8_like_2(23-326)
tr|T1ELK3|T1ELK3_HELRO	GT-A	Glyco_tranf_GTA_type(2-282)
tr|U3IA11|U3IA11_ANAPL	GT-A	GT8_like_2(44-345)
tr|U3K6Q0|U3K6Q0_FICAL	GT-A	GT8_like_2(30-331)
tr|U3KG63|U3KG63_FICAL	GT-A	GT8_like_2(18-321)
tr|V8NUZ2|V8NUZ2_OPHHA	GT-A	GT8_like_2(1-312)
tr|W5K7F4|W5K7F4_ASTMX	GT-A	Glyco_tranf_GTA_type(124-423)
