tr|A0A1V4JFB3|A0A1V4JFB3_PATFA	Uup|GT-A|GT-A	Uup(121-220)|Galactosyl_T(373-469)|CHGN(442-944)
tr|A0A1I8A5D8|A0A1I8A5D8_9BILA	TMhelix|GT-A|GT-A	TMhelix(109-131)|Galactosyl_T(242-376)|CHGN(314-823)
tr|A0A1I8BJV7|A0A1I8BJV7_MELHA	TMhelix|GT-A|GT-A	TMhelix(20-42)|Galactosyl_T(70-250)|Glyco_tranf_GTA_type(226-764)
tr|A0A1J1HRF4|A0A1J1HRF4_9DIPT	TMhelix|GT-A|GT-A	TMhelix(7-24)|Galactosyl_T(69-249)|CHGN(219-844)
tr|A0A1L8HQX6|A0A1L8HQX6_XENLA	TMhelix|GT-A|GT-A	TMhelix(12-31)|Galactosyl_T(131-355)|CHGN(285-821)
tr|A0A1L8I1H1|A0A1L8I1H1_XENLA	TMhelix|GT-A|GT-A	TMhelix(12-31)|Galactosyl_T(129-306)|Glyco_tranf_GTA_type(283-324)
tr|A0A1S3MCJ7|A0A1S3MCJ7_SALSA	TMhelix|GT-A|GT-A	TMhelix(7-29)|Galactosyl_T(109-333)|CHGN(263-802)
tr|A0A1V9XG24|A0A1V9XG24_9ACAR	TMhelix|GT-A|GT-A	TMhelix(21-43)|Galactosyl_T(80-273)|CHGN(231-775)
tr|A0A1W0WHM2|A0A1W0WHM2_HYPDU	TMhelix|GT-A|GT-A	TMhelix(9-28)|Galactosyl_T(69-249)|CHGN(221-749)
tr|A0A1W4WDF8|A0A1W4WDF8_AGRPL	TMhelix|GT-A|GT-A	TMhelix(7-24)|Galactosyl_T(53-235)|CHGN(203-758)
tr|A0A1X7UED0|A0A1X7UED0_AMPQE	TMhelix|GT-A|GT-A	TMhelix(12-31)|Galactosyl_T(105-288)|Glyco_tranf_GTA_type(257-366)
tr|A0A1X7UF98|A0A1X7UF98_AMPQE	TMhelix|GT-A|GT-A	TMhelix(12-34)|Galactosyl_T(136-235)|Glyco_tranf_GTA_type(207-301)
tr|A0A212EXY8|A0A212EXY8_DANPL	TMhelix|GT-A|GT-A	TMhelix(13-32)|Galactosyl_T(102-202)|Glyco_tranf_GTA_type(227-726)
tr|A0A232EF39|A0A232EF39_9HYME	TMhelix|GT-A|GT-A	TMhelix(30-52)|Galactosyl_T(109-278)|CHGN(247-771)
tr|A0A260ZZ10|A0A260ZZ10_9PELO	TMhelix|GT-A|GT-A	TMhelix(12-34)|Galactosyl_T(82-274)|CHGN(234-726)
tr|A0A2B4S012|A0A2B4S012_STYPI	TMhelix|GT-A|GT-A	TMhelix(7-29)|Galactosyl_T(63-246)|CHGN(214-717)
tr|A0A2B4STH7|A0A2B4STH7_STYPI	TMhelix|GT-A|GT-A	TMhelix(48-70)|Galactosyl_T(138-305)|CHGN(301-808)
tr|A0A2C9K854|A0A2C9K854_BIOGL	TMhelix|GT-A|GT-A	TMhelix(28-50)|Galactosyl_T(99-272)|CHGN(250-787)
tr|A0A2D0S4Q8|A0A2D0S4Q8_ICTPU	TMhelix|GT-A|GT-A	TMhelix(12-34)|Galactosyl_T(183-273)|CHGN(252-754)
tr|A0A2G8JVD2|A0A2G8JVD2_STIJA	TMhelix|GT-A|GT-A	TMhelix(13-32)|Galactosyl_T(65-240)|Glyco_tranf_GTA_type(218-252)
tr|A0A2J7Q318|A0A2J7Q318_9NEOP	TMhelix|GT-A|GT-A	TMhelix(34-51)|Galactosyl_T(117-303)|Glyco_tranf_GTA_type(271-305)
tr|A0A2P6KNX1|A0A2P6KNX1_NEPCL	TMhelix|GT-A|GT-A	TMhelix(7-29)|Galactosyl_T(69-262)|CHGN(220-728)
tr|A7RUU6|A7RUU6_NEMVE	TMhelix|GT-A|GT-A	TMhelix(12-34)|Galactosyl_T(189-304)|CHGN(272-697)
tr|A8WWU9|A8WWU9_CAEBR	TMhelix|GT-A|GT-A	TMhelix(42-64)|Galactosyl_T(114-306)|CHGN(266-758)
tr|B4IK91|B4IK91_DROSE	TMhelix|GT-A|GT-A	TMhelix(12-34)|Galactosyl_T(71-251)|CHGN(221-811)
tr|B4JLJ5|B4JLJ5_DROGR	TMhelix|GT-A|GT-A	TMhelix(12-29)|Galactosyl_T(71-251)|CHGN(221-799)
tr|B4NEC6|B4NEC6_DROWI	TMhelix|GT-A|GT-A	TMhelix(62-80)|Galactosyl_T(122-302)|CHGN(272-853)
tr|B4R588|B4R588_DROSI	TMhelix|GT-A|GT-A	TMhelix(12-34)|Galactosyl_T(71-251)|CHGN(221-801)
tr|B5DLQ0|B5DLQ0_DROPS	TMhelix|GT-A|GT-A	TMhelix(54-72)|Galactosyl_T(114-294)|CHGN(264-844)
tr|C3YQ05|C3YQ05_BRAFL	TMhelix|GT-A|GT-A	TMhelix(113-135)|Galactosyl_T(190-373)|CHGN(343-876)
tr|C3ZXI0|C3ZXI0_BRAFL	TMhelix|GT-A|GT-A	TMhelix(25-47)|Galactosyl_T(80-306)|Glyco_tranf_GTA_type(262-652)
tr|C3ZXI1|C3ZXI1_BRAFL	TMhelix|GT-A|GT-A	TMhelix(7-29)|Galactosyl_T(116-267)|CHGN(260-726)
tr|E1ZW55|E1ZW55_CAMFO	TMhelix|GT-A|GT-A	TMhelix(16-38)|Galactosyl_T(83-269)|CHGN(237-790)
tr|E2C9U3|E2C9U3_HARSA	TMhelix|GT-A|GT-A	TMhelix(13-35)|Galactosyl_T(83-269)|CHGN(237-789)
tr|E4X3L1|E4X3L1_OIKDI	TMhelix|GT-A|GT-A	TMhelix(7-29)|Galactosyl_T(158-263)|Glyco_tranf_GTA_type(233-723)
tr|E4Y2W6|E4Y2W6_OIKDI	TMhelix|GT-A|GT-A	TMhelix(69-88)|Galactosyl_T(131-319)|Glyco_tranf_GTA_type(287-430)
tr|E9GVN9|E9GVN9_DAPPU	TMhelix|GT-A|GT-A	TMhelix(13-35)|Galactosyl_T(78-269)|CHGN(229-760)
tr|E9IAE1|E9IAE1_SOLIN	TMhelix|GT-A|GT-A	TMhelix(19-41)|Galactosyl_T(85-271)|Glyco_tranf_GTA_type(239-354)
tr|F4WTX6|F4WTX6_ACREC	TMhelix|GT-A|GT-A	TMhelix(19-41)|Galactosyl_T(84-270)|CHGN(238-790)
tr|F6S473|F6S473_CIOIN	TMhelix|GT-A|GT-A	TMhelix(114-136)|Galactosyl_T(213-408)|Glyco_tranf_GTA_type(363-738)
tr|G0MFK6|G0MFK6_CAEBE	TMhelix|GT-A|GT-A	TMhelix(57-79)|Galactosyl_T(128-320)|CHGN(280-772)
tr|G3NL52|G3NL52_GASAC	TMhelix|GT-A|GT-A	TMhelix(7-29)|Galactosyl_T(176-271)|CHGN(245-751)
tr|H2M8E9|H2M8E9_ORYLA	TMhelix|GT-A|GT-A	TMhelix(21-43)|Galactosyl_T(146-285)|CHGN(259-764)
tr|H2TM70|H2TM70_TAKRU	TMhelix|GT-A|GT-A	TMhelix(21-43)|Galactosyl_T(186-283)|CHGN(257-764)
tr|H2ZJ81|H2ZJ81_CIOSA	TMhelix|GT-A|GT-A	TMhelix(7-29)|Galactosyl_T(63-240)|Glyco_tranf_GTA_type(219-267)
tr|J9JJR6|J9JJR6_ACYPI	TMhelix|GT-A|GT-A	TMhelix(69-91)|Galactosyl_T(150-336)|CHGN(304-784)
tr|J9K2F5|J9K2F5_ACYPI	TMhelix|GT-A|GT-A	TMhelix(12-34)|Galactosyl_T(173-259)|CHGN(231-768)
tr|K7GTC1|K7GTC1_CAEJA	TMhelix|GT-A|GT-A	TMhelix(103-125)|Galactosyl_T(172-365)|CHGN(325-817)
tr|K7IVJ9|K7IVJ9_NASVI	TMhelix|GT-A|GT-A	TMhelix(13-35)|Galactosyl_T(94-263)|CHGN(232-756)
tr|Q7KUZ9|Q7KUZ9_DROME	TMhelix|GT-A|GT-A	TMhelix(12-34)|Galactosyl_T(71-251)|CHGN(221-801)
tr|Q7QHY5|Q7QHY5_ANOGA	TMhelix|GT-A|GT-A	TMhelix(12-29)|Galactosyl_T(72-252)|CHGN(222-863)
tr|R4GL94|R4GL94_CHICK	TMhelix|GT-A|GT-A	TMhelix(230-249)|Galactosyl_T(300-521)|CHGN(451-990)
tr|T1J359|T1J359_STRMM	TMhelix|GT-A|GT-A	TMhelix(9-28)|Galactosyl_T(67-250)|CHGN(218-710)
tr|W5JWW3|W5JWW3_ANODA	TMhelix|GT-A|GT-A	TMhelix(7-29)|Galactosyl_T(67-247)|CHGN(217-877)
tr|W5L682|W5L682_ASTMX	TMhelix|GT-A|GT-A	TMhelix(9-31)|Galactosyl_T(117-294)|CHGN(271-809)
tr|W5MNV6|W5MNV6_LEPOC	TMhelix|GT-A|GT-A	TMhelix(7-29)|Galactosyl_T(111-335)|CHGN(265-804)
tr|W5U7P8|W5U7P8_ICTPU	TMhelix|GT-A|GT-A	TMhelix(20-37)|Galactosyl_T(106-283)|CHGN(260-798)
tr|A0A044V0Q7|A0A044V0Q7_ONCVO	TMhelix|GT-A	TMhelix(5-27)|CHGN(228-761)
tr|A0A067QR13|A0A067QR13_ZOONE	TMhelix|GT-A	TMhelix(16-35)|CHGN(246-768)
tr|A0A088A1X0|A0A088A1X0_APIME	TMhelix|GT-A	TMhelix(13-35)|CHGN(232-754)
tr|A0A0N8DDL2|A0A0N8DDL2_9CRUS	TMhelix|GT-A	TMhelix(12-34)|Glyco_tranf_GTA_type(258-755)
tr|A0A0U5G764|A0A0U5G764_9EURO	TMhelix|GT-A	TMhelix(23-45)|Galactosyl_T(237-367)
tr|A0A139WGD2|A0A139WGD2_TRICA	TMhelix|GT-A	TMhelix(13-30)|CHGN(223-698)
tr|A0A158NZ16|A0A158NZ16_ATTCE	TMhelix|GT-A	TMhelix(13-35)|CHGN(232-757)
tr|A0A182H4Z9|A0A182H4Z9_AEDAL	TMhelix|GT-A	TMhelix(12-29)|CHGN(240-819)
tr|A0A1I7STK2|A0A1I7STK2_BURXY	TMhelix|GT-A	TMhelix(21-43)|Glyco_tranf_GTA_type(243-801)
tr|A0A1I8CPL7|A0A1I8CPL7_9BILA	TMhelix|GT-A	TMhelix(7-26)|Glyco_tranf_GTA_type(224-809)
tr|A0A1I8N8B7|A0A1I8N8B7_MUSDO	TMhelix|GT-A	TMhelix(31-48)|CHGN(294-802)
tr|A0A1I8PIR6|A0A1I8PIR6_STOCA	TMhelix|GT-A	TMhelix(20-37)|CHGN(284-792)
tr|A0A1S3CZ03|A0A1S3CZ03_DIACI	TMhelix|GT-A	TMhelix(12-31)|CHGN(232-769)
tr|A0A1W4VK35|A0A1W4VK35_DROFC	TMhelix|GT-A	TMhelix(13-33)|CHGN(266-816)
tr|A0A1W4WVY0|A0A1W4WVY0_AGRPL	TMhelix|GT-A	TMhelix(12-31)|Glyco_tranf_GTA_type(237-720)
tr|A0A1X7UFN0|A0A1X7UFN0_AMPQE	TMhelix|GT-A	TMhelix(13-35)|CHGN(246-752)
tr|A0A1X7VL14|A0A1X7VL14_AMPQE	TMhelix|GT-A	TMhelix(12-34)|Glyco_tranf_GTA_type(293-761)
tr|A0A1Y1Z7F5|A0A1Y1Z7F5_9FUNG	TMhelix|GT-A	TMhelix(24-46)|Galactosyl_T(84-215)
tr|A0A225AVY9|A0A225AVY9_9EURO	TMhelix|GT-A	TMhelix(20-39)|Galactosyl_T(232-361)
tr|A0A2C9JJX0|A0A2C9JJX0_BIOGL	TMhelix|GT-A	TMhelix(20-42)|CHGN(257-762)
tr|A0A2C9KM70|A0A2C9KM70_BIOGL	TMhelix|GT-A	TMhelix(20-38)|CHGN(236-741)
tr|A0A2G5SG86|A0A2G5SG86_9PELO	TMhelix|GT-A	TMhelix(7-26)|Glyco_tranf_GTA_type(242-796)
tr|A0A2G8K2F9|A0A2G8K2F9_STIJA	TMhelix|GT-A	TMhelix(13-32)|Galactosyl_T(71-246)
tr|A0A2I4C6E8|A0A2I4C6E8_9TELE	TMhelix|GT-A	TMhelix(12-34)|CHGN(252-754)
tr|A0A2J7Q9T6|A0A2J7Q9T6_9NEOP	TMhelix|GT-A	TMhelix(16-35)|CHGN(246-768)
tr|A0A2P6K3S7|A0A2P6K3S7_NEPCL	TMhelix|GT-A	TMhelix(9-31)|CHGN(243-756)
tr|A8X3C8|A8X3C8_CAEBR	TMhelix|GT-A	TMhelix(7-26)|Glyco_tranf_GTA_type(242-796)
tr|B0XG38|B0XG38_CULQU	TMhelix|GT-A	TMhelix(12-29)|CHGN(241-763)
tr|B4L623|B4L623_DROMO	TMhelix|GT-A	TMhelix(13-32)|CHGN(271-822)
tr|B4M726|B4M726_DROVI	TMhelix|GT-A	TMhelix(13-32)|CHGN(258-806)
tr|B4NCU6|B4NCU6_DROWI	TMhelix|GT-A	TMhelix(12-29)|CHGN(269-830)
tr|B6QI91|B6QI91_TALMQ	TMhelix|GT-A	TMhelix(20-37)|Galactosyl_T(232-361)
tr|B7Q2Y7|B7Q2Y7_IXOSC	TMhelix|GT-A	TMhelix(17-36)|Glyco_tranf_GTA_type(261-758)
tr|B8MKW8|B8MKW8_TALSN	TMhelix|GT-A	TMhelix(20-37)|Galactosyl_T(235-364)
tr|C3Y8L8|C3Y8L8_BRAFL	TMhelix|GT-A	TMhelix(22-44)|Glyco_tranf_GTA_type(257-335)
tr|C3ZR58|C3ZR58_BRAFL	TMhelix|GT-A	TMhelix(7-29)|CHGN(248-747)
tr|E2AAJ9|E2AAJ9_CAMFO	TMhelix|GT-A	TMhelix(13-35)|CHGN(232-756)
tr|E2C7H7|E2C7H7_HARSA	TMhelix|GT-A	TMhelix(52-74)|CHGN(277-801)
tr|E3N037|E3N037_CAERE	TMhelix|GT-A	TMhelix(7-26)|Glyco_tranf_GTA_type(241-762)
tr|E4X8I8|E4X8I8_OIKDI	TMhelix|GT-A	TMhelix(5-27)|Galactosyl_T(73-224)
tr|E9JDC0|E9JDC0_SOLIN	TMhelix|GT-A	TMhelix(13-35)|CHGN(232-760)
tr|F6X117|F6X117_CIOIN	TMhelix|GT-A	TMhelix(12-34)|Glyco_tranf_GTA_type(301-416)
tr|F7AN36|F7AN36_CIOIN	TMhelix|GT-A	TMhelix(7-29)|CHGN(264-784)
tr|H2N1W3|H2N1W3_ORYLA	TMhelix|GT-A	TMhelix(21-43)|CHGN(266-768)
tr|H2Z5A7|H2Z5A7_CIOSA	TMhelix|GT-A	TMhelix(7-29)|CHGN(248-790)
tr|H3A642|H3A642_LATCH	TMhelix|GT-A	TMhelix(12-31)|Galactosyl_T(111-288)
tr|K1QTT0|K1QTT0_CRAGI	TMhelix|GT-A	TMhelix(9-31)|CHGN(244-736)
tr|M1UXZ7|M1UXZ7_CYAM1	TMhelix|GT-A	TMhelix(54-73)|Galactosyl_T(131-311)
tr|Q0CGQ7|Q0CGQ7_ASPTN	TMhelix|GT-A	TMhelix(7-29)|Galactosyl_T(202-259)
tr|Q16SL4|Q16SL4_AEDAE	TMhelix|GT-A	TMhelix(12-29)|CHGN(240-782)
tr|T1J8E4|T1J8E4_STRMM	TMhelix|GT-A	TMhelix(13-35)|CHGN(244-754)
tr|W5MDG9|W5MDG9_LEPOC	TMhelix|GT-A	TMhelix(20-42)|CHGN(268-770)
tr|W5QG52|W5QG52_SHEEP	TMhelix|GT-A	TMhelix(7-29)|CHGN(263-762)
tr|A0A0U9HHX5|A0A0U9HHX5_KLENI	TMhelix	TMhelix(85-104)
tr|C3Y8L7|C3Y8L7_BRAFL	TMhelix	TMhelix(38-60)
tr|A0A1A6GZL2|A0A1A6GZL2_NEOLE	PRK14959|GT-A|GT-A	PRK14959(6-150)|Galactosyl_T(170-353)|Glyco_tranf_GTA_type(330-364)
tr|A0A1U7Q4Y2|A0A1U7Q4Y2_MESAU	PRK14959|GT-A|GT-A	PRK14959(6-178)|Galactosyl_T(170-400)|CHGN(330-866)
tr|A0A2K5D1T0|A0A2K5D1T0_AOTNA	PRK14959|GT-A|GT-A	PRK14959(6-135)|Galactosyl_T(172-396)|CHGN(327-863)
tr|A0A2K5QPY9|A0A2K5QPY9_CEBCA	PRK14959|GT-A|GT-A	PRK14959(6-134)|Galactosyl_T(173-397)|CHGN(328-864)
sp|Q5DTK1|CHSS3_MOUSE	PRK07764|GT-A|GT-A	PRK07764(49-238)|Galactosyl_T(170-400)|CHGN(330-866)
tr|A0A1U7TWN7|A0A1U7TWN7_TARSY	PRK07764|GT-A|GT-A	PRK07764(186-289)|Galactosyl_T(318-498)|Glyco_tranf_GTA_type(475-509)
tr|A0A2K5N204|A0A2K5N204_CERAT	PRK07764|GT-A|GT-A	PRK07764(52-171)|Galactosyl_T(173-398)|CHGN(328-864)
tr|F1N783|F1N783_BOVIN	PRK07764|GT-A|GT-A	PRK07764(49-236)|Galactosyl_T(171-398)|CHGN(328-864)
tr|J9P6P9|J9P6P9_CANLF	PRK07764|GT-A|GT-A	PRK07764(51-171)|Galactosyl_T(173-353)|Glyco_tranf_GTA_type(330-364)
tr|A0A2K5K1T1|A0A2K5K1T1_COLAP	PHA03378|GT-A|GT-A	PHA03378(22-114)|Galactosyl_T(173-398)|CHGN(328-864)
tr|A0A2K6RPC7|A0A2K6RPC7_RHIRO	PHA03378|GT-A|GT-A	PHA03378(22-114)|Galactosyl_T(173-398)|CHGN(328-864)
tr|A0A2K5NA14|A0A2K5NA14_CERAT	PHA03307|GT-A|GT-A	PHA03307(6-244)|Galactosyl_T(182-403)|CHGN(333-872)
tr|M0R6S5|M0R6S5_RAT	PHA03247|GT-A|GT-A	PHA03247(76-238)|Galactosyl_T(170-400)|CHGN(330-868)
tr|F2U079|F2U079_SALR5	MAP7|GT-A|Sulfotransfer_2	MAP7(88-170)|Galactosyl_T(348-490)|Sulfotransfer_2(1053-1345)
tr|E5SQL3|E5SQL3_TRISP	GT-A|TMhelix|GT-A	Galactosyl_T(56-225)|TMhelix(249-271)|CHGN(208-727)
tr|A0A2N3EZJ7|A0A2N3EZJ7_9PROT	GT-A|PRK14951|GT-A|GT-A	Glycos_transf_2(27-196)|PRK14951(852-1115)|Galactosyl_T(1335-1509)|Glyco_tranf_2_4(1616-1713)
tr|T1JJS5|T1JJS5_STRMM	GT-A|GT-A|NST1	Galactosyl_T(58-246)|CHGN(209-789)|NST1(604-702)
tr|A0A1E7EUE0|A0A1E7EUE0_9STRA	GT-A|GT-A|GT-A	Glyco_tranf_GTA_type(1-57)|Galactosyl_T(227-327)|Glyco_tranf_GTA_type(318-387)
tr|A0A2A4JUH5|A0A2A4JUH5_HELVI	GT-A|GT-A|CRA_rpt	Galactosyl_T(71-253)|CHGN(221-847)|CRA_rpt(910-938)
tr|A0A182H1K5|A0A182H1K5_AEDAL	GT-A|GT-A|CLECT	Galactosyl_T(65-176)|CHGN(146-768)|CLECT(838-955)
sp|Q6IQX7|CHSS2_MOUSE	GT-A|GT-A	Galactosyl_T(194-283)|CHGN(262-761)
sp|Q6ZQ11|CHSS1_MOUSE	GT-A|GT-A	Galactosyl_T(86-307)|CHGN(237-776)
sp|Q70JA7|CHSS3_HUMAN	GT-A|GT-A	Galactosyl_T(173-398)|CHGN(328-864)
sp|Q86X52|CHSS1_HUMAN	GT-A|GT-A	Galactosyl_T(87-308)|CHGN(238-777)
sp|Q8IZ52|CHSS2_HUMAN	GT-A|GT-A	Galactosyl_T(194-304)|CHGN(262-762)
sp|Q9P2E5|CHPF2_HUMAN	GT-A|GT-A	Galactosyl_T(177-269)|CHGN(242-759)
tr|A0A016UB03|A0A016UB03_9BILA	GT-A|GT-A	Galactosyl_T(54-246)|Glyco_tranf_GTA_type(206-249)
tr|A0A016W9H3|A0A016W9H3_9BILA	GT-A|GT-A	Galactosyl_T(213-285)|Glyco_tranf_GTA_type(291-406)
tr|A0A0M4F7Q7|A0A0M4F7Q7_DROBS	GT-A|GT-A	Galactosyl_T(71-251)|Glyco_tranf_GTA_type(221-348)
tr|A0A0Q9WN77|A0A0Q9WN77_DROVI	GT-A|GT-A	Galactosyl_T(71-251)|CHGN(221-805)
tr|A0A0U9HSP0|A0A0U9HSP0_KLENI	GT-A|GT-A	Galactosyl_T(95-188)|Glyco_tranf_GTA_type(184-257)
tr|A0A0V0SHT6|A0A0V0SHT6_9BILA	GT-A|GT-A	Galactosyl_T(125-294)|CHGN(277-762)
tr|A0A0V0UF54|A0A0V0UF54_9BILA	GT-A|GT-A	Galactosyl_T(113-282)|CHGN(265-750)
tr|A0A0V0VLN0|A0A0V0VLN0_9BILA	GT-A|GT-A	Galactosyl_T(156-325)|CHGN(308-793)
tr|A0A0V0X4Y3|A0A0V0X4Y3_9BILA	GT-A|GT-A	Galactosyl_T(109-278)|CHGN(261-746)
tr|A0A0V0XYM0|A0A0V0XYM0_TRIPS	GT-A|GT-A	Galactosyl_T(91-180)|CHGN(163-649)
tr|A0A0V0ZZ41|A0A0V0ZZ41_9BILA	GT-A|GT-A	Galactosyl_T(103-272)|CHGN(255-740)
tr|A0A0V1D095|A0A0V1D095_TRIBR	GT-A|GT-A	Galactosyl_T(61-230)|CHGN(213-698)
tr|A0A0V1HRA9|A0A0V1HRA9_9BILA	GT-A|GT-A	Galactosyl_T(60-229)|CHGN(212-737)
tr|A0A0V1LJU1|A0A0V1LJU1_9BILA	GT-A|GT-A	Galactosyl_T(109-278)|CHGN(261-746)
tr|A0A0V1N3M2|A0A0V1N3M2_9BILA	GT-A|GT-A	Galactosyl_T(55-224)|CHGN(207-692)
tr|A0A139WAA7|A0A139WAA7_TRICA	GT-A|GT-A	Galactosyl_T(45-227)|Glyco_tranf_GTA_type(195-229)
