tr|A0A1B0EX43|A0A1B0EX43_PHLPP	WD40|GT-A|Clathrin|RING_Ubox	WD40(40-241)|Galactosyl_T(511-693)|Clathrin(913-1043)|RING_Ubox(1127-1180)
tr|A0A1U7W2L0|A0A1U7W2L0_NICSY	Uncharacterized|GT	DUF4094(32-105)|PLN03193(88-340)
tr|A0A251VGS8|A0A251VGS8_HELAN	Uncharacterized|GT	DUF4094(35-109)|PLN03193(92-344)
tr|A0A287VV22|A0A287VV22_HORVV	Uncharacterized|GT	DUF4094(55-128)|PLN03193(113-364)
tr|A0A2G3CWX1|A0A2G3CWX1_CAPCH	Uncharacterized|GT	DUF4094(1-73)|PLN03193(39-320)
tr|A0A2H3Y0G5|A0A2H3Y0G5_PHODC	Uncharacterized|GT	DUF4094(17-70)|PLN03193(104-341)
tr|A0A2H3YPK6|A0A2H3YPK6_PHODC	Uncharacterized|GT	DUF4094(32-108)|PLN03193(111-339)
tr|A0A2J6JLS8|A0A2J6JLS8_LACSA	Uncharacterized|GT	DUF4094(37-113)|PLN03193(96-345)
tr|A0A2K1XGX0|A0A2K1XGX0_POPTR	Uncharacterized|GT	DUF4094(21-98)|PLN03193(84-343)
tr|A0A2P4L853|A0A2P4L853_QUESU	Uncharacterized|GT	DUF4094(156-231)|PLN03193(219-480)
tr|A0A2P5QU68|A0A2P5QU68_GOSBA	Uncharacterized|GT	DUF4094(21-99)|PLN03193(106-299)
tr|A0A2R6REY2|A0A2R6REY2_ACTCH	Uncharacterized|GT	DUF4094(17-95)|PLN03193(80-329)
tr|B8B3G7|B8B3G7_ORYSI	Uncharacterized|GT	DUF4094(36-109)|PLN03193(94-344)
tr|B9RP11|B9RP11_RICCO	Uncharacterized|GT	DUF4094(22-100)|PLN03193(83-336)
tr|C5YKM2|C5YKM2_SORBI	Uncharacterized|GT	DUF4094(21-99)|PLN03193(84-345)
tr|C5Z5D2|C5Z5D2_SORBI	Uncharacterized|GT	DUF4094(34-107)|PLN03193(94-343)
tr|D7LKM6|D7LKM6_ARALL	Uncharacterized|GT	DUF4094(30-103)|PLN03193(86-336)
tr|D7MSX5|D7MSX5_ARALL	Uncharacterized|GT	DUF4094(22-91)|PLN03193(76-335)
tr|I1H0I7|I1H0I7_BRADI	Uncharacterized|GT	DUF4094(31-104)|PLN03193(89-338)
tr|I1PZZ6|I1PZZ6_ORYGL	Uncharacterized|GT	DUF4094(36-107)|PLN03193(94-344)
tr|J3MBR9|J3MBR9_ORYBR	Uncharacterized|GT	DUF4094(1-72)|PLN03193(57-308)
tr|J3MSQ7|J3MSQ7_ORYBR	Uncharacterized|GT	DUF4094(2-77)|PLN03193(62-323)
tr|K3Y1B2|K3Y1B2_SETIT	Uncharacterized|GT	DUF4094(63-136)|PLN03193(117-370)
tr|K3YIE8|K3YIE8_SETIT	Uncharacterized|GT	DUF4094(21-99)|PLN03193(84-345)
tr|K7V6D7|K7V6D7_MAIZE	Uncharacterized|GT	DUF4094(34-107)|PLN03193(88-343)
tr|M0TT73|M0TT73_MUSAM	Uncharacterized|GT	DUF4094(43-119)|PLN03193(127-350)
tr|M4CFT2|M4CFT2_BRARP	Uncharacterized|GT	DUF4094(13-91)|PLN03193(76-326)
tr|M4CUB0|M4CUB0_BRARP	Uncharacterized|GT	DUF4094(26-104)|PLN03193(87-336)
tr|M4E1J7|M4E1J7_BRARP	Uncharacterized|GT	DUF4094(22-91)|PLN03193(76-323)
tr|Q9LDB7|Q9LDB7_ORYSJ	Uncharacterized|GT	DUF4094(36-109)|PLN03193(94-344)
tr|S8CAU7|S8CAU7_9LAMI	Uncharacterized|GT	DUF4094(17-94)|PLN03193(80-336)
tr|H3G0S3|H3G0S3_PRIPA	Ubiquitination|TMhelix|TMhelix|GT|SGTA_dimer|3a0801s09	UBCc(9-155)|TMhelix(228-250)|TMhelix(289-306)|PLN03133(322-582)|SGTA_dimer(609-668)|3a0801s09(678-815)
tr|A8XW11|A8XW11_CAEBR	Ubiquitination|TMhelix|TMhelix|GT-A	UBCc(11-123)|TMhelix(206-228)|TMhelix(248-270)|Galactosyl_T(301-488)
tr|A0A044QPS7|A0A044QPS7_ONCVO	Ubiquitination|TMhelix|GT-A|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|GWT1|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix	UBCc(9-145)|TMhelix(219-241)|Galactosyl_T(290-475)|TMhelix(555-577)|TMhelix(584-606)|TMhelix(616-638)|TMhelix(741-763)|TMhelix(768-785)|GWT1(591-993)|TMhelix(792-809)|TMhelix(851-873)|TMhelix(894-916)|TMhelix(947-966)|TMhelix(973-995)
tr|A0A261B6N6|A0A261B6N6_9PELO	Ubiquitination|GT-A|WW|PTZ00356	UBCc(11-69)|Galactosyl_T(160-347)|WW(405-435)|PTZ00356(445-560)
tr|A0A1I7VL20|A0A1I7VL20_LOALO	Ubiquitination|GT	UBCc(9-145)|PLN03133(266-488)
tr|A0A2J6JW43|A0A2J6JW43_LACSA	TMhelix|Uncharacterized|GT|D-hex-6-P-epi_like	TMhelix(21-43)|DUF4094(20-95)|PLN03193(82-336)|D-hex-6-P-epi_like(361-634)
tr|A0A061G8P5|A0A061G8P5_THECC	TMhelix|Uncharacterized|GT	TMhelix(21-40)|DUF4094(17-95)|PLN03193(80-348)
tr|A0A061GCP0|A0A061GCP0_THECC	TMhelix|Uncharacterized|GT	TMhelix(21-43)|DUF4094(20-98)|PLN03193(83-343)
tr|A0A067ELV9|A0A067ELV9_CITSI	TMhelix|Uncharacterized|GT	TMhelix(21-40)|DUF4094(17-92)|PLN03193(80-330)
tr|A0A067JMY0|A0A067JMY0_JATCU	TMhelix|Uncharacterized|GT	TMhelix(21-43)|DUF4094(23-101)|PLN03193(86-349)
tr|A0A0D3GZU1|A0A0D3GZU1_9ORYZ	TMhelix|Uncharacterized|GT	TMhelix(20-42)|DUF4094(18-96)|PLN03193(81-340)
tr|A0A0E0AIH6|A0A0E0AIH6_9ORYZ	TMhelix|Uncharacterized|GT	TMhelix(20-42)|DUF4094(18-96)|PLN03193(81-313)
tr|A0A0E0EL81|A0A0E0EL81_9ORYZ	TMhelix|Uncharacterized|GT	TMhelix(20-42)|DUF4094(18-96)|PLN03193(81-325)
tr|A0A0E0IBD4|A0A0E0IBD4_ORYNI	TMhelix|Uncharacterized|GT	TMhelix(20-42)|DUF4094(18-96)|PLN03193(81-340)
tr|A0A0E0LUJ2|A0A0E0LUJ2_ORYPU	TMhelix|Uncharacterized|GT	TMhelix(20-42)|DUF4094(18-96)|PLN03193(81-325)
tr|A0A0E0QIG0|A0A0E0QIG0_ORYRU	TMhelix|Uncharacterized|GT	TMhelix(20-42)|DUF4094(18-96)|PLN03193(81-325)
tr|A0A103YJG0|A0A103YJG0_CYNCS	TMhelix|Uncharacterized|GT	TMhelix(21-43)|DUF4094(20-98)|PLN03193(83-344)
tr|A0A151TGU4|A0A151TGU4_CAJCA	TMhelix|Uncharacterized|GT	TMhelix(21-40)|DUF4094(17-95)|PLN03193(80-332)
tr|A0A199VMS9|A0A199VMS9_ANACO	TMhelix|Uncharacterized|GT	TMhelix(21-40)|DUF4094(17-95)|PLN03193(80-341)
tr|A0A1D6DHQ8|A0A1D6DHQ8_WHEAT	TMhelix|Uncharacterized|GT	TMhelix(21-43)|DUF4094(20-98)|PLN03193(83-344)
tr|A0A1D6KPJ9|A0A1D6KPJ9_MAIZE	TMhelix|Uncharacterized|GT	TMhelix(21-43)|DUF4094(21-109)|PLN03193(94-366)
tr|A0A1D6Q0M8|A0A1D6Q0M8_MAIZE	TMhelix|Uncharacterized|GT	TMhelix(21-40)|DUF4094(21-99)|PLN03193(84-405)
tr|A0A1J6K1U0|A0A1J6K1U0_NICAT	TMhelix|Uncharacterized|GT	TMhelix(20-42)|DUF4094(18-93)|PLN03193(81-343)
tr|A0A1Q3B699|A0A1Q3B699_CEPFO	TMhelix|Uncharacterized|GT	TMhelix(21-43)|DUF4094(20-98)|PLN03193(83-344)
tr|A0A1Q3CXC3|A0A1Q3CXC3_CEPFO	TMhelix|Uncharacterized|GT	TMhelix(12-34)|DUF4094(15-93)|PLN03193(78-337)
tr|A0A1R3G5D3|A0A1R3G5D3_COCAP	TMhelix|Uncharacterized|GT	TMhelix(21-40)|DUF4094(17-95)|PLN03193(80-331)
tr|A0A1S2YC12|A0A1S2YC12_CICAR	TMhelix|Uncharacterized|GT	TMhelix(20-42)|DUF4094(18-96)|PLN03193(81-340)
tr|A0A1S3VPL6|A0A1S3VPL6_VIGRR	TMhelix|Uncharacterized|GT	TMhelix(21-40)|DUF4094(17-95)|PLN03193(80-341)
tr|A0A1S3VVJ5|A0A1S3VVJ5_VIGRR	TMhelix|Uncharacterized|GT	TMhelix(21-40)|DUF4094(17-95)|PLN03193(80-339)
tr|A0A1S3YVB7|A0A1S3YVB7_TOBAC	TMhelix|Uncharacterized|GT	TMhelix(20-42)|DUF4094(18-96)|PLN03193(81-343)
tr|A0A1S4CIS6|A0A1S4CIS6_TOBAC	TMhelix|Uncharacterized|GT	TMhelix(21-40)|DUF4094(17-95)|PLN03193(80-338)
tr|A0A1S4DS11|A0A1S4DS11_TOBAC	TMhelix|Uncharacterized|GT	TMhelix(13-35)|DUF4094(17-95)|PLN03193(80-338)
tr|A0A1U7V8Q9|A0A1U7V8Q9_NICSY	TMhelix|Uncharacterized|GT	TMhelix(21-40)|DUF4094(17-95)|PLN03193(80-338)
tr|A0A1U7W9U9|A0A1U7W9U9_NICSY	TMhelix|Uncharacterized|GT	TMhelix(20-42)|DUF4094(18-96)|PLN03193(81-343)
tr|A0A1U8FZ82|A0A1U8FZ82_CAPAN	TMhelix|Uncharacterized|GT	TMhelix(13-35)|DUF4094(17-95)|PLN03193(61-338)
tr|A0A1U8G556|A0A1U8G556_CAPAN	TMhelix|Uncharacterized|GT	TMhelix(20-42)|DUF4094(18-96)|PLN03193(81-342)
tr|A0A1U8IL68|A0A1U8IL68_GOSHI	TMhelix|Uncharacterized|GT	TMhelix(21-43)|DUF4094(20-98)|PLN03193(85-342)
tr|A0A1U8JCS3|A0A1U8JCS3_GOSHI	TMhelix|Uncharacterized|GT	TMhelix(20-42)|DUF4094(18-96)|PLN03193(81-339)
tr|A0A1U8L6R4|A0A1U8L6R4_GOSHI	TMhelix|Uncharacterized|GT	TMhelix(20-42)|DUF4094(18-96)|PLN03193(81-339)
tr|A0A1W0VRP2|A0A1W0VRP2_SORBI	TMhelix|Uncharacterized|GT	TMhelix(21-43)|DUF4094(25-105)|PLN03193(67-356)
tr|A0A1Y1IJ07|A0A1Y1IJ07_KLENI	TMhelix|Uncharacterized|GT	TMhelix(11-33)|DUF4094(17-89)|PLN03193(75-366)
tr|A0A218WSX6|A0A218WSX6_PUNGR	TMhelix|Uncharacterized|GT	TMhelix(21-40)|DUF4094(18-95)|PLN03193(82-339)
tr|A0A251SN88|A0A251SN88_HELAN	TMhelix|Uncharacterized|GT	TMhelix(13-35)|DUF4094(17-95)|PLN03193(80-341)
tr|A0A287WPS1|A0A287WPS1_HORVV	TMhelix|Uncharacterized|GT	TMhelix(21-43)|DUF4094(20-98)|PLN03193(83-337)
tr|A0A2G2X775|A0A2G2X775_CAPBA	TMhelix|Uncharacterized|GT	TMhelix(13-35)|DUF4094(17-95)|PLN03193(61-338)
tr|A0A2G2XJI9|A0A2G2XJI9_CAPBA	TMhelix|Uncharacterized|GT	TMhelix(20-42)|DUF4094(18-96)|PLN03193(81-342)
tr|A0A2G3DAS0|A0A2G3DAS0_CAPCH	TMhelix|Uncharacterized|GT	TMhelix(20-42)|DUF4094(18-96)|PLN03193(81-342)
tr|A0A2G9H6Y6|A0A2G9H6Y6_9LAMI	TMhelix|Uncharacterized|GT	TMhelix(20-42)|DUF4094(18-96)|PLN03193(81-342)
tr|A0A2G9HSS5|A0A2G9HSS5_9LAMI	TMhelix|Uncharacterized|GT	TMhelix(21-40)|DUF4094(17-95)|PLN03193(80-331)
tr|A0A2H3YH56|A0A2H3YH56_PHODC	TMhelix|Uncharacterized|GT	TMhelix(21-40)|DUF4094(17-47)|PLN03193(104-342)
tr|A0A2H5NGK7|A0A2H5NGK7_CITUN	TMhelix|Uncharacterized|GT	TMhelix(19-41)|DUF4094(17-95)|PLN03193(82-343)
tr|A0A2H5NZN6|A0A2H5NZN6_CITUN	TMhelix|Uncharacterized|GT	TMhelix(21-40)|DUF4094(17-92)|PLN03193(80-330)
tr|A0A2I0B913|A0A2I0B913_9ASPA	TMhelix|Uncharacterized|GT	TMhelix(21-40)|DUF4094(17-70)|PLN03193(104-339)
tr|A0A2J6K0B2|A0A2J6K0B2_LACSA	TMhelix|Uncharacterized|GT	TMhelix(21-43)|DUF4094(20-98)|PLN03193(83-341)
tr|A0A2K1ITT8|A0A2K1ITT8_PHYPA	TMhelix|Uncharacterized|GT	TMhelix(21-40)|DUF4094(18-95)|PLN03193(80-340)
tr|A0A2K3P857|A0A2K3P857_TRIPR	TMhelix|Uncharacterized|GT	TMhelix(20-42)|DUF4094(18-96)|PLN03193(81-320)
tr|A0A2P4MDR8|A0A2P4MDR8_QUESU	TMhelix|Uncharacterized|GT	TMhelix(21-40)|DUF4094(18-95)|PLN03193(80-339)
tr|A0A2P5BMP6|A0A2P5BMP6_PARAD	TMhelix|Uncharacterized|GT	TMhelix(21-40)|DUF4094(17-95)|PLN03193(80-339)
tr|A0A2P5EAF5|A0A2P5EAF5_9ROSA	TMhelix|Uncharacterized|GT	TMhelix(21-40)|DUF4094(33-95)|PLN03193(80-332)
tr|A0A2P5FGI8|A0A2P5FGI8_9ROSA	TMhelix|Uncharacterized|GT	TMhelix(21-40)|DUF4094(17-95)|PLN03193(80-339)
tr|A0A2P5SDG3|A0A2P5SDG3_GOSBA	TMhelix|Uncharacterized|GT	TMhelix(20-42)|DUF4094(18-96)|PLN03193(81-332)
tr|A0A2P6P6E3|A0A2P6P6E3_ROSCH	TMhelix|Uncharacterized|GT	TMhelix(17-39)|DUF4094(15-91)|PLN03193(78-339)
tr|A0A2P6SNR1|A0A2P6SNR1_ROSCH	TMhelix|Uncharacterized|GT	TMhelix(13-35)|DUF4094(16-94)|PLN03193(79-334)
tr|A0A2R6PJN9|A0A2R6PJN9_ACTCH	TMhelix|Uncharacterized|GT	TMhelix(31-53)|DUF4094(30-108)|PLN03193(91-341)
tr|A0A2R6Q940|A0A2R6Q940_ACTCH	TMhelix|Uncharacterized|GT	TMhelix(13-35)|DUF4094(17-95)|PLN03193(80-329)
tr|A0A2R6QN40|A0A2R6QN40_ACTCH	TMhelix|Uncharacterized|GT	TMhelix(21-40)|DUF4094(17-95)|PLN03193(80-342)
tr|B8BAC0|B8BAC0_ORYSI	TMhelix|Uncharacterized|GT	TMhelix(20-42)|DUF4094(18-96)|PLN03193(81-335)
tr|B9RIN6|B9RIN6_RICCO	TMhelix|Uncharacterized|GT	TMhelix(19-41)|DUF4094(21-99)|PLN03193(84-343)
tr|D7TVB8|D7TVB8_VITVI	TMhelix|Uncharacterized|GT	TMhelix(19-41)|DUF4094(17-95)|PLN03193(80-338)
tr|D8RMA1|D8RMA1_SELML	TMhelix|Uncharacterized|GT	TMhelix(13-35)|DUF4094(17-90)|PLN03193(75-327)
tr|D8SLD2|D8SLD2_SELML	TMhelix|Uncharacterized|GT	TMhelix(13-35)|DUF4094(17-90)|PLN03193(75-327)
tr|E0CUK3|E0CUK3_VITVI	TMhelix|Uncharacterized|GT	TMhelix(21-40)|DUF4094(17-65)|PLN03193(101-339)
tr|G7J676|G7J676_MEDTR	TMhelix|Uncharacterized|GT	TMhelix(21-40)|DUF4094(17-95)|PLN03193(80-339)
tr|G7KAP6|G7KAP6_MEDTR	TMhelix|Uncharacterized|GT	TMhelix(21-40)|DUF4094(17-93)|PLN03193(80-341)
tr|I1I6N7|I1I6N7_BRADI	TMhelix|Uncharacterized|GT	TMhelix(21-43)|DUF4094(20-96)|PLN03193(83-344)
tr|I1JYW0|I1JYW0_SOYBN	TMhelix|Uncharacterized|GT	TMhelix(20-42)|DUF4094(18-96)|PLN03193(81-340)
tr|I1KAL8|I1KAL8_SOYBN	TMhelix|Uncharacterized|GT	TMhelix(20-42)|DUF4094(18-96)|PLN03193(81-340)
tr|I1QIB4|I1QIB4_ORYGL	TMhelix|Uncharacterized|GT	TMhelix(20-42)|DUF4094(18-96)|PLN03193(81-342)
tr|M0SK11|M0SK11_MUSAM	TMhelix|Uncharacterized|GT	TMhelix(13-35)|DUF4094(12-60)|PLN03193(99-337)
tr|M1AIB1|M1AIB1_SOLTU	TMhelix|Uncharacterized|GT	TMhelix(21-40)|DUF4094(17-95)|PLN03193(61-329)
tr|Q6ZA16|Q6ZA16_ORYSJ	TMhelix|Uncharacterized|GT	TMhelix(20-42)|DUF4094(18-96)|PLN03193(81-342)
tr|Q8RW34|Q8RW34_SOLLC	TMhelix|Uncharacterized|GT	TMhelix(20-42)|DUF4094(18-93)|PLN03193(81-343)
tr|V7AVC3|V7AVC3_PHAVU	TMhelix|Uncharacterized|GT	TMhelix(20-42)|DUF4094(18-96)|PLN03193(81-340)
tr|V7CMG2|V7CMG2_PHAVU	TMhelix|Uncharacterized|GT	TMhelix(21-40)|DUF4094(17-95)|PLN03193(80-341)
tr|W1PA71|W1PA71_AMBTC	TMhelix|Uncharacterized|GT	TMhelix(21-40)|DUF4094(17-95)|PLN03193(80-332)
tr|A0A1S3DAY2|A0A1S3DAY2_DIACI	TMhelix|TMhelix|GT-A	TMhelix(12-29)|TMhelix(49-66)|Galactosyl_T(66-249)
tr|M4EES9|M4EES9_BRARP	TMhelix|RplC|GT-A	TMhelix(23-45)|RplC(58-112)|Galactosyl_T(99-291)
tr|A0A103XE40|A0A103XE40_CYNCS	TMhelix|GT|TMhelix	TMhelix(24-46)|PLN03193(6-430)|TMhelix(318-340)
tr|A0A251V815|A0A251V815_HELAN	TMhelix|GT|TMhelix	TMhelix(21-43)|PLN03193(76-339)|TMhelix(338-360)
tr|U6PWN1|U6PWN1_HAECO	TMhelix|GT-A|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|GWT1|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix	TMhelix(7-24)|Galactosyl_T(71-258)|TMhelix(317-339)|TMhelix(351-373)|TMhelix(378-400)|TMhelix(421-443)|TMhelix(458-477)|TMhelix(498-520)|TMhelix(530-549)|GWT1(354-769)|TMhelix(556-578)|TMhelix(598-620)|TMhelix(632-651)|TMhelix(666-688)|TMhelix(716-735)|TMhelix(745-762)
tr|A0A2A2JQ56|A0A2A2JQ56_9BILA	TMhelix|GT-A|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|GWT1|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix	TMhelix(7-29)|Galactosyl_T(77-262)|TMhelix(360-382)|TMhelix(394-416)|TMhelix(421-443)|TMhelix(474-492)|TMhelix(502-524)|TMhelix(544-566)|GWT1(348-808)|TMhelix(595-614)|TMhelix(634-656)|TMhelix(671-693)|TMhelix(714-736)|TMhelix(788-810)
tr|A0A2A2LF63|A0A2A2LF63_9BILA	TMhelix|GT-A|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|GWT1|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix	TMhelix(7-29)|Galactosyl_T(77-262)|TMhelix(334-356)|TMhelix(368-390)|TMhelix(395-417)|TMhelix(448-466)|TMhelix(476-498)|TMhelix(518-540)|GWT1(322-772)|TMhelix(568-590)|TMhelix(611-633)|TMhelix(643-665)|TMhelix(678-700)|TMhelix(752-774)
tr|A0A166ERM9|A0A166ERM9_DAUCA	TMhelix|GT-A|TMhelix	TMhelix(44-66)|Galactosyl_T(121-316)|TMhelix(264-286)
tr|M0RK96|M0RK96_MUSAM	TMhelix|GT-A|TMhelix	TMhelix(20-42)|Galactosyl_T(95-264)|TMhelix(268-290)
tr|W1Q0Y8|W1Q0Y8_AMBTC	TMhelix|GT-A|TMhelix	TMhelix(25-47)|Galactosyl_T(106-301)|TMhelix(372-394)
tr|K1R5Y1|K1R5Y1_CRAGI	TMhelix|GT-A|Periplasmic_Binding_Protein_Type_1|NCD3G|TMhelix|TMhelix|TMhelix|TMhelix|7tmC_mGluRs|TMhelix|TMhelix	TMhelix(13-35)|Galactosyl_T(90-272)|Periplasmic_Binding_Protein_Type_1(307-679)|NCD3G(715-763)|TMhelix(787-809)|TMhelix(822-841)|TMhelix(856-875)|TMhelix(895-917)|7tmC_mGluRs(783-1034)|TMhelix(942-964)|TMhelix(977-999)
sp|Q66GS2|B3GTC_ARATH	TMhelix|GT-A	TMhelix(46-68)|Galactosyl_T(124-319)
sp|Q8L7M1|B3GTE_ARATH	TMhelix|GT-A	TMhelix(21-43)|Galactosyl_T(101-293)
sp|Q9LKA9|B3GTD_ARATH	TMhelix|GT-A	TMhelix(21-43)|Galactosyl_T(99-293)
tr|A0A061GL67|A0A061GL67_THECC	TMhelix|GT-A	TMhelix(40-62)|Galactosyl_T(120-315)
tr|A0A067KGG3|A0A067KGG3_JATCU	TMhelix|GT-A	TMhelix(39-61)|Galactosyl_T(118-313)
tr|A0A072V982|A0A072V982_MEDTR	TMhelix|GT-A	TMhelix(20-39)|Galactosyl_T(92-286)
tr|A0A0D2UCH9|A0A0D2UCH9_CAPO3	TMhelix|GT-A	TMhelix(13-35)|Galactosyl_T(249-498)
tr|A0A0E0HAT7|A0A0E0HAT7_ORYNI	TMhelix|GT-A	TMhelix(52-74)|Galactosyl_T(151-314)
tr|A0A103YK37|A0A103YK37_CYNCS	TMhelix|GT-A	TMhelix(21-43)|Galactosyl_T(99-268)
tr|A0A132A8J8|A0A132A8J8_SARSC	TMhelix|GT-A	TMhelix(13-35)|Galactosyl_T(88-280)
tr|A0A151S979|A0A151S979_CAJCA	TMhelix|GT-A	TMhelix(13-32)|Galactosyl_T(84-279)
tr|A0A164Y3E7|A0A164Y3E7_DAUCA	TMhelix|GT-A	TMhelix(21-40)|Galactosyl_T(97-268)
tr|A0A199VYL1|A0A199VYL1_ANACO	TMhelix|GT-A	TMhelix(44-66)|Galactosyl_T(116-311)
tr|A0A1I7SX29|A0A1I7SX29_BURXY	TMhelix|GT-A	TMhelix(9-26)|Galactosyl_T(70-255)
tr|A0A1I7ZNE1|A0A1I7ZNE1_9BILA	TMhelix|GT-A	TMhelix(7-26)|Galactosyl_T(74-259)
tr|A0A1J7HFA3|A0A1J7HFA3_LUPAN	TMhelix|GT-A	TMhelix(21-43)|Galactosyl_T(92-306)
tr|A0A1R3H9D8|A0A1R3H9D8_COCAP	TMhelix|GT-A	TMhelix(37-59)|Galactosyl_T(117-312)
tr|A0A1R3IVH8|A0A1R3IVH8_9ROSI	TMhelix|GT-A	TMhelix(36-58)|Galactosyl_T(116-311)
tr|A0A1S2Z6S9|A0A1S2Z6S9_CICAR	TMhelix|GT-A	TMhelix(20-37)|Galactosyl_T(89-284)
tr|A0A1S3I6U7|A0A1S3I6U7_LINUN	TMhelix|GT-A	TMhelix(21-43)|Galactosyl_T(85-269)
tr|A0A1S3QJ07|A0A1S3QJ07_SALSA	TMhelix|GT-A	TMhelix(13-30)|Galactosyl_T(86-270)
tr|A0A1S3TFU6|A0A1S3TFU6_VIGRR	TMhelix|GT-A	TMhelix(24-46)|Galactosyl_T(101-295)
tr|A0A1U7QHU1|A0A1U7QHU1_MESAU	TMhelix|GT-A	TMhelix(89-107)|Galactosyl_T(143-334)
tr|A0A1U8IIH0|A0A1U8IIH0_GOSHI	TMhelix|GT-A	TMhelix(47-69)|Galactosyl_T(127-322)
tr|A0A1U8J307|A0A1U8J307_GOSHI	TMhelix|GT-A	TMhelix(47-69)|Galactosyl_T(127-322)
tr|A0A1V4KNU9|A0A1V4KNU9_PATFA	TMhelix|GT-A	TMhelix(13-30)|Galactosyl_T(87-275)
tr|A0A1X7VKE1|A0A1X7VKE1_AMPQE	TMhelix|GT-A	TMhelix(15-37)|Galactosyl_T(86-273)
tr|A0A218X9L7|A0A218X9L7_PUNGR	TMhelix|GT-A	TMhelix(20-42)|Galactosyl_T(100-292)
tr|A0A218XP20|A0A218XP20_PUNGR	TMhelix|GT-A	TMhelix(26-48)|Galactosyl_T(105-300)
tr|A0A226N0L9|A0A226N0L9_CALSU	TMhelix|GT-A	TMhelix(13-30)|Galactosyl_T(87-275)
tr|A0A226PDQ6|A0A226PDQ6_COLVI	TMhelix|GT-A	TMhelix(13-30)|Galactosyl_T(87-275)
tr|A0A2A4K6M7|A0A2A4K6M7_HELVI	TMhelix|GT-A	TMhelix(12-31)|Galactosyl_T(68-290)
tr|A0A2C9M391|A0A2C9M391_BIOGL	TMhelix|GT-A	TMhelix(20-42)|Galactosyl_T(86-268)
tr|A0A2G2YJ56|A0A2G2YJ56_CAPAN	TMhelix|GT-A	TMhelix(23-45)|Galactosyl_T(108-284)
tr|A0A2G3C1S4|A0A2G3C1S4_CAPCH	TMhelix|GT-A	TMhelix(20-42)|Galactosyl_T(98-267)
tr|A0A2G5SCJ2|A0A2G5SCJ2_9PELO	TMhelix|GT-A	TMhelix(7-24)|Galactosyl_T(70-257)
tr|A0A2G8L4E1|A0A2G8L4E1_STIJA	TMhelix|GT-A	TMhelix(48-67)|Galactosyl_T(116-299)
