tr|A0A1U7QMM0|A0A1U7QMM0_MESAU	TMhelix|TMhelix|TMhelix|GT-A	TMhelix(20-39)|TMhelix(107-129)|TMhelix(142-159)|Glyco_tranf_GTA_type(81-346)
tr|A0A286XK79|A0A286XK79_CAVPO	TMhelix|GT-A	TMhelix(7-25)|Glyco_tranf_GTA_type(70-351)
tr|A0A286XS19|A0A286XS19_CAVPO	TMhelix|GT-A	TMhelix(13-32)|Glyco_transf_6(65-336)
tr|A0A286ZIM6|A0A286ZIM6_PIG	TMhelix|GT-A	TMhelix(32-54)|Glyco_tranf_GTA_type(75-332)
tr|A0A2D0Q9S2|A0A2D0Q9S2_ICTPU	TMhelix|GT-A	TMhelix(12-31)|Glyco_transf_6(38-308)
tr|A0A2D0QJI2|A0A2D0QJI2_ICTPU	TMhelix|GT-A	TMhelix(7-29)|Glyco_transf_6(86-356)
tr|A0A2I2US38|A0A2I2US38_FELCA	TMhelix|GT-A	TMhelix(7-25)|Glyco_transf_6(85-368)
tr|A0A2I2ZKU7|A0A2I2ZKU7_GORGO	TMhelix|GT-A	TMhelix(7-25)|Glyco_tranf_GTA_type(82-335)
tr|A0A2I3HMK1|A0A2I3HMK1_NOMLE	TMhelix|GT-A	TMhelix(36-55)|Glyco_transf_6(91-362)
tr|A0A2I3R9Z3|A0A2I3R9Z3_PANTR	TMhelix|GT-A	TMhelix(7-25)|Glyco_tranf_GTA_type(70-318)
tr|A0A2I3RGY4|A0A2I3RGY4_PANTR	TMhelix|GT-A	TMhelix(13-32)|Glyco_transf_6(68-339)
tr|A0A2I4AJA0|A0A2I4AJA0_9TELE	TMhelix|GT-A	TMhelix(56-78)|Glyco_tranf_GTA_type(127-397)
tr|A0A2I4AS51|A0A2I4AS51_9TELE	TMhelix|GT-A	TMhelix(23-45)|Glyco_tranf_GTA_type(80-349)
tr|A0A2I4CF79|A0A2I4CF79_9TELE	TMhelix|GT-A	TMhelix(7-29)|Glyco_tranf_GTA_type(77-347)
tr|A0A2K5C351|A0A2K5C351_AOTNA	TMhelix|GT-A	TMhelix(12-31)|Glyco_transf_6(67-338)
tr|A0A2K5CIZ2|A0A2K5CIZ2_AOTNA	TMhelix|GT-A	TMhelix(7-25)|Glyco_transf_6(91-374)
tr|A0A2K5JXA6|A0A2K5JXA6_COLAP	TMhelix|GT-A	TMhelix(5-27)|Glyco_transf_6(57-330)
tr|A0A2K5N5P8|A0A2K5N5P8_CERAT	TMhelix|GT-A	TMhelix(13-35)|Glyco_transf_6(62-348)
tr|A0A2K5PND5|A0A2K5PND5_CEBCA	TMhelix|GT-A	TMhelix(21-40)|Glyco_transf_6(61-350)
tr|A0A2K5QTX4|A0A2K5QTX4_CEBCA	TMhelix|GT-A	TMhelix(7-25)|Glyco_transf_6(90-373)
tr|A0A2K5YW61|A0A2K5YW61_MANLE	TMhelix|GT-A	TMhelix(5-27)|Glyco_transf_6(54-340)
tr|A0A2K6F589|A0A2K6F589_PROCO	TMhelix|GT-A	TMhelix(21-38)|Glyco_transf_6(63-350)
tr|A0A2K6G883|A0A2K6G883_PROCO	TMhelix|GT-A	TMhelix(7-25)|Glyco_transf_6(78-361)
tr|A0A2K6KXL4|A0A2K6KXL4_RHIBE	TMhelix|GT-A	TMhelix(28-50)|Glyco_tranf_GTA_type(82-363)
tr|A0A2K6MGZ7|A0A2K6MGZ7_RHIBE	TMhelix|GT-A	TMhelix(13-35)|Glyco_transf_6(64-353)
tr|A0A2K6R662|A0A2K6R662_RHIRO	TMhelix|GT-A	TMhelix(13-35)|Glyco_transf_6(82-353)
tr|A0A2K6V7R5|A0A2K6V7R5_SAIBB	TMhelix|GT-A	TMhelix(7-25)|Glyco_transf_6(91-374)
tr|A0A2R9BB42|A0A2R9BB42_PANPA	TMhelix|GT-A	TMhelix(5-27)|Glyco_transf_6(54-343)
tr|A0A2R9BJF9|A0A2R9BJF9_PANPA	TMhelix|GT-A	TMhelix(7-25)|Glyco_tranf_GTA_type(88-329)
tr|A2BIR9|A2BIR9_DANRE	TMhelix|GT-A	TMhelix(5-27)|Glyco_tranf_GTA_type(75-339)
tr|A2CED1|A2CED1_DANRE	TMhelix|GT-A	TMhelix(5-27)|Glyco_tranf_GTA_type(75-339)
tr|A2CED6|A2CED6_DANRE	TMhelix|GT-A	TMhelix(13-35)|Glyco_tranf_GTA_type(79-346)
tr|B0R0W7|B0R0W7_DANRE	TMhelix|GT-A	TMhelix(9-31)|Glyco_transf_6(43-313)
tr|D4A7T1|D4A7T1_RAT	TMhelix|GT-A	TMhelix(13-35)|Glyco_transf_6(47-334)
tr|E1B8Y5|E1B8Y5_BOVIN	TMhelix|GT-A	TMhelix(96-118)|Glyco_tranf_GTA_type(32-297)
tr|E2RBR8|E2RBR8_CANLF	TMhelix|GT-A	TMhelix(20-38)|Glyco_tranf_GTA_type(67-361)
tr|E9PTA3|E9PTA3_RAT	TMhelix|GT-A	TMhelix(90-112)|Glyco_tranf_GTA_type(45-329)
tr|F1PHE9|F1PHE9_CANLF	TMhelix|GT-A	TMhelix(7-26)|Glyco_transf_6(60-347)
tr|F1PTY2|F1PTY2_CANLF	TMhelix|GT-A	TMhelix(21-38)|Glyco_tranf_GTA_type(64-329)
tr|F1QJ68|F1QJ68_DANRE	TMhelix|GT-A	TMhelix(7-29)|Glyco_transf_6(59-329)
tr|F6RK40|F6RK40_HORSE	TMhelix|GT-A	TMhelix(5-27)|Glyco_tranf_GTA_type(55-320)
tr|F6U9Z3|F6U9Z3_MONDO	TMhelix|GT-A	TMhelix(12-29)|Glyco_tranf_GTA_type(80-363)
tr|F6UBV2|F6UBV2_XENTR	TMhelix|GT-A	TMhelix(19-38)|Glyco_tranf_GTA_type(80-365)
tr|F6UX61|F6UX61_HORSE	TMhelix|GT-A	TMhelix(7-25)|Glyco_transf_6(81-364)
tr|F6V1U3|F6V1U3_ORNAN	TMhelix|GT-A	TMhelix(17-36)|Glyco_transf_6(62-351)
tr|F6WUM3|F6WUM3_MACMU	TMhelix|GT-A	TMhelix(9-31)|Glyco_transf_6(58-344)
tr|F7CFF4|F7CFF4_HORSE	TMhelix|GT-A	TMhelix(10-32)|Glyco_tranf_GTA_type(71-355)
tr|F7CFJ6|F7CFJ6_CALJA	TMhelix|GT-A	TMhelix(7-25)|Glyco_transf_6(91-374)
tr|F7CT04|F7CT04_HORSE	TMhelix|GT-A	TMhelix(7-29)|Glyco_transf_6(56-344)
tr|F7DTG8|F7DTG8_XENTR	TMhelix|GT-A	TMhelix(7-29)|Glyco_tranf_GTA_type(46-333)
tr|F7FSQ3|F7FSQ3_MONDO	TMhelix|GT-A	TMhelix(32-51)|Glyco_tranf_GTA_type(111-387)
tr|F7I2K2|F7I2K2_CALJA	TMhelix|GT-A	TMhelix(12-31)|Glyco_transf_6(67-338)
tr|G1L1Y4|G1L1Y4_AILME	TMhelix|GT-A	TMhelix(12-29)|Glyco_transf_6(89-372)
tr|G1MLM6|G1MLM6_AILME	TMhelix|GT-A	TMhelix(20-39)|Glyco_tranf_GTA_type(66-360)
tr|G1PK57|G1PK57_MYOLU	TMhelix|GT-A	TMhelix(7-25)|Glyco_transf_6(81-363)
tr|G1PXW3|G1PXW3_MYOLU	TMhelix|GT-A	TMhelix(12-34)|Glyco_transf_6(67-337)
tr|G1Q4F3|G1Q4F3_MYOLU	TMhelix|GT-A	TMhelix(20-37)|Glyco_transf_6(64-353)
tr|G1SJS7|G1SJS7_RABIT	TMhelix|GT-A	TMhelix(7-25)|Glyco_transf_6(91-374)
tr|G1TPD3|G1TPD3_RABIT	TMhelix|GT-A	TMhelix(13-35)|Glyco_tranf_GTA_type(60-345)
tr|G1TRN7|G1TRN7_RABIT	TMhelix|GT-A	TMhelix(13-35)|Glyco_transf_6(62-351)
tr|G1U1I4|G1U1I4_RABIT	TMhelix|GT-A	TMhelix(13-35)|Glyco_tranf_GTA_type(60-345)
tr|G3HX87|G3HX87_CRIGR	TMhelix|GT-A	TMhelix(7-26)|Glyco_transf_6(75-358)
tr|G3IBD3|G3IBD3_CRIGR	TMhelix|GT-A	TMhelix(13-35)|Glyco_tranf_GTA_type(62-353)
tr|G3NX10|G3NX10_GASAC	TMhelix|GT-A	TMhelix(7-26)|Glyco_transf_6(66-335)
tr|G3PPN1|G3PPN1_GASAC	TMhelix|GT-A	TMhelix(5-27)|Glyco_tranf_GTA_type(73-343)
tr|G3S4E8|G3S4E8_GORGO	TMhelix|GT-A	TMhelix(5-27)|Glyco_transf_6(74-344)
tr|G3SWC0|G3SWC0_LOXAF	TMhelix|GT-A	TMhelix(43-65)|Glyco_transf_6(98-368)
tr|G3T5B7|G3T5B7_LOXAF	TMhelix|GT-A	TMhelix(13-35)|Glyco_transf_6(67-352)
tr|G3TYL9|G3TYL9_LOXAF	TMhelix|GT-A	TMhelix(9-31)|Glyco_tranf_GTA_type(55-328)
tr|G5B5K9|G5B5K9_HETGA	TMhelix|GT-A	TMhelix(13-35)|Glyco_transf_6(68-339)
tr|G7PR95|G7PR95_MACFA	TMhelix|GT-A	TMhelix(5-27)|Glyco_transf_6(59-344)
tr|H0WJK4|H0WJK4_OTOGA	TMhelix|GT-A	TMhelix(7-25)|Glyco_tranf_GTA_type(91-374)
tr|H0XIV6|H0XIV6_OTOGA	TMhelix|GT-A	TMhelix(12-34)|Glyco_transf_6(67-338)
tr|H0XN41|H0XN41_OTOGA	TMhelix|GT-A	TMhelix(16-38)|Glyco_tranf_GTA_type(65-327)
tr|H0XZ48|H0XZ48_OTOGA	TMhelix|GT-A	TMhelix(16-38)|Glyco_tranf_GTA_type(65-327)
tr|H2LGF9|H2LGF9_ORYLA	TMhelix|GT-A	TMhelix(2-24)|Glyco_tranf_GTA_type(60-329)
tr|H3AP87|H3AP87_LATCH	TMhelix|GT-A	TMhelix(7-29)|Glyco_tranf_GTA_type(65-323)
tr|I3M632|I3M632_ICTTR	TMhelix|GT-A	TMhelix(13-33)|Glyco_transf_6(95-378)
tr|J9NUW3|J9NUW3_CANLF	TMhelix|GT-A	TMhelix(7-25)|Glyco_transf_6(85-368)
tr|K7GDL5|K7GDL5_PELSI	TMhelix|GT-A	TMhelix(19-38)|Glyco_tranf_GTA_type(55-339)
tr|L9KP07|L9KP07_TUPCH	TMhelix|GT-A	TMhelix(38-56)|Glyco_tranf_GTA_type(73-353)
tr|M0RE11|M0RE11_RAT	TMhelix|GT-A	TMhelix(7-29)|Glyco_transf_6(41-327)
tr|M3Y7K8|M3Y7K8_MUSPF	TMhelix|GT-A	TMhelix(42-61)|Glyco_transf_6(118-401)
tr|U3D735|U3D735_CALJA	TMhelix|GT-A	TMhelix(20-37)|Glyco_transf_6(64-353)
tr|U3IAU4|U3IAU4_ANAPL	TMhelix|GT-A	TMhelix(7-24)|Glyco_transf_6(72-340)
tr|W5LZA7|W5LZA7_LEPOC	TMhelix|GT-A	TMhelix(13-35)|Glyco_tranf_GTA_type(67-336)
tr|W5LZQ2|W5LZQ2_LEPOC	TMhelix|GT-A	TMhelix(21-40)|Glyco_tranf_GTA_type(64-328)
tr|W5P0M9|W5P0M9_SHEEP	TMhelix|GT-A	TMhelix(10-32)|Glyco_transf_6(71-358)
tr|W5PYG3|W5PYG3_SHEEP	TMhelix|GT-A	TMhelix(7-26)|Glyco_transf_6(86-367)
tr|L8Y8A3|L8Y8A3_TUPCH	PTZ00121|SURF6|GT-A	PTZ00121(23-297)|SURF6(164-268)|Glyco_tranf_GTA_type(304-587)
tr|F2U7J8|F2U7J8_SALR5	GT|GT-A	Gly_transf_sug(579-671)|Glyco_tranf_GTA_type(1117-1328)
tr|A0A1H8DGM1|A0A1H8DGM1_9BACT	GT-A|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|Uncharacterized|TMhelix|TMhelix|TMhelix|TMhelix	Glyco_tranf_GTA_type(11-218)|TMhelix(286-308)|TMhelix(321-343)|TMhelix(353-371)|TMhelix(384-406)|TMhelix(410-432)|MATE_tuaB_like(248-652)|TMhelix(533-555)|TMhelix(559-578)|TMhelix(605-627)|TMhelix(647-666)
tr|G3IBD2|G3IBD2_CRIGR	GT-A|Localization|PHA03307|DUF4782|V-set|Hepsin-SRCR|Tryp_SPc	Glyco_tranf_GTA_type(22-288)|PH-GRAM_GRAMDC(341-429)|PHA03307(453-567)|DUF4782(604-752)|V-set(936-1060)|Hepsin-SRCR(1073-1182)|Tryp_SPc(1186-1373)
tr|A0A060RA56|A0A060RA56_9BACT	GT-A|GT|GT-A	Glyco_tranf_GTA_type(2-203)|Fut1_Fut2_like(265-524)|Glyco_tranf_GTA_type(699-751)
tr|L5KCH5|L5KCH5_PTEAL	GT-A|GT-A	Glyco_tranf_GTA_type(17-291)|Glyco_tranf_GTA_type(309-525)
tr|A0A1F6NMG0|A0A1F6NMG0_9BACT	GT-A|GT	Glyco_tranf_GTA_type(3-224)|Fut1_Fut2_like(266-518)
tr|F9Q7G3|F9Q7G3_9PAST	GT-A|Caps_synth	Glyco_tranf_GTA_type(23-204)|Caps_synth(259-519)
tr|G4CKK7|G4CKK7_9NEIS	GT-A|Caps_synth	Glyco_tranf_GTA_type(5-212)|Caps_synth(311-596)
sp|A2AUQ7|GTA1L_MOUSE	GT-A	Glyco_tranf_GTA_type(57-319)
sp|D3ZNQ3|GL6D1_RAT	GT-A	Glyco_tranf_GTA_type(45-305)
sp|G3V9Q9|GTA1L_RAT	GT-A	Glyco_tranf_GTA_type(55-321)
sp|Q2NKH9|GL6D1_MOUSE	GT-A	Glyco_transf_6(45-308)
sp|Q2YDM8|GL6D1_BOVIN	GT-A	Glyco_tranf_GTA_type(43-305)
sp|Q3L7M0|GGTA1_RAT	GT-A	Glyco_transf_6(86-369)
sp|Q5ZLK4|GBGT1_CHICK	GT-A	Glyco_transf_6(72-342)
sp|Q7Z4J2|GL6D1_HUMAN	GT-A	Glyco_tranf_GTA_type(42-299)
sp|Q8N5D6|GBGT1_HUMAN	GT-A	Glyco_tranf_GTA_type(60-347)
tr|A0A0D2X1P0|A0A0D2X1P0_CAPO3	GT-A	Glyco_tranf_GTA_type(113-325)
tr|A0A0F5IUH3|A0A0F5IUH3_9BACT	GT-A	Glyco_tranf_GTA_type(3-211)
tr|A0A0F5IUL0|A0A0F5IUL0_9BACT	GT-A	Glyco_tranf_GTA_type(2-220)
tr|A0A0G0BR68|A0A0G0BR68_9BACT	GT-A	Glyco_tranf_GTA_type(3-218)
tr|A0A0G0EDK0|A0A0G0EDK0_9BACT	GT-A	Glyco_tranf_GTA_type(3-239)
tr|A0A139TN33|A0A139TN33_9BACT	GT-A	Glyco_tranf_GTA_type(495-746)
tr|A0A140E5M5|A0A140E5M5_9GAMM	GT-A	Glyco_tranf_GTA_type(5-214)
tr|A0A1A6GNC3|A0A1A6GNC3_NEOLE	GT-A	Glyco_tranf_GTA_type(2-262)
tr|A0A1A6H4M3|A0A1A6H4M3_NEOLE	GT-A	Glyco_tranf_GTA_type(10-184)
tr|A0A1A6HBE9|A0A1A6HBE9_NEOLE	GT-A	Glyco_tranf_GTA_type(75-335)
tr|A0A1A6HHD7|A0A1A6HHD7_NEOLE	GT-A	Glyco_tranf_GTA_type(12-284)
tr|A0A1A6HTP5|A0A1A6HTP5_NEOLE	GT-A	Glyco_transf_6(60-347)
tr|A0A1B1S8K2|A0A1B1S8K2_9BACT	GT-A	Glyco_tranf_GTA_type(11-210)
tr|A0A1B8Y5A0|A0A1B8Y5A0_XENTR	GT-A	Glyco_tranf_GTA_type(40-328)
tr|A0A1B8Y7R0|A0A1B8Y7R0_XENTR	GT-A	Glyco_transf_6(81-354)
tr|A0A1B8Y7R4|A0A1B8Y7R4_XENTR	GT-A	Glyco_tranf_GTA_type(1-267)
tr|A0A1B8Y7S8|A0A1B8Y7S8_XENTR	GT-A	Glyco_tranf_GTA_type(13-295)
tr|A0A1B8Y7V0|A0A1B8Y7V0_XENTR	GT-A	Glyco_tranf_GTA_type(1-283)
tr|A0A1B8Y7V4|A0A1B8Y7V4_XENTR	GT-A	Glyco_transf_6(13-286)
tr|A0A1C2BYZ9|A0A1C2BYZ9_9PORP	GT-A	Glyco_tranf_GTA_type(10-197)
tr|A0A1F4PJ37|A0A1F4PJ37_9BACT	GT-A	Glyco_tranf_GTA_type(5-231)
tr|A0A1F8JKB9|A0A1F8JKB9_9BACT	GT-A	Glyco_tranf_GTA_type(9-228)
tr|A0A1F8JQI5|A0A1F8JQI5_9BACT	GT-A	Glyco_tranf_GTA_type(14-233)
tr|A0A1H1WY84|A0A1H1WY84_9ACTN	GT-A	Glyco_tranf_GTA_type(10-230)
tr|A0A1H4CDR9|A0A1H4CDR9_9BACT	GT-A	Glyco_tranf_GTA_type(4-235)
tr|A0A1H7YHJ4|A0A1H7YHJ4_9SPHI	GT-A	Glyco_tranf_GTA_type(11-225)
tr|A0A1L8F682|A0A1L8F682_XENLA	GT-A	Glyco_tranf_GTA_type(1-267)
tr|A0A1L8F689|A0A1L8F689_XENLA	GT-A	Glyco_tranf_GTA_type(25-231)
tr|A0A1L8F693|A0A1L8F693_XENLA	GT-A	Glyco_tranf_GTA_type(2-283)
tr|A0A1L8GG16|A0A1L8GG16_XENLA	GT-A	Glyco_tranf_GTA_type(65-344)
tr|A0A1L8GMM9|A0A1L8GMM9_XENLA	GT-A	Glyco_tranf_GTA_type(65-336)
tr|A0A1N6DQ13|A0A1N6DQ13_9BACT	GT-A	Glyco_tranf_GTA_type(3-216)
tr|A0A1R0ZXP3|A0A1R0ZXP3_9BACL	GT-A	Glyco_tranf_GTA_type(125-329)
tr|A0A1S2ZRA6|A0A1S2ZRA6_ERIEU	GT-A	Glyco_transf_6(34-305)
tr|A0A1S3A1M6|A0A1S3A1M6_ERIEU	GT-A	Glyco_tranf_GTA_type(63-347)
tr|A0A1S3ATA5|A0A1S3ATA5_ERIEU	GT-A	Glyco_tranf_GTA_type(1-200)
tr|A0A1S3FJN0|A0A1S3FJN0_DIPOR	GT-A	Glyco_tranf_GTA_type(1-285)
tr|A0A1S3FLQ8|A0A1S3FLQ8_DIPOR	GT-A	Glyco_tranf_GTA_type(60-347)
tr|A0A1S3G7K4|A0A1S3G7K4_DIPOR	GT-A	Glyco_tranf_GTA_type(43-308)
tr|A0A1S3G9D1|A0A1S3G9D1_DIPOR	GT-A	Glyco_tranf_GTA_type(1-285)
tr|A0A1S3G9Q4|A0A1S3G9Q4_DIPOR	GT-A	Glyco_tranf_GTA_type(12-294)
tr|A0A1S3GC11|A0A1S3GC11_DIPOR	GT-A	Glyco_tranf_GTA_type(55-316)
tr|A0A1S3L2V2|A0A1S3L2V2_SALSA	GT-A	Glyco_transf_6(5-277)
tr|A0A1S3LC86|A0A1S3LC86_SALSA	GT-A	Glyco_tranf_GTA_type(66-335)
tr|A0A1S3P2A2|A0A1S3P2A2_SALSA	GT-A	Glyco_tranf_GTA_type(67-336)
tr|A0A1S3QH06|A0A1S3QH06_SALSA	GT-A	Glyco_tranf_GTA_type(12-282)
tr|A0A1S3QIX2|A0A1S3QIX2_SALSA	GT-A	Glyco_tranf_GTA_type(17-289)
tr|A0A1S3QJE2|A0A1S3QJE2_SALSA	GT-A	Glyco_tranf_GTA_type(12-282)
tr|A0A1S3QKI7|A0A1S3QKI7_SALSA	GT-A	Glyco_tranf_GTA_type(5-277)
tr|A0A1S3QNJ4|A0A1S3QNJ4_SALSA	GT-A	Glyco_tranf_GTA_type(14-284)
tr|A0A1S3SHW7|A0A1S3SHW7_SALSA	GT-A	Glyco_tranf_GTA_type(86-356)
tr|A0A1S3W8S2|A0A1S3W8S2_ERIEU	GT-A	Glyco_tranf_GTA_type(1-180)
tr|A0A1T0BBP9|A0A1T0BBP9_9PAST	GT-A	Glyco_tranf_GTA_type(3-215)
tr|A0A1T4WDI3|A0A1T4WDI3_9FIRM	GT-A	Glyco_tranf_GTA_type(10-229)
tr|A0A1T4X4S8|A0A1T4X4S8_9FIRM	GT-A	Glyco_tranf_GTA_type(11-213)
tr|A0A1U7QT37|A0A1U7QT37_MESAU	GT-A	Glyco_transf_6(58-345)
tr|A0A1U7R6V5|A0A1U7R6V5_MESAU	GT-A	Glyco_tranf_GTA_type(65-322)
tr|A0A1U7SUZ7|A0A1U7SUZ7_TARSY	GT-A	Glyco_tranf_GTA_type(3-273)
tr|A0A1U7SZB3|A0A1U7SZB3_ALLSI	GT-A	Glyco_tranf_GTA_type(3-228)
tr|A0A1U7T1G5|A0A1U7T1G5_TARSY	GT-A	Glyco_transf_6(61-347)
tr|A0A1U7UU20|A0A1U7UU20_TARSY	GT-A	Glyco_tranf_GTA_type(43-300)
tr|A0A1U8CSC9|A0A1U8CSC9_MESAU	GT-A	Glyco_tranf_GTA_type(37-297)
tr|A0A1V1WBB2|A0A1V1WBB2_9ACTN	GT-A	Glyco_tranf_GTA_type(6-227)
tr|A0A1V4J6I1|A0A1V4J6I1_PATFA	GT-A	Glyco_transf_6(72-342)
tr|A0A1X9YZP0|A0A1X9YZP0_9SPHI	GT-A	Glyco_tranf_GTA_type(12-250)
tr|A0A1X9Z5W1|A0A1X9Z5W1_9SPHI	GT-A	Glyco_tranf_GTA_type(10-205)
tr|A0A1Y2AF99|A0A1Y2AF99_9FUNG	GT-A	Glyco_tranf_GTA_type(47-250)
tr|A0A1Y3N080|A0A1Y3N080_PIRSE	GT-A	Glyco_tranf_GTA_type(55-181)
tr|A0A1Y3N1S0|A0A1Y3N1S0_PIRSE	GT-A	Glyco_tranf_GTA_type(31-234)
tr|A0A218U9E7|A0A218U9E7_9PASE	GT-A	Glyco_tranf_GTA_type(13-259)
tr|A0A226NNY0|A0A226NNY0_CALSU	GT-A	Glyco_transf_6(1-271)
tr|A0A226P8F1|A0A226P8F1_COLVI	GT-A	Glyco_transf_6(30-300)
tr|A0A268U1C6|A0A268U1C6_9HELI	GT-A	Glyco_tranf_GTA_type(9-230)
tr|A0A268U494|A0A268U494_9HELI	GT-A	Glyco_tranf_GTA_type(32-253)
tr|A0A286XG71|A0A286XG71_CAVPO	GT-A	Glyco_tranf_GTA_type(59-347)
tr|A0A287ATQ2|A0A287ATQ2_PIG	GT-A	Glyco_transf_6(76-362)
tr|A0A287B6R7|A0A287B6R7_PIG	GT-A	Glyco_tranf_GTA_type(82-341)
tr|A0A287BK41|A0A287BK41_PIG	GT-A	Glyco_tranf_GTA_type(43-300)
tr|A0A287CYP3|A0A287CYP3_ICTTR	GT-A	Glyco_tranf_GTA_type(60-347)
