tr|F0YCC4|F0YCC4_AURAN	Unknown	DUF563(212-324)
tr|A0A2A2LF31|A0A2A2LF31_9BILA	TMhelix|Interacting_Protein|GT-A	TMhelix(49-71)|Rab5ip(42-118)|Galactosyl_T(290-500)
tr|A0A2A2LRR2|A0A2A2LRR2_9BILA	TMhelix|Interacting_Protein|GT-A	TMhelix(49-71)|Rab5ip(42-118)|Galactosyl_T(194-404)
tr|A0A2G5TK55|A0A2G5TK55_9PELO	TMhelix|Interacting_Protein|GT-A	TMhelix(46-68)|Rab5ip(36-108)|Galactosyl_T(275-477)
tr|A0A1S3IM64|A0A1S3IM64_LINUN	TMhelix|GT-A|U79_P34	TMhelix(5-27)|Galactosyl_T(166-271)|U79_P34(343-407)
tr|A0A226EZM5|A0A226EZM5_FOLCA	TMhelix|GT-A|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|MFS|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|CYCLIN	TMhelix(10-32)|Galactosyl_T(69-228)|TMhelix(331-353)|TMhelix(363-385)|TMhelix(398-420)|TMhelix(463-485)|TMhelix(490-512)|MFS(334-723)|TMhelix(538-555)|TMhelix(568-590)|TMhelix(605-627)|TMhelix(634-656)|TMhelix(676-698)|TMhelix(705-727)|CYCLIN(897-978)
tr|A0A0M3QU03|A0A0M3QU03_DROBS	TMhelix|GT-A|TMhelix|GT-A	TMhelix(10-27)|Galactosyl_T(85-174)|TMhelix(254-276)|Galactosyl_T(589-696)
tr|A0A200QHQ1|A0A200QHQ1_9MAGN	TMhelix|GT-A|TMhelix|GT-A	TMhelix(49-71)|Galactosyl_T(136-333)|TMhelix(270-292)|DUF604(268-515)
tr|B4JZE7|B4JZE7_DROGR	TMhelix|GT-A|TMhelix|GT-A	TMhelix(15-37)|Galactosyl_T(88-241)|TMhelix(342-361)|Galactosyl_T(414-565)
tr|D7LZJ1|D7LZJ1_ARALL	TMhelix|GT-A|TMhelix|GT-A	TMhelix(29-46)|Galactosyl_T(87-292)|TMhelix(229-251)|DUF604(227-480)
tr|M0U6D3|M0U6D3_MUSAM	TMhelix|GT-A|TMhelix|GT-A	TMhelix(42-64)|Galactosyl_T(122-323)|TMhelix(236-258)|DUF604(234-490)
tr|W1PWB7|W1PWB7_AMBTC	TMhelix|GT-A|TMhelix|GT-A	TMhelix(26-48)|Galactosyl_T(149-257)|TMhelix(196-218)|DUF604(209-443)
tr|A0A0V1LBP2|A0A0V1LBP2_9BILA	TMhelix|GT-A|TMhelix	TMhelix(262-284)|Galactosyl_T(353-514)|TMhelix(627-649)
tr|A0A1D1VTZ1|A0A1D1VTZ1_RAMVA	TMhelix|GT-A|TMhelix	TMhelix(15-34)|Galactosyl_T(56-189)|TMhelix(253-275)
tr|A0A2H2I9I2|A0A2H2I9I2_CAEJA	TMhelix|GT-A|TMhelix	TMhelix(7-26)|Galactosyl_T(96-272)|TMhelix(387-409)
tr|A3FQG8|A3FQG8_CRYPI	TMhelix|GT-A|TMhelix	TMhelix(171-193)|Galactosyl_T(205-370)|TMhelix(383-405)
tr|A0A1S9DSR5|A0A1S9DSR5_ASPOZ	TMhelix|GT-A|PAN_APPLE	TMhelix(9-28)|Galactosyl_T(183-245)|PAN_APPLE(375-411)
tr|A1DBY4|A1DBY4_NEOFI	TMhelix|GT-A|PAN_APPLE	TMhelix(40-62)|Galactosyl_T(218-291)|PAN_APPLE(420-445)
tr|B8NQM5|B8NQM5_ASPFN	TMhelix|GT-A|PAN_APPLE	TMhelix(9-28)|Galactosyl_T(183-245)|PAN_APPLE(375-411)
tr|Q2UBB2|Q2UBB2_ASPOR	TMhelix|GT-A|PAN_APPLE	TMhelix(9-28)|Galactosyl_T(183-245)|PAN_APPLE(375-411)
tr|A0A1S8VHV0|A0A1S8VHV0_9FUNG	TMhelix|GT-A|PAN_4	TMhelix(34-56)|Galactosyl_T(245-357)|PAN_4(425-468)
tr|A0A167CT89|A0A167CT89_9ASCO	TMhelix|GT-A|PAN_1	TMhelix(12-29)|Galactosyl_T(252-308)|PAN_1(460-486)
tr|A2QTC1|A2QTC1_ASPNC	TMhelix|GT-A|PAN_1	TMhelix(20-37)|Galactosyl_T(196-274)|PAN_1(394-430)
tr|G3XMA4|G3XMA4_ASPNA	TMhelix|GT-A|PAN_1	TMhelix(20-37)|Galactosyl_T(196-274)|PAN_1(394-430)
tr|A0A1I7VU13|A0A1I7VU13_LOALO	TMhelix|GT-A|NBD_sugar-kinase_HSP70_actin	TMhelix(7-29)|Galactosyl_T(99-267)|NBD_sugar-kinase_HSP70_actin(416-816)
tr|B3MLA1|B3MLA1_DROAN	TMhelix|GT-A|lysS_arch	TMhelix(13-32)|Galactosyl_T(85-231)|lysS_arch(248-344)
tr|A0A068XBF1|A0A068XBF1_HYMMI	TMhelix|GT-A|GT-A	TMhelix(21-43)|Galactosyl_T(111-269)|Galactosyl_T(427-598)
tr|A0A072UY59|A0A072UY59_MEDTR	TMhelix|GT-A|GT-A	TMhelix(31-53)|Galactosyl_T(82-277)|DUF604(212-461)
tr|A0A0D3FZA6|A0A0D3FZA6_9ORYZ	TMhelix|GT-A|GT-A	TMhelix(19-41)|Galactosyl_T(85-287)|DUF604(222-484)
tr|A0A0D9ZPM7|A0A0D9ZPM7_9ORYZ	TMhelix|GT-A|GT-A	TMhelix(19-41)|Galactosyl_T(92-294)|DUF604(229-491)
tr|A0A0E0DHJ7|A0A0E0DHJ7_9ORYZ	TMhelix|GT-A|GT-A	TMhelix(19-41)|Galactosyl_T(90-292)|DUF604(227-489)
tr|A0A0E0KUA6|A0A0E0KUA6_ORYPU	TMhelix|GT-A|GT-A	TMhelix(19-41)|Galactosyl_T(95-297)|DUF604(232-494)
tr|A0A0E0PD39|A0A0E0PD39_ORYRU	TMhelix|GT-A|GT-A	TMhelix(19-41)|Galactosyl_T(92-294)|DUF604(229-491)
tr|A0A124SBB6|A0A124SBB6_CYNCS	TMhelix|GT-A|GT-A	TMhelix(32-54)|Galactosyl_T(94-292)|DUF604(227-480)
tr|A0A1I8MT50|A0A1I8MT50_MUSDO	TMhelix|GT-A|GT-A	TMhelix(7-29)|Galactosyl_T(141-212)|Galactosyl_T(426-657)
tr|A0A1R3IAH2|A0A1R3IAH2_COCAP	TMhelix|GT-A|GT-A	TMhelix(41-63)|Galactosyl_T(141-340)|DUF604(275-528)
tr|A0A1R3KG37|A0A1R3KG37_9ROSI	TMhelix|GT-A|GT-A	TMhelix(21-38)|Galactosyl_T(127-326)|DUF604(261-514)
tr|A0A1S3C0Z6|A0A1S3C0Z6_CUCME	TMhelix|GT-A|GT-A	TMhelix(29-51)|Galactosyl_T(75-328)|DUF604(209-460)
tr|A0A1S3U5Y9|A0A1S3U5Y9_VIGRR	TMhelix|GT-A|GT-A	TMhelix(9-31)|Galactosyl_T(113-310)|DUF604(245-498)
tr|A0A1S3XFY1|A0A1S3XFY1_TOBAC	TMhelix|GT-A|GT-A	TMhelix(12-29)|Galactosyl_T(55-308)|DUF604(189-431)
tr|A0A1U7ZXT6|A0A1U7ZXT6_NELNU	TMhelix|GT-A|GT-A	TMhelix(42-64)|Galactosyl_T(134-331)|DUF604(266-531)
tr|A0A1U8LGF5|A0A1U8LGF5_GOSHI	TMhelix|GT-A|GT-A	TMhelix(47-64)|Galactosyl_T(130-329)|DUF604(264-517)
tr|A0A1U8NJC2|A0A1U8NJC2_GOSHI	TMhelix|GT-A|GT-A	TMhelix(39-61)|Galactosyl_T(118-317)|DUF604(252-505)
tr|A0A1U8PX91|A0A1U8PX91_GOSHI	TMhelix|GT-A|GT-A	TMhelix(47-64)|Galactosyl_T(130-329)|DUF604(264-517)
tr|A0A251SPK5|A0A251SPK5_HELAN	TMhelix|GT-A|GT-A	TMhelix(35-52)|Galactosyl_T(93-291)|DUF604(226-479)
tr|A0A251TAQ2|A0A251TAQ2_HELAN	TMhelix|GT-A|GT-A	TMhelix(36-53)|Galactosyl_T(91-289)|DUF604(224-477)
tr|A0A251UI68|A0A251UI68_HELAN	TMhelix|GT-A|GT-A	TMhelix(21-43)|Galactosyl_T(165-205)|DUF604(207-460)
tr|A0A2I0AY13|A0A2I0AY13_9ASPA	TMhelix|GT-A|GT-A	TMhelix(49-71)|Galactosyl_T(127-326)|DUF604(261-541)
tr|A0A2I4EHL1|A0A2I4EHL1_9ROSI	TMhelix|GT-A|GT-A	TMhelix(30-52)|Galactosyl_T(101-299)|DUF604(234-487)
tr|A0A2I4HX96|A0A2I4HX96_9ROSI	TMhelix|GT-A|GT-A	TMhelix(25-47)|Galactosyl_T(173-305)|DUF604(240-493)
tr|A0A2J6KTA6|A0A2J6KTA6_LACSA	TMhelix|GT-A|GT-A	TMhelix(32-54)|Galactosyl_T(94-292)|DUF604(227-480)
tr|A0A2P5QU86|A0A2P5QU86_GOSBA	TMhelix|GT-A|GT-A	TMhelix(39-61)|Galactosyl_T(118-317)|DUF604(252-505)
tr|A0A2P5R256|A0A2P5R256_GOSBA	TMhelix|GT-A|GT-A	TMhelix(47-64)|Galactosyl_T(130-329)|DUF604(264-510)
tr|A0A2R6QN85|A0A2R6QN85_ACTCH	TMhelix|GT-A|GT-A	TMhelix(28-45)|Galactosyl_T(98-295)|DUF604(230-483)
tr|B6IDH2|B6IDH2_ARATH	TMhelix|GT-A|GT-A	TMhelix(29-46)|Galactosyl_T(87-292)|DUF604(227-480)
tr|E9G9Y6|E9G9Y6_DAPPU	TMhelix|GT-A|GT-A	TMhelix(13-35)|Galactosyl_T(106-158)|Galactosyl_T(133-191)
tr|G7KC11|G7KC11_MEDTR	TMhelix|GT-A|GT-A	TMhelix(28-45)|Galactosyl_T(82-279)|DUF604(214-467)
tr|I1PP53|I1PP53_ORYGL	TMhelix|GT-A|GT-A	TMhelix(19-41)|Galactosyl_T(92-294)|DUF604(229-491)
tr|J3M0N4|J3M0N4_ORYBR	TMhelix|GT-A|GT-A	TMhelix(19-41)|Galactosyl_T(101-307)|DUF604(242-504)
tr|M4F2D4|M4F2D4_BRARP	TMhelix|GT-A|GT-A	TMhelix(20-42)|Galactosyl_T(81-283)|DUF604(218-471)
tr|Q7XQ75|Q7XQ75_ORYSJ	TMhelix|GT-A|GT-A	TMhelix(19-41)|Galactosyl_T(92-294)|DUF604(229-491)
tr|V7CT57|V7CT57_PHAVU	TMhelix|GT-A|GT-A	TMhelix(34-56)|Galactosyl_T(103-301)|DUF604(236-489)
tr|W1PJ37|W1PJ37_AMBTC	TMhelix|GT-A|GT-A	TMhelix(31-53)|Galactosyl_T(90-288)|DUF604(223-476)
tr|W6UFD8|W6UFD8_ECHGR	TMhelix|GT-A|GT-A	TMhelix(12-34)|Galactosyl_T(79-256)|Galactosyl_T(377-467)
tr|A0A016TYY7|A0A016TYY7_9BILA	TMhelix|GT-A|Ground-like	TMhelix(58-77)|Galactosyl_T(110-247)|Ground-like(658-730)
tr|A0A1B8Y7C6|A0A1B8Y7C6_XENTR	TMhelix|GT-A|EEP	TMhelix(7-29)|Galactosyl_T(168-254)|EEP(280-361)
tr|A0A1S8VW60|A0A1S8VW60_9FUNG	TMhelix|GT-A|APPLE_Factor_XI_like	TMhelix(93-115)|Galactosyl_T(276-405)|APPLE_Factor_XI_like(473-542)
sp|Q0VC84|C1GLT_BOVIN	TMhelix|GT-A	TMhelix(7-29)|Galactosyl_T(107-248)
sp|Q5F3G7|C1GLT_CHICK	TMhelix|GT-A	TMhelix(7-29)|Galactosyl_T(108-249)
sp|Q7K237|C1GLT_DROME	TMhelix|GT-A	TMhelix(21-43)|Galactosyl_T(119-265)
sp|Q9JJ05|C1GLT_RAT	TMhelix|GT-A	TMhelix(7-29)|Galactosyl_T(107-248)
sp|Q9JJ06|C1GLT_MOUSE	TMhelix|GT-A	TMhelix(7-29)|Galactosyl_T(107-248)
tr|A0A016SJ35|A0A016SJ35_9BILA	TMhelix|GT-A	TMhelix(24-46)|Galactosyl_T(100-232)
tr|A0A016TBT9|A0A016TBT9_9BILA	TMhelix|GT-A	TMhelix(19-41)|Galactosyl_T(113-238)
tr|A0A016UH82|A0A016UH82_9BILA	TMhelix|GT-A	TMhelix(7-29)|Galactosyl_T(69-227)
tr|A0A016VY73|A0A016VY73_9BILA	TMhelix|GT-A	TMhelix(21-43)|Galactosyl_T(116-249)
tr|A0A016WTN2|A0A016WTN2_9BILA	TMhelix|GT-A	TMhelix(22-44)|Galactosyl_T(40-171)
tr|A0A044UTN2|A0A044UTN2_ONCVO	TMhelix|GT-A	TMhelix(12-34)|Galactosyl_T(115-241)
tr|A0A067JPR5|A0A067JPR5_JATCU	TMhelix|GT-A	TMhelix(13-35)|DUF604(191-444)
tr|A0A067QWL0|A0A067QWL0_ZOONE	TMhelix|GT-A	TMhelix(20-42)|Galactosyl_T(115-277)
tr|A0A068XBE7|A0A068XBE7_HYMMI	TMhelix|GT-A	TMhelix(12-34)|Galactosyl_T(74-226)
tr|A0A068XF44|A0A068XF44_HYMMI	TMhelix|GT-A	TMhelix(21-40)|Galactosyl_T(93-233)
tr|A0A068XTM3|A0A068XTM3_ECHMU	TMhelix|GT-A	TMhelix(16-38)|Galactosyl_T(84-225)
tr|A0A068XXX2|A0A068XXX2_ECHMU	TMhelix|GT-A	TMhelix(12-34)|Galactosyl_T(79-256)
tr|A0A068Y0P2|A0A068Y0P2_ECHMU	TMhelix|GT-A	TMhelix(13-32)|Galactosyl_T(79-253)
tr|A0A087ZSQ9|A0A087ZSQ9_APIME	TMhelix|GT-A	TMhelix(12-34)|Galactosyl_T(183-243)
tr|A0A088A4W7|A0A088A4W7_APIME	TMhelix|GT-A	TMhelix(24-46)|Galactosyl_T(117-270)
tr|A0A0G2L384|A0A0G2L384_DANRE	TMhelix|GT-A	TMhelix(13-35)|Galactosyl_T(153-244)
tr|A0A0K0J6Y8|A0A0K0J6Y8_BRUMA	TMhelix|GT-A	TMhelix(7-29)|Galactosyl_T(100-232)
tr|A0A0M4E6N1|A0A0M4E6N1_DROBS	TMhelix|GT-A	TMhelix(21-43)|Galactosyl_T(120-266)
tr|A0A0M4E9I6|A0A0M4E9I6_DROBS	TMhelix|GT-A	TMhelix(13-35)|Galactosyl_T(144-252)
tr|A0A0N8AA61|A0A0N8AA61_9CRUS	TMhelix|GT-A	TMhelix(21-43)|Galactosyl_T(81-258)
tr|A0A0N8AH42|A0A0N8AH42_9CRUS	TMhelix|GT-A	TMhelix(20-37)|Galactosyl_T(78-174)
tr|A0A0P5U4R1|A0A0P5U4R1_9CRUS	TMhelix|GT-A	TMhelix(7-29)|Galactosyl_T(82-209)
tr|A0A0R3P2Y3|A0A0R3P2Y3_DROPS	TMhelix|GT-A	TMhelix(20-39)|Galactosyl_T(133-164)
tr|A0A0V0S2M2|A0A0V0S2M2_9BILA	TMhelix|GT-A	TMhelix(274-296)|Galactosyl_T(362-523)
tr|A0A0V1D3P8|A0A0V1D3P8_TRIBR	TMhelix|GT-A	TMhelix(279-301)|Galactosyl_T(367-528)
tr|A0A0V1I3J1|A0A0V1I3J1_9BILA	TMhelix|GT-A	TMhelix(13-35)|Galactosyl_T(102-263)
tr|A0A151XC16|A0A151XC16_9HYME	TMhelix|GT-A	TMhelix(17-39)|Galactosyl_T(123-282)
tr|A0A154P0D6|A0A154P0D6_9HYME	TMhelix|GT-A	TMhelix(33-55)|Galactosyl_T(129-284)
tr|A0A158NFW4|A0A158NFW4_ATTCE	TMhelix|GT-A	TMhelix(17-39)|Galactosyl_T(111-270)
tr|A0A162YV74|A0A162YV74_DIDRA	TMhelix|GT-A	TMhelix(7-25)|Galactosyl_T(178-312)
tr|A0A164VUT3|A0A164VUT3_9CRUS	TMhelix|GT-A	TMhelix(13-35)|Galactosyl_T(91-219)
tr|A0A164ZUY6|A0A164ZUY6_9CRUS	TMhelix|GT-A	TMhelix(9-31)|Galactosyl_T(85-212)
tr|A0A182F180|A0A182F180_ANOAL	TMhelix|GT-A	TMhelix(17-39)|Galactosyl_T(115-265)
tr|A0A182FTV2|A0A182FTV2_ANOAL	TMhelix|GT-A	TMhelix(17-39)|Galactosyl_T(62-199)
tr|A0A182G6P4|A0A182G6P4_AEDAL	TMhelix|GT-A	TMhelix(13-35)|Galactosyl_T(197-283)
tr|A0A182GRJ0|A0A182GRJ0_AEDAL	TMhelix|GT-A	TMhelix(33-55)|Galactosyl_T(89-249)
tr|A0A182HRA4|A0A182HRA4_ANOAR	TMhelix|GT-A	TMhelix(17-39)|Galactosyl_T(107-266)
tr|A0A182J4C7|A0A182J4C7_9DIPT	TMhelix|GT-A	TMhelix(17-39)|Galactosyl_T(104-263)
tr|A0A182J5S4|A0A182J5S4_9DIPT	TMhelix|GT-A	TMhelix(17-39)|Galactosyl_T(175-263)
tr|A0A182JFS5|A0A182JFS5_9DIPT	TMhelix|GT-A	TMhelix(17-39)|Galactosyl_T(162-248)
tr|A0A182KZ28|A0A182KZ28_9DIPT	TMhelix|GT-A	TMhelix(26-48)|Galactosyl_T(116-275)
tr|A0A182M1K6|A0A182M1K6_9DIPT	TMhelix|GT-A	TMhelix(46-68)|Galactosyl_T(136-295)
tr|A0A182NP33|A0A182NP33_9DIPT	TMhelix|GT-A	TMhelix(17-39)|Galactosyl_T(107-266)
tr|A0A182QJC9|A0A182QJC9_9DIPT	TMhelix|GT-A	TMhelix(17-39)|Galactosyl_T(106-265)
tr|A0A182RWR9|A0A182RWR9_ANOFN	TMhelix|GT-A	TMhelix(17-39)|Galactosyl_T(107-266)
tr|A0A182V622|A0A182V622_ANOME	TMhelix|GT-A	TMhelix(26-48)|Galactosyl_T(116-275)
tr|A0A182W8S3|A0A182W8S3_9DIPT	TMhelix|GT-A	TMhelix(17-39)|Galactosyl_T(107-266)
tr|A0A182Y6B2|A0A182Y6B2_ANOST	TMhelix|GT-A	TMhelix(17-39)|Galactosyl_T(107-274)
tr|A0A195B2L8|A0A195B2L8_9HYME	TMhelix|GT-A	TMhelix(94-116)|Galactosyl_T(187-346)
tr|A0A195CHA7|A0A195CHA7_9HYME	TMhelix|GT-A	TMhelix(17-39)|Galactosyl_T(111-270)
tr|A0A195E6P8|A0A195E6P8_9HYME	TMhelix|GT-A	TMhelix(103-125)|Galactosyl_T(196-355)
tr|A0A195F123|A0A195F123_9HYME	TMhelix|GT-A	TMhelix(17-39)|Galactosyl_T(125-284)
tr|A0A1A9UIV5|A0A1A9UIV5_GLOAU	TMhelix|GT-A	TMhelix(21-43)|Galactosyl_T(108-268)
tr|A0A1A9UNJ0|A0A1A9UNJ0_GLOAU	TMhelix|GT-A	TMhelix(64-86)|Galactosyl_T(139-280)
tr|A0A1A9W863|A0A1A9W863_9MUSC	TMhelix|GT-A	TMhelix(7-29)|Galactosyl_T(325-549)
tr|A0A1A9X485|A0A1A9X485_9MUSC	TMhelix|GT-A	TMhelix(7-26)|Galactosyl_T(85-203)
tr|A0A1A9XWR0|A0A1A9XWR0_GLOFF	TMhelix|GT-A	TMhelix(21-43)|Galactosyl_T(106-268)
tr|A0A1A9YLB0|A0A1A9YLB0_GLOFF	TMhelix|GT-A	TMhelix(17-39)|Galactosyl_T(95-236)
tr|A0A1A9ZHQ5|A0A1A9ZHQ5_GLOPL	TMhelix|GT-A	TMhelix(21-43)|Galactosyl_T(108-268)
tr|A0A1B0A9Q2|A0A1B0A9Q2_GLOPL	TMhelix|GT-A	TMhelix(191-213)|Galactosyl_T(270-411)
tr|A0A1B0BP47|A0A1B0BP47_9MUSC	TMhelix|GT-A	TMhelix(21-43)|Galactosyl_T(106-268)
tr|A0A1B0BXN0|A0A1B0BXN0_9MUSC	TMhelix|GT-A	TMhelix(17-39)|Galactosyl_T(95-239)
tr|A0A1B0G8T1|A0A1B0G8T1_GLOMM	TMhelix|GT-A	TMhelix(109-131)|Galactosyl_T(185-305)
tr|A0A1B0GEW9|A0A1B0GEW9_GLOMM	TMhelix|GT-A	TMhelix(21-43)|Galactosyl_T(108-268)
tr|A0A1D1UPP5|A0A1D1UPP5_RAMVA	TMhelix|GT-A	TMhelix(10-32)|Galactosyl_T(88-208)
tr|A0A1D1VAK8|A0A1D1VAK8_RAMVA	TMhelix|GT-A	TMhelix(12-29)|Galactosyl_T(103-224)
tr|A0A1D1W4B5|A0A1D1W4B5_RAMVA	TMhelix|GT-A	TMhelix(20-39)|Galactosyl_T(129-206)
tr|A0A1D1W4B8|A0A1D1W4B8_RAMVA	TMhelix|GT-A	TMhelix(12-33)|Galactosyl_T(90-236)
tr|A0A1D1W4F6|A0A1D1W4F6_RAMVA	TMhelix|GT-A	TMhelix(13-35)|Galactosyl_T(101-247)
tr|A0A1D1W7W9|A0A1D1W7W9_RAMVA	TMhelix|GT-A	TMhelix(16-35)|Galactosyl_T(126-234)
tr|A0A1D2M1I9|A0A1D2M1I9_ORCCI	TMhelix|GT-A	TMhelix(12-34)|Galactosyl_T(58-228)
tr|A0A1D2MER4|A0A1D2MER4_ORCCI	TMhelix|GT-A	TMhelix(12-31)|Galactosyl_T(104-251)
tr|A0A1D2MN01|A0A1D2MN01_ORCCI	TMhelix|GT-A	TMhelix(12-34)|Galactosyl_T(99-258)
tr|A0A1D2NB06|A0A1D2NB06_ORCCI	TMhelix|GT-A	TMhelix(7-29)|Galactosyl_T(124-283)
tr|A0A1D2NJ98|A0A1D2NJ98_ORCCI	TMhelix|GT-A	TMhelix(13-32)|Galactosyl_T(95-260)
tr|A0A1D5QMF2|A0A1D5QMF2_MACMU	TMhelix|GT-A	TMhelix(7-29)|Galactosyl_T(159-291)
tr|A0A1D5R280|A0A1D5R280_MACMU	TMhelix|GT-A	TMhelix(13-35)|Galactosyl_T(115-229)
tr|A0A1I7RNG4|A0A1I7RNG4_BURXY	TMhelix|GT-A	TMhelix(9-31)|Galactosyl_T(156-249)
tr|A0A1I7T574|A0A1I7T574_9PELO	TMhelix|GT-A	TMhelix(13-30)|Galactosyl_T(133-221)
tr|A0A1I7T575|A0A1I7T575_9PELO	TMhelix|GT-A	TMhelix(13-30)|Galactosyl_T(133-221)
tr|A0A1I7TDY5|A0A1I7TDY5_9PELO	TMhelix|GT-A	TMhelix(13-32)|Galactosyl_T(81-212)
tr|A0A1I7V482|A0A1I7V482_9PELO	TMhelix|GT-A	TMhelix(38-60)|Galactosyl_T(96-248)
tr|A0A1I7Z321|A0A1I7Z321_9BILA	TMhelix|GT-A	TMhelix(40-59)|Galactosyl_T(105-272)
tr|A0A1I8A9Z3|A0A1I8A9Z3_9BILA	TMhelix|GT-A	TMhelix(42-64)|Galactosyl_T(159-245)
tr|A0A1I8ACB7|A0A1I8ACB7_9BILA	TMhelix|GT-A	TMhelix(7-26)|Galactosyl_T(95-227)
tr|A0A1I8BW59|A0A1I8BW59_MELHA	TMhelix|GT-A	TMhelix(13-35)|Galactosyl_T(69-243)
tr|A0A1I8D5U8|A0A1I8D5U8_9BILA	TMhelix|GT-A	TMhelix(21-43)|Galactosyl_T(75-178)
tr|A0A1I8MSW9|A0A1I8MSW9_MUSDO	TMhelix|GT-A	TMhelix(12-34)|Galactosyl_T(103-253)
tr|A0A1I8N3M5|A0A1I8N3M5_MUSDO	TMhelix|GT-A	TMhelix(21-43)|Galactosyl_T(101-254)
tr|A0A1I8N9F8|A0A1I8N9F8_MUSDO	TMhelix|GT-A	TMhelix(7-29)|Galactosyl_T(154-301)
tr|A0A1I8NDB2|A0A1I8NDB2_MUSDO	TMhelix|GT-A	TMhelix(20-39)|Galactosyl_T(109-232)
tr|A0A1I8NQ52|A0A1I8NQ52_STOCA	TMhelix|GT-A	TMhelix(27-49)|Galactosyl_T(114-270)
tr|A0A1I8NYB3|A0A1I8NYB3_STOCA	TMhelix|GT-A	TMhelix(7-29)|Galactosyl_T(112-226)
tr|A0A1I8NYT4|A0A1I8NYT4_STOCA	TMhelix|GT-A	TMhelix(21-43)|Galactosyl_T(92-245)
tr|A0A1J1HNG6|A0A1J1HNG6_9DIPT	TMhelix|GT-A	TMhelix(5-27)|Galactosyl_T(93-205)
tr|A0A1J1HSI3|A0A1J1HSI3_9DIPT	TMhelix|GT-A	TMhelix(28-47)|Galactosyl_T(114-272)
tr|A0A1J1II13|A0A1J1II13_9DIPT	TMhelix|GT-A	TMhelix(29-51)|Galactosyl_T(117-210)
tr|A0A1J1IQP6|A0A1J1IQP6_9DIPT	TMhelix|GT-A	TMhelix(5-27)|Galactosyl_T(113-203)
tr|A0A1J1J406|A0A1J1J406_9DIPT	TMhelix|GT-A	TMhelix(34-53)|Galactosyl_T(107-222)
tr|A0A1J4JD45|A0A1J4JD45_9EUKA	TMhelix|GT-A	TMhelix(34-56)|Galactosyl_T(188-363)
tr|A0A1J4JQD1|A0A1J4JQD1_9EUKA	TMhelix|GT-A	TMhelix(13-30)|Galactosyl_T(138-215)
tr|A0A1J6I9G2|A0A1J6I9G2_NICAT	TMhelix|GT-A	TMhelix(20-39)|DUF604(197-448)
tr|A0A1J6ISA5|A0A1J6ISA5_NICAT	TMhelix|GT-A	TMhelix(13-35)|DUF604(201-451)
tr|A0A1L8FR52|A0A1L8FR52_XENLA	TMhelix|GT-A	TMhelix(7-29)|Galactosyl_T(158-254)
