tr|A0A2P6U4S8|A0A2P6U4S8_CHLSO	zf-MYND|GT-A	zf-MYND(4-49)|PLN03180(568-905)
tr|A0A1J7HVG5|A0A1J7HVG5_LUPAN	TMhelix|GT	TMhelix(41-60)|STELLO(351-458)
tr|A0A1Q3C574|A0A1Q3C574_CEPFO	TMhelix|GT	TMhelix(52-71)|STELLO(360-467)
tr|A0A1R3HM23|A0A1R3HM23_COCAP	TMhelix|GT	TMhelix(45-67)|STELLO(356-463)
tr|A0A1R3HM62|A0A1R3HM62_9ROSI	TMhelix|GT	TMhelix(45-67)|STELLO(356-463)
tr|A0A1S3CE29|A0A1S3CE29_CUCME	TMhelix|GT	TMhelix(33-55)|STELLO(347-454)
tr|A0A1S3HSZ2|A0A1S3HSZ2_LINUN	TMhelix|GT	TMhelix(5-27)|STELLO(346-457)
tr|A0A1S3JBQ2|A0A1S3JBQ2_LINUN	TMhelix|GT	TMhelix(12-31)|STELLO(330-441)
tr|A0A1S3V7G8|A0A1S3V7G8_VIGRR	TMhelix|GT	TMhelix(40-59)|STELLO(387-457)
tr|A0A1S3ZYR8|A0A1S3ZYR8_TOBAC	TMhelix|GT	TMhelix(47-69)|STELLO(358-465)
tr|A0A1S4AX51|A0A1S4AX51_TOBAC	TMhelix|GT	TMhelix(47-69)|STELLO(358-465)
tr|A0A1U7XRE6|A0A1U7XRE6_NICSY	TMhelix|GT	TMhelix(47-69)|STELLO(358-465)
tr|A0A1U7YQL7|A0A1U7YQL7_NELNU	TMhelix|GT	TMhelix(43-62)|STELLO(353-460)
tr|A0A1U7ZXV8|A0A1U7ZXV8_NELNU	TMhelix|GT	TMhelix(43-65)|STELLO(353-460)
tr|A0A1U8HTE4|A0A1U8HTE4_GOSHI	TMhelix|GT	TMhelix(43-65)|STELLO(392-463)
tr|A0A1U8HVQ1|A0A1U8HVQ1_GOSHI	TMhelix|GT	TMhelix(43-65)|STELLO(392-463)
tr|A0A1U8HZX0|A0A1U8HZX0_GOSHI	TMhelix|GT	TMhelix(43-65)|STELLO(392-463)
tr|A0A1U8I742|A0A1U8I742_GOSHI	TMhelix|GT	TMhelix(47-66)|STELLO(392-463)
tr|A0A200QXJ3|A0A200QXJ3_9MAGN	TMhelix|GT	TMhelix(53-72)|STELLO(363-470)
tr|A0A218W3N6|A0A218W3N6_PUNGR	TMhelix|GT	TMhelix(47-69)|STELLO(358-465)
tr|A0A226D6F5|A0A226D6F5_FOLCA	TMhelix|GT	TMhelix(7-26)|STELLO(295-656)
tr|A0A226EKU2|A0A226EKU2_FOLCA	TMhelix|GT	TMhelix(31-53)|STELLO(338-611)
tr|A0A251QCX5|A0A251QCX5_PRUPE	TMhelix|GT	TMhelix(38-60)|STELLO(352-457)
tr|A0A251VM65|A0A251VM65_HELAN	TMhelix|GT	TMhelix(39-61)|STELLO(350-457)
tr|A0A261CJP9|A0A261CJP9_9PELO	TMhelix|GT	TMhelix(20-42)|STELLO(330-718)
tr|A0A2A2JGA9|A0A2A2JGA9_9BILA	TMhelix|GT	TMhelix(28-47)|STELLO(353-457)
tr|A0A2A2LLY6|A0A2A2LLY6_9BILA	TMhelix|GT	TMhelix(29-51)|STELLO(318-395)
tr|A0A2G2XAG1|A0A2G2XAG1_CAPBA	TMhelix|GT	TMhelix(39-61)|STELLO(356-463)
tr|A0A2G2ZF45|A0A2G2ZF45_CAPAN	TMhelix|GT	TMhelix(39-61)|STELLO(356-463)
tr|A0A2G3CDT4|A0A2G3CDT4_CAPCH	TMhelix|GT	TMhelix(39-61)|STELLO(356-463)
tr|A0A2G9GT30|A0A2G9GT30_9LAMI	TMhelix|GT	TMhelix(40-62)|STELLO(392-495)
tr|A0A2H3XG52|A0A2H3XG52_PHODC	TMhelix|GT	TMhelix(44-63)|STELLO(357-464)
tr|A0A2H3YS07|A0A2H3YS07_PHODC	TMhelix|GT	TMhelix(49-68)|STELLO(367-474)
tr|A0A2I0BGL7|A0A2I0BGL7_9ASPA	TMhelix|GT	TMhelix(41-63)|STELLO(408-472)
tr|A0A2I4EAD9|A0A2I4EAD9_9ROSI	TMhelix|GT	TMhelix(45-64)|STELLO(355-462)
tr|A0A2I4G4H8|A0A2I4G4H8_9ROSI	TMhelix|GT	TMhelix(43-62)|STELLO(353-460)
tr|A0A2J6K2X9|A0A2J6K2X9_LACSA	TMhelix|GT	TMhelix(46-65)|STELLO(356-464)
tr|A0A2K1J4H3|A0A2K1J4H3_PHYPA	TMhelix|GT	TMhelix(70-92)|STELLO(376-499)
tr|A0A2K1JII5|A0A2K1JII5_PHYPA	TMhelix|GT	TMhelix(66-88)|STELLO(379-499)
tr|A0A2P4KWS2|A0A2P4KWS2_QUESU	TMhelix|GT	TMhelix(45-64)|STELLO(354-461)
tr|A0A2P5AQN5|A0A2P5AQN5_PARAD	TMhelix|GT	TMhelix(44-63)|STELLO(354-461)
tr|A0A2P5EMV7|A0A2P5EMV7_9ROSA	TMhelix|GT	TMhelix(44-63)|STELLO(354-461)
tr|A0A2P5QQX7|A0A2P5QQX7_GOSBA	TMhelix|GT	TMhelix(43-65)|STELLO(392-463)
tr|A0A2P6RE62|A0A2P6RE62_ROSCH	TMhelix|GT	TMhelix(37-56)|STELLO(349-456)
tr|A0A2P6S7U8|A0A2P6S7U8_ROSCH	TMhelix|GT	TMhelix(38-60)|STELLO(353-459)
tr|A0A2R6Q4M3|A0A2R6Q4M3_ACTCH	TMhelix|GT	TMhelix(40-59)|STELLO(350-589)
tr|A0A2R6QVA0|A0A2R6QVA0_ACTCH	TMhelix|GT	TMhelix(40-59)|STELLO(350-589)
tr|A7SA18|A7SA18_NEMVE	TMhelix|GT	TMhelix(12-34)|STELLO(328-438)
tr|A7SLT5|A7SLT5_NEMVE	TMhelix|GT	TMhelix(13-30)|STELLO(305-415)
tr|B9H9U6|B9H9U6_POPTR	TMhelix|GT	TMhelix(51-73)|STELLO(362-469)
tr|B9II79|B9II79_POPTR	TMhelix|GT	TMhelix(51-70)|STELLO(362-469)
tr|B9T1F9|B9T1F9_RICCO	TMhelix|GT	TMhelix(94-113)|STELLO(405-567)
tr|D7LHB3|D7LHB3_ARALL	TMhelix|GT	TMhelix(51-70)|STELLO(359-466)
tr|E3MZ42|E3MZ42_CAERE	TMhelix|GT	TMhelix(29-51)|STELLO(333-746)
tr|F6HBD0|F6HBD0_VITVI	TMhelix|GT	TMhelix(28-50)|STELLO(342-496)
tr|F6HKY9|F6HKY9_VITVI	TMhelix|GT	TMhelix(43-62)|STELLO(352-459)
tr|G0MRM2|G0MRM2_CAEBE	TMhelix|GT	TMhelix(31-53)|STELLO(325-695)
tr|G0NS92|G0NS92_CAEBE	TMhelix|GT	TMhelix(12-29)|STELLO(305-635)
tr|I1JG92|I1JG92_SOYBN	TMhelix|GT	TMhelix(39-58)|STELLO(349-456)
tr|I1LA99|I1LA99_SOYBN	TMhelix|GT	TMhelix(39-58)|STELLO(349-456)
tr|M0RZJ3|M0RZJ3_MUSAM	TMhelix|GT	TMhelix(47-66)|STELLO(369-476)
tr|M1CLN6|M1CLN6_SOLTU	TMhelix|GT	TMhelix(51-73)|STELLO(362-469)
tr|M4C7R2|M4C7R2_BRARP	TMhelix|GT	TMhelix(46-63)|STELLO(354-461)
tr|M4CKB3|M4CKB3_BRARP	TMhelix|GT	TMhelix(36-58)|STELLO(342-449)
tr|M5VWL1|M5VWL1_PRUPE	TMhelix|GT	TMhelix(40-59)|STELLO(349-456)
tr|O17744|O17744_CAEEL	TMhelix|GT	TMhelix(5-24)|STELLO(301-686)
tr|O45585|O45585_CAEEL	TMhelix|GT	TMhelix(5-27)|STELLO(300-683)
tr|O45587|O45587_CAEEL	TMhelix|GT	TMhelix(5-24)|STELLO(297-683)
tr|P91204|P91204_CAEEL	TMhelix|GT	TMhelix(7-29)|STELLO(299-687)
tr|Q9TXX9|Q9TXX9_CAEEL	TMhelix|GT	TMhelix(7-24)|STELLO(288-677)
tr|S8CD62|S8CD62_9LAMI	TMhelix|GT	TMhelix(30-49)|STELLO(337-444)
tr|U6NVL1|U6NVL1_HAECO	TMhelix|GT	TMhelix(43-60)|STELLO(334-685)
tr|V7BKN7|V7BKN7_PHAVU	TMhelix|GT	TMhelix(40-59)|STELLO(387-457)
tr|A0A176VKR0|A0A176VKR0_MARPO	TMhelix	TMhelix(71-90)
tr|A0A2R6XSJ7|A0A2R6XSJ7_MARPO	TMhelix	TMhelix(71-90)
tr|A0A1F8BNF9|A0A1F8BNF9_9BACT	TIGR00284|GT-A	TIGR00284(12-103)|RGP(68-384)
tr|L1JU79|L1JU79_GUITH	Lipocalin|GT-A	Lipocalin(2-69)|RGP(106-281)
tr|A0A226EVF6|A0A226EVF6_FOLCA	GT|TMhelix	STELLO(303-664)|TMhelix(735-757)
tr|A0A2K3CNI5|A0A2K3CNI5_CHLRE	GT|TMhelix	STELLO(182-292)|TMhelix(604-626)
tr|H3DT47|H3DT47_PRIPA	GT|SPFH_like|ER_PDI_fam|Thioredoxin_like	STELLO(291-562)|SPFH_like(600-628)|ER_PDI_fam(657-781)|Thioredoxin_like(798-865)
tr|E3LKV7|E3LKV7_CAERE	GT|RT_nLTR_like|GT	STELLO(245-314)|RT_nLTR_like(571-839)|STELLO(1035-1248)
tr|D7FZB1|D7FZB1_ECTSI	GT|GT-A	STELLO(171-283)|Galactosyl_T(337-446)
tr|K8YW40|K8YW40_NANGC	GT|GT-A	STELLO(243-371)|Glyco_tranf_GTA_type(415-512)
tr|W7TUS0|W7TUS0_9STRA	GT|GT-A	STELLO(357-484)|Glyco_tranf_GTA_type(529-614)
tr|A0A1I7XXN5|A0A1I7XXN5_9BILA	GT|GT	STELLO(336-695)|STELLO(858-1023)
tr|A0A1I7XYN9|A0A1I7XYN9_9BILA	GT|DB	STELLO(314-652)|DB(802-839)
tr|A0A261CDV3|A0A261CDV3_9PELO	GT|CCDC158|Unknown	STELLO(313-699)|CCDC158(802-1168)|DUF5401(988-1237)
tr|A0A1S2Z749|A0A1S2Z749_CICAR	GT-A|RRM_SF	RGP(6-322)|RRM_SF(311-360)
tr|A0A1R3IBE6|A0A1R3IBE6_9ROSI	GT-A|PLN03126	PLN03180(4-348)|PLN03126(345-562)
tr|A0A1H1UQD1|A0A1H1UQD1_9ACTN	GT-A|GT-A	mycofact_glyco(2-151)|RGP(128-367)
sp|O22666|RGP3_ARATH	GT-A	PLN03180(6-350)
sp|P80607|RGP1_MAIZE	GT-A	PLN03180(10-355)
sp|Q6Z4G3|RGP3_ORYSJ	GT-A	PLN03180(13-353)
sp|Q7FAY6|RGP2_ORYSJ	GT-A	RGP(5-342)
sp|Q8H8T0|RGP1_ORYSJ	GT-A	PLN03180(10-355)
sp|Q8RU27|RGP2_SOLTU	GT-A	PLN03180(4-348)
sp|Q9FFD2|RGP5_ARATH	GT-A	RGP(6-344)
sp|Q9LFW1|RGP2_ARATH	GT-A	PLN03180(12-355)
sp|Q9LUE6|RGP4_ARATH	GT-A	PLN03180(11-351)
sp|Q9SC19|RGP1_SOLTU	GT-A	PLN03180(1-342)
sp|Q9SRT9|RGP1_ARATH	GT-A	PLN03180(16-355)
tr|A0A059LM11|A0A059LM11_9CHLO	GT-A	PLN03180(1-346)
tr|A0A061EB67|A0A061EB67_THECC	GT-A	PLN03180(4-348)
tr|A0A061EGL4|A0A061EGL4_THECC	GT-A	PLN03180(16-354)
tr|A0A061EXY0|A0A061EXY0_THECC	GT-A	RGP(55-391)
tr|A0A061FYK1|A0A061FYK1_THECC	GT-A	PLN03180(5-349)
tr|A0A067EVE4|A0A067EVE4_CITSI	GT-A	RGP(6-343)
tr|A0A067FE94|A0A067FE94_CITSI	GT-A	PLN03180(9-324)
tr|A0A067FSG1|A0A067FSG1_CITSI	GT-A	PLN03180(4-348)
tr|A0A067JHA3|A0A067JHA3_JATCU	GT-A	RGP(6-344)
tr|A0A067JK93|A0A067JK93_JATCU	GT-A	PLN03180(10-353)
tr|A0A067JRH9|A0A067JRH9_JATCU	GT-A	PLN03180(4-349)
tr|A0A067KGI6|A0A067KGI6_JATCU	GT-A	PLN03180(6-348)
tr|A0A067LB52|A0A067LB52_JATCU	GT-A	PLN03180(4-348)
tr|A0A072TX38|A0A072TX38_MEDTR	GT-A	PLN03180(1-343)
tr|A0A072U6Y0|A0A072U6Y0_MEDTR	GT-A	PLN03180(1-345)
tr|A0A072V8I1|A0A072V8I1_MEDTR	GT-A	PLN03180(2-345)
tr|A0A0A7V0X3|A0A0A7V0X3_9ARCH	GT-A	RGP(5-327)
tr|A0A0D0X654|A0A0D0X654_9ACTN	GT-A	RGP(164-340)
tr|A0A0D3FL28|A0A0D3FL28_9ORYZ	GT-A	PLN03180(10-355)
tr|A0A0D3G175|A0A0D3G175_9ORYZ	GT-A	RGP(5-342)
tr|A0A0D3GTA5|A0A0D3GTA5_9ORYZ	GT-A	PLN03180(13-375)
tr|A0A0D9ZAA5|A0A0D9ZAA5_9ORYZ	GT-A	PLN03180(10-355)
tr|A0A0D9ZRX2|A0A0D9ZRX2_9ORYZ	GT-A	RGP(5-342)
tr|A0A0E0AMF3|A0A0E0AMF3_9ORYZ	GT-A	PLN03180(14-375)
tr|A0A0E0D3L1|A0A0E0D3L1_9ORYZ	GT-A	PLN03180(10-355)
tr|A0A0E0H6Z8|A0A0E0H6Z8_ORYNI	GT-A	RGP(70-407)
tr|A0A0E0I3G1|A0A0E0I3G1_ORYNI	GT-A	PLN03180(13-382)
tr|A0A0E0IVN8|A0A0E0IVN8_ORYNI	GT-A	PLN03180(10-355)
tr|A0A0E0KG55|A0A0E0KG55_ORYPU	GT-A	PLN03180(10-355)
tr|A0A0E0LN31|A0A0E0LN31_ORYPU	GT-A	PLN03180(13-351)
tr|A0A0E0NXX5|A0A0E0NXX5_ORYRU	GT-A	PLN03180(10-355)
tr|A0A0E0PF66|A0A0E0PF66_ORYRU	GT-A	RGP(5-342)
tr|A0A0E0QAY5|A0A0E0QAY5_ORYRU	GT-A	PLN03180(13-353)
tr|A0A0G0IKK1|A0A0G0IKK1_9BACT	GT-A	RGP(3-284)
tr|A0A0G0WM57|A0A0G0WM57_9BACT	GT-A	RGP(2-265)
tr|A0A0G1CLE9|A0A0G1CLE9_9BACT	GT-A	RGP(86-371)
tr|A0A0G1LDP2|A0A0G1LDP2_9BACT	GT-A	RGP(82-369)
tr|A0A0G1T8E5|A0A0G1T8E5_9BACT	GT-A	RGP(159-315)
tr|A0A0G1W189|A0A0G1W189_9BACT	GT-A	RGP(154-277)
tr|A0A0G1YI80|A0A0G1YI80_9BACT	GT-A	RGP(78-317)
tr|A0A0P7H0F0|A0A0P7H0F0_9EURY	GT-A	RGP(89-316)
tr|A0A0R0F492|A0A0R0F492_SOYBN	GT-A	RGP(86-424)
tr|A0A0R0FDT6|A0A0R0FDT6_SOYBN	GT-A	PLN03180(1-344)
tr|A0A0R0ID86|A0A0R0ID86_SOYBN	GT-A	RGP(86-424)
tr|A0A0U5H170|A0A0U5H170_9EURY	GT-A	RGP(85-344)
tr|A0A0W1R969|A0A0W1R969_9EURY	GT-A	RGP(85-376)
tr|A0A0W1SXK1|A0A0W1SXK1_9EURY	GT-A	RGP(108-377)
tr|A0A103XYJ2|A0A103XYJ2_CYNCS	GT-A	PLN03180(3-348)
tr|A0A103Y8E6|A0A103Y8E6_CYNCS	GT-A	RGP(6-343)
tr|A0A103YBT0|A0A103YBT0_CYNCS	GT-A	PLN03180(4-349)
tr|A0A103YCA6|A0A103YCA6_CYNCS	GT-A	PLN03180(1-345)
tr|A0A103YEY9|A0A103YEY9_CYNCS	GT-A	RGP(86-424)
tr|A0A103YH92|A0A103YH92_CYNCS	GT-A	PLN03180(1-342)
tr|A0A118JV60|A0A118JV60_CYNCS	GT-A	PLN03180(2-292)
tr|A0A142YP74|A0A142YP74_9PLAN	GT-A	RGP(6-313)
tr|A0A150FWI4|A0A150FWI4_GONPE	GT-A	PLN03180(1-257)
tr|A0A150FWX7|A0A150FWX7_GONPE	GT-A	PLN03180(1-342)
tr|A0A150GN60|A0A150GN60_GONPE	GT-A	PLN03180(1-345)
tr|A0A151BEK4|A0A151BEK4_9ARCH	GT-A	RGP(5-311)
tr|A0A151BP40|A0A151BP40_9ARCH	GT-A	RGP(85-366)
tr|A0A151RGH9|A0A151RGH9_CAJCA	GT-A	PLN03180(9-349)
tr|A0A151RJK9|A0A151RJK9_CAJCA	GT-A	PLN03180(1-336)
tr|A0A151RYJ5|A0A151RYJ5_CAJCA	GT-A	RGP(6-344)
tr|A0A151S405|A0A151S405_CAJCA	GT-A	PLN03180(2-346)
tr|A0A151S4C7|A0A151S4C7_CAJCA	GT-A	PLN03180(1-344)
tr|A0A151TRX5|A0A151TRX5_CAJCA	GT-A	PLN03180(6-351)
tr|A0A164W2T6|A0A164W2T6_DAUCA	GT-A	PLN03180(1-343)
tr|A0A166AKS0|A0A166AKS0_DAUCA	GT-A	PLN03180(5-346)
tr|A0A175YFA1|A0A175YFA1_DAUCA	GT-A	RGP(6-345)
tr|A0A176VXK0|A0A176VXK0_MARPO	GT-A	PLN03180(16-354)
tr|A0A176VXV8|A0A176VXV8_MARPO	GT-A	PLN03180(12-350)
tr|A0A197SKU5|A0A197SKU5_9ACTN	GT-A	RGP(5-307)
tr|A0A199UWP9|A0A199UWP9_ANACO	GT-A	PLN03180(6-327)
tr|A0A199UZL6|A0A199UZL6_ANACO	GT-A	PLN03180(5-348)
tr|A0A199VU93|A0A199VU93_ANACO	GT-A	PLN03180(7-351)
tr|A0A199VVM9|A0A199VVM9_ANACO	GT-A	PLN03180(5-350)
tr|A0A1C6RLB8|A0A1C6RLB8_9ACTN	GT-A	RGP(99-275)
tr|A0A1D5W9V9|A0A1D5W9V9_WHEAT	GT-A	PLN03180(1-255)
tr|A0A1D6DVD2|A0A1D6DVD2_MAIZE	GT-A	RGP(79-418)
tr|A0A1D6F125|A0A1D6F125_MAIZE	GT-A	PLN03180(4-353)
tr|A0A1E5UXX9|A0A1E5UXX9_9POAL	GT-A	PLN03180(1-319)
tr|A0A1E5W4G4|A0A1E5W4G4_9POAL	GT-A	PLN03180(4-391)
tr|A0A1F6CMN2|A0A1F6CMN2_9BACT	GT-A	RGP(160-358)
tr|A0A1F7GAE1|A0A1F7GAE1_9BACT	GT-A	RGP(6-326)
tr|A0A1F7ICS6|A0A1F7ICS6_9BACT	GT-A	RGP(1-323)
tr|A0A1F7INU6|A0A1F7INU6_9BACT	GT-A	RGP(1-323)
tr|A0A1F7XAZ0|A0A1F7XAZ0_9BACT	GT-A	RGP(13-327)
tr|A0A1F7XCZ0|A0A1F7XCZ0_9BACT	GT-A	RGP(1-325)
tr|A0A1F8FBG2|A0A1F8FBG2_9BACT	GT-A	RGP(82-314)
tr|A0A1F8T7K5|A0A1F8T7K5_9CHLR	GT-A	RGP(5-323)
tr|A0A1G1C8V9|A0A1G1C8V9_9BACT	GT-A	RGP(15-332)
tr|A0A1G1VU11|A0A1G1VU11_9BACT	GT-A	RGP(14-334)
tr|A0A1G7S5R6|A0A1G7S5R6_9EURY	GT-A	RGP(88-322)
tr|A0A1G8VVD9|A0A1G8VVD9_9EURY	GT-A	RGP(88-316)
tr|A0A1G9TVY4|A0A1G9TVY4_9EURY	GT-A	RGP(89-337)
tr|A0A1G9WJ98|A0A1G9WJ98_9EURY	GT-A	RGP(88-374)
tr|A0A1H3EEZ4|A0A1H3EEZ4_9EURY	GT-A	RGP(7-375)
tr|A0A1H3FCJ7|A0A1H3FCJ7_9EURY	GT-A	RGP(2-318)
tr|A0A1H3Y741|A0A1H3Y741_9EURY	GT-A	RGP(90-315)
tr|A0A1H5SSQ9|A0A1H5SSQ9_9EURY	GT-A	RGP(2-341)
tr|A0A1H6JNV1|A0A1H6JNV1_9EURY	GT-A	RGP(88-375)
tr|A0A1H6RCK1|A0A1H6RCK1_9EURY	GT-A	RGP(88-371)
tr|A0A1H8TBX4|A0A1H8TBX4_9EURY	GT-A	RGP(88-378)
tr|A0A1H9LLC5|A0A1H9LLC5_9EURY	GT-A	RGP(108-318)
tr|A0A1I0MZR6|A0A1I0MZR6_9EURY	GT-A	RGP(88-372)
tr|A0A1I0PE94|A0A1I0PE94_9EURY	GT-A	RGP(88-398)
tr|A0A1I2RRZ3|A0A1I2RRZ3_9EURY	GT-A	RGP(78-318)
tr|A0A1I3MR64|A0A1I3MR64_9SPHN	GT-A	RGP(2-351)
tr|A0A1I6FTC4|A0A1I6FTC4_HALSD	GT-A	RGP(116-326)
tr|A0A1I6IZB4|A0A1I6IZB4_9EURY	GT-A	RGP(85-318)
tr|A0A1I6KBU8|A0A1I6KBU8_9EURY	GT-A	RGP(90-318)
tr|A0A1J6JE64|A0A1J6JE64_NICAT	GT-A	PLN03180(1-344)
tr|A0A1J6KRR6|A0A1J6KRR6_NICAT	GT-A	PLN03180(1-345)
tr|A0A1J6L3S7|A0A1J6L3S7_NICAT	GT-A	PLN03180(1-345)
tr|A0A1J6L8H2|A0A1J6L8H2_NICAT	GT-A	PLN03180(5-349)
tr|A0A1J7GHL4|A0A1J7GHL4_LUPAN	GT-A	PLN03180(5-349)
tr|A0A1J7GL34|A0A1J7GL34_LUPAN	GT-A	RGP(119-457)
tr|A0A1J7GP48|A0A1J7GP48_LUPAN	GT-A	PLN03180(4-349)
tr|A0A1J7GVW3|A0A1J7GVW3_LUPAN	GT-A	PLN03180(4-349)
tr|A0A1J7H0Z2|A0A1J7H0Z2_LUPAN	GT-A	PLN03180(6-348)
tr|A0A1J7I124|A0A1J7I124_LUPAN	GT-A	PLN03180(6-348)
tr|A0A1M3KMJ7|A0A1M3KMJ7_9RHIZ	GT-A	RGP(27-349)
tr|A0A1M5PN36|A0A1M5PN36_9EURY	GT-A	RGP(87-318)
tr|A0A1N7EGH2|A0A1N7EGH2_9EURY	GT-A	RGP(100-327)
tr|A0A1Q1FNR6|A0A1Q1FNR6_9EURY	GT-A	RGP(82-344)
tr|A0A1Q3C2V7|A0A1Q3C2V7_CEPFO	GT-A	PLN03180(2-347)
tr|A0A1Q3CBK8|A0A1Q3CBK8_CEPFO	GT-A	RGP(6-344)
tr|A0A1Q3CT39|A0A1Q3CT39_CEPFO	GT-A	PLN03180(13-353)
tr|A0A1Q4ZDK8|A0A1Q4ZDK8_9ACTN	GT-A	RGP(5-364)
tr|A0A1R3HIF6|A0A1R3HIF6_COCAP	GT-A	PLN03180(4-348)
tr|A0A1R3HNQ9|A0A1R3HNQ9_9ROSI	GT-A	PLN03180(4-351)
tr|A0A1R3J3S6|A0A1R3J3S6_COCAP	GT-A	PLN03180(15-353)
tr|A0A1R3JDN1|A0A1R3JDN1_COCAP	GT-A	RGP(5-343)
tr|A0A1R3JFD3|A0A1R3JFD3_COCAP	GT-A	PLN03180(4-351)
tr|A0A1R3KLR6|A0A1R3KLR6_9ROSI	GT-A	RGP(5-343)
tr|A0A1R3L4T6|A0A1R3L4T6_9ROSI	GT-A	PLN03180(15-353)
tr|A0A1S2XF72|A0A1S2XF72_CICAR	GT-A	PLN03180(1-345)
tr|A0A1S2XJC8|A0A1S2XJC8_CICAR	GT-A	PLN03180(2-347)
tr|A0A1S2XN56|A0A1S2XN56_CICAR	GT-A	PLN03180(1-345)
tr|A0A1S2YN61|A0A1S2YN61_CICAR	GT-A	PLN03180(5-345)
tr|A0A1S3BDG1|A0A1S3BDG1_CUCME	GT-A	PLN03180(4-348)
tr|A0A1S3BV95|A0A1S3BV95_CUCME	GT-A	PLN03180(4-348)
tr|A0A1S3BWQ0|A0A1S3BWQ0_CUCME	GT-A	PLN03180(6-346)
tr|A0A1S3CNC9|A0A1S3CNC9_CUCME	GT-A	PLN03180(4-348)
tr|A0A1S3E090|A0A1S3E090_CICAR	GT-A	RGP(6-344)
tr|A0A1S3TAC2|A0A1S3TAC2_VIGRR	GT-A	PLN03180(4-349)
tr|A0A1S3TIL9|A0A1S3TIL9_VIGRR	GT-A	PLN03180(6-347)
tr|A0A1S3TTE3|A0A1S3TTE3_VIGRR	GT-A	PLN03180(1-344)
tr|A0A1S3TVK9|A0A1S3TVK9_VIGRR	GT-A	RGP(86-424)
tr|A0A1S3VWU6|A0A1S3VWU6_VIGRR	GT-A	PLN03180(8-349)
tr|A0A1S3X462|A0A1S3X462_TOBAC	GT-A	PLN03180(1-345)
tr|A0A1S3X611|A0A1S3X611_TOBAC	GT-A	RGP(6-344)
tr|A0A1S3XHU5|A0A1S3XHU5_TOBAC	GT-A	PLN03180(1-344)
tr|A0A1S3YCS2|A0A1S3YCS2_TOBAC	GT-A	PLN03180(6-351)
