tr|I0YXG6|I0YXG6_COCSC	WD40|PAN_4|GT-A|GT-A	WD40(69-389)|PAN_4(559-618)|Glyco_tranf_GTA_type(654-992)|Glyco_tranf_GTA_type(1106-1350)
tr|A0A0E0J2V9|A0A0E0J2V9_ORYNI	TMhelix|GT-A	TMhelix(40-62)|PLN03181(1-483)
tr|A0A0E0K0L0|A0A0E0K0L0_ORYPU	TMhelix|GT-A	TMhelix(46-68)|PLN03182(33-478)
tr|A0A0E0KCR1|A0A0E0KCR1_ORYPU	TMhelix|GT-A	TMhelix(25-47)|PLN03182(5-457)
tr|A0A0E0KCR3|A0A0E0KCR3_ORYPU	TMhelix|GT-A	TMhelix(30-52)|PLN03182(85-409)
tr|A0A0E0MG70|A0A0E0MG70_ORYPU	TMhelix|GT-A	TMhelix(31-53)|PLN03181(1-471)
tr|A0A0E0NFT9|A0A0E0NFT9_ORYRU	TMhelix|GT-A	TMhelix(39-61)|PLN03182(27-467)
tr|A0A0E0NU05|A0A0E0NU05_ORYRU	TMhelix|GT-A	TMhelix(25-47)|PLN03182(3-469)
tr|A0A0E0NU06|A0A0E0NU06_ORYRU	TMhelix|GT-A	TMhelix(29-51)|PLN03182(89-443)
tr|A0A0E0R9J6|A0A0E0R9J6_ORYRU	TMhelix|GT-A	TMhelix(40-62)|PLN03181(1-483)
tr|A0A103XKI0|A0A103XKI0_CYNCS	TMhelix|GT-A	TMhelix(27-49)|PLN03181(1-458)
tr|A0A103XSD6|A0A103XSD6_CYNCS	TMhelix|GT-A	TMhelix(21-43)|PLN03181(8-433)
tr|A0A118JUG0|A0A118JUG0_CYNCS	TMhelix|GT-A	TMhelix(9-31)|PLN03181(2-444)
tr|A0A151SC91|A0A151SC91_CAJCA	TMhelix|GT-A	TMhelix(26-48)|PLN03181(1-412)
tr|A0A151SL58|A0A151SL58_CAJCA	TMhelix|GT-A	TMhelix(35-54)|PLN03182(19-444)
tr|A0A161XZ46|A0A161XZ46_DAUCA	TMhelix|GT-A	TMhelix(20-42)|Glyco_tranf_GTA_type(51-404)
tr|A0A166AX98|A0A166AX98_DAUCA	TMhelix|GT-A	TMhelix(21-43)|Glyco_tranf_GTA_type(1-431)
tr|A0A166AXG1|A0A166AXG1_DAUCA	TMhelix|GT-A	TMhelix(36-58)|PLN03181(1-454)
tr|A0A166H938|A0A166H938_DAUCA	TMhelix|GT-A	TMhelix(21-40)|PLN03181(39-427)
tr|A0A176VFQ9|A0A176VFQ9_MARPO	TMhelix|GT-A	TMhelix(34-56)|PLN03182(175-550)
tr|A0A176VTF4|A0A176VTF4_MARPO	TMhelix|GT-A	TMhelix(62-79)|Glyco_tranf_GTA_type(65-445)
tr|A0A176WJ31|A0A176WJ31_MARPO	TMhelix|GT-A	TMhelix(24-46)|PLN03182(7-422)
tr|A0A1D5XBT0|A0A1D5XBT0_WHEAT	TMhelix|GT-A	TMhelix(51-73)|PLN03182(117-458)
tr|A0A1D5XCW2|A0A1D5XCW2_WHEAT	TMhelix|GT-A	TMhelix(31-53)|PLN03182(73-442)
tr|A0A1D5XH39|A0A1D5XH39_WHEAT	TMhelix|GT-A	TMhelix(38-60)|Glyco_tranf_GTA_type(55-477)
tr|A0A1D5XJ77|A0A1D5XJ77_WHEAT	TMhelix|GT-A	TMhelix(31-53)|PLN03182(55-442)
tr|A0A1D5Y303|A0A1D5Y303_WHEAT	TMhelix|GT-A	TMhelix(17-39)|PLN03182(41-418)
tr|A0A1D5Y3R9|A0A1D5Y3R9_WHEAT	TMhelix|GT-A	TMhelix(38-60)|Glyco_tranf_GTA_type(60-472)
tr|A0A1D5YN03|A0A1D5YN03_WHEAT	TMhelix|GT-A	TMhelix(30-52)|PLN03181(52-456)
tr|A0A1D6A8D6|A0A1D6A8D6_WHEAT	TMhelix|GT-A	TMhelix(47-69)|PLN03182(30-477)
tr|A0A1D6AAA6|A0A1D6AAA6_WHEAT	TMhelix|GT-A	TMhelix(51-73)|PLN03181(22-466)
tr|A0A1D6ATI3|A0A1D6ATI3_WHEAT	TMhelix|GT-A	TMhelix(51-73)|Glyco_tranf_GTA_type(22-376)
tr|A0A1D6BB39|A0A1D6BB39_WHEAT	TMhelix|GT-A	TMhelix(52-74)|PLN03181(23-466)
tr|A0A1D6BBB9|A0A1D6BBB9_WHEAT	TMhelix|GT-A	TMhelix(47-69)|PLN03182(216-632)
tr|A0A1D6BQ39|A0A1D6BQ39_WHEAT	TMhelix|GT-A	TMhelix(17-39)|PLN03182(53-429)
tr|A0A1D6H9U5|A0A1D6H9U5_MAIZE	TMhelix|GT-A	TMhelix(48-70)|PLN03182(36-476)
tr|A0A1D6K093|A0A1D6K093_MAIZE	TMhelix|GT-A	TMhelix(20-39)|PLN03182(4-450)
tr|A0A1D6ML09|A0A1D6ML09_MAIZE	TMhelix|GT-A	TMhelix(21-43)|PLN03182(15-441)
tr|A0A1D6SF89|A0A1D6SF89_WHEAT	TMhelix|GT-A	TMhelix(13-35)|PLN03182(56-421)
tr|A0A1E3BKQ6|A0A1E3BKQ6_9EURO	TMhelix|GT-A	TMhelix(129-151)|Glyco_transf_34(163-412)
tr|A0A1E3QA50|A0A1E3QA50_LIPST	TMhelix|GT-A	TMhelix(71-93)|Glyco_tranf_GTA_type(104-335)
tr|A0A1E5UV10|A0A1E5UV10_9POAL	TMhelix|GT-A	TMhelix(29-51)|PLN03182(17-457)
tr|A0A1E5V163|A0A1E5V163_9POAL	TMhelix|GT-A	TMhelix(21-43)|PLN03182(42-441)
tr|A0A1E5V250|A0A1E5V250_9POAL	TMhelix|GT-A	TMhelix(27-49)|PLN03181(1-458)
tr|A0A1E5W391|A0A1E5W391_9POAL	TMhelix|GT-A	TMhelix(28-50)|PLN03182(6-447)
tr|A0A1E5WE38|A0A1E5WE38_9POAL	TMhelix|GT-A	TMhelix(20-42)|PLN03182(52-366)
tr|A0A1E5WE47|A0A1E5WE47_9POAL	TMhelix|GT-A	TMhelix(19-41)|PLN03182(86-436)
tr|A0A1J6HT24|A0A1J6HT24_NICAT	TMhelix|GT-A	TMhelix(20-37)|PLN03181(8-437)
tr|A0A1J6KSN3|A0A1J6KSN3_NICAT	TMhelix|GT-A	TMhelix(29-51)|PLN03181(1-456)
tr|A0A1J7FZA7|A0A1J7FZA7_LUPAN	TMhelix|GT-A	TMhelix(20-42)|PLN03181(3-436)
tr|A0A1L9PSG6|A0A1L9PSG6_ASPVE	TMhelix|GT-A	TMhelix(121-140)|Glyco_tranf_GTA_type(153-412)
tr|A0A1L9R9C1|A0A1L9R9C1_ASPWE	TMhelix|GT-A	TMhelix(126-148)|Glyco_tranf_GTA_type(157-417)
tr|A0A1L9TF01|A0A1L9TF01_9EURO	TMhelix|GT-A	TMhelix(121-140)|Glyco_tranf_GTA_type(153-412)
tr|A0A1L9UBI0|A0A1L9UBI0_9EURO	TMhelix|GT-A	TMhelix(129-148)|Glyco_tranf_GTA_type(161-420)
tr|A0A1Q3AQ79|A0A1Q3AQ79_CEPFO	TMhelix|GT-A	TMhelix(33-55)|PLN03181(1-461)
tr|A0A1R3GEE9|A0A1R3GEE9_COCAP	TMhelix|GT-A	TMhelix(12-34)|PLN03181(4-408)
tr|A0A1R3H0N3|A0A1R3H0N3_COCAP	TMhelix|GT-A	TMhelix(21-40)|PLN03182(1-452)
tr|A0A1R3IHA8|A0A1R3IHA8_9ROSI	TMhelix|GT-A	TMhelix(21-40)|PLN03182(1-452)
tr|A0A1R3K4A1|A0A1R3K4A1_9ROSI	TMhelix|GT-A	TMhelix(12-34)|PLN03181(4-408)
tr|A0A1S2YRD6|A0A1S2YRD6_CICAR	TMhelix|GT-A	TMhelix(36-58)|PLN03182(27-440)
tr|A0A1S3B1U0|A0A1S3B1U0_CUCME	TMhelix|GT-A	TMhelix(27-49)|PLN03181(2-445)
tr|A0A1S3BRX3|A0A1S3BRX3_CUCME	TMhelix|GT-A	TMhelix(20-42)|PLN03182(4-378)
tr|A0A1S3EG76|A0A1S3EG76_CICAR	TMhelix|GT-A	TMhelix(41-63)|PLN03181(11-456)
tr|A0A1S3U8A0|A0A1S3U8A0_VIGRR	TMhelix|GT-A	TMhelix(21-40)|PLN03182(1-445)
tr|A0A1S3VSZ0|A0A1S3VSZ0_VIGRR	TMhelix|GT-A	TMhelix(34-56)|PLN03181(1-451)
tr|A0A1S3XF00|A0A1S3XF00_TOBAC	TMhelix|GT-A	TMhelix(20-37)|PLN03181(8-437)
tr|A0A1S3XX88|A0A1S3XX88_TOBAC	TMhelix|GT-A	TMhelix(17-39)|PLN03181(1-426)
tr|A0A1S3YAA2|A0A1S3YAA2_TOBAC	TMhelix|GT-A	TMhelix(29-51)|PLN03181(1-456)
tr|A0A1S3YB04|A0A1S3YB04_TOBAC	TMhelix|GT-A	TMhelix(20-37)|PLN03181(8-437)
tr|A0A1S4AX28|A0A1S4AX28_TOBAC	TMhelix|GT-A	TMhelix(33-55)|PLN03181(8-438)
tr|A0A1S4BEC5|A0A1S4BEC5_TOBAC	TMhelix|GT-A	TMhelix(65-87)|PLN03182(54-469)
tr|A0A1U7V014|A0A1U7V014_NICSY	TMhelix|GT-A	TMhelix(29-51)|PLN03181(1-456)
tr|A0A1U7V9D0|A0A1U7V9D0_NICSY	TMhelix|GT-A	TMhelix(20-37)|PLN03181(8-437)
tr|A0A1U7WH23|A0A1U7WH23_NICSY	TMhelix|GT-A	TMhelix(17-39)|PLN03181(1-426)
tr|A0A1U7XU93|A0A1U7XU93_NICSY	TMhelix|GT-A	TMhelix(65-87)|PLN03182(54-469)
tr|A0A1U8B177|A0A1U8B177_NELNU	TMhelix|GT-A	TMhelix(33-55)|PLN03181(1-467)
tr|A0A1U8BAD2|A0A1U8BAD2_NELNU	TMhelix|GT-A	TMhelix(25-47)|PLN03181(1-460)
tr|A0A1U8FNX5|A0A1U8FNX5_CAPAN	TMhelix|GT-A	TMhelix(31-53)|PLN03181(3-454)
tr|A0A1U8FTP7|A0A1U8FTP7_CAPAN	TMhelix|GT-A	TMhelix(20-37)|PLN03181(8-437)
tr|A0A1U8K4E1|A0A1U8K4E1_GOSHI	TMhelix|GT-A	TMhelix(21-43)|PLN03181(3-443)
tr|A0A1U8KIF2|A0A1U8KIF2_GOSHI	TMhelix|GT-A	TMhelix(21-40)|PLN03182(1-452)
tr|A0A1U8KZH6|A0A1U8KZH6_GOSHI	TMhelix|GT-A	TMhelix(28-50)|PLN03181(1-446)
tr|A0A1U8LCC0|A0A1U8LCC0_GOSHI	TMhelix|GT-A	TMhelix(21-40)|PLN03182(1-452)
tr|A0A1U8M3D8|A0A1U8M3D8_GOSHI	TMhelix|GT-A	TMhelix(28-50)|PLN03181(1-446)
tr|A0A1U8N781|A0A1U8N781_GOSHI	TMhelix|GT-A	TMhelix(29-51)|PLN03181(1-452)
tr|A0A1U8NPS4|A0A1U8NPS4_GOSHI	TMhelix|GT-A	TMhelix(21-40)|PLN03182(1-452)
tr|A0A1X7RFL4|A0A1X7RFL4_ZYMTR	TMhelix|GT-A	TMhelix(32-54)|Glyco_tranf_GTA_type(75-301)
tr|A0A1Y1HVE2|A0A1Y1HVE2_KLENI	TMhelix|GT-A	TMhelix(46-65)|Glyco_tranf_GTA_type(107-396)
tr|A0A1Y1HWG9|A0A1Y1HWG9_KLENI	TMhelix|GT-A	TMhelix(17-36)|Glyco_tranf_GTA_type(70-357)
tr|A0A1Y1IFK4|A0A1Y1IFK4_KLENI	TMhelix|GT-A	TMhelix(21-43)|Glyco_tranf_GTA_type(292-569)
tr|A0A1Y1Y3W6|A0A1Y1Y3W6_9FUNG	TMhelix|GT-A	TMhelix(21-43)|Glyco_tranf_GTA_type(69-272)
tr|A0A1Z5RIW6|A0A1Z5RIW6_SORBI	TMhelix|GT-A	TMhelix(40-62)|Glyco_tranf_GTA_type(74-457)
tr|A0A200Q0H1|A0A200Q0H1_9MAGN	TMhelix|GT-A	TMhelix(21-40)|PLN03182(1-443)
tr|A0A200Q0I9|A0A200Q0I9_9MAGN	TMhelix|GT-A	TMhelix(31-53)|PLN03181(10-460)
tr|A0A218VSR7|A0A218VSR7_PUNGR	TMhelix|GT-A	TMhelix(20-42)|PLN03182(1-457)
tr|A0A218W7M1|A0A218W7M1_PUNGR	TMhelix|GT-A	TMhelix(21-43)|PLN03182(1-447)
tr|A0A218XC50|A0A218XC50_PUNGR	TMhelix|GT-A	TMhelix(29-51)|PLN03181(1-454)
tr|A0A251NWG0|A0A251NWG0_PRUPE	TMhelix|GT-A	TMhelix(13-35)|PLN03181(1-416)
tr|A0A251RMR0|A0A251RMR0_HELAN	TMhelix|GT-A	TMhelix(21-43)|PLN03181(10-427)
tr|A0A251T7L1|A0A251T7L1_HELAN	TMhelix|GT-A	TMhelix(12-34)|PLN03181(4-446)
tr|A0A251TV31|A0A251TV31_HELAN	TMhelix|GT-A	TMhelix(7-29)|PLN03181(18-431)
tr|A0A251UH87|A0A251UH87_HELAN	TMhelix|GT-A	TMhelix(13-35)|Glyco_tranf_GTA_type(18-407)
tr|A0A287P3K4|A0A287P3K4_HORVV	TMhelix|GT-A	TMhelix(29-51)|PLN03182(91-432)
tr|A0A287P4G9|A0A287P4G9_HORVV	TMhelix|GT-A	TMhelix(38-60)|PLN03182(26-457)
tr|A0A287Q3U7|A0A287Q3U7_HORVV	TMhelix|GT-A	TMhelix(39-61)|Glyco_tranf_GTA_type(61-474)
tr|A0A2G2VL81|A0A2G2VL81_CAPBA	TMhelix|GT-A	TMhelix(39-61)|PLN03182(38-444)
tr|A0A2G2XHA1|A0A2G2XHA1_CAPBA	TMhelix|GT-A	TMhelix(20-37)|PLN03181(8-437)
tr|A0A2G2XHB9|A0A2G2XHB9_CAPBA	TMhelix|GT-A	TMhelix(13-35)|PLN03181(1-440)
tr|A0A2G2YDD8|A0A2G2YDD8_CAPAN	TMhelix|GT-A	TMhelix(46-68)|PLN03182(45-451)
tr|A0A2G3B7J5|A0A2G3B7J5_CAPCH	TMhelix|GT-A	TMhelix(39-61)|PLN03182(30-444)
tr|A0A2G3D8K3|A0A2G3D8K3_CAPCH	TMhelix|GT-A	TMhelix(13-35)|PLN03181(1-440)
tr|A0A2G3D8L6|A0A2G3D8L6_CAPCH	TMhelix|GT-A	TMhelix(20-37)|PLN03181(8-437)
tr|A0A2G9GJ10|A0A2G9GJ10_9LAMI	TMhelix|GT-A	TMhelix(38-60)|PLN03182(40-426)
tr|A0A2G9H8H7|A0A2G9H8H7_9LAMI	TMhelix|GT-A	TMhelix(30-52)|PLN03181(1-385)
tr|A0A2G9HHD7|A0A2G9HHD7_9LAMI	TMhelix|GT-A	TMhelix(13-32)|PLN03181(1-430)
tr|A0A2G9HHE0|A0A2G9HHE0_9LAMI	TMhelix|GT-A	TMhelix(30-52)|PLN03181(1-388)
tr|A0A2G9HSL6|A0A2G9HSL6_9LAMI	TMhelix|GT-A	TMhelix(26-48)|PLN03181(1-455)
tr|A0A2H3G7T4|A0A2H3G7T4_FUSOX	TMhelix|GT-A	TMhelix(13-35)|Glyco_tranf_GTA_type(163-323)
tr|A0A2H3TXV8|A0A2H3TXV8_FUSOX	TMhelix|GT-A	TMhelix(13-35)|Glyco_tranf_GTA_type(163-323)
tr|A0A2H3XHW4|A0A2H3XHW4_PHODC	TMhelix|GT-A	TMhelix(28-50)|PLN03182(14-445)
tr|A0A2H3XJH2|A0A2H3XJH2_PHODC	TMhelix|GT-A	TMhelix(12-34)|Glyco_tranf_GTA_type(35-423)
tr|A0A2H3Y9X7|A0A2H3Y9X7_PHODC	TMhelix|GT-A	TMhelix(31-53)|Glyco_tranf_GTA_type(5-516)
tr|A0A2H3YZJ5|A0A2H3YZJ5_PHODC	TMhelix|GT-A	TMhelix(32-54)|PLN03181(1-469)
tr|A0A2H5N7X2|A0A2H5N7X2_CITUN	TMhelix|GT-A	TMhelix(21-40)|PLN03182(1-446)
tr|A0A2H5NLX6|A0A2H5NLX6_CITUN	TMhelix|GT-A	TMhelix(21-40)|PLN03182(1-453)
tr|A0A2H5PCJ6|A0A2H5PCJ6_CITUN	TMhelix|GT-A	TMhelix(29-46)|PLN03181(1-449)
tr|A0A2I2GDN7|A0A2I2GDN7_9EURO	TMhelix|GT-A	TMhelix(131-150)|Glyco_tranf_GTA_type(162-422)
tr|A0A2I4E2E3|A0A2I4E2E3_9ROSI	TMhelix|GT-A	TMhelix(32-54)|PLN03181(1-451)
tr|A0A2I4F3A2|A0A2I4F3A2_9ROSI	TMhelix|GT-A	TMhelix(21-40)|PLN03182(1-444)
tr|A0A2J6KQB3|A0A2J6KQB3_LACSA	TMhelix|GT-A	TMhelix(21-43)|PLN03181(8-433)
tr|A0A2J6LYU3|A0A2J6LYU3_LACSA	TMhelix|GT-A	TMhelix(13-35)|PLN03181(6-444)
tr|A0A2J6LZA1|A0A2J6LZA1_LACSA	TMhelix|GT-A	TMhelix(9-31)|PLN03181(2-440)
tr|A0A2K0WG22|A0A2K0WG22_GIBNY	TMhelix|GT-A	TMhelix(13-35)|Glyco_tranf_GTA_type(163-301)
tr|A0A2K1JL66|A0A2K1JL66_PHYPA	TMhelix|GT-A	TMhelix(29-51)|PLN03182(12-410)
tr|A0A2K1JQ13|A0A2K1JQ13_PHYPA	TMhelix|GT-A	TMhelix(29-47)|PLN03182(20-433)
tr|A0A2K1KPE9|A0A2K1KPE9_PHYPA	TMhelix|GT-A	TMhelix(30-48)|PLN03182(24-434)
tr|A0A2K1KU43|A0A2K1KU43_PHYPA	TMhelix|GT-A	TMhelix(29-51)|PLN03182(12-411)
tr|A0A2K1XNM6|A0A2K1XNM6_POPTR	TMhelix|GT-A	TMhelix(32-54)|PLN03181(1-456)
tr|A0A2K1ZLY5|A0A2K1ZLY5_POPTR	TMhelix|GT-A	TMhelix(32-54)|PLN03181(1-455)
tr|A0A2K3L8P9|A0A2K3L8P9_TRIPR	TMhelix|GT-A	TMhelix(12-34)|PLN03181(1-434)
tr|A0A2K3M6Q7|A0A2K3M6Q7_TRIPR	TMhelix|GT-A	TMhelix(13-35)|Glyco_tranf_GTA_type(57-334)
tr|A0A2K3N6C3|A0A2K3N6C3_TRIPR	TMhelix|GT-A	TMhelix(17-39)|PLN03182(1-455)
tr|A0A2K3NKZ9|A0A2K3NKZ9_TRIPR	TMhelix|GT-A	TMhelix(196-218)|PLN03182(25-515)
tr|A0A2K3PK85|A0A2K3PK85_TRIPR	TMhelix|GT-A	TMhelix(36-58)|PLN03182(27-440)
tr|A0A2P4HQZ5|A0A2P4HQZ5_QUESU	TMhelix|GT-A	TMhelix(30-52)|PLN03182(21-388)
tr|A0A2P4JIR6|A0A2P4JIR6_QUESU	TMhelix|GT-A	TMhelix(23-45)|PLN03181(1-412)
tr|A0A2P4JLP3|A0A2P4JLP3_QUESU	TMhelix|GT-A	TMhelix(21-40)|PLN03182(1-445)
tr|A0A2P5D0G0|A0A2P5D0G0_PARAD	TMhelix|GT-A	TMhelix(32-54)|PLN03181(1-455)
tr|A0A2P5DV72|A0A2P5DV72_PARAD	TMhelix|GT-A	TMhelix(21-43)|PLN03181(1-438)
tr|A0A2P5E492|A0A2P5E492_PARAD	TMhelix|GT-A	TMhelix(21-43)|PLN03182(3-449)
tr|A0A2P5FD10|A0A2P5FD10_9ROSA	TMhelix|GT-A	TMhelix(21-43)|PLN03181(1-438)
tr|A0A2P5FSE4|A0A2P5FSE4_9ROSA	TMhelix|GT-A	TMhelix(25-47)|PLN03181(1-455)
tr|A0A2P5PZN3|A0A2P5PZN3_GOSBA	TMhelix|GT-A	TMhelix(28-50)|PLN03181(1-446)
tr|A0A2P5QKG1|A0A2P5QKG1_GOSBA	TMhelix|GT-A	TMhelix(28-50)|PLN03181(1-446)
tr|A0A2P5QM29|A0A2P5QM29_GOSBA	TMhelix|GT-A	TMhelix(21-40)|PLN03182(1-452)
tr|A0A2P5RYU3|A0A2P5RYU3_GOSBA	TMhelix|GT-A	TMhelix(20-42)|PLN03182(1-452)
tr|A0A2P5SQZ2|A0A2P5SQZ2_GOSBA	TMhelix|GT-A	TMhelix(29-51)|PLN03181(1-452)
tr|A0A2P6PWP9|A0A2P6PWP9_ROSCH	TMhelix|GT-A	TMhelix(21-43)|PLN03182(3-444)
tr|A0A2P6QYB7|A0A2P6QYB7_ROSCH	TMhelix|GT-A	TMhelix(21-40)|PLN03182(1-429)
tr|A0A2R6PA81|A0A2R6PA81_ACTCH	TMhelix|GT-A	TMhelix(12-31)|PLN03181(11-425)
tr|A0A2R6PAT6|A0A2R6PAT6_ACTCH	TMhelix|GT-A	TMhelix(12-34)|PLN03181(1-434)
tr|A0A2R6PUD7|A0A2R6PUD7_ACTCH	TMhelix|GT-A	TMhelix(39-61)|PLN03182(30-442)
tr|A0A2R6QSP0|A0A2R6QSP0_ACTCH	TMhelix|GT-A	TMhelix(26-45)|PLN03181(1-443)
tr|A0A2R6R5D3|A0A2R6R5D3_ACTCH	TMhelix|GT-A	TMhelix(19-36)|PLN03181(1-440)
tr|A0A2R6RKY4|A0A2R6RKY4_ACTCH	TMhelix|GT-A	TMhelix(26-45)|PLN03181(1-443)
tr|A0A2R6RKZ0|A0A2R6RKZ0_ACTCH	TMhelix|GT-A	TMhelix(12-29)|PLN03181(11-427)
tr|A0A2R6W6G2|A0A2R6W6G2_MARPO	TMhelix|GT-A	TMhelix(21-43)|PLN03182(5-420)
tr|A0A2R6W709|A0A2R6W709_MARPO	TMhelix|GT-A	TMhelix(62-79)|Glyco_tranf_GTA_type(65-457)
