tr|A0A0K8P9Y5|A0A0K8P9Y5_9CHLR	Uncharacterized|Uncharacterized|GT-A	DUF4422(126-365)|DUF4422(404-645)|GT8_A4GalT_like(680-939)
tr|R7ADN0|R7ADN0_9CLOT	Uncharacterized|GT-A	DUF4422(12-253)|GT8_A4GalT_like(287-551)
tr|R7LB05|R7LB05_9BACT	Uncharacterized|GT-A	DUF4422(8-253)|GT8_A4GalT_like(288-551)
tr|R7LU85|R7LU85_9FUSO	Uncharacterized|GT-A	DUF4422(11-264)|GT8_A4GalT_like(293-537)
tr|R9KYR2|R9KYR2_9FIRM	Uncharacterized|GT-A	DUF4422(6-246)|GT8_A4GalT_like(281-541)
tr|V2YBA0|V2YBA0_9FIRM	Uncharacterized|GT-A	DUF4422(26-267)|GT8_A4GalT_like(308-568)
tr|V2ZG99|V2ZG99_9FIRM	Uncharacterized|GT-A	DUF4422(26-274)|Glyco_tranf_GTA_type(323-535)
tr|W7E2S6|W7E2S6_9PROT	Uncharacterized|GT-A	DUF4422(7-244)|GT8_A4GalT_like(298-564)
tr|A0A1I6ED66|A0A1I6ED66_9RHOB	TolA|COG4372|GT-A	TolA(29-75)|COG4372(21-133)|Glyco_tranf_GTA_type(144-391)
tr|A0A1Y2FW78|A0A1Y2FW78_9BASI	TMhelix|GT-B|GT-A|GT-A	TMhelix(21-38)|GT4_PimA-like(99-457)|Glyco_tranf_GTA_type(528-724)|Glyco_tranf_GTA_type(1012-1260)
tr|U5H458|U5H458_USTV1	TMhelix|GT-B|GT-A|GT-A	TMhelix(60-77)|GT4_PimA-like(153-531)|BcsA(571-796)|Glyco_tranf_GTA_type(1086-1339)
tr|B7G8U9|B7G8U9_PHATC	TMhelix|GT-B|GT-A	TMhelix(7-29)|PS_pyruv_trans(331-562)|Glyco_tranf_GTA_type(663-914)
tr|B7GE34|B7GE34_PHATC	TMhelix|GT-B|GT-A	TMhelix(21-43)|PS_pyruv_trans(339-570)|Glyco_tranf_GTA_type(675-924)
sp|Q3U4G3|XXLT1_MOUSE	TMhelix|GT-A	TMhelix(20-42)|Glyco_tranf_GTA_type(117-382)
sp|Q8NBI6|XXLT1_HUMAN	TMhelix|GT-A	TMhelix(20-42)|Glyco_tranf_GTA_type(120-383)
tr|A0A1J4JXF9|A0A1J4JXF9_9EUKA	TMhelix|GT-A	TMhelix(9-26)|Glyco_tranf_GTA_type(47-261)
tr|A0A1J4JXJ5|A0A1J4JXJ5_9EUKA	TMhelix|GT-A	TMhelix(7-29)|Glyco_tranf_GTA_type(56-286)
tr|A0A1J4KMU9|A0A1J4KMU9_9EUKA	TMhelix|GT-A	TMhelix(13-35)|Glyco_tranf_GTA_type(85-289)
tr|A0A1J4MRR4|A0A1J4MRR4_9CRYT	TMhelix|GT-A	TMhelix(7-29)|Glyco_tranf_GTA_type(54-296)
tr|A0A1Q3M1S0|A0A1Q3M1S0_9BACT	TMhelix|GT-A	TMhelix(9-31)|GT8_A4GalT_like(9-255)
tr|A0A1S2ZD16|A0A1S2ZD16_ERIEU	TMhelix|GT-A	TMhelix(20-42)|Glyco_tranf_GTA_type(118-383)
tr|A0A1S3FDY5|A0A1S3FDY5_DIPOR	TMhelix|GT-A	TMhelix(20-42)|Glyco_tranf_GTA_type(120-383)
tr|A0A1U7U4B0|A0A1U7U4B0_TARSY	TMhelix|GT-A	TMhelix(7-29)|Glyco_tranf_GTA_type(95-354)
tr|A0A1Y4DAF1|A0A1Y4DAF1_9BACT	TMhelix|GT-A	TMhelix(15-32)|Glyco_tranf_GTA_type(15-251)
tr|A0A261DDH2|A0A261DDH2_9RICK	TMhelix|GT-A	TMhelix(12-29)|Glyco_tranf_GTA_type(262-502)
tr|A0A286ZM39|A0A286ZM39_PIG	TMhelix|GT-A	TMhelix(20-42)|Glyco_tranf_GTA_type(118-383)
tr|A0A2A5B3C1|A0A2A5B3C1_9RICK	TMhelix|GT-A	TMhelix(2-24)|GT8_A4GalT_like(243-474)
tr|A0A2K5CKS3|A0A2K5CKS3_AOTNA	TMhelix|GT-A	TMhelix(20-42)|Glyco_tranf_GTA_type(118-383)
tr|A0A2K5J1W4|A0A2K5J1W4_COLAP	TMhelix|GT-A	TMhelix(13-35)|Glyco_tranf_GTA_type(112-377)
tr|A0A2K5LH34|A0A2K5LH34_CERAT	TMhelix|GT-A	TMhelix(20-42)|Glyco_tranf_GTA_type(120-383)
tr|A0A2K5PTM4|A0A2K5PTM4_CEBCA	TMhelix|GT-A	TMhelix(20-42)|Glyco_tranf_GTA_type(120-383)
tr|A0A2K6B4F6|A0A2K6B4F6_MACNE	TMhelix|GT-A	TMhelix(20-42)|Glyco_tranf_GTA_type(120-383)
tr|A0A2K6FYC7|A0A2K6FYC7_PROCO	TMhelix|GT-A	TMhelix(20-42)|Glyco_tranf_GTA_type(120-383)
tr|A0A2K6JZ00|A0A2K6JZ00_RHIBE	TMhelix|GT-A	TMhelix(20-42)|Glyco_tranf_GTA_type(118-383)
tr|A0A2K6RAZ6|A0A2K6RAZ6_RHIRO	TMhelix|GT-A	TMhelix(20-42)|Glyco_tranf_GTA_type(118-383)
tr|A0A2R9CM30|A0A2R9CM30_PANPA	TMhelix|GT-A	TMhelix(20-42)|Glyco_tranf_GTA_type(118-383)
tr|A2DXT6|A2DXT6_TRIVA	TMhelix|GT-A	TMhelix(36-53)|Glyco_tranf_GTA_type(82-291)
tr|D4ADL7|D4ADL7_RAT	TMhelix|GT-A	TMhelix(20-42)|Glyco_tranf_GTA_type(119-382)
tr|F6RQB2|F6RQB2_XENTR	TMhelix|GT-A	TMhelix(20-39)|Glyco_tranf_GTA_type(114-377)
tr|F6XJL0|F6XJL0_MACMU	TMhelix|GT-A	TMhelix(20-42)|Glyco_tranf_GTA_type(120-383)
tr|F7AXT3|F7AXT3_CALJA	TMhelix|GT-A	TMhelix(20-42)|Glyco_tranf_GTA_type(118-383)
tr|G1PPD3|G1PPD3_MYOLU	TMhelix|GT-A	TMhelix(20-42)|Glyco_tranf_GTA_type(120-382)
tr|H0WL28|H0WL28_OTOGA	TMhelix|GT-A	TMhelix(20-42)|Glyco_tranf_GTA_type(108-367)
tr|H2PCE9|H2PCE9_PONAB	TMhelix|GT-A	TMhelix(20-42)|Glyco_tranf_GTA_type(120-383)
tr|H2QP04|H2QP04_PANTR	TMhelix|GT-A	TMhelix(20-42)|Glyco_tranf_GTA_type(120-383)
tr|M3XXA9|M3XXA9_MUSPF	TMhelix|GT-A	TMhelix(21-43)|Glyco_tranf_GTA_type(117-382)
tr|Q1RIL1|Q1RIL1_RICBR	TMhelix|GT-A	TMhelix(13-35)|GT8_A4GalT_like(250-495)
tr|Q9ZD68|Q9ZD68_RICPR	TMhelix|GT-A	TMhelix(5-27)|RfaJ(238-510)
tr|R5XS38|R5XS38_9PROT	TMhelix|GT-A	TMhelix(5-27)|GT8_A4GalT_like(67-321)
tr|R5XTY0|R5XTY0_9PROT	TMhelix|GT-A	TMhelix(7-29)|GT8_A4GalT_like(81-320)
tr|R6GJP9|R6GJP9_9CLOT	TMhelix|GT-A	TMhelix(7-29)|GT8_A4GalT_like(42-294)
tr|T1IRV4|T1IRV4_STRMM	TMhelix|GT-A	TMhelix(12-34)|Glyco_tranf_GTA_type(90-337)
tr|W5QGQ7|W5QGQ7_SHEEP	TMhelix|GT-A	TMhelix(20-42)|Glyco_tranf_GTA_type(118-383)
tr|X6LUX7|X6LUX7_RETFI	TMhelix|GT-A	TMhelix(31-53)|Glyco_tranf_GTA_type(111-328)
tr|Q8F5M0|Q8F5M0_LEPIN	TMhelix	TMhelix(300-322)
tr|A0A285UQG9|A0A285UQG9_9RHIZ	Smc|GT-A	Smc(1-237)|Glyco_tranf_GTA_type(746-989)
tr|A0A1J1HGJ5|A0A1J1HGJ5_PLARL	RNAP_beta'_C	RNAP_beta'_C(295-434)
sp|P19816|RFAI_SALTY	PRK15171	PRK15171(3-336)
sp|P19817|RFAJ_SALTY	PRK15171	PRK15171(15-334)
sp|P27128|RFAI_ECOLI	PRK15171	PRK15171(4-338)
tr|A0A068R0L8|A0A068R0L8_9GAMM	PRK15171	PRK15171(1-309)
tr|A0A068Z797|A0A068Z797_9GAMM	PRK15171	PRK15171(32-334)
tr|A0A075KHP3|A0A075KHP3_9FIRM	PRK15171	PRK15171(12-316)
tr|A0A075KNB8|A0A075KNB8_9FIRM	PRK15171	PRK15171(27-321)
tr|A0A080KEL1|A0A080KEL1_9GAMM	PRK15171	PRK15171(1-338)
tr|A0A080KNV4|A0A080KNV4_9GAMM	PRK15171	PRK15171(1-336)
tr|A0A085FZ91|A0A085FZ91_9ENTR	PRK15171	PRK15171(5-339)
tr|A0A085FZ93|A0A085FZ93_9ENTR	PRK15171	PRK15171(9-331)
tr|A0A085HR65|A0A085HR65_9GAMM	PRK15171	PRK15171(6-339)
tr|A0A090U2S8|A0A090U2S8_9ENTR	PRK15171	PRK15171(1-333)
tr|A0A090UTZ8|A0A090UTZ8_9ENTR	PRK15171	PRK15171(1-333)
tr|A0A097QXK1|A0A097QXK1_HAFAL	PRK15171	PRK15171(1-334)
tr|A0A0A7RZQ4|A0A0A7RZQ4_9GAMM	PRK15171	PRK15171(1-336)
tr|A0A0G4JTX4|A0A0G4JTX4_9GAMM	PRK15171	PRK15171(1-328)
tr|A0A0G4JU04|A0A0G4JU04_9GAMM	PRK15171	PRK15171(1-338)
tr|A0A0G4JY53|A0A0G4JY53_9GAMM	PRK15171	PRK15171(18-327)
tr|A0A0J5NUC5|A0A0J5NUC5_PLUGE	PRK15171	PRK15171(5-335)
tr|A0A0L0AUU2|A0A0L0AUU2_9ENTR	PRK15171	PRK15171(15-329)
tr|A0A0N0Z9P0|A0A0N0Z9P0_9GAMM	PRK15171	PRK15171(1-331)
tr|A0A0V9JJW6|A0A0V9JJW6_9ENTR	PRK15171	PRK15171(4-335)
tr|A0A0V9JK96|A0A0V9JK96_9ENTR	PRK15171	PRK15171(4-336)
tr|A0A127QTE3|A0A127QTE3_9BURK	PRK15171	PRK15171(13-314)
tr|A0A140NJT5|A0A140NJT5_PROSM	PRK15171	PRK15171(5-325)
tr|A0A140NMV7|A0A140NMV7_PROSM	PRK15171	PRK15171(7-333)
tr|A0A140NPY6|A0A140NPY6_PROSM	PRK15171	PRK15171(23-334)
tr|A0A1B7JU71|A0A1B7JU71_9GAMM	PRK15171	PRK15171(14-321)
tr|A0A1B7JU83|A0A1B7JU83_9GAMM	PRK15171	PRK15171(5-322)
tr|A0A1B7JUR1|A0A1B7JUR1_9GAMM	PRK15171	PRK15171(8-334)
tr|A0A1C4AS66|A0A1C4AS66_9GAMM	PRK15171	PRK15171(1-336)
tr|A0A1H6TV55|A0A1H6TV55_9FIRM	PRK15171	PRK15171(20-322)
tr|A0A1H6TXC6|A0A1H6TXC6_9FIRM	PRK15171	PRK15171(7-319)
tr|A0A1H6U6K0|A0A1H6U6K0_9FIRM	PRK15171	PRK15171(27-321)
tr|A0A239T7J3|A0A239T7J3_9FIRM	PRK15171	PRK15171(4-320)
tr|A0A246WT21|A0A246WT21_9BURK	PRK15171	PRK15171(4-312)
tr|A0A250B1Q0|A0A250B1Q0_9ENTR	PRK15171	PRK15171(39-336)
tr|A0A2A2HB34|A0A2A2HB34_9GAMM	PRK15171	PRK15171(10-341)
tr|A0A2A2HBU6|A0A2A2HBU6_9GAMM	PRK15171	PRK15171(15-333)
tr|A0A2D0KSL2|A0A2D0KSL2_9GAMM	PRK15171	PRK15171(16-313)
tr|A0A2P8VF48|A0A2P8VF48_9ENTR	PRK15171	PRK15171(5-337)
tr|A0A2S4N229|A0A2S4N229_SHIFL	PRK15171	PRK15171(24-332)
tr|A0A2S4N342|A0A2S4N342_SHIFL	PRK15171	PRK15171(2-335)
tr|A8ARL5|A8ARL5_CITK8	PRK15171	PRK15171(1-328)
tr|A8ARL6|A8ARL6_CITK8	PRK15171	PRK15171(1-333)
tr|A9MKP8|A9MKP8_SALAR	PRK15171	PRK15171(3-336)
tr|A9MKP9|A9MKP9_SALAR	PRK15171	PRK15171(15-334)
tr|D2TIX6|D2TIX6_CITRI	PRK15171	PRK15171(4-338)
tr|D2TIX7|D2TIX7_CITRI	PRK15171	PRK15171(13-336)
tr|D4C031|D4C031_PRORE	PRK15171	PRK15171(5-335)
tr|D4C581|D4C581_PRORE	PRK15171	PRK15171(1-335)
tr|D4C583|D4C583_PRORE	PRK15171	PRK15171(20-332)
tr|E0WUS3|E0WUS3_9ENTR	PRK15171	PRK15171(1-340)
tr|E0WUS4|E0WUS4_9ENTR	PRK15171	PRK15171(8-339)
tr|E9CL16|E9CL16_9GAMM	PRK15171	PRK15171(32-334)
tr|G7LTZ1|G7LTZ1_9GAMM	PRK15171	PRK15171(1-340)
tr|H1D0F4|H1D0F4_9FIRM	PRK15171	PRK15171(18-327)
tr|H3K9Y8|H3K9Y8_9FIRM	PRK15171	PRK15171(22-319)
tr|H5V400|H5V400_ATLHE	PRK15171	PRK15171(14-335)
tr|I2BEH5|I2BEH5_SHIBC	PRK15171	PRK15171(4-331)
tr|I2BEH6|I2BEH6_SHIBC	PRK15171	PRK15171(5-337)
tr|J2M4T1|J2M4T1_9BURK	PRK15171	PRK15171(16-320)
tr|K8W130|K8W130_9GAMM	PRK15171	PRK15171(4-332)
tr|K8W2V0|K8W2V0_9GAMM	PRK15171	PRK15171(8-332)
tr|K8WV53|K8WV53_9GAMM	PRK15171	PRK15171(1-331)
tr|L0LX49|L0LX49_ENTBF	PRK15171	PRK15171(15-336)
tr|L0LYN7|L0LYN7_ENTBF	PRK15171	PRK15171(5-337)
tr|N9CWB3|N9CWB3_9GAMM	PRK15171	PRK15171(25-308)
tr|Q329M8|Q329M8_SHIDS	PRK15171	PRK15171(4-337)
tr|Q329M9|Q329M9_SHIDS	PRK15171	PRK15171(3-331)
tr|Q329N1|Q329N1_SHIDS	PRK15171	PRK15171(23-335)
tr|Q6DAU4|Q6DAU4_PECAS	PRK15171	PRK15171(1-336)
tr|Q6DAU5|Q6DAU5_PECAS	PRK15171	PRK15171(9-331)
tr|Q8XDC0|Q8XDC0_ECO57	PRK15171	PRK15171(2-335)
tr|Q8XDC2|Q8XDC2_ECO57	PRK15171	PRK15171(24-332)
tr|S3IFK1|S3IFK1_9ENTR	PRK15171	PRK15171(6-336)
tr|S3IYD1|S3IYD1_9ENTR	PRK15171	PRK15171(5-336)
tr|V2U0B2|V2U0B2_9GAMM	PRK15171	PRK15171(6-309)
tr|W1G5B3|W1G5B3_ECOLX	PRK15171	PRK15171(1-285)
tr|X2H2P3|X2H2P3_9GAMM	PRK15171	PRK15171(1-336)
tr|T1HJU8|T1HJU8_RHOPR	PRK09922|PRK15171|PRK15171	PRK09922(2-250)|PRK15171(254-463)|PRK15171(455-777)
tr|A0A1H6WS78|A0A1H6WS78_9FIRM	PRK09814|GT-A	PRK09814(1-133)|GT8_A4GalT_like(190-390)
tr|A0A1H6WWD9|A0A1H6WWD9_9FIRM	PRK09814|GT-A	PRK09814(1-101)|GT8_A4GalT_like(189-411)
tr|A0A1H6WWK1|A0A1H6WWK1_9FIRM	PRK09814|GT-A	PRK09814(1-101)|GT8_A4GalT_like(189-413)
tr|Q11A55|Q11A55_TRIEI	PEP_TPR_lipo|Unknown|PEP_TPR_lipo|PEP_TPR_lipo|type_IV_pilW|GT-B	PEP_TPR_lipo(25-382)|DUF563(536-750)|PEP_TPR_lipo(835-1513)|PEP_TPR_lipo(1329-2149)|type_IV_pilW(2082-2253)|Glycosyltransferase_GTB-type(3054-3219)
tr|K9XUP8|K9XUP8_STAC7	PEP_TPR_lipo|GT-A	PEP_TPR_lipo(12-454)|Glyco_tranf_GTA_type(601-855)
tr|K9YAK8|K9YAK8_HALP7	PEP_TPR_lipo|DUF3723|GT-B	PEP_TPR_lipo(10-219)|DUF3723(347-460)|RfaB(923-1210)
tr|A0A067M9K1|A0A067M9K1_9HOMO	MT|YrrM|GT-A	Methyltransf_24(2-38)|YrrM(2-77)|GT8_A4GalT_like(105-337)
tr|A0A1J1KBK3|A0A1J1KBK3_9CYAN	MT|MT|MT|GT|GT-A|GT-A|HMMR_N	AdoMet_MTases(17-144)|AdoMet_MTases(254-403)|Methyltransf_21(491-658)|Fut1_Fut2_like(692-938)|Glyco_tranf_GTA_type(1114-1284)|Glyco_tranf_GTA_type(1418-1633)|HMMR_N(1657-1756)
tr|A0A2G4F6P8|A0A2G4F6P8_9CYAN	MT|MT|GT|GT-A|IncA|GT-A|SMC_prok_B|PEP_TPR_lipo	AdoMet_MTases(23-167)|Methyltransf_21(255-422)|Fut1_Fut2_like(451-698)|Glyco_tranf_GTA_type(741-883)|IncA(991-1078)|Glyco_tranf_GTA_type(1211-1426)|SMC_prok_B(1450-1587)|PEP_TPR_lipo(1567-1761)
tr|A0A1Q3E4W7|A0A1Q3E4W7_LENED	MT|GT-A|Krr1|tolA_full	Methyltransf_24(59-216)|GT8_A4GalT_like(290-524)|Krr1(620-794)|tolA_full(797-932)
tr|A0A066V4N8|A0A066V4N8_9HOMO	MT|GT-A	Methyltransf_24(53-171)|GT8_A4GalT_like(244-493)
tr|A0A067SZV0|A0A067SZV0_GALM3	MT|GT-A	Methyltransf_24(35-153)|GT8_A4GalT_like(222-450)
tr|A0A0M0GFY5|A0A0M0GFY5_SPOGL	MT|GT-A	AdoMet_MTases(86-126)|Glyco_tranf_GTA_type(229-451)
tr|A0A137QMI0|A0A137QMI0_9AGAR	MT|GT-A	Methyltransf_24(39-159)|GT8_A4GalT_like(228-454)
tr|A0A165I734|A0A165I734_9APHY	MT|GT-A	Methyltransf_24(42-160)|GT8_A4GalT_like(229-455)
tr|A0A165MFP6|A0A165MFP6_9HOMO	MT|GT-A	Methyltransf_24(43-161)|Glyco_tranf_GTA_type(255-502)
tr|A0A165P7U5|A0A165P7U5_9HOMO	MT|GT-A	Methyltransf_24(42-160)|GT8_A4GalT_like(230-433)
tr|A0A165U6J0|A0A165U6J0_9APHY	MT|GT-A	Methyltransf_24(50-168)|Glyco_tranf_GTA_type(239-450)
tr|A0A165XQJ7|A0A165XQJ7_9HOMO	MT|GT-A	Methyltransf_24(45-170)|GT8_A4GalT_like(234-484)
tr|A0A1B7NFA4|A0A1B7NFA4_9HOMO	MT|GT-A	Methyltransf_24(47-166)|Glyco_tranf_GTA_type(237-472)
tr|A0A1J8PR26|A0A1J8PR26_9HOMO	MT|GT-A	Methyltransf_24(47-166)|GT8_A4GalT_like(237-480)
tr|A0A1M2VJ45|A0A1M2VJ45_TRAPU	MT|GT-A	Methyltransf_24(42-160)|GT8_A4GalT_like(255-459)
tr|A0A284QKB6|A0A284QKB6_9AGAR	MT|GT-A	Methyltransf_24(36-154)|GT8_A4GalT_like(224-468)
tr|A0A2G8SS81|A0A2G8SS81_9APHY	MT|GT-A	Methyltransf_24(42-160)|GT8_A4GalT_like(233-459)
tr|A0A2H3C969|A0A2H3C969_9AGAR	MT|GT-A	Methyltransf_24(36-154)|Glyco_tranf_GTA_type(224-468)
tr|A0A2H3E6G3|A0A2H3E6G3_ARMGA	MT|GT-A	Methyltransf_24(36-154)|GT8_A4GalT_like(224-468)
tr|A0A2H3JH94|A0A2H3JH94_WOLCO	MT|GT-A	Methyltransf_24(49-167)|GT8_A4GalT_like(236-463)
tr|A0A2R6RPM4|A0A2R6RPM4_9APHY	MT|GT-A	Methyltransf_24(55-173)|GT8_A4GalT_like(242-469)
tr|A8P5B3|A8P5B3_COPC7	MT|GT-A	Methyltransf_24(44-161)|GT8_A4GalT_like(232-476)
tr|B8PIH6|B8PIH6_POSPM	MT|GT-A	Methyltransf_24(40-158)|Glyco_tranf_GTA_type(227-453)
