tr|A0A1S3Y3Q1|A0A1S3Y3Q1_TOBAC	TMhelix|Voltage_gated_ClC|GT-A	TMhelix(89-111)|Voltage_gated_ClC(77-138)|GlcAT-I(192-423)
tr|I1HGI4|I1HGI4_BRADI	TMhelix|TMhelix|GT-A	TMhelix(45-67)|TMhelix(87-109)|GlcAT-I(190-421)
tr|M0SG37|M0SG37_MUSAM	TMhelix|TMhelix|GT-A	TMhelix(43-62)|TMhelix(67-89)|Glyco_transf_43(173-407)
tr|W1NSM4|W1NSM4_AMBTC	TMhelix|TMhelix|GT-A	TMhelix(41-63)|TMhelix(84-106)|GlcAT-I(194-425)
tr|W5A0M7|W5A0M7_WHEAT	TMhelix|TMhelix|GT-A	TMhelix(45-67)|TMhelix(87-109)|GlcAT-I(183-414)
tr|W5ACH1|W5ACH1_WHEAT	TMhelix|TMhelix|GT-A	TMhelix(45-67)|TMhelix(87-109)|GlcAT-I(183-414)
tr|A0A2A2J502|A0A2A2J502_9BILA	TMhelix|TMF_TATA_bd|GT-A	TMhelix(55-74)|TMF_TATA_bd(74-130)|GlcAT-I(142-372)
tr|I3NAF3|I3NAF3_ICTTR	TMhelix|sspA|GT-A	TMhelix(5-27)|sspA(20-91)|GlcAT-I(80-305)
tr|A0A195DLV6|A0A195DLV6_9HYME	TMhelix|SMC_ScpB|GT-A	TMhelix(21-43)|SMC_ScpB(40-106)|GlcAT-I(97-327)
tr|A0A195FRA9|A0A195FRA9_9HYME	TMhelix|SMC_ScpB|GT-A	TMhelix(21-43)|SMC_ScpB(57-107)|GlcAT-I(97-327)
tr|A0A0R0JT16|A0A0R0JT16_SOYBN	TMhelix|SDH_N_domain|GT-A	TMhelix(20-42)|SDH_N_domain(80-158)|Glyco_tranf_GTA_type(139-326)
tr|W5CRX1|W5CRX1_WHEAT	TMhelix|PRK10856|GT-A	TMhelix(20-42)|PRK10856(146-245)|Glyco_tranf_GTA_type(1-439)
tr|A0A1B0GF00|A0A1B0GF00_GLOMM	TMhelix|Mac-1|GT-A	TMhelix(62-84)|Mac-1(75-144)|Glyco_tranf_GTA_type(133-350)
tr|F4X1I4|F4X1I4_ACREC	TMhelix|HTH|GT-A	TMhelix(21-43)|HTH(52-120)|GlcAT-I(97-327)
tr|A0A182F2U2|A0A182F2U2_ANOAL	TMhelix|GT-A|LPD_N|DUF1943|DUF1081|VWD|C8	TMhelix(13-31)|GlcAT-I(102-321)|LPD_N(384-962)|DUF1943(994-1312)|DUF1081(1335-1443)|VWD(4059-4214)|C8(4257-4330)
tr|A0A1B0GQ87|A0A1B0GQ87_PHLPP	TMhelix|GT-A|LPD_N|DUF1943|DUF1081	TMhelix(21-38)|GlcAT-I(78-298)|LPD_N(360-940)|DUF1943(972-1246)|DUF1081(1268-1361)
tr|A0A044VJ48|A0A044VJ48_ONCVO	TMhelix|GT-A|DUF572	TMhelix(7-29)|GlcAT-I(92-319)|DUF572(352-589)
tr|A0A182ELF1|A0A182ELF1_ONCOC	TMhelix|GT-A|DUF572	TMhelix(7-29)|GlcAT-I(92-319)|DUF572(352-392)
tr|A0A2I0BH10|A0A2I0BH10_9ASPA	TMhelix|GT-A|DcrB	TMhelix(13-35)|Glyco_tranf_GTA_type(1-340)|DcrB(340-625)
sp|O35789|B3GA1_RAT	TMhelix|GT-A	TMhelix(7-24)|Glyco_transf_43(105-315)
sp|P59270|B3GA2_MOUSE	TMhelix|GT-A	TMhelix(5-23)|GlcAT-I(81-306)
sp|Q5CAZ6|B3GA2_CANLF	TMhelix|GT-A	TMhelix(5-27)|GlcAT-I(86-311)
sp|Q5CB03|B3GA1_CANLF	TMhelix|GT-A	TMhelix(7-29)|Glyco_transf_43(106-316)
sp|Q5CB04|B3GA1_PANTR	TMhelix|GT-A	TMhelix(7-24)|Glyco_transf_43(105-313)
sp|Q5QM25|GT12_ORYSJ	TMhelix|GT-A	TMhelix(86-108)|GlcAT-I(195-424)
sp|Q653F4|GT61_ORYSJ	TMhelix|GT-A	TMhelix(52-71)|Glyco_transf_43(217-455)
sp|Q6AT32|GT52_ORYSJ	TMhelix|GT-A	TMhelix(89-111)|GlcAT-I(195-429)
sp|Q75L84|GT51_ORYSJ	TMhelix|GT-A	TMhelix(20-42)|Glyco_tranf_GTA_type(10-355)
sp|Q7XTB2|GT41_ORYSJ	TMhelix|GT-A	TMhelix(70-87)|Glyco_transf_43(147-355)
sp|Q8L707|IRX14_ARATH	TMhelix|GT-A	TMhelix(36-58)|Glyco_transf_43(181-427)
sp|Q8S626|GT102_ORYSJ	TMhelix|GT-A	TMhelix(12-34)|Glyco_transf_43(98-321)
sp|Q9CW73|B3GA1_MOUSE	TMhelix|GT-A	TMhelix(7-24)|Glyco_transf_43(105-315)
sp|Q9NPZ5|B3GA2_HUMAN	TMhelix|GT-A	TMhelix(5-27)|GlcAT-I(81-305)
sp|Q9P2W7|B3GA1_HUMAN	TMhelix|GT-A	TMhelix(7-24)|Glyco_transf_43(105-315)
sp|Q9SXC4|IRX9H_ARATH	TMhelix|GT-A	TMhelix(66-85)|GlcAT-I(141-372)
sp|Q9VLA1|B3G2S_DROME	TMhelix|GT-A	TMhelix(54-73)|GlcAT-I(131-350)
sp|Q9VTG7|B3G2P_DROME	TMhelix|GT-A	TMhelix(33-55)|GlcAT-I(231-452)
sp|Q9Z137|B3GA2_RAT	TMhelix|GT-A	TMhelix(5-23)|GlcAT-I(81-306)
sp|Q9ZQC6|IRX9_ARATH	TMhelix|GT-A	TMhelix(17-36)|PLN02458(1-350)
tr|A0A016SNF8|A0A016SNF8_9BILA	TMhelix|GT-A	TMhelix(5-27)|GlcAT-I(65-291)
tr|A0A016UTT9|A0A016UTT9_9BILA	TMhelix|GT-A	TMhelix(39-58)|GlcAT-I(126-356)
tr|A0A023I9E3|A0A023I9E3_GOSHI	TMhelix|GT-A	TMhelix(36-58)|Glyco_transf_43(182-418)
tr|A0A044QP81|A0A044QP81_ONCVO	TMhelix|GT-A	TMhelix(21-43)|Glyco_transf_43(96-296)
tr|A0A044TW07|A0A044TW07_ONCVO	TMhelix|GT-A	TMhelix(20-42)|Glyco_transf_43(83-287)
tr|A0A061DH76|A0A061DH76_THECC	TMhelix|GT-A	TMhelix(36-58)|Glyco_tranf_GTA_type(161-419)
tr|A0A061ESG2|A0A061ESG2_THECC	TMhelix|GT-A	TMhelix(13-35)|Glyco_tranf_GTA_type(1-346)
tr|A0A061FFS6|A0A061FFS6_THECC	TMhelix|GT-A	TMhelix(66-88)|GlcAT-I(144-373)
tr|A0A061GJZ9|A0A061GJZ9_THECC	TMhelix|GT-A	TMhelix(85-107)|GlcAT-I(190-420)
tr|A0A067GHH1|A0A067GHH1_CITSI	TMhelix|GT-A	TMhelix(36-58)|Glyco_tranf_GTA_type(160-423)
tr|A0A067GJ77|A0A067GJ77_CITSI	TMhelix|GT-A	TMhelix(85-107)|GlcAT-I(187-417)
tr|A0A067KI83|A0A067KI83_JATCU	TMhelix|GT-A	TMhelix(36-58)|Glyco_transf_43(179-417)
tr|A0A067KQY7|A0A067KQY7_JATCU	TMhelix|GT-A	TMhelix(84-106)|GlcAT-I(184-416)
tr|A0A067L2R8|A0A067L2R8_JATCU	TMhelix|GT-A	TMhelix(79-101)|GlcAT-I(165-394)
tr|A0A067R8M4|A0A067R8M4_ZOONE	TMhelix|GT-A	TMhelix(24-41)|GlcAT-I(86-316)
tr|A0A067RNG6|A0A067RNG6_ZOONE	TMhelix|GT-A	TMhelix(24-46)|GlcAT-I(136-357)
tr|A0A072UR13|A0A072UR13_MEDTR	TMhelix|GT-A	TMhelix(33-55)|Glyco_tranf_GTA_type(156-415)
tr|A0A087W1C6|A0A087W1C6_ECHMU	TMhelix|GT-A	TMhelix(7-26)|GlcAT-I(34-257)
tr|A0A088A1W3|A0A088A1W3_APIME	TMhelix|GT-A	TMhelix(20-42)|GlcAT-I(154-374)
tr|A0A088A512|A0A088A512_APIME	TMhelix|GT-A	TMhelix(21-43)|GlcAT-I(95-325)
tr|A0A096UNR3|A0A096UNR3_WHEAT	TMhelix|GT-A	TMhelix(86-108)|GlcAT-I(195-424)
tr|A0A0D3ESF1|A0A0D3ESF1_9ORYZ	TMhelix|GT-A	TMhelix(86-108)|GlcAT-I(195-424)
tr|A0A0D3FRS9|A0A0D3FRS9_9ORYZ	TMhelix|GT-A	TMhelix(70-87)|Glyco_transf_43(147-355)
tr|A0A0D3G2Q1|A0A0D3G2Q1_9ORYZ	TMhelix|GT-A	TMhelix(20-42)|Glyco_tranf_GTA_type(10-355)
tr|A0A0D3GAQ4|A0A0D3GAQ4_9ORYZ	TMhelix|GT-A	TMhelix(89-111)|GlcAT-I(195-429)
tr|A0A0D3GK56|A0A0D3GK56_9ORYZ	TMhelix|GT-A	TMhelix(52-71)|Glyco_transf_43(217-455)
tr|A0A0D3HC25|A0A0D3HC25_9ORYZ	TMhelix|GT-A	TMhelix(12-34)|GlcAT-I(77-305)
tr|A0A0D9YD26|A0A0D9YD26_9ORYZ	TMhelix|GT-A	TMhelix(86-108)|GlcAT-I(195-424)
tr|A0A0D9ZTM0|A0A0D9ZTM0_9ORYZ	TMhelix|GT-A	TMhelix(20-42)|Glyco_tranf_GTA_type(10-355)
tr|A0A0E0A2P2|A0A0E0A2P2_9ORYZ	TMhelix|GT-A	TMhelix(127-149)|GlcAT-I(233-467)
tr|A0A0E0A2Q1|A0A0E0A2Q1_9ORYZ	TMhelix|GT-A	TMhelix(73-90)|Glyco_transf_43(157-365)
tr|A0A0E0ADJ0|A0A0E0ADJ0_9ORYZ	TMhelix|GT-A	TMhelix(52-71)|Glyco_transf_43(217-455)
tr|A0A0E0B8S3|A0A0E0B8S3_9ORYZ	TMhelix|GT-A	TMhelix(12-34)|GlcAT-I(77-305)
tr|A0A0E0C5Z3|A0A0E0C5Z3_9ORYZ	TMhelix|GT-A	TMhelix(86-108)|GlcAT-I(195-424)
tr|A0A0E0DLC3|A0A0E0DLC3_9ORYZ	TMhelix|GT-A	TMhelix(20-42)|Glyco_tranf_GTA_type(10-352)
tr|A0A0E0DUQ4|A0A0E0DUQ4_9ORYZ	TMhelix|GT-A	TMhelix(89-111)|GlcAT-I(195-422)
tr|A0A0E0FQY5|A0A0E0FQY5_ORYNI	TMhelix|GT-A	TMhelix(86-108)|GlcAT-I(195-432)
tr|A0A0E0GWZ7|A0A0E0GWZ7_ORYNI	TMhelix|GT-A	TMhelix(70-87)|Glyco_transf_43(147-355)
tr|A0A0E0H8W1|A0A0E0H8W1_ORYNI	TMhelix|GT-A	TMhelix(20-42)|Glyco_tranf_GTA_type(10-355)
tr|A0A0E0HI41|A0A0E0HI41_ORYNI	TMhelix|GT-A	TMhelix(89-111)|GlcAT-I(195-429)
tr|A0A0E0HUR6|A0A0E0HUR6_ORYNI	TMhelix|GT-A	TMhelix(52-71)|Glyco_transf_43(217-455)
tr|A0A0E0IQE7|A0A0E0IQE7_ORYNI	TMhelix|GT-A	TMhelix(12-34)|GlcAT-I(77-305)
tr|A0A0E0JMC6|A0A0E0JMC6_ORYPU	TMhelix|GT-A	TMhelix(86-108)|GlcAT-I(195-424)
tr|A0A0E0KXZ3|A0A0E0KXZ3_ORYPU	TMhelix|GT-A	TMhelix(23-40)|Glyco_tranf_GTA_type(9-354)
tr|A0A0E0L5N3|A0A0E0L5N3_ORYPU	TMhelix|GT-A	TMhelix(89-111)|GlcAT-I(195-430)
tr|A0A0E0LEX3|A0A0E0LEX3_ORYPU	TMhelix|GT-A	TMhelix(52-71)|Glyco_transf_43(217-455)
tr|A0A0E0M6D6|A0A0E0M6D6_ORYPU	TMhelix|GT-A	TMhelix(12-34)|Glyco_transf_43(102-325)
tr|A0A0E0N0N5|A0A0E0N0N5_ORYRU	TMhelix|GT-A	TMhelix(86-108)|GlcAT-I(195-432)
tr|A0A0E0P4C1|A0A0E0P4C1_ORYRU	TMhelix|GT-A	TMhelix(70-87)|Glyco_transf_43(147-355)
tr|A0A0E0PGW4|A0A0E0PGW4_ORYRU	TMhelix|GT-A	TMhelix(20-42)|Glyco_tranf_GTA_type(10-355)
tr|A0A0E0PR50|A0A0E0PR50_ORYRU	TMhelix|GT-A	TMhelix(89-111)|GlcAT-I(195-422)
tr|A0A0E0Q1V8|A0A0E0Q1V8_ORYRU	TMhelix|GT-A	TMhelix(52-71)|Glyco_transf_43(217-455)
tr|A0A0E0QXB0|A0A0E0QXB0_ORYRU	TMhelix|GT-A	TMhelix(12-34)|GlcAT-I(77-305)
tr|A0A0H5SA06|A0A0H5SA06_BRUMA	TMhelix|GT-A	TMhelix(7-29)|GlcAT-I(92-319)
tr|A0A0K0JUH1|A0A0K0JUH1_BRUMA	TMhelix|GT-A	TMhelix(20-42)|Glyco_transf_43(83-288)
tr|A0A0K3AUF6|A0A0K3AUF6_CAEEL	TMhelix|GT-A	TMhelix(65-84)|Glyco_transf_43(125-331)
tr|A0A0L0V491|A0A0L0V491_9BASI	TMhelix|GT-A	TMhelix(74-96)|Glyco_tranf_GTA_type(272-459)
tr|A0A0M3QTK1|A0A0M3QTK1_DROBS	TMhelix|GT-A	TMhelix(60-77)|GlcAT-I(141-360)
tr|A0A0M4EIK3|A0A0M4EIK3_DROBS	TMhelix|GT-A	TMhelix(30-49)|GlcAT-I(62-283)
tr|A0A0P5AQE3|A0A0P5AQE3_9CRUS	TMhelix|GT-A	TMhelix(7-27)|Glyco_transf_43(158-356)
tr|A0A0P5B0I5|A0A0P5B0I5_9CRUS	TMhelix|GT-A	TMhelix(12-34)|GlcAT-I(84-312)
tr|A0A0P8XXU3|A0A0P8XXU3_DROAN	TMhelix|GT-A	TMhelix(46-65)|GlcAT-I(287-506)
tr|A0A0Q9WBT3|A0A0Q9WBT3_DROVI	TMhelix|GT-A	TMhelix(77-99)|GlcAT-I(193-412)
tr|A0A0Q9XGH5|A0A0Q9XGH5_DROMO	TMhelix|GT-A	TMhelix(82-104)|GlcAT-I(199-418)
tr|A0A0R3NRT8|A0A0R3NRT8_DROPS	TMhelix|GT-A	TMhelix(78-97)|GlcAT-I(210-429)
tr|A0A0V0RUK8|A0A0V0RUK8_9BILA	TMhelix|GT-A	TMhelix(13-30)|GlcAT-I(70-294)
tr|A0A0V0U8Q3|A0A0V0U8Q3_9BILA	TMhelix|GT-A	TMhelix(13-30)|GlcAT-I(70-294)
tr|A0A0V1D1G4|A0A0V1D1G4_TRIBR	TMhelix|GT-A	TMhelix(13-30)|GlcAT-I(70-294)
tr|A0A0V1L1T9|A0A0V1L1T9_9BILA	TMhelix|GT-A	TMhelix(13-30)|GlcAT-I(70-294)
tr|A0A0V1P2R4|A0A0V1P2R4_9BILA	TMhelix|GT-A	TMhelix(13-30)|GlcAT-I(70-294)
tr|A0A103XBW4|A0A103XBW4_CYNCS	TMhelix|GT-A	TMhelix(40-62)|Glyco_transf_43(187-431)
tr|A0A103XF83|A0A103XF83_CYNCS	TMhelix|GT-A	TMhelix(90-112)|GlcAT-I(189-416)
tr|A0A103XKY9|A0A103XKY9_CYNCS	TMhelix|GT-A	TMhelix(41-63)|Glyco_transf_43(189-437)
tr|A0A103XZB6|A0A103XZB6_CYNCS	TMhelix|GT-A	TMhelix(74-93)|GlcAT-I(146-375)
tr|A0A125PIT5|A0A125PIT5_9BASI	TMhelix|GT-A	TMhelix(7-26)|Glyco_tranf_GTA_type(52-252)
tr|A0A151SCE2|A0A151SCE2_CAJCA	TMhelix|GT-A	TMhelix(37-59)|Glyco_transf_43(165-401)
tr|A0A151SNW4|A0A151SNW4_CAJCA	TMhelix|GT-A	TMhelix(66-88)|GlcAT-I(153-384)
tr|A0A151ST72|A0A151ST72_CAJCA	TMhelix|GT-A	TMhelix(17-36)|Glyco_tranf_GTA_type(1-327)
tr|A0A151TDN7|A0A151TDN7_CAJCA	TMhelix|GT-A	TMhelix(76-98)|GlcAT-I(181-411)
tr|A0A151X7G3|A0A151X7G3_9HYME	TMhelix|GT-A	TMhelix(21-43)|GlcAT-I(97-327)
tr|A0A154PHM1|A0A154PHM1_9HYME	TMhelix|GT-A	TMhelix(21-43)|GlcAT-I(95-325)
tr|A0A158NA63|A0A158NA63_ATTCE	TMhelix|GT-A	TMhelix(21-43)|GlcAT-I(97-327)
tr|A0A164W1J0|A0A164W1J0_DAUCA	TMhelix|GT-A	TMhelix(35-57)|Glyco_tranf_GTA_type(158-422)
tr|A0A165WUC0|A0A165WUC0_DAUCA	TMhelix|GT-A	TMhelix(13-32)|Glyco_tranf_GTA_type(1-339)
tr|A0A165ZA95|A0A165ZA95_DAUCA	TMhelix|GT-A	TMhelix(64-86)|GlcAT-I(136-365)
tr|A0A166J5T0|A0A166J5T0_DAUCA	TMhelix|GT-A	TMhelix(83-105)|GlcAT-I(175-405)
tr|A0A176VHZ6|A0A176VHZ6_MARPO	TMhelix|GT-A	TMhelix(152-174)|GlcAT-I(264-493)
tr|A0A180GB21|A0A180GB21_PUCT1	TMhelix|GT-A	TMhelix(47-66)|Glyco_tranf_GTA_type(302-489)
tr|A0A180GJ36|A0A180GJ36_PUCT1	TMhelix|GT-A	TMhelix(67-89)|Glyco_tranf_GTA_type(259-446)
tr|A0A182G104|A0A182G104_AEDAL	TMhelix|GT-A	TMhelix(12-29)|GlcAT-I(60-297)
tr|A0A182HFF5|A0A182HFF5_AEDAL	TMhelix|GT-A	TMhelix(12-29)|GlcAT-I(60-297)
tr|A0A182HTL6|A0A182HTL6_ANOAR	TMhelix|GT-A	TMhelix(12-29)|GlcAT-I(66-307)
tr|A0A182IB33|A0A182IB33_ANOAR	TMhelix|GT-A	TMhelix(15-34)|GlcAT-I(132-351)
tr|A0A182IPX0|A0A182IPX0_9DIPT	TMhelix|GT-A	TMhelix(16-35)|GlcAT-I(104-323)
tr|A0A182KD82|A0A182KD82_9DIPT	TMhelix|GT-A	TMhelix(12-29)|GlcAT-I(65-307)
tr|A0A182LGL1|A0A182LGL1_9DIPT	TMhelix|GT-A	TMhelix(12-29)|GlcAT-I(66-307)
tr|A0A182MCH1|A0A182MCH1_9DIPT	TMhelix|GT-A	TMhelix(12-29)|GlcAT-I(63-305)
tr|A0A182N790|A0A182N790_9DIPT	TMhelix|GT-A	TMhelix(12-29)|GlcAT-I(63-305)
tr|A0A182PQM9|A0A182PQM9_9DIPT	TMhelix|GT-A	TMhelix(12-29)|GlcAT-I(65-307)
tr|A0A182QZC4|A0A182QZC4_9DIPT	TMhelix|GT-A	TMhelix(15-32)|GlcAT-I(109-328)
tr|A0A182R2J4|A0A182R2J4_ANOFN	TMhelix|GT-A	TMhelix(16-33)|GlcAT-I(103-322)
tr|A0A182U069|A0A182U069_9DIPT	TMhelix|GT-A	TMhelix(17-35)|GlcAT-I(104-323)
tr|A0A182U9P6|A0A182U9P6_9DIPT	TMhelix|GT-A	TMhelix(12-29)|GlcAT-I(66-307)
tr|A0A182UPP5|A0A182UPP5_ANOME	TMhelix|GT-A	TMhelix(12-29)|GlcAT-I(66-307)
tr|A0A182V4K2|A0A182V4K2_ANOME	TMhelix|GT-A	TMhelix(17-35)|GlcAT-I(104-323)
tr|A0A182VNM8|A0A182VNM8_ANOME	TMhelix|GT-A	TMhelix(21-43)|GlcAT-I(180-397)
tr|A0A182X609|A0A182X609_ANOQN	TMhelix|GT-A	TMhelix(17-35)|GlcAT-I(104-323)
tr|A0A182XHS1|A0A182XHS1_ANOQN	TMhelix|GT-A	TMhelix(12-29)|GlcAT-I(66-307)
tr|A0A182YR88|A0A182YR88_ANOST	TMhelix|GT-A	TMhelix(12-29)|GlcAT-I(63-305)
tr|A0A195BJ65|A0A195BJ65_9HYME	TMhelix|GT-A	TMhelix(21-43)|GlcAT-I(97-327)
tr|A0A195CUZ4|A0A195CUZ4_9HYME	TMhelix|GT-A	TMhelix(21-43)|GlcAT-I(97-327)
tr|A0A199VA94|A0A199VA94_ANACO	TMhelix|GT-A	TMhelix(90-112)|GlcAT-I(189-410)
tr|A0A199VBU8|A0A199VBU8_ANACO	TMhelix|GT-A	TMhelix(21-43)|Glyco_tranf_GTA_type(1-365)
tr|A0A1A6G039|A0A1A6G039_NEOLE	TMhelix|GT-A	TMhelix(76-93)|Glyco_transf_43(174-384)
tr|A0A1A9ULU4|A0A1A9ULU4_GLOAU	TMhelix|GT-A	TMhelix(62-84)|Glyco_tranf_GTA_type(133-353)
tr|A0A1A9W007|A0A1A9W007_9MUSC	TMhelix|GT-A	TMhelix(28-47)|GlcAT-I(106-324)
tr|A0A1A9W4L9|A0A1A9W4L9_9MUSC	TMhelix|GT-A	TMhelix(7-29)|Glyco_transf_43(323-513)
tr|A0A1A9WAB0|A0A1A9WAB0_9MUSC	TMhelix|GT-A	TMhelix(82-104)|Glyco_tranf_GTA_type(153-367)
tr|A0A1A9WI08|A0A1A9WI08_9MUSC	TMhelix|GT-A	TMhelix(12-29)|GlcAT-I(51-285)
tr|A0A1A9X4L1|A0A1A9X4L1_9MUSC	TMhelix|GT-A	TMhelix(49-66)|GlcAT-I(90-324)
tr|A0A1A9XGW8|A0A1A9XGW8_GLOFF	TMhelix|GT-A	TMhelix(28-47)|GlcAT-I(107-324)
tr|A0A1A9YEM0|A0A1A9YEM0_GLOFF	TMhelix|GT-A	TMhelix(7-29)|GlcAT-I(256-476)
tr|A0A1A9YIR1|A0A1A9YIR1_GLOFF	TMhelix|GT-A	TMhelix(62-81)|Glyco_tranf_GTA_type(133-350)
tr|A0A1B0A2H8|A0A1B0A2H8_GLOPL	TMhelix|GT-A	TMhelix(7-29)|GlcAT-I(42-262)
tr|A0A1B0A4Y3|A0A1B0A4Y3_GLOPL	TMhelix|GT-A	TMhelix(28-50)|GlcAT-I(105-322)
tr|A0A1B0ABJ1|A0A1B0ABJ1_GLOPL	TMhelix|GT-A	TMhelix(56-78)|Glyco_tranf_GTA_type(125-342)
tr|A0A1B0B196|A0A1B0B196_9MUSC	TMhelix|GT-A	TMhelix(7-29)|GlcAT-I(341-565)
tr|A0A1B0BGI4|A0A1B0BGI4_9MUSC	TMhelix|GT-A	TMhelix(40-59)|GlcAT-I(87-321)
tr|A0A1B0BUW9|A0A1B0BUW9_9MUSC	TMhelix|GT-A	TMhelix(28-47)|GlcAT-I(107-324)
tr|A0A1B0C4S5|A0A1B0C4S5_9MUSC	TMhelix|GT-A	TMhelix(62-81)|Glyco_tranf_GTA_type(133-350)
tr|A0A1B0C836|A0A1B0C836_LUTLO	TMhelix|GT-A	TMhelix(21-38)|GlcAT-I(76-296)
tr|A0A1B0FGX6|A0A1B0FGX6_GLOMM	TMhelix|GT-A	TMhelix(58-77)|GlcAT-I(105-339)
tr|A0A1B0GHM0|A0A1B0GHM0_LUTLO	TMhelix|GT-A	TMhelix(20-37)|GlcAT-I(82-314)
tr|A0A1B1IJJ8|A0A1B1IJJ8_PHYPA	TMhelix|GT-A	TMhelix(27-49)|Glyco_transf_43(202-451)
tr|A0A1B1IJK1|A0A1B1IJK1_PHYPA	TMhelix|GT-A	TMhelix(74-93)|GlcAT-I(165-396)
tr|A0A1D1UEL3|A0A1D1UEL3_RAMVA	TMhelix|GT-A	TMhelix(16-38)|GlcAT-I(46-276)
tr|A0A1D5QR23|A0A1D5QR23_MACMU	TMhelix|GT-A	TMhelix(5-27)|GlcAT-I(81-305)
tr|A0A1D5S4V0|A0A1D5S4V0_WHEAT	TMhelix|GT-A	TMhelix(23-40)|Glyco_tranf_GTA_type(9-362)
tr|A0A1D5SJR4|A0A1D5SJR4_WHEAT	TMhelix|GT-A	TMhelix(23-40)|Glyco_tranf_GTA_type(9-362)
tr|A0A1D5T2J7|A0A1D5T2J7_WHEAT	TMhelix|GT-A	TMhelix(23-40)|Glyco_tranf_GTA_type(9-362)
tr|A0A1D5TJ09|A0A1D5TJ09_WHEAT	TMhelix|GT-A	TMhelix(69-91)|Glyco_transf_43(161-371)
tr|A0A1D5U8H0|A0A1D5U8H0_WHEAT	TMhelix|GT-A	TMhelix(74-96)|Glyco_transf_43(167-377)
tr|A0A1D5UTT9|A0A1D5UTT9_WHEAT	TMhelix|GT-A	TMhelix(21-43)|Glyco_tranf_GTA_type(163-395)
tr|A0A1D5V0U4|A0A1D5V0U4_WHEAT	TMhelix|GT-A	TMhelix(71-93)|Glyco_transf_43(161-373)
tr|A0A1D5VMI1|A0A1D5VMI1_WHEAT	TMhelix|GT-A	TMhelix(21-43)|Glyco_tranf_GTA_type(1-485)
tr|A0A1D5WNA5|A0A1D5WNA5_WHEAT	TMhelix|GT-A	TMhelix(86-108)|GlcAT-I(195-424)
tr|A0A1D6BPZ9|A0A1D6BPZ9_WHEAT	TMhelix|GT-A	TMhelix(50-69)|Glyco_transf_43(214-452)
tr|A0A1D6CVD2|A0A1D6CVD2_WHEAT	TMhelix|GT-A	TMhelix(52-71)|Glyco_transf_43(259-497)
