tr|B9S7N5|B9S7N5_RICCO	WRN_exo|GT-A|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix	WRN_exo(39-220)|GT8_Glycogenin(271-517)|TMhelix(534-556)|TMhelix(605-627)|TMhelix(642-664)|TMhelix(702-724)|TMhelix(728-750)
tr|A0A1S3TCZ5|A0A1S3TCZ5_VIGRR	TMhelix|GT-A|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix	TMhelix(5-27)|GT8_Glycogenin(36-283)|TMhelix(300-322)|TMhelix(382-404)|TMhelix(411-433)|TMhelix(472-494)|TMhelix(496-518)
tr|A0A1S4CJ55|A0A1S4CJ55_TOBAC	TMhelix|GT-A|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix	TMhelix(5-24)|GT8_Glycogenin(34-278)|TMhelix(298-320)|TMhelix(365-387)|TMhelix(397-419)|TMhelix(458-480)|TMhelix(484-506)
tr|A0A1S4CUJ6|A0A1S4CUJ6_TOBAC	TMhelix|GT-A|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix	TMhelix(5-24)|GT8_Glycogenin(34-278)|TMhelix(298-320)|TMhelix(365-387)|TMhelix(397-419)|TMhelix(458-480)|TMhelix(484-506)
tr|A0A1U7WLP6|A0A1U7WLP6_NICSY	TMhelix|GT-A|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix	TMhelix(5-24)|GT8_Glycogenin(34-278)|TMhelix(298-320)|TMhelix(365-387)|TMhelix(397-419)|TMhelix(458-480)|TMhelix(484-506)
tr|A0A2H5NTT5|A0A2H5NTT5_CITUN	TMhelix|GT-A|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix	TMhelix(13-32)|GT8_Glycogenin(42-289)|TMhelix(300-322)|TMhelix(343-362)|TMhelix(372-394)|TMhelix(396-418)|TMhelix(422-444)
tr|A0A2K3NT31|A0A2K3NT31_TRIPR	TMhelix|GT-A|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix	TMhelix(42-64)|GT8_Glycogenin(71-318)|TMhelix(334-356)|TMhelix(472-494)|TMhelix(504-526)|TMhelix(563-585)|TMhelix(590-612)
tr|A0A2P4LJX5|A0A2P4LJX5_QUESU	TMhelix|GT-A|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix	TMhelix(13-32)|GT8_Glycogenin(45-297)|TMhelix(298-320)|TMhelix(341-363)|TMhelix(373-392)|TMhelix(399-421)|TMhelix(425-447)
tr|A0A2R6QNP1|A0A2R6QNP1_ACTCH	TMhelix|GT-A|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix	TMhelix(13-30)|GT8_Glycogenin(42-294)|TMhelix(302-319)|TMhelix(340-362)|TMhelix(372-394)|TMhelix(399-418)|TMhelix(422-444)
tr|J3M084|J3M084_ORYBR	TMhelix|GT-A|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix	TMhelix(12-34)|GT8_Glycogenin(39-290)|TMhelix(298-315)|TMhelix(336-358)|TMhelix(368-390)|TMhelix(397-414)|TMhelix(419-441)
tr|K7KGY2|K7KGY2_SOYBN	TMhelix|GT-A|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix	TMhelix(5-24)|GT8_Glycogenin(37-284)|TMhelix(301-323)|TMhelix(380-402)|TMhelix(415-437)|TMhelix(475-497)|TMhelix(502-524)
tr|K7N057|K7N057_SOYBN	TMhelix|GT-A|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix	TMhelix(6-28)|GT8_Glycogenin(37-284)|TMhelix(301-323)|TMhelix(380-402)|TMhelix(415-437)|TMhelix(475-497)|TMhelix(502-524)
tr|A0A0D9ZN66|A0A0D9ZN66_9ORYZ	TMhelix|GT-A|TMhelix|TMhelix|TMhelix|TMhelix	TMhelix(86-108)|GT8_Glycogenin(111-353)|TMhelix(454-476)|TMhelix(483-505)|TMhelix(547-569)|TMhelix(576-593)
tr|A0A200QWQ3|A0A200QWQ3_9MAGN	TMhelix|GT-A|TMhelix|TMhelix|TMhelix|TMhelix	TMhelix(34-52)|GT8_Glycogenin(33-280)|TMhelix(297-319)|TMhelix(380-402)|TMhelix(415-437)|TMhelix(482-504)
tr|A0A1Y2C4H4|A0A1Y2C4H4_9FUNG	TMhelix|GT-A|TMhelix|GT-A	TMhelix(219-241)|Glyco_tranf_GTA_type(271-481)|TMhelix(758-780)|Glyco_tranf_GTA_type(855-1016)
tr|A0A2P6N455|A0A2P6N455_9MYCE	TMhelix|GT-A|PTZ00449|MDN1|PHA03307|PRK05901	TMhelix(12-31)|Glyco_tranf_GTA_type(45-257)|PTZ00449(427-774)|MDN1(689-1182)|PHA03307(1217-1601)|PRK05901(1509-1704)
tr|A0A2P5RG53|A0A2P5RG53_GOSBA	TMhelix|GT-A|PLN00179	TMhelix(38-60)|GT8_Glycogenin(320-520)|PLN00179(605-953)
tr|A0A2B4SQ36|A0A2B4SQ36_STYPI	TMhelix|GT-A|HLD_clamp	TMhelix(13-35)|GT8_Glycogenin(97-330)|HLD_clamp(1680-1731)
tr|A0A2K1J6V6|A0A2K1J6V6_PHYPA	TMhelix|GT-A|GT-A|GT-A	TMhelix(21-43)|Glyco_transf_64(90-337)|Glyco_tranf_GTA_type(381-566)|Glyco_tranf_GTA_type(761-865)
tr|A0A199UPF6|A0A199UPF6_ANACO	TMhelix|GT-A|GT-A	TMhelix(19-41)|GT8_Glycogenin(290-535)|GT8_Glycogenin(852-1097)
tr|A0A1E7EXL8|A0A1E7EXL8_9STRA	TMhelix|GT-A|GT-A	TMhelix(44-63)|Glyco_tranf_GTA_type(140-457)|Glyco_tranf_GTA_type(557-708)
tr|A0A1E7FDB5|A0A1E7FDB5_9STRA	TMhelix|GT-A|GT-A	TMhelix(21-43)|Glyco_tranf_GTA_type(119-288)|Glyco_tranf_GTA_type(217-391)
tr|A0A1J5WJR8|A0A1J5WJR8_9MICR	TMhelix|GT-A|GT-A	TMhelix(12-31)|Glyco_tranf_GTA_type(62-293)|Glyco_transf_64(342-562)
tr|A0A1Y2BMM5|A0A1Y2BMM5_9FUNG	TMhelix|GT-A|GT-A	TMhelix(9-31)|Glyco_tranf_GTA_type(214-337)|Glyco_tranf_GTA_type(428-632)
tr|A0A1Y2C886|A0A1Y2C886_9FUNG	TMhelix|GT-A|GT-A	TMhelix(46-68)|Glyco_tranf_GTA_type(118-339)|Glyco_tranf_GTA_type(430-601)
tr|A0A1Y2CDU1|A0A1Y2CDU1_9FUNG	TMhelix|GT-A|GT-A	TMhelix(9-31)|Glyco_tranf_GTA_type(89-290)|Glyco_tranf_GTA_type(369-571)
tr|A0A2P4LYD3|A0A2P4LYD3_QUESU	TMhelix|GT-A|GT-A	TMhelix(21-38)|GT8_Glycogenin(294-538)|GT8_Glycogenin(587-831)
tr|M1V7C8|M1V7C8_CYAM1	TMhelix|GT-A|GT-A	TMhelix(116-138)|GT8_Glycogenin(158-399)|Glyco_transf_64(440-703)
tr|K2NNS8|K2NNS8_TRYCR	TMhelix|GT-A|Glyco_transf_18|FAM20_C_like	TMhelix(21-40)|Glyco_tranf_GTA_type(83-330)|Glyco_transf_18(389-482)|FAM20_C_like(655-750)
tr|Q4DM72|Q4DM72_TRYCC	TMhelix|GT-A|Glyco_transf_18|FAM20_C_like	TMhelix(21-40)|Glyco_tranf_GTA_type(83-330)|Glyco_transf_18(389-482)|FAM20_C_like(655-750)
tr|Q4DZI0|Q4DZI0_TRYCC	TMhelix|GT-A|Glyco_transf_18|FAM20_C_like	TMhelix(21-40)|Glyco_tranf_GTA_type(83-330)|Glyco_transf_18(389-482)|FAM20_C_like(655-750)
tr|V5BAJ5|V5BAJ5_TRYCR	TMhelix|GT-A|Glyco_transf_18|FAM20_C_like	TMhelix(21-40)|Glyco_tranf_GTA_type(83-330)|Glyco_transf_18(389-482)|FAM20_C_like(655-750)
tr|A0A139I3P4|A0A139I3P4_9PEZI	TMhelix|GT-A|GH|TMhelix|TMhelix	TMhelix(21-40)|Glyco_tranf_GTA_type(81-320)|GH16_fungal_CRH1_transglycosylase(529-714)|TMhelix(853-875)|TMhelix(882-904)
tr|M4DN32|M4DN32_BRARP	TMhelix|GT-A|FBOX|F_box_assoc_1	TMhelix(50-69)|GT8_Glycogenin(307-552)|FBOX(663-693)|F_box_assoc_1(756-988)
sp|F4HZC3|GUX5_ARATH	TMhelix|GT-A	TMhelix(12-31)|GT8_Glycogenin(278-516)
sp|O43062|YGT9_SCHPO	TMhelix|GT-A	TMhelix(20-39)|Gnt1(37-376)
sp|Q09680|YA0C_SCHPO	TMhelix|GT-A	TMhelix(17-36)|Glyco_tranf_GTA_type(68-368)
sp|Q8W4A7|GUX3_ARATH	TMhelix|GT-A	TMhelix(32-54)|GT8_Glycogenin(285-531)
sp|Q9FZ37|GUX4_ARATH	TMhelix|GT-A	TMhelix(12-31)|GT8_Glycogenin(271-507)
tr|A0A024TPQ2|A0A024TPQ2_9STRA	TMhelix|GT-A	TMhelix(43-65)|Glyco_tranf_GTA_type(100-328)
tr|A0A061F2R6|A0A061F2R6_THECC	TMhelix|GT-A	TMhelix(12-31)|GT8_Glycogenin(271-506)
tr|A0A061F3T4|A0A061F3T4_THECC	TMhelix|GT-A	TMhelix(12-31)|GT8_Glycogenin(271-519)
tr|A0A061FBQ9|A0A061FBQ9_THECC	TMhelix|GT-A	TMhelix(20-39)|GT8_Glycogenin(298-542)
tr|A0A061FHU8|A0A061FHU8_THECC	TMhelix|GT-A	TMhelix(53-72)|GT8_Glycogenin(312-557)
tr|A0A067ET44|A0A067ET44_CITSI	TMhelix|GT-A	TMhelix(49-71)|GT8_Glycogenin(305-550)
tr|A0A067GZX3|A0A067GZX3_CITSI	TMhelix|GT-A	TMhelix(20-39)|GT8_Glycogenin(297-541)
tr|A0A067L3J6|A0A067L3J6_JATCU	TMhelix|GT-A	TMhelix(59-81)|GT8_Glycogenin(313-558)
tr|A0A067P184|A0A067P184_PLEOS	TMhelix|GT-A	TMhelix(31-53)|Glyco_tranf_GTA_type(90-314)
tr|A0A072VF97|A0A072VF97_MEDTR	TMhelix|GT-A	TMhelix(40-59)|GT8_Glycogenin(294-539)
tr|A0A0D3EX04|A0A0D3EX04_9ORYZ	TMhelix|GT-A	TMhelix(53-75)|GT8_Glycogenin(306-551)
tr|A0A0D3G7W1|A0A0D3G7W1_9ORYZ	TMhelix|GT-A	TMhelix(50-72)|GT8_Glycogenin(303-548)
tr|A0A0D9YI79|A0A0D9YI79_9ORYZ	TMhelix|GT-A	TMhelix(53-75)|GT8_Glycogenin(306-551)
tr|A0A0D9Z325|A0A0D9Z325_9ORYZ	TMhelix|GT-A	TMhelix(67-89)|GT8_Glycogenin(333-577)
tr|A0A0D9ZZG1|A0A0D9ZZG1_9ORYZ	TMhelix|GT-A	TMhelix(50-72)|GT8_Glycogenin(303-548)
tr|A0A0E0CB39|A0A0E0CB39_9ORYZ	TMhelix|GT-A	TMhelix(101-123)|GT8_Glycogenin(355-600)
tr|A0A0E0CWB3|A0A0E0CWB3_9ORYZ	TMhelix|GT-A	TMhelix(28-50)|GT8_Glycogenin(325-569)
tr|A0A0E0DRM6|A0A0E0DRM6_9ORYZ	TMhelix|GT-A	TMhelix(50-72)|GT8_Glycogenin(303-548)
tr|A0A0E0FWK0|A0A0E0FWK0_ORYNI	TMhelix|GT-A	TMhelix(53-75)|GT8_Glycogenin(306-551)
tr|A0A0E0G2D8|A0A0E0G2D8_ORYNI	TMhelix|GT-A	TMhelix(28-50)|GT8_Glycogenin(306-550)
tr|A0A0E0HER2|A0A0E0HER2_ORYNI	TMhelix|GT-A	TMhelix(50-72)|GT8_Glycogenin(303-548)
tr|A0A0E0JRT0|A0A0E0JRT0_ORYPU	TMhelix|GT-A	TMhelix(53-75)|GT8_Glycogenin(307-552)
tr|A0A0E0N5U3|A0A0E0N5U3_ORYRU	TMhelix|GT-A	TMhelix(53-75)|GT8_Glycogenin(306-551)
tr|A0A0E0NQN7|A0A0E0NQN7_ORYRU	TMhelix|GT-A	TMhelix(67-89)|GT8_Glycogenin(364-608)
tr|A0A0E0PMS4|A0A0E0PMS4_ORYRU	TMhelix|GT-A	TMhelix(50-72)|GT8_Glycogenin(303-548)
tr|A0A0L0FPG2|A0A0L0FPG2_9EUKA	TMhelix|GT-A	TMhelix(12-30)|Glyco_tranf_GTA_type(306-443)
tr|A0A0R0GCI8|A0A0R0GCI8_SOYBN	TMhelix|GT-A	TMhelix(58-77)|GT8_Glycogenin(311-556)
tr|A0A0U5CQX6|A0A0U5CQX6_9EURO	TMhelix|GT-A	TMhelix(13-35)|Glyco_tranf_GTA_type(70-289)
tr|A0A118JZA9|A0A118JZA9_CYNCS	TMhelix|GT-A	TMhelix(9-31)|GT8_Glycogenin(295-538)
tr|A0A139ARA5|A0A139ARA5_GONPR	TMhelix|GT-A	TMhelix(7-24)|Glyco_tranf_GTA_type(47-294)
tr|A0A139GUD6|A0A139GUD6_9PEZI	TMhelix|GT-A	TMhelix(20-42)|Glyco_tranf_GTA_type(82-321)
tr|A0A150UZB5|A0A150UZB5_9PEZI	TMhelix|GT-A	TMhelix(7-29)|GT8_Glycogenin(7-298)
tr|A0A151R8W0|A0A151R8W0_CAJCA	TMhelix|GT-A	TMhelix(39-61)|Glyco_tranf_GTA_type(289-473)
tr|A0A151S7W0|A0A151S7W0_CAJCA	TMhelix|GT-A	TMhelix(17-39)|GT8_Glycogenin(299-543)
tr|A0A151TBW0|A0A151TBW0_CAJCA	TMhelix|GT-A	TMhelix(21-43)|GT8_Glycogenin(296-539)
tr|A0A151TDW2|A0A151TDW2_CAJCA	TMhelix|GT-A	TMhelix(58-77)|Glyco_tranf_GTA_type(312-496)
tr|A0A151TLC9|A0A151TLC9_CAJCA	TMhelix|GT-A	TMhelix(33-55)|Glyco_tranf_GTA_type(289-471)
tr|A0A151VZ68|A0A151VZ68_HYPMA	TMhelix|GT-A	TMhelix(27-46)|Glyco_tranf_GTA_type(84-300)
tr|A0A152A1R4|A0A152A1R4_9MYCE	TMhelix|GT-A	TMhelix(5-24)|Glyco_tranf_GTA_type(94-346)
tr|A0A165DQ79|A0A165DQ79_9APHY	TMhelix|GT-A	TMhelix(27-45)|Glyco_tranf_GTA_type(85-307)
tr|A0A165DQ84|A0A165DQ84_9APHY	TMhelix|GT-A	TMhelix(27-49)|Glyco_tranf_GTA_type(89-351)
tr|A0A165QLB1|A0A165QLB1_9APHY	TMhelix|GT-A	TMhelix(33-55)|Glyco_tranf_GTA_type(88-310)
tr|A0A165QLQ9|A0A165QLQ9_9APHY	TMhelix|GT-A	TMhelix(27-46)|Glyco_tranf_GTA_type(85-301)
tr|A0A165TXA0|A0A165TXA0_9APHY	TMhelix|GT-A	TMhelix(28-50)|Glyco_tranf_GTA_type(89-304)
tr|A0A175WEH4|A0A175WEH4_9PEZI	TMhelix|GT-A	TMhelix(13-35)|GT8_Glycogenin(14-264)
tr|A0A176VPZ7|A0A176VPZ7_MARPO	TMhelix|GT-A	TMhelix(59-78)|GT8_Glycogenin(353-597)
tr|A0A177BXG3|A0A177BXG3_9PLEO	TMhelix|GT-A	TMhelix(12-34)|Glyco_tranf_GTA_type(99-275)
tr|A0A178B306|A0A178B306_9PLEO	TMhelix|GT-A	TMhelix(7-26)|Glyco_tranf_GTA_type(76-328)
tr|A0A1A6A7U1|A0A1A6A7U1_9TREE	TMhelix|GT-A	TMhelix(36-58)|Glyco_tranf_GTA_type(35-353)
tr|A0A1A6AAA2|A0A1A6AAA2_9TREE	TMhelix|GT-A	TMhelix(71-93)|Glyco_tranf_GTA_type(138-396)
tr|A0A1B8C6T7|A0A1B8C6T7_9PEZI	TMhelix|GT-A	TMhelix(34-56)|Glyco_tranf_GTA_type(88-310)
tr|A0A1B8DSQ1|A0A1B8DSQ1_9PEZI	TMhelix|GT-A	TMhelix(34-56)|Glyco_tranf_GTA_type(79-301)
tr|A0A1B8F3B6|A0A1B8F3B6_9PEZI	TMhelix|GT-A	TMhelix(34-56)|Glyco_tranf_GTA_type(86-308)
tr|A0A1B8GIM4|A0A1B8GIM4_9PEZI	TMhelix|GT-A	TMhelix(34-56)|Glyco_tranf_GTA_type(91-313)
tr|A0A1B9FSK5|A0A1B9FSK5_9TREE	TMhelix|GT-A	TMhelix(21-43)|Glyco_tranf_GTA_type(20-331)
tr|A0A1B9GEI9|A0A1B9GEI9_9TREE	TMhelix|GT-A	TMhelix(21-43)|Glyco_tranf_GTA_type(78-290)
tr|A0A1B9GPD6|A0A1B9GPD6_9TREE	TMhelix|GT-A	TMhelix(81-103)|Glyco_tranf_GTA_type(122-378)
tr|A0A1B9I5E3|A0A1B9I5E3_9TREE	TMhelix|GT-A	TMhelix(53-75)|Glyco_tranf_GTA_type(118-375)
tr|A0A1B9I9V8|A0A1B9I9V8_9TREE	TMhelix|GT-A	TMhelix(23-45)|Glyco_tranf_GTA_type(22-335)
tr|A0A1B9IIJ6|A0A1B9IIJ6_9TREE	TMhelix|GT-A	TMhelix(26-48)|Glyco_tranf_GTA_type(25-336)
tr|A0A1D5RP74|A0A1D5RP74_WHEAT	TMhelix|GT-A	TMhelix(46-68)|GT8_Glycogenin(300-545)
tr|A0A1D5S9Z8|A0A1D5S9Z8_WHEAT	TMhelix|GT-A	TMhelix(46-68)|GT8_Glycogenin(300-545)
tr|A0A1D5SU05|A0A1D5SU05_WHEAT	TMhelix|GT-A	TMhelix(46-68)|GT8_Glycogenin(300-545)
tr|A0A1D5VEI1|A0A1D5VEI1_WHEAT	TMhelix|GT-A	TMhelix(50-72)|GT8_Glycogenin(304-549)
tr|A0A1D5WJI2|A0A1D5WJI2_WHEAT	TMhelix|GT-A	TMhelix(50-72)|GT8_Glycogenin(290-535)
tr|A0A1D5XBR2|A0A1D5XBR2_WHEAT	TMhelix|GT-A	TMhelix(13-35)|GT8_Glycogenin(302-546)
tr|A0A1D5XJA4|A0A1D5XJA4_WHEAT	TMhelix|GT-A	TMhelix(13-35)|GT8_Glycogenin(303-547)
tr|A0A1D5Y1N0|A0A1D5Y1N0_WHEAT	TMhelix|GT-A	TMhelix(21-43)|GT8_Glycogenin(305-549)
tr|A0A1D6N6Y6|A0A1D6N6Y6_MAIZE	TMhelix|GT-A	TMhelix(13-32)|GT8_Glycogenin(322-564)
tr|A0A1E1KXJ8|A0A1E1KXJ8_9HELO	TMhelix|GT-A	TMhelix(13-31)|Glyco_tranf_GTA_type(14-331)
tr|A0A1E3HLB7|A0A1E3HLB7_9TREE	TMhelix|GT-A	TMhelix(27-49)|Glyco_tranf_GTA_type(90-335)
tr|A0A1E3HLG0|A0A1E3HLG0_9TREE	TMhelix|GT-A	TMhelix(17-34)|Glyco_tranf_GTA_type(66-301)
tr|A0A1E5UXW8|A0A1E5UXW8_9POAL	TMhelix|GT-A	TMhelix(45-67)|GT8_Glycogenin(299-544)
tr|A0A1E5WDC4|A0A1E5WDC4_9POAL	TMhelix|GT-A	TMhelix(17-39)|GT8_Glycogenin(305-549)
tr|A0A1E7FDM3|A0A1E7FDM3_9STRA	TMhelix|GT-A	TMhelix(20-36)|Glyco_tranf_GTA_type(130-296)
tr|A0A1E7FHQ2|A0A1E7FHQ2_9STRA	TMhelix|GT-A	TMhelix(21-43)|Glyco_tranf_GTA_type(111-346)
tr|A0A1E7FP44|A0A1E7FP44_9STRA	TMhelix|GT-A	TMhelix(33-55)|Glyco_tranf_GTA_type(120-450)
tr|A0A1E7FVC4|A0A1E7FVC4_9STRA	TMhelix|GT-A	TMhelix(37-59)|Glyco_tranf_GTA_type(135-313)
tr|A0A1J5WV70|A0A1J5WV70_9MICR	TMhelix|GT-A	TMhelix(12-31)|Glyco_tranf_GTA_type(62-293)
tr|A0A1J6IGF9|A0A1J6IGF9_NICAT	TMhelix|GT-A	TMhelix(13-35)|GT8_Glycogenin(290-532)
tr|A0A1J7HSJ5|A0A1J7HSJ5_LUPAN	TMhelix|GT-A	TMhelix(9-31)|GT8_Glycogenin(291-535)
tr|A0A1J7IEJ3|A0A1J7IEJ3_LUPAN	TMhelix|GT-A	TMhelix(58-77)|GT8_Glycogenin(312-557)
