tr|A0A1X7NV23|A0A1X7NV23_AZOLI	TPR_11|GT-A	TPR_11(25-57)|Glyco_transf_17(312-418)
tr|A0A1D5USD6|A0A1D5USD6_WHEAT	TMhelix|GT-A	TMhelix(40-62)|Glyco_transf_17(39-386)
tr|A0A1D5YS14|A0A1D5YS14_WHEAT	TMhelix|GT-A	TMhelix(24-46)|Glyco_transf_17(26-371)
tr|A0A1D5ZFB1|A0A1D5ZFB1_WHEAT	TMhelix|GT-A	TMhelix(28-47)|Glyco_transf_17(26-371)
tr|A0A1D6A1G1|A0A1D6A1G1_WHEAT	TMhelix|GT-A	TMhelix(24-46)|Glyco_transf_17(26-371)
tr|A0A1D6A5P4|A0A1D6A5P4_WHEAT	TMhelix|GT-A	TMhelix(47-66)|Glyco_transf_17(41-388)
tr|A0A1D6AZT4|A0A1D6AZT4_WHEAT	TMhelix|GT-A	TMhelix(29-51)|Glyco_transf_17(28-379)
tr|A0A1D6B8G1|A0A1D6B8G1_WHEAT	TMhelix|GT-A	TMhelix(31-50)|Glyco_transf_17(25-372)
tr|A0A1D6DJ38|A0A1D6DJ38_WHEAT	TMhelix|GT-A	TMhelix(30-52)|Glyco_transf_17(34-380)
tr|A0A1D6DJZ7|A0A1D6DJZ7_WHEAT	TMhelix|GT-A	TMhelix(29-51)|Glyco_transf_17(35-377)
tr|A0A1E5VQ30|A0A1E5VQ30_9POAL	TMhelix|GT-A	TMhelix(39-61)|Glyco_transf_17(38-385)
tr|A0A1F8JL95|A0A1F8JL95_9BACT	TMhelix|GT-A	TMhelix(76-95)|Glyco_transf_17(100-214)
tr|A0A1G4ANJ2|A0A1G4ANJ2_9PEZI	TMhelix|GT-A	TMhelix(7-29)|Glyco_transf_17(75-364)
tr|A0A1G4BND2|A0A1G4BND2_9PEZI	TMhelix|GT-A	TMhelix(12-30)|Glyco_transf_17(85-348)
tr|A0A1J4JC67|A0A1J4JC67_9EUKA	TMhelix|GT-A	TMhelix(7-26)|Glyco_transf_17(39-274)
tr|A0A1J6IUA2|A0A1J6IUA2_NICAT	TMhelix|GT-A	TMhelix(40-62)|Glyco_transf_17(39-386)
tr|A0A1J6JYH3|A0A1J6JYH3_NICAT	TMhelix|GT-A	TMhelix(27-46)|Glyco_transf_17(42-371)
tr|A0A1J6K9C1|A0A1J6K9C1_NICAT	TMhelix|GT-A	TMhelix(54-73)|Glyco_transf_17(48-395)
tr|A0A1J6KPZ0|A0A1J6KPZ0_NICAT	TMhelix|GT-A	TMhelix(40-62)|Glyco_transf_17(39-386)
tr|A0A1J7GR50|A0A1J7GR50_LUPAN	TMhelix|GT-A	TMhelix(13-35)|Glyco_transf_17(9-356)
tr|A0A1J7I950|A0A1J7I950_LUPAN	TMhelix|GT-A	TMhelix(80-102)|Glyco_transf_17(76-423)
tr|A0A1J7JXF1|A0A1J7JXF1_9PEZI	TMhelix|GT-A	TMhelix(12-31)|Glyco_transf_17(6-351)
tr|A0A1J9QQ96|A0A1J9QQ96_9EURO	TMhelix|GT-A	TMhelix(7-29)|Glyco_transf_17(69-387)
tr|A0A1L7WMD9|A0A1L7WMD9_9HELO	TMhelix|GT-A	TMhelix(20-37)|Glyco_transf_17(82-377)
tr|A0A1L8GNR9|A0A1L8GNR9_XENLA	TMhelix|GT-A	TMhelix(53-70)|Glyco_transf_17(240-463)
tr|A0A1Q3B5J1|A0A1Q3B5J1_CEPFO	TMhelix|GT-A	TMhelix(44-66)|Glyco_transf_17(43-390)
tr|A0A1Q3CF39|A0A1Q3CF39_CEPFO	TMhelix|GT-A	TMhelix(45-64)|Glyco_transf_17(39-386)
tr|A0A1Q3D0G4|A0A1Q3D0G4_CEPFO	TMhelix|GT-A	TMhelix(12-34)|Glyco_transf_17(26-359)
tr|A0A1Q3DW30|A0A1Q3DW30_LENED	TMhelix|GT-A	TMhelix(7-24)|Glyco_transf_17(2-359)
tr|A0A1Q8RQK3|A0A1Q8RQK3_9PEZI	TMhelix|GT-A	TMhelix(12-34)|Glyco_transf_17(81-354)
tr|A0A1Q8S184|A0A1Q8S184_9PEZI	TMhelix|GT-A	TMhelix(5-27)|Glyco_transf_17(62-365)
tr|A0A1R3GI60|A0A1R3GI60_9ROSI	TMhelix|GT-A	TMhelix(20-42)|Glyco_transf_17(36-367)
tr|A0A1R3GMP5|A0A1R3GMP5_COCAP	TMhelix|GT-A	TMhelix(45-64)|Glyco_transf_17(39-386)
tr|A0A1R3GQ63|A0A1R3GQ63_COCAP	TMhelix|GT-A	TMhelix(43-65)|Glyco_transf_17(42-389)
tr|A0A1R3HG93|A0A1R3HG93_9ROSI	TMhelix|GT-A	TMhelix(45-64)|Glyco_transf_17(39-386)
tr|A0A1R3IF81|A0A1R3IF81_COCAP	TMhelix|GT-A	TMhelix(13-35)|Glyco_transf_17(32-360)
tr|A0A1R3KSN6|A0A1R3KSN6_9ROSI	TMhelix|GT-A	TMhelix(43-65)|Glyco_transf_17(42-389)
tr|A0A1S2Y648|A0A1S2Y648_CICAR	TMhelix|GT-A	TMhelix(42-64)|Glyco_transf_17(38-385)
tr|A0A1S2YCT7|A0A1S2YCT7_CICAR	TMhelix|GT-A	TMhelix(13-32)|Glyco_transf_17(9-355)
tr|A0A1S3BF80|A0A1S3BF80_CUCME	TMhelix|GT-A	TMhelix(49-68)|Glyco_transf_17(43-390)
tr|A0A1S3CA03|A0A1S3CA03_CUCME	TMhelix|GT-A	TMhelix(44-63)|Glyco_transf_17(38-385)
tr|A0A1S3EA76|A0A1S3EA76_CICAR	TMhelix|GT-A	TMhelix(48-67)|Glyco_transf_17(42-389)
tr|A0A1S3I3I7|A0A1S3I3I7_LINUN	TMhelix|GT-A	TMhelix(13-35)|Glyco_transf_17(153-385)
tr|A0A1S3KAI8|A0A1S3KAI8_LINUN	TMhelix|GT-A	TMhelix(31-53)|Glyco_transf_17(211-516)
tr|A0A1S3TGR1|A0A1S3TGR1_VIGRR	TMhelix|GT-A	TMhelix(36-58)|Glyco_transf_17(35-382)
tr|A0A1S3UVW9|A0A1S3UVW9_VIGRR	TMhelix|GT-A	TMhelix(44-66)|Glyco_transf_17(43-390)
tr|A0A1S3V0B1|A0A1S3V0B1_VIGRR	TMhelix|GT-A	TMhelix(42-64)|Glyco_transf_17(38-385)
tr|A0A1S3WXY9|A0A1S3WXY9_TOBAC	TMhelix|GT-A	TMhelix(49-71)|Glyco_transf_17(48-395)
tr|A0A1S3XW47|A0A1S3XW47_TOBAC	TMhelix|GT-A	TMhelix(40-62)|Glyco_transf_17(39-386)
tr|A0A1S3Y4Q4|A0A1S3Y4Q4_TOBAC	TMhelix|GT-A	TMhelix(38-60)|Glyco_transf_17(37-384)
tr|A0A1S3YSR0|A0A1S3YSR0_TOBAC	TMhelix|GT-A	TMhelix(17-36)|Glyco_transf_17(32-361)
tr|A0A1S4AJ55|A0A1S4AJ55_TOBAC	TMhelix|GT-A	TMhelix(40-62)|Glyco_transf_17(39-386)
tr|A0A1S4AM94|A0A1S4AM94_TOBAC	TMhelix|GT-A	TMhelix(54-73)|Glyco_transf_17(48-395)
tr|A0A1S4BK06|A0A1S4BK06_TOBAC	TMhelix|GT-A	TMhelix(54-73)|Glyco_transf_17(48-395)
tr|A0A1S4BS29|A0A1S4BS29_TOBAC	TMhelix|GT-A	TMhelix(49-71)|Glyco_transf_17(48-395)
tr|A0A1S4C765|A0A1S4C765_TOBAC	TMhelix|GT-A	TMhelix(39-58)|Glyco_transf_17(54-383)
tr|A0A1S4DVT1|A0A1S4DVT1_CUCME	TMhelix|GT-A	TMhelix(17-36)|Glyco_transf_17(11-360)
tr|A0A1U7WAU1|A0A1U7WAU1_NICSY	TMhelix|GT-A	TMhelix(54-73)|Glyco_transf_17(48-395)
tr|A0A1U7Y9X0|A0A1U7Y9X0_NICSY	TMhelix|GT-A	TMhelix(41-63)|Glyco_transf_17(40-387)
tr|A0A1U7YIM3|A0A1U7YIM3_NICSY	TMhelix|GT-A	TMhelix(40-62)|Glyco_transf_17(39-386)
tr|A0A1U7YKP4|A0A1U7YKP4_NICSY	TMhelix|GT-A	TMhelix(49-71)|Glyco_transf_17(48-395)
tr|A0A1U7YW33|A0A1U7YW33_NICSY	TMhelix|GT-A	TMhelix(27-46)|Glyco_transf_17(42-371)
tr|A0A1U7ZL99|A0A1U7ZL99_NELNU	TMhelix|GT-A	TMhelix(46-65)|Glyco_transf_17(40-387)
tr|A0A1U7ZS31|A0A1U7ZS31_NELNU	TMhelix|GT-A	TMhelix(45-64)|Glyco_transf_17(39-386)
tr|A0A1U7ZVU9|A0A1U7ZVU9_NELNU	TMhelix|GT-A	TMhelix(20-39)|Glyco_transf_17(14-363)
tr|A0A1U8EPS0|A0A1U8EPS0_CAPAN	TMhelix|GT-A	TMhelix(54-73)|Glyco_transf_17(48-395)
tr|A0A1U8FQY2|A0A1U8FQY2_CAPAN	TMhelix|GT-A	TMhelix(45-64)|Glyco_transf_17(39-386)
tr|A0A1U8GXI1|A0A1U8GXI1_CAPAN	TMhelix|GT-A	TMhelix(49-71)|Glyco_transf_17(48-395)
tr|A0A1U8H928|A0A1U8H928_CAPAN	TMhelix|GT-A	TMhelix(13-35)|Glyco_transf_17(32-361)
tr|A0A1U8I934|A0A1U8I934_GOSHI	TMhelix|GT-A	TMhelix(42-64)|Glyco_transf_17(38-385)
tr|A0A1U8IA15|A0A1U8IA15_GOSHI	TMhelix|GT-A	TMhelix(42-64)|Glyco_transf_17(38-385)
tr|A0A1U8ILM6|A0A1U8ILM6_GOSHI	TMhelix|GT-A	TMhelix(39-61)|Glyco_transf_17(38-385)
tr|A0A1U8J4W1|A0A1U8J4W1_GOSHI	TMhelix|GT-A	TMhelix(42-64)|Glyco_transf_17(41-388)
tr|A0A1U8KKC7|A0A1U8KKC7_GOSHI	TMhelix|GT-A	TMhelix(48-67)|Glyco_transf_17(42-389)
tr|A0A1U8L0N3|A0A1U8L0N3_GOSHI	TMhelix|GT-A	TMhelix(48-67)|Glyco_transf_17(42-389)
tr|A0A1U8LCB6|A0A1U8LCB6_GOSHI	TMhelix|GT-A	TMhelix(39-61)|Glyco_transf_17(39-384)
tr|A0A1U8LQH0|A0A1U8LQH0_GOSHI	TMhelix|GT-A	TMhelix(48-67)|Glyco_transf_17(42-389)
tr|A0A1U8NDT0|A0A1U8NDT0_GOSHI	TMhelix|GT-A	TMhelix(48-67)|Glyco_transf_17(42-389)
tr|A0A1U8PK82|A0A1U8PK82_GOSHI	TMhelix|GT-A	TMhelix(42-64)|Glyco_transf_17(41-388)
tr|A0A1V1SUN1|A0A1V1SUN1_9FUNG	TMhelix|GT-A	TMhelix(12-34)|Glyco_transf_17(57-351)
tr|A0A1V8SY83|A0A1V8SY83_9PEZI	TMhelix|GT-A	TMhelix(7-29)|Glyco_transf_17(75-333)
tr|A0A1W0WQF1|A0A1W0WQF1_HYPDU	TMhelix|GT-A	TMhelix(79-98)|Glyco_transf_17(78-447)
tr|A0A1Y1I281|A0A1Y1I281_KLENI	TMhelix|GT-A	TMhelix(76-98)|Glyco_transf_17(259-531)
tr|A0A1Y1UPH5|A0A1Y1UPH5_9TREE	TMhelix|GT-A	TMhelix(43-65)|Glyco_transf_17(40-403)
tr|A0A1Y1V870|A0A1Y1V870_9FUNG	TMhelix|GT-A	TMhelix(37-59)|Glyco_transf_17(232-371)
tr|A0A1Y1WS59|A0A1Y1WS59_9FUNG	TMhelix|GT-A	TMhelix(13-35)|Glyco_transf_17(363-506)
tr|A0A1Y1X6Q4|A0A1Y1X6Q4_9FUNG	TMhelix|GT-A	TMhelix(36-58)|Glyco_transf_17(244-379)
tr|A0A1Y1XII5|A0A1Y1XII5_9FUNG	TMhelix|GT-A	TMhelix(31-48)|Glyco_transf_17(230-366)
tr|A0A1Y2AER0|A0A1Y2AER0_9FUNG	TMhelix|GT-A	TMhelix(25-44)|Glyco_transf_17(239-375)
tr|A0A1Y2BHM3|A0A1Y2BHM3_9TREE	TMhelix|GT-A	TMhelix(37-56)|Glyco_transf_17(58-396)
tr|A0A1Y2D250|A0A1Y2D250_9FUNG	TMhelix|GT-A	TMhelix(32-49)|Glyco_transf_17(223-359)
tr|A0A1Y2DEE4|A0A1Y2DEE4_9FUNG	TMhelix|GT-A	TMhelix(36-55)|Glyco_transf_17(230-372)
tr|A0A1Y2EGG3|A0A1Y2EGG3_9FUNG	TMhelix|GT-A	TMhelix(35-57)|Glyco_transf_17(229-365)
tr|A0A1Y2EMR7|A0A1Y2EMR7_9BASI	TMhelix|GT-A	TMhelix(12-30)|Glyco_transf_17(30-378)
