tr|A0A1Q9EN20|A0A1Q9EN20_SYMMI	TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|MFS|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|Peptidase_C14|NK|GT-A	TMhelix(100-122)|TMhelix(132-154)|TMhelix(167-184)|TMhelix(219-241)|TMhelix(262-284)|MFS(104-477)|TMhelix(294-316)|TMhelix(342-364)|TMhelix(379-397)|TMhelix(410-432)|TMhelix(519-541)|TMhelix(562-584)|Peptidase_C14(1287-1373)|NK(1476-1685)|Glyco_transf_25(1723-1778)
tr|A0A182U414|A0A182U414_9DIPT	TMhelix|GT-A|GT-A	TMhelix(12-34)|Glyco_tranf_GTA_type(49-163)|Glyco_transf_25(343-524)
tr|A0A182UMS5|A0A182UMS5_ANOME	TMhelix|GT-A|GT-A	TMhelix(12-34)|Glyco_tranf_GTA_type(49-163)|Glyco_transf_25(343-524)
tr|A0A182WR15|A0A182WR15_9DIPT	TMhelix|GT-A|GT-A	TMhelix(12-34)|Glyco_tranf_GTA_type(46-160)|Glyco_transf_25(340-521)
tr|A0A195CTS2|A0A195CTS2_9HYME	TMhelix|GT-A|GT-A	TMhelix(7-29)|Glyco_tranf_GTA_type(45-86)|Glyco_transf_25(330-511)
tr|A0A284R3B1|A0A284R3B1_9AGAR	TMhelix|GT-A|GT-A	TMhelix(35-52)|Glyco_transf_25(79-252)|Glyco_transf_25(198-271)
tr|A0A2C9GQV1|A0A2C9GQV1_ANOAR	TMhelix|GT-A|GT-A	TMhelix(12-34)|Glyco_tranf_GTA_type(49-163)|Glyco_transf_25(343-524)
tr|A0A2H3BM41|A0A2H3BM41_9AGAR	TMhelix|GT-A|GT-A	TMhelix(35-52)|Glyco_transf_25(79-252)|Glyco_transf_25(198-337)
tr|A0A2H3D1X9|A0A2H3D1X9_ARMGA	TMhelix|GT-A|GT-A	TMhelix(34-51)|Glyco_transf_25(78-341)|Glyco_transf_25(201-323)
tr|A0A2P6TV65|A0A2P6TV65_CHLSO	TMhelix|GT-A|GT-A	TMhelix(78-100)|Glyco_tranf_GTA_type(180-266)|Glyco_transf_25(369-551)
tr|A8N0N9|A8N0N9_COPC7	TMhelix|GT-A|GT-A	TMhelix(243-262)|Glyco_transf_25(300-332)|Glyco_transf_25(451-632)
tr|E9F6Q3|E9F6Q3_METRA	TMhelix|GT-A|GT-A	TMhelix(24-46)|Glyco_transf_25(96-185)|Glyco_transf_25(151-340)
tr|G4LX64|G4LX64_SCHMA	TMhelix|GT-A|GT-A	TMhelix(36-58)|Glyco_tranf_GTA_type(125-186)|Glyco_transf_25(444-544)
tr|H3BB25|H3BB25_LATCH	TMhelix|GT-A|GT-A	TMhelix(20-38)|HpnB(21-190)|Glyco_transf_25(341-523)
tr|L1IDX6|L1IDX6_GUITH	TMhelix|GT-A|GT-A	TMhelix(20-42)|Glyco_transf_25(418-524)|Glyco_tranf_GTA_type(737-854)
tr|T1EFE2|T1EFE2_HELRO	TMhelix|GT-A|GT-A	TMhelix(26-48)|Glyco_tranf_GTA_type(73-186)|Glyco_transf_25(356-539)
sp|Q57125|Y765_HAEIN	TMhelix|GT-A	TMhelix(7-29)|COG3306(30-273)
tr|A0A061JG75|A0A061JG75_9PROT	TMhelix|GT-A	TMhelix(9-31)|Glyco_transf_25(53-229)
tr|A0A061JH27|A0A061JH27_9PROT	TMhelix|GT-A	TMhelix(19-41)|Glyco_transf_25(68-247)
tr|A0A066VAV7|A0A066VAV7_9HOMO	TMhelix|GT-A	TMhelix(7-29)|COG3306(87-250)
tr|A0A146EX94|A0A146EX94_9EURO	TMhelix|GT-A	TMhelix(25-47)|Glyco_transf_25(76-167)
tr|A0A151GW95|A0A151GW95_9HYPO	TMhelix|GT-A	TMhelix(32-51)|Glyco_transf_25(148-233)
tr|A0A151VQ36|A0A151VQ36_HYPMA	TMhelix|GT-A	TMhelix(7-29)|Glyco_transf_25(62-314)
tr|A0A178ZSD9|A0A178ZSD9_9EURO	TMhelix|GT-A	TMhelix(9-28)|Glyco_transf_25(90-175)
tr|A0A182KSX8|A0A182KSX8_9DIPT	TMhelix|GT-A	TMhelix(12-34)|Glyco_transf_25(256-437)
tr|A0A1C1D1H6|A0A1C1D1H6_9EURO	TMhelix|GT-A	TMhelix(13-30)|Glyco_transf_25(70-157)
tr|A0A1E3PZD6|A0A1E3PZD6_LIPST	TMhelix|GT-A	TMhelix(7-29)|Glyco_transf_25(87-178)
tr|A0A1E3PZZ6|A0A1E3PZZ6_LIPST	TMhelix|GT-A	TMhelix(13-35)|Glyco_transf_25(78-167)
tr|A0A1F5L488|A0A1F5L488_9EURO	TMhelix|GT-A	TMhelix(12-34)|Glyco_transf_25(67-157)
tr|A0A1L9MSV4|A0A1L9MSV4_ASPTU	TMhelix|GT-A	TMhelix(25-47)|Glyco_transf_25(76-167)
tr|A0A1R3RFW5|A0A1R3RFW5_ASPC5	TMhelix|GT-A	TMhelix(25-47)|Glyco_transf_25(78-168)
tr|A0A1V6Q5W1|A0A1V6Q5W1_9EURO	TMhelix|GT-A	TMhelix(12-34)|Glyco_transf_25(67-157)
tr|A0A1V6Q7H6|A0A1V6Q7H6_9EURO	TMhelix|GT-A	TMhelix(12-30)|Glyco_transf_25(67-157)
tr|A0A1Y1HN16|A0A1Y1HN16_KLENI	TMhelix|GT-A	TMhelix(70-92)|Glyco_transf_25(139-236)
tr|A0A2J7ZM04|A0A2J7ZM04_9CHLO	TMhelix|GT-A	TMhelix(12-29)|Glyco_transf_25(47-231)
tr|A0A2J8AJ84|A0A2J8AJ84_9CHLO	TMhelix|GT-A	TMhelix(9-28)|Glyco_transf_25(44-228)
tr|A0A2N3N7Q3|A0A2N3N7Q3_9PEZI	TMhelix|GT-A	TMhelix(12-34)|Glyco_transf_25(79-172)
tr|A0A2N5SR61|A0A2N5SR61_9BASI	TMhelix|GT-A	TMhelix(15-32)|COG3306(80-290)
tr|A0A2N5T0J4|A0A2N5T0J4_9BASI	TMhelix|GT-A	TMhelix(15-32)|COG3306(80-290)
tr|A0A2N5T7E2|A0A2N5T7E2_9BASI	TMhelix|GT-A	TMhelix(13-35)|Glyco_transf_25(98-366)
tr|A0A2P1PA45|A0A2P1PA45_9RICK	TMhelix|GT-A	TMhelix(4-26)|Glyco_transf_25(60-263)
tr|A0A2S5R892|A0A2S5R892_9PROT	TMhelix|GT-A	TMhelix(19-41)|Glyco_transf_25(72-250)
tr|A2QMD8|A2QMD8_ASPNC	TMhelix|GT-A	TMhelix(21-43)|Glyco_transf_25(81-254)
tr|A2R0U7|A2R0U7_ASPNC	TMhelix|GT-A	TMhelix(25-47)|Glyco_transf_25(76-167)
tr|B6H9Q4|B6H9Q4_PENRW	TMhelix|GT-A	TMhelix(12-31)|Glyco_transf_25(69-159)
tr|E1C3H1|E1C3H1_CHICK	TMhelix|GT-A	TMhelix(13-35)|Glyco_transf_25(328-510)
tr|E3K305|E3K305_PUCGT	TMhelix|GT-A	TMhelix(20-39)|Glyco_transf_25(102-370)
tr|E3QBY5|E3QBY5_COLGM	TMhelix|GT-A	TMhelix(61-80)|Glyco_transf_25(106-196)
tr|F4REU7|F4REU7_MELLP	TMhelix|GT-A	TMhelix(16-38)|Glyco_transf_25(96-190)
tr|G3J7X4|G3J7X4_CORMM	TMhelix|GT-A	TMhelix(21-43)|Glyco_transf_25(93-270)
tr|G4NF41|G4NF41_MAGO7	TMhelix|GT-A	TMhelix(20-39)|Glyco_transf_25(88-178)
tr|G7XLJ5|G7XLJ5_ASPKW	TMhelix|GT-A	TMhelix(25-47)|Glyco_transf_25(76-167)
tr|H6BLV7|H6BLV7_EXODN	TMhelix|GT-A	TMhelix(9-28)|Glyco_transf_25(90-175)
tr|J4KM43|J4KM43_BEAB2	TMhelix|GT-A	TMhelix(16-38)|Glyco_transf_25(79-168)
tr|L2GEM1|L2GEM1_COLGN	TMhelix|GT-A	TMhelix(61-78)|Glyco_transf_25(103-197)
tr|L8WUL1|L8WUL1_THACA	TMhelix|GT-A	TMhelix(7-29)|Glyco_transf_25(100-356)
tr|N4VG20|N4VG20_COLOR	TMhelix|GT-A	TMhelix(32-54)|Glyco_transf_25(75-167)
tr|Q1RJ79|Q1RJ79_RICBR	TMhelix|GT-A	TMhelix(12-34)|Glyco_transf_25(53-255)
tr|R1FAK4|R1FAK4_EMIHU	TMhelix|GT-A	TMhelix(7-29)|Glyco_transf_25(75-149)
tr|W5K1C6|W5K1C6_ASTMX	TMhelix|GT-A	TMhelix(95-114)|Glyco_transf_25(335-518)
tr|W5LBE3|W5LBE3_ASTMX	TMhelix|GT-A	TMhelix(143-165)|Glyco_transf_25(255-438)
tr|W6TE85|W6TE85_HOLOB	TMhelix|GT-A	TMhelix(9-31)|Glyco_transf_25(53-228)
tr|W9W5J2|W9W5J2_9EURO	TMhelix|GT-A	TMhelix(13-30)|Glyco_transf_25(70-159)
tr|W9XP56|W9XP56_9EURO	TMhelix|GT-A	TMhelix(5-27)|Glyco_transf_25(80-165)
tr|T0LLX7|T0LLX7_COLGC	TMhelix|DUF2070|GT-A	TMhelix(61-78)|DUF2070(37-127)|Glyco_transf_25(103-197)
tr|F0XX44|F0XX44_AURAN	Spy|GT-A|DUF711|DSP|TMhelix|TMhelix|TMhelix|TMhelix|LtrA|TMhelix|TMhelix|TMhelix|TMhelix	Spy(35-349)|Glyco_transf_25(374-553)|DUF711(634-1020)|DSP(1313-1440)|TMhelix(1838-1860)|TMhelix(1873-1895)|TMhelix(1910-1929)|TMhelix(1949-1968)|LtrA(1818-2121)|TMhelix(2085-2102)|TMhelix(2137-2159)|TMhelix(2195-2217)|TMhelix(2227-2244)
tr|A0A1Q9D0U2|A0A1Q9D0U2_SYMMI	SET|GT-A	SET(154-270)|Glyco_transf_25(637-830)
tr|L9L3U5|L9L3U5_TUPCH	Ribosomal_L23|Ribosomal_L23|GT-A	Ribosomal_L23(85-117)|Ribosomal_L23(202-234)|Glyco_transf_25(488-673)
tr|A0A1G6E9Y7|A0A1G6E9Y7_9RHIZ	MT|GT-A	Methyltransf_23(14-124)|Glyco_transf_25(487-632)
tr|R1BJV6|R1BJV6_EMIHU	GT|GT-A	O-FucT_like(159-275)|Glyco_transf_25(318-431)
tr|R1E4W4|R1E4W4_EMIHU	GT|GT-A	O-FucT_like(159-275)|Glyco_transf_25(318-431)
tr|X6EKX7|X6EKX7_9RHIZ	GT-B|GT-A	Glycosyltransferase_GTB-type(196-480)|COG3306(524-765)
tr|A0A1C2DJE5|A0A1C2DJE5_9RHIZ	GT-A|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|Ligase|TMhelix|TMhelix|TMhelix	COG3306(1-194)|TMhelix(267-284)|TMhelix(289-306)|TMhelix(319-341)|TMhelix(351-369)|TMhelix(376-395)|TMhelix(410-432)|TMhelix(445-464)|TMhelix(469-486)|TMhelix(493-515)|RfaL(536-679)|TMhelix(604-623)|TMhelix(635-657)|TMhelix(661-683)
tr|E8T7Y2|E8T7Y2_MESCW	GT-A|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|Ligase|TMhelix|TMhelix|TMhelix|TMhelix	COG3306(1-191)|TMhelix(267-284)|TMhelix(289-306)|TMhelix(319-341)|TMhelix(351-370)|TMhelix(377-399)|TMhelix(414-433)|TMhelix(445-464)|TMhelix(469-486)|RfaL(290-679)|TMhelix(493-515)|TMhelix(600-622)|TMhelix(635-657)|TMhelix(661-683)
tr|Q2YMX2|Q2YMX2_BRUA2	GT-A|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|Ligase|TMhelix|TMhelix|TMhelix	COG3306(1-240)|TMhelix(267-289)|TMhelix(321-343)|TMhelix(358-375)|TMhelix(380-402)|TMhelix(417-436)|TMhelix(449-471)|TMhelix(475-492)|TMhelix(499-521)|Wzy_C(457-623)|TMhelix(611-633)|TMhelix(640-662)|TMhelix(672-691)
tr|A0A1Q9E8X1|A0A1Q9E8X1_SYMMI	GT-A|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix	Glyco_transf_25(419-541)|TMhelix(1223-1245)|TMhelix(1481-1503)|TMhelix(1555-1577)|TMhelix(1581-1603)|TMhelix(1655-1677)|TMhelix(1681-1703)|TMhelix(1755-1777)|TMhelix(1781-1803)
tr|A0A1Q9EY49|A0A1Q9EY49_SYMMI	GT-A|TMhelix|TMhelix|MATE_like|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix	Glyco_transf_25(116-236)|TMhelix(669-691)|TMhelix(698-720)|MATE_like(516-952)|TMhelix(758-780)|TMhelix(787-809)|TMhelix(819-841)|TMhelix(893-915)|TMhelix(919-941)|TMhelix(1009-1031)|TMhelix(1178-1200)
tr|A0A091FF35|A0A091FF35_9DELT	GT-A|TMhelix	Glyco_transf_25(20-95)|TMhelix(226-245)
tr|A0A1E5E616|A0A1E5E616_9VIBR	GT-A|TMhelix	Glyco_transf_25(2-175)|TMhelix(219-238)
tr|A0A1H7YGJ0|A0A1H7YGJ0_9DELT	GT-A|TMhelix	Glyco_transf_25(22-97)|TMhelix(226-245)
tr|A0A2H6JSH2|A0A2H6JSH2_9BACT	GT-A|TMhelix	Glyco_transf_25(28-101)|TMhelix(232-250)
tr|A0A2M6WKK3|A0A2M6WKK3_9BACT	GT-A|TMhelix	Glyco_transf_25(3-99)|TMhelix(149-171)
tr|D8EYS1|D8EYS1_9DELT	GT-A|TMhelix	Glyco_transf_25(8-83)|TMhelix(209-231)
tr|I5B1G1|I5B1G1_9DELT	GT-A|TMhelix	Glyco_transf_25(16-164)|TMhelix(214-236)
tr|L0EXB5|L0EXB5_LIBCB	GT-A|TMhelix	Glyco_transf_25(5-180)|TMhelix(234-251)
tr|L1IUU5|L1IUU5_GUITH	GT-A|TMhelix	Glyco_transf_25(60-225)|TMhelix(275-297)
tr|L9KH25|L9KH25_TUPCH	GT-A|Smc	Glyco_transf_25(300-531)|Smc(742-1431)
tr|A0A2A3C8C9|A0A2A3C8C9_9RHIZ	GT-A|Protein_Binding|GT-A|GT-A	Glyco_tranf_GTA_type(3-161)|TPR(180-329)|Glyco_tranf_GTA_type(390-465)|COG3306(688-918)
tr|A0A1A9FIL8|A0A1A9FIL8_9RHIZ	GT-A|Pox_P35	Glyco_transf_25(6-181)|Pox_P35(87-173)
tr|A0A1B3PPR5|A0A1B3PPR5_9BURK	GT-A|Pox_P35	Glyco_transf_25(8-180)|Pox_P35(73-167)
tr|A0A1G6VKA3|A0A1G6VKA3_9GAMM	GT-A|Pox_P35	Glyco_transf_25(25-205)|Pox_P35(94-190)
tr|A0A1G6VLT3|A0A1G6VLT3_9GAMM	GT-A|Pox_P35	Glyco_transf_25(5-185)|Pox_P35(74-170)
tr|A0A1H4JBX2|A0A1H4JBX2_9RHOB	GT-A|Pox_P35	Glyco_transf_25(12-183)|Pox_P35(81-170)
tr|A0A1I7IM64|A0A1I7IM64_9BURK	GT-A|Pox_P35	Glyco_transf_25(7-180)|Pox_P35(72-168)
tr|A0A261BVB0|A0A261BVB0_9PELO	GT-A|PKc_like	Glyco_transf_25(289-471)|PKc_like(546-816)
tr|A0A2A2K5V2|A0A2A2K5V2_9BILA	GT-A|PKc_like	Glyco_transf_25(449-630)|PKc_like(662-758)
tr|F0YJD9|F0YJD9_AURAN	GT-A|PHA03307	Glyco_transf_25(138-321)|PHA03307(505-846)
tr|F0XXL6|F0XXL6_AURAN	GT-A|PHA03247	COG3306(290-520)|PHA03247(646-896)
tr|A0A2A9F3E3|A0A2A9F3E3_9VIBR	GT-A|NBD_sugar-kinase_HSP70_actin	Glyco_transf_25(2-181)|NBD_sugar-kinase_HSP70_actin(85-244)
tr|A0A2E3C0A3|A0A2E3C0A3_9PROT	GT-A|MT	Glyco_transf_25(8-120)|AdoMet_MTases(516-656)
tr|A0A1B8ZCV2|A0A1B8ZCV2_9FLAO	GT-A|LicD	Glyco_transf_25(35-168)|LicD(220-363)
tr|A0A1K1LV80|A0A1K1LV80_9BACT	GT-A|LicD	Glyco_transf_25(66-173)|LicD(260-343)
tr|A0A024H1V9|A0A024H1V9_9MICC	GT-A|LamG	Glyco_transf_25(44-249)|LamG(513-695)
tr|A0A0A1YME1|A0A0A1YME1_9PSED	GT-A|LamG	Glyco_transf_25(45-252)|LamG(499-689)
tr|A0A0G1U230|A0A0G1U230_9BACT	GT-A|LamG	Glyco_transf_25(44-251)|LamG(516-677)
tr|A0A0Q4QIE5|A0A0Q4QIE5_9SPHN	GT-A|LamG	Glyco_transf_25(43-246)|LamG(520-673)
tr|A0A0Q6B374|A0A0Q6B374_9FLAO	GT-A|LamG	Glyco_transf_25(46-251)|LamG(504-684)
tr|A0A101WE90|A0A101WE90_9FIRM	GT-A|LamG	Glyco_transf_25(46-253)|LamG(501-688)
tr|A0A127VCF8|A0A127VCF8_9SPHI	GT-A|LamG	Glyco_transf_25(47-253)|LamG(536-718)
tr|A0A1C5IJS6|A0A1C5IJS6_9ACTN	GT-A|LamG	Glyco_transf_25(45-247)|LamG(521-700)
tr|A0A1W9J2Q4|A0A1W9J2Q4_9BACT	GT-A|LamG	Glyco_transf_25(46-253)|LamG(500-689)
tr|A0A285QD53|A0A285QD53_9ALTE	GT-A|LamG	Glyco_transf_25(48-251)|LamG(497-688)
tr|A0A2N2A8Y2|A0A2N2A8Y2_9FIRM	GT-A|LamG	Glyco_transf_25(46-253)|LamG(501-688)
tr|A0A2N2LMG0|A0A2N2LMG0_9CHLR	GT-A|LamG	Glyco_transf_25(43-247)|LamG(525-701)
tr|A0A2R7YV67|A0A2R7YV67_9ACTN	GT-A|LamG	Glyco_transf_25(43-247)|LamG(535-725)
tr|I4EYQ3|I4EYQ3_9ACTN	GT-A|LamG	Glyco_transf_25(44-249)|LamG(526-674)
tr|A0A1L9WHY7|A0A1L9WHY7_ASPAC	GT-A|homoserO_Ac_trn	Glyco_transf_25(63-148)|homoserO_Ac_trn(164-280)
tr|A3K0L7|A3K0L7_9RHOB	GT-A|HATPase	Glyco_transf_25(3-182)|HATPase(174-201)
tr|A0A1X1DA71|A0A1X1DA71_9GAMM	GT-A|GT-B	Glyco_transf_25(11-87)|Glycosyltransferase_GTB-type(409-534)
tr|A0A1I8I631|A0A1I8I631_9PLAT	GT-A|GT-A|TMhelix|TMhelix|Ion_trans_2|TMhelix|TMhelix	Glyco_tranf_GTA_type(45-93)|Glyco_transf_25(408-588)|TMhelix(804-826)|TMhelix(838-860)|Ion_trans_2(843-894)|TMhelix(880-902)|TMhelix(1072-1089)
tr|M1PAA3|M1PAA3_DESSD	GT-A|GT-A|TMhelix	Glyco_transf_25(13-86)|Glyco_transf_25(54-218)|TMhelix(218-237)
tr|A0A1I8HRQ5|A0A1I8HRQ5_9PLAT	GT-A|GT-A|Macoilin	Glyco_tranf_GTA_type(49-200)|Glyco_transf_25(359-541)|Macoilin(635-776)
tr|M3ZHH7|M3ZHH7_XIPMA	GT-A|GT-A|GT-A|GT-A	Glyco_tranf_GTA_type(76-123)|HpnB(65-204)|WcaA(74-370)|Glyco_transf_25(362-546)
sp|A5PMF6|GT251_DANRE	GT-A|GT-A|GT-A	Glyco_tranf_GTA_type(38-93)|BcsA(17-215)|Glyco_transf_25(322-507)
tr|A0A067QH86|A0A067QH86_ZOONE	GT-A|GT-A|GT-A	Glyco_tranf_GTA_type(31-78)|HpnB(30-161)|Glyco_transf_25(324-505)
tr|A0A0V1MVJ1|A0A0V1MVJ1_9BILA	GT-A|GT-A|GT-A	Glyco_tranf_GTA_type(37-84)|HpnB(14-165)|Glyco_transf_25(351-514)
tr|A0A1Z9FNP2|A0A1Z9FNP2_9RICK	GT-A|GT-A|GT-A	Glycos_transf_2(58-222)|Glyco_transf_25(444-529)|Glyco_transf_25(498-562)
tr|A0A232FB65|A0A232FB65_9HYME	GT-A|GT-A|GT-A	Glyco_tranf_GTA_type(30-95)|BcsA(13-223)|Glyco_transf_25(320-501)
tr|A0A2I4CN58|A0A2I4CN58_9TELE	GT-A|GT-A|GT-A	Glyco_tranf_GTA_type(47-161)|BcsA(23-278)|Glyco_transf_25(326-511)
tr|A0A2K6TZ67|A0A2K6TZ67_SAIBB	GT-A|GT-A|GT-A	Glyco_tranf_GTA_type(37-81)|HpnB(20-170)|Glyco_transf_25(321-503)
tr|E2RST9|E2RST9_CANLF	GT-A|GT-A|GT-A	Glyco_tranf_GTA_type(37-81)|HpnB(21-170)|Glyco_transf_25(321-503)
tr|G1MAF1|G1MAF1_AILME	GT-A|GT-A|GT-A	Glyco_tranf_GTA_type(41-90)|HpnB(18-174)|Glyco_transf_25(325-507)
tr|G3PZE4|G3PZE4_GASAC	GT-A|GT-A|GT-A	Glyco_tranf_GTA_type(35-80)|HpnB(31-156)|Glyco_transf_25(363-506)
tr|H2T9Q8|H2T9Q8_TAKRU	GT-A|GT-A|GT-A	Glyco_tranf_GTA_type(49-106)|HpnB(39-193)|Glyco_transf_25(337-519)
tr|I3J7T0|I3J7T0_ORENI	GT-A|GT-A|GT-A	Glyco_tranf_GTA_type(35-82)|HpnB(25-163)|Glyco_transf_25(321-505)
tr|K7IN78|K7IN78_NASVI	GT-A|GT-A|GT-A	Glyco_tranf_GTA_type(33-98)|BcsA(16-226)|Glyco_transf_25(323-504)
tr|A0A0M4EDX1|A0A0M4EDX1_DROBS	GT-A|GT-A|COG5098	Glyco_tranf_GTA_type(35-157)|Glyco_transf_25(331-510)|COG5098(1188-1317)
sp|A3KGW5|GT253_MOUSE	GT-A|GT-A	Glyco_tranf_GTA_type(34-157)|Glyco_transf_25(318-500)
sp|A5PK45|GT251_BOVIN	GT-A|GT-A	Glyco_tranf_GTA_type(62-176)|Glyco_transf_25(341-526)
sp|A7MB73|GT253_BOVIN	GT-A|GT-A	Glyco_tranf_GTA_type(40-160)|Glyco_transf_25(321-503)
sp|Q17FB8|GLT25_AEDAE	GT-A|GT-A	Glyco_tranf_GTA_type(31-80)|Glyco_transf_25(324-505)
sp|Q29NU5|GLT25_DROPS	GT-A|GT-A	Glyco_tranf_GTA_type(38-167)|Glyco_transf_25(343-524)
sp|Q5T4B2|GT253_HUMAN	GT-A|GT-A	Glyco_tranf_GTA_type(37-81)|Glyco_transf_25(321-503)
sp|Q6NVG7|GT252_MOUSE	GT-A|GT-A	Glyco_tranf_2_4(61-174)|Glyco_transf_25(340-525)
sp|Q7Q021|GLT25_ANOGA	GT-A|GT-A	Glyco_tranf_GTA_type(26-140)|Glyco_transf_25(320-501)
sp|Q8IPK4|GLT25_DROME	GT-A|GT-A	Glyco_tranf_GTA_type(32-146)|Glyco_transf_25(334-515)
sp|Q8IYK4|GT252_HUMAN	GT-A|GT-A	Glyco_tranf_2_4(62-175)|Glyco_transf_25(341-526)
sp|Q8K297|GT251_MOUSE	GT-A|GT-A	Glyco_tranf_GTA_type(56-170)|Glyco_transf_25(335-520)
sp|Q8NBJ5|GT251_HUMAN	GT-A|GT-A	Glyco_tranf_GTA_type(61-175)|Glyco_transf_25(340-525)
tr|A0A060QHP0|A0A060QHP0_9PROT	GT-A|GT-A	Glyco_transf_25(5-189)|Glyco_transf_25(59-183)
tr|A0A068XHW1|A0A068XHW1_HYMMI	GT-A|GT-A	Glyco_tranf_GTA_type(39-153)|Glyco_transf_25(351-532)
tr|A0A088A3M0|A0A088A3M0_APIME	GT-A|GT-A	Glyco_tranf_GTA_type(4-157)|Glyco_transf_25(313-494)
tr|A0A0H5S1M7|A0A0H5S1M7_BRUMA	GT-A|GT-A	Glyco_tranf_GTA_type(36-171)|Glyco_transf_25(291-472)
tr|A0A0L0VN82|A0A0L0VN82_9BASI	GT-A|GT-A	Glyco_transf_25(76-110)|Glyco_transf_25(234-399)
tr|A0A0N7KBD1|A0A0N7KBD1_9GAMM	GT-A|GT-A	Glyco_transf_25(13-110)|COG3306(70-253)
tr|A0A0P8XF53|A0A0P8XF53_DROAN	GT-A|GT-A	Glyco_tranf_GTA_type(32-152)|Glyco_transf_25(334-515)
tr|A0A0Q9WM86|A0A0Q9WM86_DROVI	GT-A|GT-A	Glyco_tranf_GTA_type(34-142)|Glyco_transf_25(332-511)
tr|A0A0Q9WQB2|A0A0Q9WQB2_DROWI	GT-A|GT-A	Glyco_tranf_GTA_type(42-164)|Glyco_transf_25(340-521)
tr|A0A0Q9X5Y8|A0A0Q9X5Y8_DROMO	GT-A|GT-A	Glyco_tranf_GTA_type(34-142)|Glyco_transf_25(330-509)
tr|A0A0V0X5B0|A0A0V0X5B0_9BILA	GT-A|GT-A	Glyco_tranf_GTA_type(26-155)|Glyco_transf_25(340-503)
