tr|H5UNQ6|H5UNQ6_9MICO	YjiC|GT-A|GT-A	YjiC(1-119)|Glyco_tranf_GTA_type(347-478)|Glyco_tranf_GTA_type(509-553)
tr|A0A124F5B8|A0A124F5B8_9FLAO	TMhelix|GT-A	TMhelix(187-209)|Glyco_tranf_GTA_type(243-415)
tr|A0A1B9DH57|A0A1B9DH57_9FLAO	TMhelix|GT-A	TMhelix(187-209)|Glyco_tranf_GTA_type(242-418)
tr|A0A1E5TBY5|A0A1E5TBY5_9FLAO	TMhelix|GT-A	TMhelix(188-210)|Glyco_tranf_GTA_type(244-420)
tr|A0A1I1P795|A0A1I1P795_9FLAO	TMhelix|GT-A	TMhelix(185-207)|Glyco_tranf_GTA_type(238-414)
tr|A0A1K2IKI1|A0A1K2IKI1_9FLAO	TMhelix|GT-A	TMhelix(188-210)|Glyco_tranf_GTA_type(241-417)
tr|A0A1L3JHW0|A0A1L3JHW0_9FLAO	TMhelix|GT-A	TMhelix(189-211)|Glyco_tranf_GTA_type(246-416)
tr|A0A1M5GS82|A0A1M5GS82_9FLAO	TMhelix|GT-A	TMhelix(185-207)|Glyco_tranf_GTA_type(240-411)
tr|A0A1M5LLG7|A0A1M5LLG7_9FLAO	TMhelix|GT-A	TMhelix(192-214)|Glyco_tranf_GTA_type(246-423)
tr|A0A1V3QMA1|A0A1V3QMA1_9FLAO	TMhelix|GT-A	TMhelix(187-209)|Glyco_tranf_GTA_type(242-413)
tr|A0A226HD96|A0A226HD96_9FLAO	TMhelix|GT-A	TMhelix(187-209)|Glyco_tranf_GTA_type(243-415)
tr|A0A243SJP0|A0A243SJP0_9FLAO	TMhelix|GT-A	TMhelix(187-209)|Glyco_tranf_GTA_type(243-419)
tr|A0A2G5GCI3|A0A2G5GCI3_9FLAO	TMhelix|GT-A	TMhelix(188-207)|Glyco_tranf_GTA_type(244-420)
tr|A0A2G5KKW0|A0A2G5KKW0_9FLAO	TMhelix|GT-A	TMhelix(188-210)|Glyco_tranf_GTA_type(244-420)
tr|A0A2U3QJG9|A0A2U3QJG9_9BACT	TMhelix|GT-A	TMhelix(13-35)|GT2_Chondriotin_Pol_N(48-271)
tr|H3AIL6|H3AIL6_LATCH	TMhelix|GT-A	TMhelix(13-32)|Glyco_tranf_GTA_type(66-506)
tr|J2K0D3|J2K0D3_FLASC	TMhelix|GT-A	TMhelix(186-208)|Glyco_tranf_GTA_type(241-417)
tr|G1SNN0|G1SNN0_RABIT	TMhelix|bacteriocin_acc|GT-A	TMhelix(13-32)|bacteriocin_acc(50-135)|Glyco_tranf_GTA_type(122-515)
tr|Q2SJW5|Q2SJW5_HAHCH	Smc|GT-A|GT-B	Smc(92-264)|Glycos_transf_2(387-556)|GT4_PimA-like(1037-1402)
tr|A0A0S9Q5S6|A0A0S9Q5S6_9ACTN	PTZ00266|GT-A	PTZ00266(55-137)|Glyco_tranf_GTA_type(140-343)
tr|A0A1M5GME4|A0A1M5GME4_9BACT	Protein_Binding|Spy|MT|GT-A|GT-B	TPR(12-288)|Spy(327-688)|AdoMet_MTases(837-969)|Glyco_tranf_GTA_type(1408-1596)|Glyco_trans_1_2(1969-2049)
tr|A0A0S1XZN7|A0A0S1XZN7_9BORD	Protein_Binding|Spy|GT-A|GT-A|GT-A	TPR(26-137)|Spy(94-617)|Glyco_tranf_GTA_type(1053-1166)|mycofact_glyco(1011-1258)|Glycos_transf_2(1315-1480)
tr|A0A1D2I6R5|A0A1D2I6R5_9ACTN	PRK11860|GT-A	PRK11860(1-127)|Glyco_tranf_GTA_type(181-393)
tr|W2CLA2|W2CLA2_9BACT	PKc_like|GT-A	PKc_like(66-177)|GT2_Chondriotin_Pol_N(259-488)
tr|A0A223KW48|A0A223KW48_9BACI	NK|GT-A|GT-A	NK(3-206)|Glycos_transf_2(217-349)|WcaA(217-512)
tr|K6W7Q9|K6W7Q9_9MICO	MurG|GT-A|GT-A	MurG(249-318)|Glyco_tranf_GTA_type(357-473)|GT2(355-632)
tr|A0A1J5F415|A0A1J5F415_9BACT	MT|GT-A|MT|MT|GT-B|GT-A|GT-A|PEP_TPR_lipo	AdoMet_MTases(309-393)|Glyco_tranf_GTA_type(520-679)|Methyltransf_24(874-990)|Methyltransf_23(1368-1528)|GT9_LPS_heptosyltransferase(1593-1928)|Glyco_tranf_GTA_type(2190-2356)|Glyco_tranf_GTA_type(2451-2654)|PEP_TPR_lipo(2754-3126)
tr|A0A166VJG0|A0A166VJG0_9CYAN	MT|GT-A	Methyltransf_12(33-124)|Glyco_tranf_GTA_type(251-417)
tr|A0A1Q3S144|A0A1Q3S144_9FLAO	GT|GT-A	Glyco_tranf_2_3(3-213)|Glyco_transf_7C(133-203)
tr|A0A1T3P4M2|A0A1T3P4M2_9ACTN	GT|GT-A	Glyco_tranf_2_3(2-108)|Glyco_tranf_GTA_type(68-216)
tr|A0A1Y1HQH0|A0A1Y1HQH0_KLENI	GT|GT-A	O-FucT_like(172-463)|Glyco_tranf_GTA_type(506-662)
tr|A0A2S6IAB3|A0A2S6IAB3_9BACT	GT|GT-A	Glyco_tranf_2_3(4-220)|Glyco_tranf_GTA_type(158-193)
tr|A0A068Z597|A0A068Z597_9GAMM	GT-B|GT-B|GT-A	Glycosyltransferase_GTB-type(31-310)|GT4_PimA-like(473-753)|mycofact_glyco(733-995)
tr|A0A089LDX5|A0A089LDX5_9BACL	GT-B|GT-B|GT-A	Glycosyltransferase_GTB-type(55-245)|Glycosyltransferase_GTB-type(189-306)|Glyco_tranf_GTA_type(316-480)
tr|H5V0Q0|H5V0Q0_ATLHE	GT-B|GT-B|GT-A	Glycosyltransferase_GTB-type(31-311)|GT4_PimA-like(510-759)|Glyco_tranf_GTA_type(775-949)
tr|A0A1I2ATE8|A0A1I2ATE8_9PROT	GT-B|GT-A|COG4092	GT4_PimA-like(13-383)|Glyco_tranf_GTA_type(432-621)|COG4092(583-680)
tr|A0A097IFK1|A0A097IFK1_9CORY	GT-B|GT-A	Glycosyltransferase_GTB-type(45-241)|Glyco_tranf_GTA_type(310-505)
tr|A0A0B5DCP2|A0A0B5DCP2_9CORY	GT-B|GT-A	Glycosyltransferase_GTB-type(60-294)|mycofact_glyco(297-526)
tr|A0A0B6TTG3|A0A0B6TTG3_9CORY	GT-B|GT-A	Glycosyltransferase_GTB-type(51-265)|Glyco_tranf_GTA_type(309-491)
tr|A0A0C2M0F9|A0A0C2M0F9_9CYAN	GT-B|GT-A	GT4_PimA-like(117-402)|mycofact_glyco(421-642)
tr|A0A0D5AB81|A0A0D5AB81_9NOCA	GT-B|GT-A	GT4_PimA-like(57-295)|Glyco_tranf_GTA_type(357-577)
tr|A0A0D6YCI6|A0A0D6YCI6_MASLA	GT-B|GT-A	GT4_PimA-like(117-403)|mycofact_glyco(419-645)
tr|A0A0G3GL77|A0A0G3GL77_9CORY	GT-B|GT-A	RfaB(96-285)|Glyco_tranf_GTA_type(333-524)
tr|A0A0W8I4A1|A0A0W8I4A1_9MICO	GT-B|GT-A	Glycosyltransferase_GTB-type(183-321)|GT2(359-582)
tr|A0A108UCA7|A0A108UCA7_9GAMM	GT-B|GT-A	GT4_PimA-like(66-361)|mycofact_glyco(375-592)
tr|A0A127AQT1|A0A127AQT1_9DELT	GT-B|GT-A	GT4_PimA-like(108-399)|Glyco_tranf_GTA_type(415-588)
tr|A0A199NSC6|A0A199NSC6_9MICC	GT-B|GT-A	Glycosyltransferase_GTB-type(231-350)|Glyco_tranf_GTA_type(455-619)
tr|A0A1B1NEJ6|A0A1B1NEJ6_9MICO	GT-B|GT-A	Glycosyltransferase_GTB-type(59-325)|Glyco_tranf_GTA_type(356-566)
tr|A0A1F1IAI7|A0A1F1IAI7_9MICC	GT-B|GT-A	Glycosyltransferase_GTB-type(79-362)|GT2(400-639)
tr|A0A1H1LMA5|A0A1H1LMA5_9CORY	GT-B|GT-A	Glycosyltransferase_GTB-type(101-279)|GT2(393-574)
tr|A0A1Q9UW61|A0A1Q9UW61_9MICO	GT-B|GT-A	Glycosyltransferase_GTB-type(59-325)|Glyco_tranf_GTA_type(356-557)
tr|A0A1U7MRM9|A0A1U7MRM9_9MICO	GT-B|GT-A	Glycosyltransferase_GTB-type(18-337)|mycofact_glyco(296-597)
tr|A0A1X7HWV4|A0A1X7HWV4_9CORY	GT-B|GT-A	Glycosyltransferase_GTB-type(60-294)|mycofact_glyco(297-526)
tr|A0A285VVI9|A0A285VVI9_9MICO	GT-B|GT-A	RfaB(186-357)|Glyco_tranf_GTA_type(422-601)
tr|A0A2N1UW92|A0A2N1UW92_9BACT	GT-B|GT-A	GT4_PimA-like(2-366)|Glyco_tranf_GTA_type(390-610)
tr|C5C6W5|C5C6W5_MICLC	GT-B|GT-A	Glycosyltransferase_GTB-type(16-333)|Glyco_tranf_GTA_type(379-591)
tr|L8DL70|L8DL70_9NOCA	GT-B|GT-A	GT4_PimA-like(61-299)|Glyco_tranf_GTA_type(357-577)
tr|M1UF01|M1UF01_9CORY	GT-B|GT-A	Glycosyltransferase_GTB-type(18-272)|Glyco_tranf_GTA_type(317-500)
tr|Q8FPM5|Q8FPM5_COREF	GT-B|GT-A	RfaB(144-247)|Glyco_tranf_GTA_type(321-504)
tr|S5TIT5|S5TIT5_9CORY	GT-B|GT-A	Glycosyltransferase_GTB-type(54-259)|Glyco_tranf_GTA_type(305-488)
tr|A0A1F7KAF6|A0A1F7KAF6_9BACT	GT-A|TMhelix|TMhelix|TMhelix|TMhelix|GT|TMhelix|TMhelix	GT2(13-281)|TMhelix(293-312)|TMhelix(373-395)|TMhelix(402-419)|TMhelix(489-511)|PMT_2(302-716)|TMhelix(573-595)|TMhelix(635-657)
tr|A0A1A9I3I5|A0A1A9I3I5_9BACT	GT-A|TMhelix|TMhelix|TMhelix	mycofact_glyco(5-287)|TMhelix(236-258)|TMhelix(263-280)|TMhelix(290-312)
tr|A0A1G7H725|A0A1G7H725_9SPHI	GT-A|TMhelix|TMhelix|TMhelix	mycofact_glyco(6-208)|TMhelix(241-260)|TMhelix(264-281)|TMhelix(294-316)
tr|A0A1G7NH72|A0A1G7NH72_CHIFI	GT-A|TMhelix|TMhelix|TMhelix	mycofact_glyco(5-289)|TMhelix(238-257)|TMhelix(261-280)|TMhelix(293-315)
tr|A0A1H4EL55|A0A1H4EL55_9BACT	GT-A|TMhelix|TMhelix|TMhelix	mycofact_glyco(7-204)|TMhelix(245-263)|TMhelix(268-285)|TMhelix(298-317)
tr|A0A1I3USY9|A0A1I3USY9_9SPHI	GT-A|TMhelix|TMhelix|TMhelix	mycofact_glyco(5-288)|TMhelix(240-259)|TMhelix(263-281)|TMhelix(294-316)
tr|A0A1Q6Y081|A0A1Q6Y081_9CHLR	GT-A|TMhelix|TMhelix|TMhelix	mycofact_glyco(11-308)|TMhelix(270-289)|TMhelix(294-311)|TMhelix(326-343)
tr|A0A1Q7WPB7|A0A1Q7WPB7_9CHLR	GT-A|TMhelix|TMhelix|TMhelix	mycofact_glyco(10-307)|TMhelix(269-288)|TMhelix(293-310)|TMhelix(325-342)
tr|A0A1T5ETN9|A0A1T5ETN9_9SPHI	GT-A|TMhelix|TMhelix|TMhelix	mycofact_glyco(5-290)|TMhelix(240-259)|TMhelix(264-281)|TMhelix(294-316)
tr|A0A1V9EUW0|A0A1V9EUW0_9BACT	GT-A|TMhelix|TMhelix|TMhelix	mycofact_glyco(3-210)|TMhelix(244-261)|TMhelix(265-283)|TMhelix(296-318)
tr|A0A1Y0G6A2|A0A1Y0G6A2_9PROT	GT-A|TMhelix|TMhelix|TMhelix	mycofact_glyco(2-290)|TMhelix(241-260)|TMhelix(264-281)|TMhelix(294-316)
tr|A0A261PZA5|A0A261PZA5_9BACT	GT-A|TMhelix|TMhelix|TMhelix	mycofact_glyco(4-315)|TMhelix(231-253)|TMhelix(260-282)|TMhelix(292-314)
tr|A0A261RX79|A0A261RX79_9BORD	GT-A|TMhelix|TMhelix|TMhelix	Glyco_tranf_GTA_type(12-196)|TMhelix(245-262)|TMhelix(267-284)|TMhelix(297-319)
tr|A1K6G6|A1K6G6_AZOSB	GT-A|TMhelix|TMhelix|TMhelix	mycofact_glyco(3-320)|TMhelix(237-259)|TMhelix(264-283)|TMhelix(296-318)
tr|C7PPR3|C7PPR3_CHIPD	GT-A|TMhelix|TMhelix|TMhelix	mycofact_glyco(5-206)|TMhelix(239-258)|TMhelix(263-280)|TMhelix(292-314)
tr|D2QLH4|D2QLH4_SPILD	GT-A|TMhelix|TMhelix|TMhelix	mycofact_glyco(2-242)|TMhelix(239-261)|TMhelix(265-282)|TMhelix(295-317)
tr|F0S4K4|F0S4K4_PSESL	GT-A|TMhelix|TMhelix|TMhelix	mycofact_glyco(5-207)|TMhelix(234-256)|TMhelix(261-280)|TMhelix(293-310)
tr|F4C7C6|F4C7C6_SPHS2	GT-A|TMhelix|TMhelix|TMhelix	mycofact_glyco(6-207)|TMhelix(235-257)|TMhelix(264-283)|TMhelix(293-315)
tr|A0A1G6QAN8|A0A1G6QAN8_9BACT	GT-A|TMhelix|TMhelix	Glyco_tranf_GTA_type(31-200)|TMhelix(252-274)|TMhelix(281-298)
tr|A0A1W6ECV2|A0A1W6ECV2_9BACT	GT-A|TMhelix|TMhelix	Glyco_tranf_GTA_type(7-177)|TMhelix(251-273)|TMhelix(286-308)
tr|A0A1Y1REW8|A0A1Y1REW8_9BACT	GT-A|TMhelix|TMhelix	Glyco_tranf_GTA_type(10-197)|TMhelix(262-284)|TMhelix(294-311)
tr|A0A249T1R2|A0A249T1R2_9BACT	GT-A|TMhelix|TMhelix	mycofact_glyco(4-209)|TMhelix(259-281)|TMhelix(294-316)
tr|I0KC19|I0KC19_9BACT	GT-A|TMhelix|TMhelix	mycofact_glyco(14-327)|TMhelix(249-266)|TMhelix(270-287)
tr|A0A090Z382|A0A090Z382_PAEMA	GT-A|TMhelix	Glyco_tranf_GTA_type(6-168)|TMhelix(265-287)
tr|A0A0B0EL56|A0A0B0EL56_9BACT	GT-A|TMhelix	Glyco_tranf_GTA_type(8-218)|TMhelix(282-304)
tr|A0A0C1NAI3|A0A0C1NAI3_9CYAN	GT-A|TMhelix	Glyco_tranf_GTA_type(7-205)|TMhelix(249-268)
tr|A0A0M9DXN2|A0A0M9DXN2_9DELT	GT-A|TMhelix	mycofact_glyco(12-228)|TMhelix(271-293)
tr|A0A0Q8BCL8|A0A0Q8BCL8_9BURK	GT-A|TMhelix	Glyco_tranf_GTA_type(10-204)|TMhelix(280-302)
tr|A0A0S3PGR8|A0A0S3PGR8_9NOSO	GT-A|TMhelix	GT2(5-290)|TMhelix(249-271)
tr|A0A125STI0|A0A125STI0_9CYAN	GT-A|TMhelix	GT2(1-249)|TMhelix(290-312)
tr|A0A157QXB8|A0A157QXB8_9BORD	GT-A|TMhelix	Glyco_tranf_GTA_type(14-208)|TMhelix(290-307)
tr|A0A1F5CUJ6|A0A1F5CUJ6_9ARCH	GT-A|TMhelix	Glycos_transf_2(4-162)|TMhelix(230-252)
tr|A0A1M7ZW33|A0A1M7ZW33_9FLAO	GT-A|TMhelix	Glyco_tranf_GTA_type(3-165)|TMhelix(243-265)
tr|A0A1W6E173|A0A1W6E173_9BACT	GT-A|TMhelix	mycofact_glyco(3-276)|TMhelix(300-317)
tr|A0A1Z4R0G3|A0A1Z4R0G3_9CYAN	GT-A|TMhelix	GT2(1-289)|TMhelix(246-268)
tr|A0A239FRD1|A0A239FRD1_9BACT	GT-A|TMhelix	Glycos_transf_2(8-154)|TMhelix(245-264)
tr|A0A239K5X7|A0A239K5X7_9BACT	GT-A|TMhelix	Glyco_tranf_GTA_type(20-208)|TMhelix(225-247)
tr|A0A261TBA5|A0A261TBA5_9BORD	GT-A|TMhelix	Glyco_tranf_GTA_type(10-100)|TMhelix(285-302)
tr|A0A2A4SVE5|A0A2A4SVE5_9BACT	GT-A|TMhelix	Glyco_tranf_GTA_type(5-161)|TMhelix(254-276)
tr|A0A2G2IS74|A0A2G2IS74_9FLAO	GT-A|TMhelix	Glyco_tranf_GTA_type(6-169)|TMhelix(246-268)
tr|A0A2I8A882|A0A2I8A882_9NOSO	GT-A|TMhelix	GT2(1-255)|TMhelix(242-264)
tr|A0A2M8L647|A0A2M8L647_9BACT	GT-A|TMhelix	GT2(1-248)|TMhelix(279-298)
tr|A0A2T0U9L3|A0A2T0U9L3_9SPHI	GT-A|TMhelix	mycofact_glyco(3-289)|TMhelix(296-313)
tr|A0A2T0XEN8|A0A2T0XEN8_9BACT	GT-A|TMhelix	Glyco_tranf_GTA_type(172-342)|TMhelix(420-442)
tr|B4VS39|B4VS39_9CYAN	GT-A|TMhelix	Glyco_tranf_GTA_type(9-188)|TMhelix(258-279)
tr|D4X7Z8|D4X7Z8_9BURK	GT-A|TMhelix	Glyco_tranf_GTA_type(10-204)|TMhelix(285-302)
tr|D7BI07|D7BI07_MEISD	GT-A|TMhelix	Glyco_tranf_GTA_type(4-191)|TMhelix(221-243)
tr|E8TAW2|E8TAW2_MESCW	GT-A|TMhelix	Glyco_tranf_GTA_type(36-243)|TMhelix(303-325)
tr|F7SZB3|F7SZB3_9BURK	GT-A|TMhelix	WcaA(6-298)|TMhelix(256-278)
tr|K9W1E7|K9W1E7_9CYAN	GT-A|TMhelix	Glyco_tranf_GTA_type(8-187)|TMhelix(257-279)
tr|Q0C0F4|Q0C0F4_HYPNA	GT-A|TMhelix	Glycos_transf_2(8-170)|TMhelix(253-272)
tr|Q7N1W0|Q7N1W0_PHOLL	GT-A|TMhelix	BcsA(33-290)|TMhelix(249-271)
tr|T0RAS0|T0RAS0_9PROT	GT-A|TMhelix	GT2(1-292)|TMhelix(250-269)
tr|A0A1G7DHI4|A0A1G7DHI4_9FLAO	GT-A|rpoB	Glyco_tranf_GTA_type(3-156)|rpoB(89-241)
tr|F0F3K1|F0F3K1_9BACT	GT-A|RNA_binding	Glycos_transf_2(3-165)|RNA_binding(202-283)
tr|A0A075JHL3|A0A075JHL3_9MICO	GT-A|Rhamno_transf	Glyco_tranf_GTA_type(67-249)|Rhamno_transf(362-574)
tr|A0A220SCP6|A0A220SCP6_9FLAO	GT-A|PRK15383	Glycos_transf_2(4-136)|PRK15383(123-244)
tr|A0A0P7ZIJ9|A0A0P7ZIJ9_9ALTE	GT-A|PRK03515	GT2_Chondriotin_Pol_N(8-237)|PRK03515(97-173)
tr|A0A1Z4RMX2|A0A1Z4RMX2_9CHRO	GT-A|PEP_TPR_lipo|GT-A|GT-A	Glyco_tranf_GTA_type(33-232)|PEP_TPR_lipo(380-435)|Glyco_tranf_GTA_type(481-704)|Glyco_tranf_GTA_type(758-955)
tr|F9U9E8|F9U9E8_9GAMM	GT-A|MT|SmtA	Glyco_tranf_GTA_type(15-213)|Methyltransf_11(470-550)|SmtA(512-597)
tr|A0A136PSB1|A0A136PSB1_9ACTN	GT-A|MT	Glyco_tranf_GTA_type(16-230)|AdoMet_MTases(332-410)
tr|A0A2N3SHG1|A0A2N3SHG1_9ACTN	GT-A|MT	Glyco_tranf_GTA_type(12-236)|Methyltransf_25(338-400)
tr|A0A1H3JSS1|A0A1H3JSS1_9ACTN	GT-A|HAD_like|Hydrolase_like	mycofact_glyco(9-189)|HAD_like(332-449)|Hydrolase_like(422-490)
tr|A0A1H7GN65|A0A1H7GN65_9ACTN	GT-A|HAD_like|Hydrolase_like	Glyco_tranf_GTA_type(19-199)|HAD_like(341-458)|Hydrolase_like(431-507)
tr|A0A1H8W285|A0A1H8W285_9ACTN	GT-A|HAD_like|Hydrolase_like	Glyco_tranf_GTA_type(34-190)|HAD_like(334-451)|Hydrolase_like(424-492)
tr|H6RNU7|H6RNU7_BLASD	GT-A|HAD_like|Hydrolase_like	mycofact_glyco(6-186)|HAD_like(329-446)|Hydrolase_like(419-491)
tr|A0A0Q9KTY0|A0A0Q9KTY0_9MICO	GT-A|HAD_like	Glyco_tranf_GTA_type(12-194)|HAD_like(354-491)
tr|A0A1M6TQV0|A0A1M6TQV0_9CLOT	GT-A|HAD_like	Glyco_tranf_GTA_type(7-221)|HAD_like(292-569)
tr|A0A2N1VCL7|A0A2N1VCL7_9BACT	GT-A|GT-B|GT-A|PEP_TPR_lipo	Glyco_tranf_GTA_type(12-167)|GT4_PimA-like(362-731)|GT_2_like_c(739-949)|PEP_TPR_lipo(1045-1133)
tr|B8DME2|B8DME2_DESVM	GT-A|GT-B	Glycos_transf_2(61-202)|GT4_PimA-like(488-856)
tr|D6SU52|D6SU52_9DELT	GT-A|GT-B	Glyco_tranf_GTA_type(449-635)|Glycosyltransferase_GTB-type(990-1129)
tr|Q726W3|Q726W3_DESVH	GT-A|GT-B	Glyco_tranf_GTA_type(66-261)|GT4_PimA-like(483-848)
tr|A0A1G1Q624|A0A1G1Q624_9BACT	GT-A|GT-A|W_rSAM_matur|SPASM	Glyco_tranf_GTA_type(17-127)|WcaA(15-306)|W_rSAM_matur(387-600)|SPASM(646-713)
tr|A0A109C9K4|A0A109C9K4_9BACT	GT-A|GT-A|TMhelix	Glyco_tranf_GTA_type(7-118)|GT2(1-279)|TMhelix(261-283)
tr|A0A1F7A379|A0A1F7A379_9BACT	GT-A|GT-A|TMhelix	Glyco_tranf_GTA_type(7-130)|GT2(1-263)|TMhelix(280-302)
tr|A0A1H8A6M8|A0A1H8A6M8_9BACT	GT-A|GT-A|TMhelix	Glycos_transf_2(8-100)|WcaA(7-296)|TMhelix(240-262)
tr|A0A261SVC4|A0A261SVC4_9BORD	GT-A|GT-A|TMhelix	Glyco_tranf_GTA_type(10-129)|WcaA(7-274)|TMhelix(285-302)
tr|A0A2C9CBN9|A0A2C9CBN9_KUEST	GT-A|GT-A|TMhelix	Glyco_tranf_GTA_type(5-123)|GT2(1-284)|TMhelix(262-284)
tr|A0A2N3HP90|A0A2N3HP90_9FLAO	GT-A|GT-A|TMhelix	Glyco_tranf_GTA_type(154-326)|BcsA(84-438)|TMhelix(401-423)
tr|C7BRI1|C7BRI1_PHOAA	GT-A|GT-A|TMhelix	Glyco_tranf_GTA_type(30-171)|GT2(4-295)|TMhelix(249-271)
tr|E3EA23|E3EA23_PAEPS	GT-A|GT-A|TMhelix	Glyco_tranf_GTA_type(4-118)|WcaA(1-275)|TMhelix(265-287)
tr|F4GPP3|F4GPP3_PUSST	GT-A|GT-A|TMhelix	Glyco_tranf_GTA_type(10-108)|WcaA(7-273)|TMhelix(283-302)
tr|M1LN05|M1LN05_9CLOT	GT-A|GT-A|TMhelix	Glycos_transf_2(6-146)|BcsA(3-287)|TMhelix(265-287)
tr|A0A0U5IG71|A0A0U5IG71_9GAMM	GT-A|GT-A|MT	Glyco_tranf_GTA_type(53-169)|mycofact_glyco(25-287)|Methyltransf_11(538-587)
tr|A0A0A2TN69|A0A0A2TN69_9FIRM	GT-A|GT-A|GT-B|GT-A	Glyco_tranf_GTA_type(19-202)|GT2(263-498)|Glycosyltransferase_GTB-type(583-756)|Glyco_tranf_GTA_type(846-1044)
tr|A0A1M6E1Q5|A0A1M6E1Q5_9FIRM	GT-A|GT-A|GT-B|GT-A	Glyco_tranf_GTA_type(14-191)|GT2(264-451)|Glycosyltransferase_GTB-type(638-768)|Glyco_tranf_GTA_type(843-1040)
tr|A0A1Q8QY82|A0A1Q8QY82_9FIRM	GT-A|GT-A|GT-B|GT-A	Glyco_tranf_GTA_type(22-207)|GT2(281-467)|Glycosyltransferase_GTB-type(581-806)|Glyco_tranf_GTA_type(860-1059)
tr|J7IKU8|J7IKU8_DESMD	GT-A|GT-A|GT-B|GT-A	Glyco_tranf_GTA_type(14-204)|GT2(265-451)|Glycosyltransferase_GTB-type(636-768)|Glyco_tranf_GTA_type(844-1043)
tr|C4XP20|C4XP20_DESMR	GT-A|GT-A|GT-B	Glycos_transf_2(520-646)|BcsA(460-751)|RfaB(1074-1179)
tr|I8RKN0|I8RKN0_9FIRM	GT-A|GT-A|GT-A|MT|YrrM	Glyco_tranf_GTA_type(7-193)|GT2(263-450)|Glyco_tranf_GTA_type(675-883)|Methyltransf_24(977-1054)|YrrM(944-1102)
tr|F7NDM1|F7NDM1_9FIRM	GT-A|GT-A|GT-A|MT	Glyco_tranf_GTA_type(13-196)|Glyco_tranf_GTA_type(279-382)|Glyco_tranf_GTA_type(676-884)|Methyltransf_24(959-1055)
