SeqNR,SeqUniProt,Fold,Clade,Family,Subfamily,Protein,Weblogo,Members
2229,240,GTA,Clade1,GT2-CWR,GT2-CWR_Csl-1,,GT2-CWR_Csl-1.png,GT-A_consensus;GT2-CWR|Ec-nfrB
3386,919,GTA,Clade1,GT2-CWR,GT2-CWR_Csl-2,,GT2-CWR_Csl-2.png,GT-A_consensus;GT2-CWR|Rs-A4WQA1
5001,1334,GTA,Clade1,GT21,,,GT21.png,GT-A_consensus;GT21|Dm-GlcT1;GT21|Ce-cgt-2;GT21|Ce-cgt-1;GT21|Ce-cgt-3;GT21|Hs-UGCG;GT21|Zm-Q5NNW4;GT21|Kp-C4R4B3;GT21|Gm-GLYMA_16G078400;GT21|Mo-G4MS28
2958,601,GTA,Clade1,GT21,GT21-1,,GT21-1.png,GT-A_consensus;GT21|Zm-Q5NNW4;GT21|Gm-GLYMA_16G078400
458,217,GTA,Clade1,GT21,GT21-2,,GT21-2.png,GT-A_consensus;GT21|Mo-G4MS28
324,147,GTA,Clade1,GT21,GT21-3,,GT21-3.png,GT-A_consensus;GT21|Kp-C4R4B3
1331,366,GTA,Clade1,GT21,GT21-4,,GT21-4.png,GT-A_consensus;GT21|Dm-GlcT1;GT21|Ce-cgt-2;GT21|Ce-cgt-1;GT21|Ce-cgt-3;GT21|Hs-UGCG
8915,1500,GTA,Clade1,GT84,,,GT84.png,GT-A_consensus;GT84|Ec-opgH;GT84|Rs-Q3IW62
7993,1257,GTA,Clade1,GT84,GT84-1,,GT84-1.png,GT-A_consensus;GT84|Ec-opgH
738,155,GTA,Clade1,GT84,GT84-2,,GT84-2.png,GT-A_consensus;GT84|Rs-Q3IW62
108242,30782,GTA,Clade2,,,,Clade2.png,GT-A_consensus;GT2-DPs|Dm-wol;GT2-DPs|Ce-algn-5;GT2-DPs|Sc-ALG5;GT2-DPs|Hs-ALG5;GT2-DPs|At-At2g39630;GT2-DPs|Dm-CG10166;GT2-DPs|Ce-dpm-1;GT2-DPs|Sc-DPM1;GT2-DPs|Hs-DPM1;GT2-DPs|At-DPMS1;GT55|Dm-mpgSP;GT81|Ms-gpgS;GT81|Pm-gpgS;GT2-DPs|Ec-arnC;GT2-DPs|Lm-Q7AP48;GT2-DPs|Ss-Q55487;GT2-DPs|Tt-Q5SJZ8;GT78|Rm-D0MI02;GT78|Pp-PHYPA_020118;GT81|Hw-gtl5
102170,28779,GTA,Clade2,GT2-DPs,,,GT2-DPs.png,GT-A_consensus;GT2-DPs|Dm-wol;GT2-DPs|Ce-algn-5;GT2-DPs|Sc-ALG5;GT2-DPs|Hs-ALG5;GT2-DPs|At-At2g39630;GT2-DPs|Dm-CG10166;GT2-DPs|Ce-dpm-1;GT2-DPs|Sc-DPM1;GT2-DPs|Hs-DPM1;GT2-DPs|At-DPMS1;GT2-DPs|Ec-arnC;GT2-DPs|Lm-Q7AP48;GT2-DPs|Ss-Q55487;GT2-DPs|Tt-Q5SJZ8
34163,7822,GTA,Clade2,GT2-DPs,GT2-DPs_Bact,,GT2-DPs_Bact.png,GT-A_consensus;GT2-DPs|Ec-arnC;GT2-DPs|Lm-Q7AP48;GT2-DPs|Ss-Q55487
66769,20318,GTA,Clade2,GT2-DPs,GT2-DPs_Mix,,GT2-DPs_Mix.png,GT-A_consensus;GT2-DPs|Dm-wol;GT2-DPs|Ce-algn-5;GT2-DPs|Sc-ALG5;GT2-DPs|Hs-ALG5;GT2-DPs|At-At2g39630;GT2-DPs|Dm-CG10166;GT2-DPs|Ce-dpm-1;GT2-DPs|Sc-DPM1;GT2-DPs|Hs-DPM1;GT2-DPs|At-DPMS1
179,74,GTA,Clade2,GT55,,,GT55.png,GT-A_consensus;GT55|Dm-mpgSP
179,74,GTA,Clade2,GT55,GT55-1,,GT55-1.png,GT-A_consensus;GT55|Dm-mpgSP
22,8,GTA,Clade2,GT78,,,GT78.png,GT-A_consensus;GT78|Rm-D0MI02;GT78|Pp-PHYPA_020118
5871,1921,GTA,Clade2,GT81,,,GT81.png,GT-A_consensus;GT81|Ms-gpgS;GT81|Pm-gpgS;GT81|Hw-gtl5
472,133,GTA,Clade2,GT81,GT81-1,,GT81-1.png,GT-A_consensus;GT81|Hw-gtl5
3299,942,GTA,Clade2,GT81,GT81-2,,GT81-2.png,GT-A_consensus;GT81|Ms-gpgS;GT81|Pm-gpgS;GT78|Rm-D0MI02
1035,206,GTA,Clade2,GT81,GT81-3,,GT81-3.png,GT-A_consensus;
1543,518,GTA,Clade2,Others,GT2-DPs_81_Mix,,GT2-DPs_81_Mix.png,GT-A_consensus;GT2-DPs|Tt-Q5SJZ8
